pais,periodo,viajeros,año,mes,origen
África,2022M09,67728,2022,Septiembre,Resto del Mundo
África,2022M08,110101,2022,Agosto,Resto del Mundo
África,2022M07,95908,2022,Julio,Resto del Mundo
África,2022M06,58438,2022,Junio,Resto del Mundo
África,2022M05,61115,2022,Mayo,Resto del Mundo
África,2022M04,30760,2022,Abril,Resto del Mundo
África,2022M03,47245,2022,Marzo,Resto del Mundo
África,2022M02,39523,2022,Febrero,Resto del Mundo
África,2022M01,32144,2022,Enero,Resto del Mundo
África,2021M12,35055,2021,Diciembre,Resto del Mundo
África,2021M11,36416,2021,Noviembre,Resto del Mundo
África,2021M10,37794,2021,Octubre,Resto del Mundo
África,2021M09,35917,2021,Septiembre,Resto del Mundo
África,2021M08,47202,2021,Agosto,Resto del Mundo
África,2021M07,34796,2021,Julio,Resto del Mundo
África,2021M06,24958,2021,Junio,Resto del Mundo
África,2021M05,21935,2021,Mayo,Resto del Mundo
África,2021M04,10799,2021,Abril,Resto del Mundo
África,2021M03,15085,2021,Marzo,Resto del Mundo
África,2021M02,11420,2021,Febrero,Resto del Mundo
África,2021M01,13042,2021,Enero,Resto del Mundo
Resto del Mundo,2022M12,174620,2022,Diciembre,Resto del Mundo
Resto del Mundo,2022M11,183932,2022,Noviembre,Resto del Mundo
Resto del Mundo,2022M10,253855,2022,Octubre,Resto del Mundo
Resto del Mundo,2022M09,259103,2022,Septiembre,Resto del Mundo
Resto del Mundo,2022M08,255421,2022,Agosto,Resto del Mundo
Resto del Mundo,2022M07,277955,2022,Julio,Resto del Mundo
Resto del Mundo,2022M06,223122,2022,Junio,Resto del Mundo
Resto del Mundo,2022M05,197101,2022,Mayo,Resto del Mundo
Resto del Mundo,2022M04,137188,2022,Abril,Resto del Mundo
Resto del Mundo,2022M03,105146,2022,Marzo,Resto del Mundo
Resto del Mundo,2022M02,74419,2022,Febrero,Resto del Mundo
Resto del Mundo,2022M01,63302,2022,Enero,Resto del Mundo
Resto del Mundo,2021M12,93998,2021,Diciembre,Resto del Mundo
Resto del Mundo,2021M11,94978,2021,Noviembre,Resto del Mundo
Resto del Mundo,2021M10,108253,2021,Octubre,Resto del Mundo
Resto del Mundo,2021M09,112409,2021,Septiembre,Resto del Mundo
Resto del Mundo,2021M08,111958,2021,Agosto,Resto del Mundo
Resto del Mundo,2021M07,97612,2021,Julio,Resto del Mundo
Resto del Mundo,2021M06,57045,2021,Junio,Resto del Mundo
Resto del Mundo,2021M05,33048,2021,Mayo,Resto del Mundo
Resto del Mundo,2021M04,16979,2021,Abril,Resto del Mundo
Resto del Mundo,2021M03,14926,2021,Marzo,Resto del Mundo
Resto del Mundo,2021M02,9780,2021,Febrero,Resto del Mundo
Resto del Mundo,2021M01,11969,2021,Enero,Resto del Mundo
América (sin EEUU),2022M12,217689,2022,Diciembre,Resto del Mundo
América (sin EEUU),2022M11,245004,2022,Noviembre,Resto del Mundo
América (sin EEUU),2022M10,402817,2022,Octubre,Resto del Mundo
América (sin EEUU),2022M09,441760,2022,Septiembre,Resto del Mundo
América (sin EEUU),2022M08,375613,2022,Agosto,Resto del Mundo
América (sin EEUU),2022M07,412300,2022,Julio,Resto del Mundo
América (sin EEUU),2022M06,374258,2022,Junio,Resto del Mundo
América (sin EEUU),2022M05,361850,2022,Mayo,Resto del Mundo
América (sin EEUU),2022M04,279019,2022,Abril,Resto del Mundo
América (sin EEUU),2022M03,192296,2022,Marzo,Resto del Mundo
América (sin EEUU),2022M02,140962,2022,Febrero,Resto del Mundo
América (sin EEUU),2022M01,149400,2022,Enero,Resto del Mundo
América (sin EEUU),2021M12,164989,2021,Diciembre,Resto del Mundo
América (sin EEUU),2021M11,175767,2021,Noviembre,Resto del Mundo
América (sin EEUU),2021M10,219647,2021,Octubre,Resto del Mundo
América (sin EEUU),2021M09,193581,2021,Septiembre,Resto del Mundo
América (sin EEUU),2021M08,159379,2021,Agosto,Resto del Mundo
América (sin EEUU),2021M07,144735,2021,Julio,Resto del Mundo
América (sin EEUU),2021M06,78070,2021,Junio,Resto del Mundo
América (sin EEUU),2021M05,46383,2021,Mayo,Resto del Mundo
América (sin EEUU),2021M04,31012,2021,Abril,Resto del Mundo
América (sin EEUU),2021M03,29989,2021,Marzo,Resto del Mundo
América (sin EEUU),2021M02,22893,2021,Febrero,Resto del Mundo
América (sin EEUU),2021M01,26791,2021,Enero,Resto del Mundo
Estados Unidos de América,2022M12,156109,2022,Diciembre,Resto del Mundo
Estados Unidos de América,2022M11,196609,2022,Noviembre,Resto del Mundo
Estados Unidos de América,2022M10,363053,2022,Octubre,Resto del Mundo
Estados Unidos de América,2022M09,392915,2022,Septiembre,Resto del Mundo
Estados Unidos de América,2022M08,260354,2022,Agosto,Resto del Mundo
Estados Unidos de América,2022M07,393819,2022,Julio,Resto del Mundo
Estados Unidos de América,2022M06,437326,2022,Junio,Resto del Mundo
Estados Unidos de América,2022M05,361833,2022,Mayo,Resto del Mundo
Estados Unidos de América,2022M04,222759,2022,Abril,Resto del Mundo
Estados Unidos de América,2022M03,160667,2022,Marzo,Resto del Mundo
Estados Unidos de América,2022M02,72380,2022,Febrero,Resto del Mundo
Estados Unidos de América,2022M01,59962,2022,Enero,Resto del Mundo
Estados Unidos de América,2021M12,98448,2021,Diciembre,Resto del Mundo
Estados Unidos de América,2021M11,113376,2021,Noviembre,Resto del Mundo
Estados Unidos de América,2021M10,162385,2021,Octubre,Resto del Mundo
Estados Unidos de América,2021M09,154653,2021,Septiembre,Resto del Mundo
Estados Unidos de América,2021M08,127577,2021,Agosto,Resto del Mundo
Estados Unidos de América,2021M07,126195,2021,Julio,Resto del Mundo
Estados Unidos de América,2021M06,47194,2021,Junio,Resto del Mundo
Estados Unidos de América,2021M05,16093,2021,Mayo,Resto del Mundo
Estados Unidos de América,2021M04,8641,2021,Abril,Resto del Mundo
Estados Unidos de América,2021M03,6961,2021,Marzo,Resto del Mundo
Estados Unidos de América,2021M02,5009,2021,Febrero,Resto del Mundo
Estados Unidos de América,2021M01,5312,2021,Enero,Resto del Mundo
Japón,2022M12,13261,2022,Diciembre,Resto del Mundo
Japón,2022M11,13423,2022,Noviembre,Resto del Mundo
Japón,2022M10,16157,2022,Octubre,Resto del Mundo
Japón,2022M09,14129,2022,Septiembre,Resto del Mundo
Japón,2022M08,11942,2022,Agosto,Resto del Mundo
Japón,2022M07,10452,2022,Julio,Resto del Mundo
Japón,2022M06,11087,2022,Junio,Resto del Mundo
Japón,2022M05,8241,2022,Mayo,Resto del Mundo
Japón,2022M04,7907,2022,Abril,Resto del Mundo
Japón,2022M03,4861,2022,Marzo,Resto del Mundo
Japón,2022M02,3890,2022,Febrero,Resto del Mundo
Japón,2022M01,2189,2022,Enero,Resto del Mundo
Japón,2021M12,4769,2021,Diciembre,Resto del Mundo
Japón,2021M11,3756,2021,Noviembre,Resto del Mundo
Japón,2021M10,3864,2021,Octubre,Resto del Mundo
Japón,2021M09,3867,2021,Septiembre,Resto del Mundo
Japón,2021M08,3992,2021,Agosto,Resto del Mundo
Japón,2021M07,2893,2021,Julio,Resto del Mundo
Japón,2021M06,1709,2021,Junio,Resto del Mundo
Japón,2021M05,1159,2021,Mayo,Resto del Mundo
Japón,2021M04,895,2021,Abril,Resto del Mundo
Japón,2021M03,594,2021,Marzo,Resto del Mundo
Japón,2021M02,475,2021,Febrero,Resto del Mundo
Japón,2021M01,498,2021,Enero,Resto del Mundo
Asia (sin Japón),2022M12,0,2022,Diciembre,Resto del Mundo
Asia (sin Japón),2022M11,0,2022,Noviembre,Resto del Mundo
Asia (sin Japón),2022M10,0,2022,Octubre,Resto del Mundo
Asia (sin Japón),2022M09,0,2022,Septiembre,Resto del Mundo
Asia (sin Japón),2022M08,0,2022,Agosto,Resto del Mundo
Asia (sin Japón),2022M07,0,2022,Julio,Resto del Mundo
Asia (sin Japón),2022M06,0,2022,Junio,Resto del Mundo
Asia (sin Japón),2022M05,0,2022,Mayo,Resto del Mundo
Asia (sin Japón),2022M04,0,2022,Abril,Resto del Mundo
Asia (sin Japón),2022M03,0,2022,Marzo,Resto del Mundo
Asia (sin Japón),2022M02,0,2022,Febrero,Resto del Mundo
Asia (sin Japón),2022M01,0,2022,Enero,Resto del Mundo
Asia (sin Japón),2021M12,0,2021,Diciembre,Resto del Mundo
Asia (sin Japón),2021M11,0,2021,Noviembre,Resto del Mundo
Asia (sin Japón),2021M10,0,2021,Octubre,Resto del Mundo
Asia (sin Japón),2021M09,0,2021,Septiembre,Resto del Mundo
Asia (sin Japón),2021M08,0,2021,Agosto,Resto del Mundo
Asia (sin Japón),2021M07,0,2021,Julio,Resto del Mundo
Asia (sin Japón),2021M06,0,2021,Junio,Resto del Mundo
Asia (sin Japón),2021M05,0,2021,Mayo,Resto del Mundo
Asia (sin Japón),2021M04,0,2021,Abril,Resto del Mundo
Asia (sin Japón),2021M03,0,2021,Marzo,Resto del Mundo
Asia (sin Japón),2021M02,0,2021,Febrero,Resto del Mundo
Asia (sin Japón),2021M01,0,2021,Enero,Resto del Mundo
