,periodo,provincia,viajeros_total,viajeros_esp,viajeros_ext,pernoc_total,pernoc_esp,pernoc_ext,provincia_simp,id,estancia_media_total,estancia_media_esp,estancia_media_ext,year,month,iso_date
188,2022M10,28 Madrid,1104026,582487,521538,2242371,1012992,1229379,Madrid,2022M10_Madrid,2.031085318642858,1.739080872191139,2.357218457715449,2022,10,2022-10-01
189,2022M09,29 Málaga,620194,224895,395299,2155199,572890,1582309,Málaga,2022M09_Málaga,3.475040068107721,2.5473665488339003,4.002815590224109,2022,9,2022-09-01
190,2022M09,41 Sevilla,324963,164561,160402,635577,278099,357478,Sevilla,2022M09_Sevilla,1.955844203801664,1.6899447621246833,2.228638046907146,2022,9,2022-09-01
191,2022M09,"07 Balears, Illes",1618513,187516,1430997,8678063,687086,7990977,Illes Balears,2022M09_Illes Balears,5.361750569813156,3.6641459928752735,5.584202482604785,2022,9,2022-09-01
192,2022M09,08 Barcelona,1141853,296716,845137,3078699,596473,2482226,Barcelona,2022M09_Barcelona,2.6962306006114622,2.010248857493361,2.9370693745511085,2022,9,2022-09-01
193,2022M09,17 Girona,453933,176025,277909,1377674,372824,1004850,Girona,2022M09_Girona,3.034972121436424,2.118017327084221,3.615751918793562,2022,9,2022-09-01
194,2022M09,46 Valencia/València,319325,181953,137372,807766,425714,382052,46 Valencia/València,2022M09_46 Valencia/València,2.5296046347764816,2.339692118294285,2.7811489968843723,2022,9,2022-09-01
195,2022M09,28 Madrid,1048624,550019,498605,2066264,932436,1133828,Madrid,2022M09_Madrid,1.9704527075481773,1.6952796176132097,2.274000461286991,2022,9,2022-09-01
196,2022M08,29 Málaga,665325,321902,343423,2672820,1054152,1618668,Málaga,2022M08_Málaga,4.0173148461278325,3.274760641437456,4.713336031657752,2022,8,2022-08-01
197,2022M08,41 Sevilla,308841,147417,161425,617433,253516,363917,Sevilla,2022M08_Sevilla,1.999193759895869,1.7197202493606571,2.2544029735171134,2022,8,2022-08-01
198,2022M08,"07 Balears, Illes",1954444,284123,1670321,10779452,1192546,9586906,Illes Balears,2022M08_Illes Balears,5.51535475050705,4.197287794370748,5.739559042842664,2022,8,2022-08-01
199,2022M08,08 Barcelona,1234023,283775,950248,3874913,692499,3182414,Barcelona,2022M08_Barcelona,3.140065460692386,2.4403101048365783,3.3490351992322003,2022,8,2022-08-01
200,2022M08,17 Girona,628238,273522,354716,2360768,826799,1533968,Girona,2022M08_Girona,3.757760593915045,3.022787929307332,4.324496216691664,2022,8,2022-08-01
