ENCUESTA ANUAL LABORAL,,,,,EAL
,,,,,Volver al índice
La empresa prefirió tener personal con contratos formativos o personal en formación por convenio de Formación profesional dual a proporcionar más formación a sus trabajadores ,100,74.417,16.078,7.399,2.105
El mayor esfuerzo realizado en años anteriores para ofrecer formación a sus trabajadores,100,37.41,35.59,17.056,9.944
La elevada carga de trabajo y el escaso tiempo disponible de los empleados de su empresa,100,31.149,27.266,26.925,14.66
Dificultad para acceder a ayudas o subvenciones públicas,100,30.623,32.428,23.661,13.287
Otras razones,100,58.64,24.726,9.754,6.881
"EAL-25e. EMPRESAS DEL SECTOR SERVICIOS QUE NO PROPORCIONARON FORMACIÓN A SUS TRABAJADORES, SEGÚN GRADO DE INFLUENCIA QUE SUPUSIERON CIERTOS MOTIVOS PARA NO PROPORCIONAR FORMACIÓN ",,,,,
Año 2023. Porcentaje sobre el total de empresas en el sector servicios que no proporcionaron formación a sus trabajadores.,,,,,
,TOTAL,NADA,POCO,BASTANTE,MUCHO
El nivel de formación de los empleados era el apropiado para las necesidades de la empresa,100,13.682,13.587,47.164,25.567
"La empresa prefirió contratar a personal con la cualificación, habilidades y competencias necesarias ",100,21.528,16.957,42.306,19.208
Dificultad para evaluar la necesidades de formación de la empresa,100,33.311,43.092,19.863,3.734
La falta de cursos de formación adecuados en el mercado,100,29.724,37.713,23.962,8.601
El alto coste de los cursos de formación,100,28.514,30.631,29.685,11.17
La empresa prefirió tener personal con contratos formativos o personal en formación por convenio de Formación profesional dual a proporcionar más formación a sus trabajadores ,100,68.273,20.547,9.086,2.094
El mayor esfuerzo realizado en años anteriores para ofrecer formación a sus trabajadores,100,39.508,35.388,20.576,4.528
La elevada carga de trabajo y el escaso tiempo disponible de los empleados de su empresa,100,24.859,27.307,36.282,11.553
Dificultad para acceder a ayudas o subvenciones públicas,100,31.402,27.59,26.995,14.013
Otras razones,100,68.273,20.547,9.086,2.094
