city,total_alojamientos_disponibles,porcentaje_sobre_total
barcelona,1630,26.29
madrid,1311,21.15
girona,1085,17.5
mallorca,1058,17.07
sevilla,341,5.5
malaga,339,5.47
valencia,297,4.79
menorca,138,2.23
