anio,tabla,pregunta,dimension,ambito,empresas_suspension_reduccion,total_trabajadores_formados,porcentaje_0,mas_0_hasta_25,mas_25_hasta_50,mas_50_hasta_75,mas_75_hasta_100,porcentaje_100
2024,EAL-18b,"EMPRESAS QUE PROPORCIONARON FORMACIÓN A SUS TRABAJADORES EN SUSPENSIÓN DE CONTRATO Y/O REDUCCION DE JORNADA POR TAMAÑO DE LA EMPRESA, ACTIVIDAD ECONÓMICA Y COMUNIDAD AUTÓNOMA",TOTAL,TOTAL,1.396570483033751,100.0,81.299,13.061,1.327,2.022,0.42,1.871
2024,EAL-18b,"EMPRESAS QUE PROPORCIONARON FORMACIÓN A SUS TRABAJADORES EN SUSPENSIÓN DE CONTRATO Y/O REDUCCION DE JORNADA POR TAMAÑO DE LA EMPRESA, ACTIVIDAD ECONÓMICA Y COMUNIDAD AUTÓNOMA",TAMAÑO DE LA EMPRESA,Más de 499 trabajadores,11.78743961352657,100.0,66.136,26.049,5.791,1.364,0.325,0.334
2024,EAL-18b,"EMPRESAS QUE PROPORCIONARON FORMACIÓN A SUS TRABAJADORES EN SUSPENSIÓN DE CONTRATO Y/O REDUCCION DE JORNADA POR TAMAÑO DE LA EMPRESA, ACTIVIDAD ECONÓMICA Y COMUNIDAD AUTÓNOMA",ACTIVIDAD ECONÓMICA,Industria,3.526077097505669,100.0,79.042,12.156,0.385,1.863,0.546,6.008
2024,EAL-18b,"EMPRESAS QUE PROPORCIONARON FORMACIÓN A SUS TRABAJADORES EN SUSPENSIÓN DE CONTRATO Y/O REDUCCION DE JORNADA POR TAMAÑO DE LA EMPRESA, ACTIVIDAD ECONÓMICA Y COMUNIDAD AUTÓNOMA",ACTIVIDAD ECONÓMICA,Construcción,0.1312219207330634,100.0,84.067,8.563,0.058,5.92,1.391,0.0
2024,EAL-18b,"EMPRESAS QUE PROPORCIONARON FORMACIÓN A SUS TRABAJADORES EN SUSPENSIÓN DE CONTRATO Y/O REDUCCION DE JORNADA POR TAMAÑO DE LA EMPRESA, ACTIVIDAD ECONÓMICA Y COMUNIDAD AUTÓNOMA",ACTIVIDAD ECONÓMICA,Comercio y reparación de vehículos,0.2306481334586236,100.0,85.276,11.029,1.964,0.0,0.0,1.732
2024,EAL-18b,"EMPRESAS QUE PROPORCIONARON FORMACIÓN A SUS TRABAJADORES EN SUSPENSIÓN DE CONTRATO Y/O REDUCCION DE JORNADA POR TAMAÑO DE LA EMPRESA, ACTIVIDAD ECONÓMICA Y COMUNIDAD AUTÓNOMA",ACTIVIDAD ECONÓMICA,Transporte y almacenamiento,0.8512363194162951,100.0,82.853,16.628,0.328,0.0,0.191,0.0
2024,EAL-18b,"EMPRESAS QUE PROPORCIONARON FORMACIÓN A SUS TRABAJADORES EN SUSPENSIÓN DE CONTRATO Y/O REDUCCION DE JORNADA POR TAMAÑO DE LA EMPRESA, ACTIVIDAD ECONÓMICA Y COMUNIDAD AUTÓNOMA",ACTIVIDAD ECONÓMICA,Hostelería,2.805053378605733,100.0,86.534,13.319,0.128,0.019,0.0,0.0
2024,EAL-18b,"EMPRESAS QUE PROPORCIONARON FORMACIÓN A SUS TRABAJADORES EN SUSPENSIÓN DE CONTRATO Y/O REDUCCION DE JORNADA POR TAMAÑO DE LA EMPRESA, ACTIVIDAD ECONÓMICA Y COMUNIDAD AUTÓNOMA",ACTIVIDAD ECONÓMICA,Actividades administrativas y servicios auxiliares,1.40594863465638,100.0,85.59,9.907,3.315,0.094,1.094,0.0
2024,EAL-18b,"EMPRESAS QUE PROPORCIONARON FORMACIÓN A SUS TRABAJADORES EN SUSPENSIÓN DE CONTRATO Y/O REDUCCION DE JORNADA POR TAMAÑO DE LA EMPRESA, ACTIVIDAD ECONÓMICA Y COMUNIDAD AUTÓNOMA",ACTIVIDAD ECONÓMICA,"Actividades artísticas, recreativas y de entretenimiento y otros servicios",1.0023584905660377,100.0,68.871,6.066,6.637,12.714,0.063,5.65
2024,EAL-18b,"EMPRESAS QUE PROPORCIONARON FORMACIÓN A SUS TRABAJADORES EN SUSPENSIÓN DE CONTRATO Y/O REDUCCION DE JORNADA POR TAMAÑO DE LA EMPRESA, ACTIVIDAD ECONÓMICA Y COMUNIDAD AUTÓNOMA",COMUNIDAD AUTÓNOMA,Andalucía,1.9491814155324831,100.0,86.189,8.659,2.918,0.933,0.0,1.301
2024,EAL-18b,"EMPRESAS QUE PROPORCIONARON FORMACIÓN A SUS TRABAJADORES EN SUSPENSIÓN DE CONTRATO Y/O REDUCCION DE JORNADA POR TAMAÑO DE LA EMPRESA, ACTIVIDAD ECONÓMICA Y COMUNIDAD AUTÓNOMA",COMUNIDAD AUTÓNOMA,Cataluña,1.7269612153925462,100.0,69.01,18.953,0.327,8.934,0.399,2.377
2024,EAL-18b,"EMPRESAS QUE PROPORCIONARON FORMACIÓN A SUS TRABAJADORES EN SUSPENSIÓN DE CONTRATO Y/O REDUCCION DE JORNADA POR TAMAÑO DE LA EMPRESA, ACTIVIDAD ECONÓMICA Y COMUNIDAD AUTÓNOMA",COMUNIDAD AUTÓNOMA,Comunitat Valenciana,3.052365583327078,100.0,79.585,19.84,0.112,0.463,0.0,0.0
2024,EAL-18b,"EMPRESAS QUE PROPORCIONARON FORMACIÓN A SUS TRABAJADORES EN SUSPENSIÓN DE CONTRATO Y/O REDUCCION DE JORNADA POR TAMAÑO DE LA EMPRESA, ACTIVIDAD ECONÓMICA Y COMUNIDAD AUTÓNOMA",COMUNIDAD AUTÓNOMA,Madrid (Comunidad de),0.416720927204063,100.0,81.248,12.697,3.062,0.16,1.051,1.782
2024,EAL-18b,"EMPRESAS QUE PROPORCIONARON FORMACIÓN A SUS TRABAJADORES EN SUSPENSIÓN DE CONTRATO Y/O REDUCCION DE JORNADA POR TAMAÑO DE LA EMPRESA, ACTIVIDAD ECONÓMICA Y COMUNIDAD AUTÓNOMA",COMUNIDAD AUTÓNOMA,País Vasco,1.235826984222209,100.0,66.394,19.083,0.0,0.0,0.0,14.523
