ENCUESTA ANUAL LABORAL,,,,,,,EAL
,,,,,,,Volver al índice
"EAL-C2. EMPRESAS, SEGÚN PORCENTAJE DE TRABAJADORES CON CONTRATO DE DURACIÓN DETERMINADA, POR TAMAÑO DE LA EMPRESA, ACTIVIDAD ECONÓMICA Y COMUNIDAD AUTÓNOMA (1)",,,,,,,
Año 2023. Porcentaje respecto al total de trabajadores en cada categoría.,,,,,,,
                         ,PORCENTAJE DE TEMPORALIDAD (2),,,,,,
,TOTAL,De más de 0% hasta 20%,De más de 20% hasta 40%,De más de 40% hasta 60%,De más de 60% hasta 80%,De más de 80% hasta 100%,No tienen
                         ,,,,,,,
 TOTAL,100,45.5,6,1.6,0.6,0.4,45.8
TAMAÑO DE LA EMPRESA,,,,,,,
De 5 a 9 trabajadores,100,35.9,6.3,1.8,0.7,0.5,54.9
De 10 a 49 trabajadores,100,52.7,5.6,1.4,0.5,0.4,39.4
De 50 a 249 trabajadores,100,69.1,6.7,1.5,0.5,0.4,21.7
De 250 a 499 trabajadores,100,73.7,7.7,1.6,0.6,0.6,15.9
Más de 499 trabajadores,100,75.5,6.6,1.4,1.1,0.7,14.8
ACTIVIDAD ECONÓMICA,,,,,,,
Industria,100,52.6,5,0.8,0.3,0.1,41.2
Construcción,100,41.5,7.6,2,0.8,0.4,47.7
Comercio y reparación de vehículos,100,46,4.7,0.9,0.3,0.1,48
Transporte y almacenamiento,100,45.5,6.1,1.4,0.4,0.2,46.4
Hostelería,100,44,7.4,2.6,0.9,0.5,44.7
"Información, comunicaciones, actividades financieras, de seguros e inmobiliarias",100,35.4,3.8,1.2,0.6,1,58.1
"Actividades profesionales, científicas y técnicas",100,42.6,4.3,1,0.3,0.1,51.6
Actividades administrativas y servicios auxiliares,100,51.2,9.3,2.7,1.1,0.9,34.8
"Actividades artísticas, recreativas y de entretenimiento y otros servicios",100,45.3,7.9,2.9,1.5,2.1,40.2
COMUNIDAD AUTÓNOMA,,,,,,,
Andalucía ,100,48.9,9.7,3.2,1.3,0.8,36
Aragón ,100,50,5.9,1.2,0.4,0.3,42.2
Asturias (Principado de),100,54.2,9.3,2.3,0.7,0.5,33
Balears (Illes),100,33,2.3,0.6,0.2,0.1,63.8
Canarias ,100,43.2,4.1,1.2,0.5,0.3,50.8
Cantabria ,100,52.7,9.4,2.3,0.5,0.6,34.5
Castilla-La Mancha,100,48.3,7.2,1.8,0.5,0.4,41.8
Castilla y León,100,50.7,6.5,1.3,0.4,0.4,40.7
Cataluña ,100,41,3.7,1,0.4,0.3,53.7
Comunitat Valenciana ,100,45.2,5.5,1.3,0.5,0.3,47.2
Extremadura ,100,52.7,10,2.7,1.1,0.8,32.6
Galicia ,100,51.4,7,1.5,0.5,0.3,39.4
Madrid (Comunidad de),100,39.6,5,1.4,0.5,0.5,53.1
Murcia (Región de),100,42.3,4.1,0.9,0.3,0.3,52.1
Navarra (Comunidad Foral de),100,60,8,1.3,0.7,0.7,29.3
País Vasco ,100,55.1,7.5,1.5,0.6,0.5,34.8
"Rioja, La",100,51.6,5.3,0.8,0.4,0.8,41.2
(1)  Datos obtenidos a partir del marco del que se extrae la muestra de la Encuesta. Dicho marco es una explotación específica de los ficheros de Cuentas de Cotización a la Seguridad Social en el último día de cada uno de los doce meses del Año 2023.,,,,,,,
(2) El porcentaje de temporalidad para cada empresa del marco se ha calculado como suma de trabajadores temporales en el último día de cada uno de los doce meses del año entre la suma del total trabajadores en el último día de cada uno de los doce meses del año.,,,,,,,
