ENCUESTA ANUAL LABORAL,,,,,,EAL
,,,,,,Volver al índice
"EAL-C1. EMPRESAS  Y TRABAJADORES SEGÚN SEXO, POR TAMAÑO DE LA EMPRESA, ACTIVIDAD ECONÓMICA Y COMUNIDAD AUTÓNOMA (1)",,,,,,
Año 2023,,,,,,
,TOTAL EMPRESAS,TOTAL TRABAJADORES,VARONES,MUJERES,DISTRIBUCIÓN PORCENTUAL,
,,,,,Varones,Mujeres
TOTAL,347044,10559679,6177558,4382121,58.5,41.5
TAMAÑO DE LA EMPRESA,,,,,,
De 5 a 9 trabajadores,176041,1142502,659462,483040,57.7,42.3
De 10 a 49 trabajadores,144840,2840761,1815606,1025155,63.9,36.1
De 50 a 249 trabajadores,21700,2167053,1361685,805368,62.8,37.2
De 250 a 499 trabajadores,2491,856636,494118,362518,57.7,42.3
Más de 499 trabajadores,1972,3552727,1846687,1706040,52,48
ACTIVIDAD ECONÓMICA,,,,,,
Industria,53139,2209595,1541640,667955,69.8,30.2
Construcción,44603,898194,734913,163281,81.8,18.2
Comercio y reparación de vehículos,81250,2177187,1102188,1074999,50.6,49.4
Transporte y almacenamiento,19688,705384,533461,171923,75.6,24.4
Hostelería,62597,1164613,533407,631206,45.8,54.2
"Información, comunicaciones, actividades financieras, de seguros e inmobiliarias",18200,934699,537999,396700,57.6,42.4
"Actividades profesionales, científicas y técnicas",26843,719123,353808,365315,49.2,50.8
Actividades administrativas y servicios auxiliares,19242,1238450,589298,649152,47.6,52.4
"Actividades artísticas, recreativas y de entretenimiento y otros servicios",21482,512434,250844,261590,49,51
COMUNIDAD AUTÓNOMA,,,,,,
Andalucía ,54560,1146136,707580,438556,61.7,38.3
Aragón ,9821,266871,171124,95747,64.1,35.9
Asturias (Principado de),6173,150009,92679,57330,61.8,38.2
Balears (Illes),11083,269788,154807,114981,57.4,42.6
Canarias ,16873,389404,222858,166546,57.2,42.8
Cantabria ,3898,88240,54045,34195,61.2,38.8
Castilla-La Mancha,12859,265530,177923,87607,67,33
Castilla y León,15060,335390,201231,134159,60,40
Cataluña ,65106,2098309,1176722,921587,56.1,43.9
Comunitat Valenciana ,39322,1058444,614990,443454,58.1,41.9
Extremadura ,6014,116388,72748,43640,62.5,37.5
Galicia ,18635,458925,252114,206811,54.9,45.1
Madrid (Comunidad de),52383,2913464,1641833,1271631,56.4,43.6
Murcia (Región de),11488,299917,186873,113044,62.3,37.7
Navarra (Comunidad Foral de),4755,145751,94616,51135,64.9,35.1
País Vasco ,16492,503897,321996,181901,63.9,36.1
"Rioja, La",2522,53216,33419,19797,62.8,37.2
(1) Datos obtenidos a partir del marco del que se extrae la muestra de la encuesta. Dicho marco es una explotación específica de los ficheros de Cuentas de Cotización a la Seguridad Social en el último día de cada uno de los doce meses del Año 2023.,,,,,,
Los datos de trabajadores de esta tabla se han calculado promediando los valores del último día de cada mes del Año 2023 en los que la empresa ha estado activa y sumando para todas las empresas del marco.,,,,,,
