anio,tabla,pregunta,dimension,ambito,total_empresas,total_trabajadores,varones,mujeres,distribucion_porcentual_varones,distribucion_porcentual_mujeres
2020,EAL-C1,"EMPRESAS Y TRABAJADORES SEGÚN SEXO, POR TAMAÑO DE LA EMPRESA, ACTIVIDAD ECONÓMICA Y COMUNIDAD AUTÓNOMA",COMUNIDAD AUTÓNOMA,Castilla-La Mancha,11282,220355,151493,68862,68.7,31.3
2020,EAL-C1,"EMPRESAS Y TRABAJADORES SEGÚN SEXO, POR TAMAÑO DE LA EMPRESA, ACTIVIDAD ECONÓMICA Y COMUNIDAD AUTÓNOMA",COMUNIDAD AUTÓNOMA,Castilla y León,13569,302494,186031,116463,61.5,38.5
2020,EAL-C1,"EMPRESAS Y TRABAJADORES SEGÚN SEXO, POR TAMAÑO DE LA EMPRESA, ACTIVIDAD ECONÓMICA Y COMUNIDAD AUTÓNOMA",COMUNIDAD AUTÓNOMA,Cataluña,59461,1811917,1030026,781891,56.8,43.2
2020,EAL-C1,"EMPRESAS Y TRABAJADORES SEGÚN SEXO, POR TAMAÑO DE LA EMPRESA, ACTIVIDAD ECONÓMICA Y COMUNIDAD AUTÓNOMA",COMUNIDAD AUTÓNOMA,Comunitat Valenciana,34678,890796,523644,367152,58.8,41.2
2020,EAL-C1,"EMPRESAS Y TRABAJADORES SEGÚN SEXO, POR TAMAÑO DE LA EMPRESA, ACTIVIDAD ECONÓMICA Y COMUNIDAD AUTÓNOMA",COMUNIDAD AUTÓNOMA,Extremadura,5224,91169,58133,33036,63.8,36.2
2020,EAL-C1,"EMPRESAS Y TRABAJADORES SEGÚN SEXO, POR TAMAÑO DE LA EMPRESA, ACTIVIDAD ECONÓMICA Y COMUNIDAD AUTÓNOMA",COMUNIDAD AUTÓNOMA,Galicia,16836,403976,228805,175171,56.6,43.4
2020,EAL-C1,"EMPRESAS Y TRABAJADORES SEGÚN SEXO, POR TAMAÑO DE LA EMPRESA, ACTIVIDAD ECONÓMICA Y COMUNIDAD AUTÓNOMA",COMUNIDAD AUTÓNOMA,Madrid (Comunidad de),46884,2520820,1434847,1085973,56.9,43.1
2020,EAL-C1,"EMPRESAS Y TRABAJADORES SEGÚN SEXO, POR TAMAÑO DE LA EMPRESA, ACTIVIDAD ECONÓMICA Y COMUNIDAD AUTÓNOMA",COMUNIDAD AUTÓNOMA,Murcia (Región de),9953,224376,144524,79852,64.4,35.6
2020,EAL-C1,"EMPRESAS Y TRABAJADORES SEGÚN SEXO, POR TAMAÑO DE LA EMPRESA, ACTIVIDAD ECONÓMICA Y COMUNIDAD AUTÓNOMA",COMUNIDAD AUTÓNOMA,Navarra (Comunidad Foral de),4306,129194,85270,43924,66,34
2020,EAL-C1,"EMPRESAS Y TRABAJADORES SEGÚN SEXO, POR TAMAÑO DE LA EMPRESA, ACTIVIDAD ECONÓMICA Y COMUNIDAD AUTÓNOMA",COMUNIDAD AUTÓNOMA,País Vasco,15449,470081,300978,169103,64,36
2020,EAL-C1,"EMPRESAS Y TRABAJADORES SEGÚN SEXO, POR TAMAÑO DE LA EMPRESA, ACTIVIDAD ECONÓMICA Y COMUNIDAD AUTÓNOMA",COMUNIDAD AUTÓNOMA,"Rioja, La",2307,46749,29832,16917,63.8,36.2
