anio,tabla,pregunta,dimension,ambito,total_empresas,total_trabajadores,varones,mujeres,distribucion_porcentual_varones,distribucion_porcentual_mujeres
2022,EAL-C1,"EMPRESAS Y TRABAJADORES SEGÚN SEXO, POR TAMAÑO DE LA EMPRESA, ACTIVIDAD ECONÓMICA Y COMUNIDAD AUTÓNOMA",COMUNIDAD AUTÓNOMA,Cataluña,63638,1992545,1124336,868209,56.4,43.6
2022,EAL-C1,"EMPRESAS Y TRABAJADORES SEGÚN SEXO, POR TAMAÑO DE LA EMPRESA, ACTIVIDAD ECONÓMICA Y COMUNIDAD AUTÓNOMA",COMUNIDAD AUTÓNOMA,Comunitat Valenciana,37786,1004077,586319,417758,58.4,41.6
2022,EAL-C1,"EMPRESAS Y TRABAJADORES SEGÚN SEXO, POR TAMAÑO DE LA EMPRESA, ACTIVIDAD ECONÓMICA Y COMUNIDAD AUTÓNOMA",COMUNIDAD AUTÓNOMA,Extremadura,5716,105304,66526,38778,63.2,36.8
2022,EAL-C1,"EMPRESAS Y TRABAJADORES SEGÚN SEXO, POR TAMAÑO DE LA EMPRESA, ACTIVIDAD ECONÓMICA Y COMUNIDAD AUTÓNOMA",COMUNIDAD AUTÓNOMA,Galicia,18071,436867,243494,193373,55.7,44.3
2022,EAL-C1,"EMPRESAS Y TRABAJADORES SEGÚN SEXO, POR TAMAÑO DE LA EMPRESA, ACTIVIDAD ECONÓMICA Y COMUNIDAD AUTÓNOMA",COMUNIDAD AUTÓNOMA,Madrid (Comunidad de),50740,2735417,1553099,1182318,56.8,43.2
2022,EAL-C1,"EMPRESAS Y TRABAJADORES SEGÚN SEXO, POR TAMAÑO DE LA EMPRESA, ACTIVIDAD ECONÓMICA Y COMUNIDAD AUTÓNOMA",COMUNIDAD AUTÓNOMA,Murcia (Región de),10865,252157,160167,91990,63.5,36.5
2022,EAL-C1,"EMPRESAS Y TRABAJADORES SEGÚN SEXO, POR TAMAÑO DE LA EMPRESA, ACTIVIDAD ECONÓMICA Y COMUNIDAD AUTÓNOMA",COMUNIDAD AUTÓNOMA,Navarra (Comunidad Foral de),4636,140080,91713,48367,65.5,34.5
2022,EAL-C1,"EMPRESAS Y TRABAJADORES SEGÚN SEXO, POR TAMAÑO DE LA EMPRESA, ACTIVIDAD ECONÓMICA Y COMUNIDAD AUTÓNOMA",COMUNIDAD AUTÓNOMA,País Vasco,16087,487729,313317,174412,64.2,35.8
2022,EAL-C1,"EMPRESAS Y TRABAJADORES SEGÚN SEXO, POR TAMAÑO DE LA EMPRESA, ACTIVIDAD ECONÓMICA Y COMUNIDAD AUTÓNOMA",COMUNIDAD AUTÓNOMA,"Rioja, La",2466,51297,32536,18761,63.4,36.6
2023,EAL-C1,"EMPRESAS Y TRABAJADORES SEGÚN SEXO, POR TAMAÑO DE LA EMPRESA, ACTIVIDAD ECONÓMICA Y COMUNIDAD AUTÓNOMA",TOTAL,ENCUESTA ANUAL LABORAL TOTAL,347044,10559679,6177558,4382121,58.5,41.5
2023,EAL-C1,"EMPRESAS Y TRABAJADORES SEGÚN SEXO, POR TAMAÑO DE LA EMPRESA, ACTIVIDAD ECONÓMICA Y COMUNIDAD AUTÓNOMA",TAMAÑO DE LA EMPRESA,De 5 a 9 trabajadores,176041,1142502,659462,483040,57.7,42.3
2023,EAL-C1,"EMPRESAS Y TRABAJADORES SEGÚN SEXO, POR TAMAÑO DE LA EMPRESA, ACTIVIDAD ECONÓMICA Y COMUNIDAD AUTÓNOMA",TAMAÑO DE LA EMPRESA,De 10 a 49 trabajadores,144840,2840761,1815606,1025155,63.9,36.1
2023,EAL-C1,"EMPRESAS Y TRABAJADORES SEGÚN SEXO, POR TAMAÑO DE LA EMPRESA, ACTIVIDAD ECONÓMICA Y COMUNIDAD AUTÓNOMA",TAMAÑO DE LA EMPRESA,De 50 a 249 trabajadores,21700,2167053,1361685,805368,62.8,37.2
2023,EAL-C1,"EMPRESAS Y TRABAJADORES SEGÚN SEXO, POR TAMAÑO DE LA EMPRESA, ACTIVIDAD ECONÓMICA Y COMUNIDAD AUTÓNOMA",TAMAÑO DE LA EMPRESA,De 250 a 499 trabajadores,2491,856636,494118,362518,57.7,42.3
2023,EAL-C1,"EMPRESAS Y TRABAJADORES SEGÚN SEXO, POR TAMAÑO DE LA EMPRESA, ACTIVIDAD ECONÓMICA Y COMUNIDAD AUTÓNOMA",TAMAÑO DE LA EMPRESA,Más de 499 trabajadores,1972,3552727,1846687,1706040,52,48
2023,EAL-C1,"EMPRESAS Y TRABAJADORES SEGÚN SEXO, POR TAMAÑO DE LA EMPRESA, ACTIVIDAD ECONÓMICA Y COMUNIDAD AUTÓNOMA",ACTIVIDAD ECONÓMICA,Industria,53139,2209595,1541640,667955,69.8,30.2
2023,EAL-C1,"EMPRESAS Y TRABAJADORES SEGÚN SEXO, POR TAMAÑO DE LA EMPRESA, ACTIVIDAD ECONÓMICA Y COMUNIDAD AUTÓNOMA",ACTIVIDAD ECONÓMICA,Construcción,44603,898194,734913,163281,81.8,18.2
2023,EAL-C1,"EMPRESAS Y TRABAJADORES SEGÚN SEXO, POR TAMAÑO DE LA EMPRESA, ACTIVIDAD ECONÓMICA Y COMUNIDAD AUTÓNOMA",ACTIVIDAD ECONÓMICA,Comercio y reparación de vehículos,81250,2177187,1102188,1074999,50.6,49.4
2023,EAL-C1,"EMPRESAS Y TRABAJADORES SEGÚN SEXO, POR TAMAÑO DE LA EMPRESA, ACTIVIDAD ECONÓMICA Y COMUNIDAD AUTÓNOMA",ACTIVIDAD ECONÓMICA,Transporte y almacenamiento,19688,705384,533461,171923,75.6,24.4
2023,EAL-C1,"EMPRESAS Y TRABAJADORES SEGÚN SEXO, POR TAMAÑO DE LA EMPRESA, ACTIVIDAD ECONÓMICA Y COMUNIDAD AUTÓNOMA",ACTIVIDAD ECONÓMICA,Hostelería,62597,1164613,533407,631206,45.8,54.2
2023,EAL-C1,"EMPRESAS Y TRABAJADORES SEGÚN SEXO, POR TAMAÑO DE LA EMPRESA, ACTIVIDAD ECONÓMICA Y COMUNIDAD AUTÓNOMA",ACTIVIDAD ECONÓMICA,"Información, comunicaciones, actividades financieras, de seguros e inmobiliarias",18200,934699,537999,396700,57.6,42.4
2023,EAL-C1,"EMPRESAS Y TRABAJADORES SEGÚN SEXO, POR TAMAÑO DE LA EMPRESA, ACTIVIDAD ECONÓMICA Y COMUNIDAD AUTÓNOMA",ACTIVIDAD ECONÓMICA,"Actividades profesionales, científicas y técnicas",26843,719123,353808,365315,49.2,50.8
2023,EAL-C1,"EMPRESAS Y TRABAJADORES SEGÚN SEXO, POR TAMAÑO DE LA EMPRESA, ACTIVIDAD ECONÓMICA Y COMUNIDAD AUTÓNOMA",ACTIVIDAD ECONÓMICA,Actividades administrativas y servicios auxiliares,19242,1238450,589298,649152,47.6,52.4
2023,EAL-C1,"EMPRESAS Y TRABAJADORES SEGÚN SEXO, POR TAMAÑO DE LA EMPRESA, ACTIVIDAD ECONÓMICA Y COMUNIDAD AUTÓNOMA",ACTIVIDAD ECONÓMICA,"Actividades artísticas, recreativas y de entretenimiento y otros servicios",21482,512434,250844,261590,49,51
2023,EAL-C1,"EMPRESAS Y TRABAJADORES SEGÚN SEXO, POR TAMAÑO DE LA EMPRESA, ACTIVIDAD ECONÓMICA Y COMUNIDAD AUTÓNOMA",COMUNIDAD AUTÓNOMA,Andalucía,54560,1146136,707580,438556,61.7,38.3
2023,EAL-C1,"EMPRESAS Y TRABAJADORES SEGÚN SEXO, POR TAMAÑO DE LA EMPRESA, ACTIVIDAD ECONÓMICA Y COMUNIDAD AUTÓNOMA",COMUNIDAD AUTÓNOMA,Aragón,9821,266871,171124,95747,64.1,35.9
2023,EAL-C1,"EMPRESAS Y TRABAJADORES SEGÚN SEXO, POR TAMAÑO DE LA EMPRESA, ACTIVIDAD ECONÓMICA Y COMUNIDAD AUTÓNOMA",COMUNIDAD AUTÓNOMA,Asturias (Principado de),6173,150009,92679,57330,61.8,38.2
2023,EAL-C1,"EMPRESAS Y TRABAJADORES SEGÚN SEXO, POR TAMAÑO DE LA EMPRESA, ACTIVIDAD ECONÓMICA Y COMUNIDAD AUTÓNOMA",COMUNIDAD AUTÓNOMA,Balears (Illes),11083,269788,154807,114981,57.4,42.6
2023,EAL-C1,"EMPRESAS Y TRABAJADORES SEGÚN SEXO, POR TAMAÑO DE LA EMPRESA, ACTIVIDAD ECONÓMICA Y COMUNIDAD AUTÓNOMA",COMUNIDAD AUTÓNOMA,Canarias,16873,389404,222858,166546,57.2,42.8
2023,EAL-C1,"EMPRESAS Y TRABAJADORES SEGÚN SEXO, POR TAMAÑO DE LA EMPRESA, ACTIVIDAD ECONÓMICA Y COMUNIDAD AUTÓNOMA",COMUNIDAD AUTÓNOMA,Cantabria,3898,88240,54045,34195,61.2,38.8
2023,EAL-C1,"EMPRESAS Y TRABAJADORES SEGÚN SEXO, POR TAMAÑO DE LA EMPRESA, ACTIVIDAD ECONÓMICA Y COMUNIDAD AUTÓNOMA",COMUNIDAD AUTÓNOMA,Castilla-La Mancha,12859,265530,177923,87607,67,33
2023,EAL-C1,"EMPRESAS Y TRABAJADORES SEGÚN SEXO, POR TAMAÑO DE LA EMPRESA, ACTIVIDAD ECONÓMICA Y COMUNIDAD AUTÓNOMA",COMUNIDAD AUTÓNOMA,Castilla y León,15060,335390,201231,134159,60,40
2023,EAL-C1,"EMPRESAS Y TRABAJADORES SEGÚN SEXO, POR TAMAÑO DE LA EMPRESA, ACTIVIDAD ECONÓMICA Y COMUNIDAD AUTÓNOMA",COMUNIDAD AUTÓNOMA,Cataluña,65106,2098309,1176722,921587,56.1,43.9
2023,EAL-C1,"EMPRESAS Y TRABAJADORES SEGÚN SEXO, POR TAMAÑO DE LA EMPRESA, ACTIVIDAD ECONÓMICA Y COMUNIDAD AUTÓNOMA",COMUNIDAD AUTÓNOMA,Comunitat Valenciana,39322,1058444,614990,443454,58.1,41.9
2023,EAL-C1,"EMPRESAS Y TRABAJADORES SEGÚN SEXO, POR TAMAÑO DE LA EMPRESA, ACTIVIDAD ECONÓMICA Y COMUNIDAD AUTÓNOMA",COMUNIDAD AUTÓNOMA,Extremadura,6014,116388,72748,43640,62.5,37.5
2023,EAL-C1,"EMPRESAS Y TRABAJADORES SEGÚN SEXO, POR TAMAÑO DE LA EMPRESA, ACTIVIDAD ECONÓMICA Y COMUNIDAD AUTÓNOMA",COMUNIDAD AUTÓNOMA,Galicia,18635,458925,252114,206811,54.9,45.1
2023,EAL-C1,"EMPRESAS Y TRABAJADORES SEGÚN SEXO, POR TAMAÑO DE LA EMPRESA, ACTIVIDAD ECONÓMICA Y COMUNIDAD AUTÓNOMA",COMUNIDAD AUTÓNOMA,Madrid (Comunidad de),52383,2913464,1641833,1271631,56.4,43.6
2023,EAL-C1,"EMPRESAS Y TRABAJADORES SEGÚN SEXO, POR TAMAÑO DE LA EMPRESA, ACTIVIDAD ECONÓMICA Y COMUNIDAD AUTÓNOMA",COMUNIDAD AUTÓNOMA,Murcia (Región de),11488,299917,186873,113044,62.3,37.7
2023,EAL-C1,"EMPRESAS Y TRABAJADORES SEGÚN SEXO, POR TAMAÑO DE LA EMPRESA, ACTIVIDAD ECONÓMICA Y COMUNIDAD AUTÓNOMA",COMUNIDAD AUTÓNOMA,Navarra (Comunidad Foral de),4755,145751,94616,51135,64.9,35.1
2023,EAL-C1,"EMPRESAS Y TRABAJADORES SEGÚN SEXO, POR TAMAÑO DE LA EMPRESA, ACTIVIDAD ECONÓMICA Y COMUNIDAD AUTÓNOMA",COMUNIDAD AUTÓNOMA,País Vasco,16492,503897,321996,181901,63.9,36.1
2023,EAL-C1,"EMPRESAS Y TRABAJADORES SEGÚN SEXO, POR TAMAÑO DE LA EMPRESA, ACTIVIDAD ECONÓMICA Y COMUNIDAD AUTÓNOMA",COMUNIDAD AUTÓNOMA,"Rioja, La",2522,53216,33419,19797,62.8,37.2
2024,EAL-C1,"EMPRESAS Y TRABAJADORES SEGÚN SEXO POR TAMAÑO DE LA EMPRESA, ACTIVIDAD ECONÓMICA Y COMUNIDAD AUTÓNOMA",TOTAL,ENCUESTA ANUAL LABORAL TOTAL,352936,10932782,6370693,4562089,58.3,41.7
2024,EAL-C1,"EMPRESAS Y TRABAJADORES SEGÚN SEXO POR TAMAÑO DE LA EMPRESA, ACTIVIDAD ECONÓMICA Y COMUNIDAD AUTÓNOMA",TAMAÑO DE LA EMPRESA,De 5 a 9 trabajadores,177523,1152611,659562,493049,57.2,42.8
2024,EAL-C1,"EMPRESAS Y TRABAJADORES SEGÚN SEXO POR TAMAÑO DE LA EMPRESA, ACTIVIDAD ECONÓMICA Y COMUNIDAD AUTÓNOMA",TAMAÑO DE LA EMPRESA,De 10 a 49 trabajadores,148531,2922930,1858509,1064421,63.6,36.4
2024,EAL-C1,"EMPRESAS Y TRABAJADORES SEGÚN SEXO POR TAMAÑO DE LA EMPRESA, ACTIVIDAD ECONÓMICA Y COMUNIDAD AUTÓNOMA",TAMAÑO DE LA EMPRESA,De 50 a 249 trabajadores,22211,2229934,1398770,831164,62.7,37.3
2024,EAL-C1,"EMPRESAS Y TRABAJADORES SEGÚN SEXO POR TAMAÑO DE LA EMPRESA, ACTIVIDAD ECONÓMICA Y COMUNIDAD AUTÓNOMA",TAMAÑO DE LA EMPRESA,De 250 a 499 trabajadores,2601,896026,518238,377788,57.8,42.2
2024,EAL-C1,"EMPRESAS Y TRABAJADORES SEGÚN SEXO POR TAMAÑO DE LA EMPRESA, ACTIVIDAD ECONÓMICA Y COMUNIDAD AUTÓNOMA",TAMAÑO DE LA EMPRESA,Más de 499 trabajadores,2070,3731281,1935614,1795667,51.9,48.1
2024,EAL-C1,"EMPRESAS Y TRABAJADORES SEGÚN SEXO POR TAMAÑO DE LA EMPRESA, ACTIVIDAD ECONÓMICA Y COMUNIDAD AUTÓNOMA",ACTIVIDAD ECONÓMICA,Industria,52920,2208897,1555762,653135,70.4,29.6
2024,EAL-C1,"EMPRESAS Y TRABAJADORES SEGÚN SEXO POR TAMAÑO DE LA EMPRESA, ACTIVIDAD ECONÓMICA Y COMUNIDAD AUTÓNOMA",ACTIVIDAD ECONÓMICA,Construcción,44962,923622,755620,168002,81.8,18.2
2024,EAL-C1,"EMPRESAS Y TRABAJADORES SEGÚN SEXO POR TAMAÑO DE LA EMPRESA, ACTIVIDAD ECONÓMICA Y COMUNIDAD AUTÓNOMA",ACTIVIDAD ECONÓMICA,Comercio y reparación de vehículos,81943,2243843,1129605,1114238,50.3,49.7
2024,EAL-C1,"EMPRESAS Y TRABAJADORES SEGÚN SEXO POR TAMAÑO DE LA EMPRESA, ACTIVIDAD ECONÓMICA Y COMUNIDAD AUTÓNOMA",ACTIVIDAD ECONÓMICA,Transporte y almacenamiento,19736,746918,561512,185406,75.2,24.8
2024,EAL-C1,"EMPRESAS Y TRABAJADORES SEGÚN SEXO POR TAMAÑO DE LA EMPRESA, ACTIVIDAD ECONÓMICA Y COMUNIDAD AUTÓNOMA",ACTIVIDAD ECONÓMICA,Hostelería,65382,1234682,561053,673629,45.4,54.6
2024,EAL-C1,"EMPRESAS Y TRABAJADORES SEGÚN SEXO POR TAMAÑO DE LA EMPRESA, ACTIVIDAD ECONÓMICA Y COMUNIDAD AUTÓNOMA",ACTIVIDAD ECONÓMICA,"Información, comunicaciones, actividades financieras, de seguros e inmobiliarias",18673,969344,558859,410485,57.7,42.3
2024,EAL-C1,"EMPRESAS Y TRABAJADORES SEGÚN SEXO POR TAMAÑO DE LA EMPRESA, ACTIVIDAD ECONÓMICA Y COMUNIDAD AUTÓNOMA",ACTIVIDAD ECONÓMICA,"Actividades profesionales, científicas y técnicas",27570,751802,369618,382184,49.2,50.8
2024,EAL-C1,"EMPRESAS Y TRABAJADORES SEGÚN SEXO POR TAMAÑO DE LA EMPRESA, ACTIVIDAD ECONÓMICA Y COMUNIDAD AUTÓNOMA",ACTIVIDAD ECONÓMICA,Actividades administrativas y servicios auxiliares,19702,1309813,612262,697551,46.7,53.3
2024,EAL-C1,"EMPRESAS Y TRABAJADORES SEGÚN SEXO POR TAMAÑO DE LA EMPRESA, ACTIVIDAD ECONÓMICA Y COMUNIDAD AUTÓNOMA",ACTIVIDAD ECONÓMICA,"Actividades artísticas, recreativas y de entretenimiento y otros servicios",22048,543861,266402,277459,49,51
2024,EAL-C1,"EMPRESAS Y TRABAJADORES SEGÚN SEXO POR TAMAÑO DE LA EMPRESA, ACTIVIDAD ECONÓMICA Y COMUNIDAD AUTÓNOMA",COMUNIDAD AUTÓNOMA,Andalucía,55767,1207857,730079,477778,60.4,39.6
2024,EAL-C1,"EMPRESAS Y TRABAJADORES SEGÚN SEXO POR TAMAÑO DE LA EMPRESA, ACTIVIDAD ECONÓMICA Y COMUNIDAD AUTÓNOMA",COMUNIDAD AUTÓNOMA,Aragón,9927,275939,176380,99559,63.9,36.1
2024,EAL-C1,"EMPRESAS Y TRABAJADORES SEGÚN SEXO POR TAMAÑO DE LA EMPRESA, ACTIVIDAD ECONÓMICA Y COMUNIDAD AUTÓNOMA",COMUNIDAD AUTÓNOMA,Asturias (Principado de),6344,155534,95234,60300,61.2,38.8
2024,EAL-C1,"EMPRESAS Y TRABAJADORES SEGÚN SEXO POR TAMAÑO DE LA EMPRESA, ACTIVIDAD ECONÓMICA Y COMUNIDAD AUTÓNOMA",COMUNIDAD AUTÓNOMA,Balears (Illes),11335,283192,161889,121303,57.2,42.8
2024,EAL-C1,"EMPRESAS Y TRABAJADORES SEGÚN SEXO POR TAMAÑO DE LA EMPRESA, ACTIVIDAD ECONÓMICA Y COMUNIDAD AUTÓNOMA",COMUNIDAD AUTÓNOMA,Canarias,17208,406943,231471,175472,56.9,43.1
2024,EAL-C1,"EMPRESAS Y TRABAJADORES SEGÚN SEXO POR TAMAÑO DE LA EMPRESA, ACTIVIDAD ECONÓMICA Y COMUNIDAD AUTÓNOMA",COMUNIDAD AUTÓNOMA,Cantabria,3955,90595,54892,35703,60.6,39.4
2024,EAL-C1,"EMPRESAS Y TRABAJADORES SEGÚN SEXO POR TAMAÑO DE LA EMPRESA, ACTIVIDAD ECONÓMICA Y COMUNIDAD AUTÓNOMA",COMUNIDAD AUTÓNOMA,Castilla-La Mancha,12965,275437,184065,91372,66.8,33.2
2024,EAL-C1,"EMPRESAS Y TRABAJADORES SEGÚN SEXO POR TAMAÑO DE LA EMPRESA, ACTIVIDAD ECONÓMICA Y COMUNIDAD AUTÓNOMA",COMUNIDAD AUTÓNOMA,Castilla y León,15319,349344,206922,142422,59.2,40.8
2024,EAL-C1,"EMPRESAS Y TRABAJADORES SEGÚN SEXO POR TAMAÑO DE LA EMPRESA, ACTIVIDAD ECONÓMICA Y COMUNIDAD AUTÓNOMA",COMUNIDAD AUTÓNOMA,Cataluña,65954,2173558,1215919,957639,55.9,44.1
2024,EAL-C1,"EMPRESAS Y TRABAJADORES SEGÚN SEXO POR TAMAÑO DE LA EMPRESA, ACTIVIDAD ECONÓMICA Y COMUNIDAD AUTÓNOMA",COMUNIDAD AUTÓNOMA,Comunitat Valenciana,39969,1094404,631742,462662,57.7,42.3
2024,EAL-C1,"EMPRESAS Y TRABAJADORES SEGÚN SEXO POR TAMAÑO DE LA EMPRESA, ACTIVIDAD ECONÓMICA Y COMUNIDAD AUTÓNOMA",COMUNIDAD AUTÓNOMA,Extremadura,6091,113688,73544,40144,64.7,35.3
2024,EAL-C1,"EMPRESAS Y TRABAJADORES SEGÚN SEXO POR TAMAÑO DE LA EMPRESA, ACTIVIDAD ECONÓMICA Y COMUNIDAD AUTÓNOMA",COMUNIDAD AUTÓNOMA,Galicia,18809,472826,259416,213410,54.9,45.1
2024,EAL-C1,"EMPRESAS Y TRABAJADORES SEGÚN SEXO POR TAMAÑO DE LA EMPRESA, ACTIVIDAD ECONÓMICA Y COMUNIDAD AUTÓNOMA",COMUNIDAD AUTÓNOMA,Madrid (Comunidad de),53753,3006810,1700768,1306042,56.6,43.4
2024,EAL-C1,"EMPRESAS Y TRABAJADORES SEGÚN SEXO POR TAMAÑO DE LA EMPRESA, ACTIVIDAD ECONÓMICA Y COMUNIDAD AUTÓNOMA",COMUNIDAD AUTÓNOMA,Murcia (Región de),11568,303487,187318,116169,61.7,38.3
2024,EAL-C1,"EMPRESAS Y TRABAJADORES SEGÚN SEXO POR TAMAÑO DE LA EMPRESA, ACTIVIDAD ECONÓMICA Y COMUNIDAD AUTÓNOMA",COMUNIDAD AUTÓNOMA,Navarra (Comunidad Foral de),4757,150155,96919,53236,64.5,35.5
2024,EAL-C1,"EMPRESAS Y TRABAJADORES SEGÚN SEXO POR TAMAÑO DE LA EMPRESA, ACTIVIDAD ECONÓMICA Y COMUNIDAD AUTÓNOMA",COMUNIDAD AUTÓNOMA,País Vasco,16669,518373,330174,188199,63.7,36.3
2024,EAL-C1,"EMPRESAS Y TRABAJADORES SEGÚN SEXO POR TAMAÑO DE LA EMPRESA, ACTIVIDAD ECONÓMICA Y COMUNIDAD AUTÓNOMA",COMUNIDAD AUTÓNOMA,"Rioja, La",2546,54640,33961,20679,62.2,37.8
