Totales Territoriales,Comunidades y Ciudades Autónomas,Provincias,Viajeros y pernoctaciones,Residencia: Nivel 2,Periodo,Total,cod_comunidad,nombre_comunidad,cod_provincia,nombre_provincia,año,mes
Total Nacional,05 Canarias,,Pernoctaciones,,2024M10,6440956,05,Canarias,,,2024,10
Total Nacional,05 Canarias,,Pernoctaciones,,2024M09,5974213,05,Canarias,,,2024,9
Total Nacional,05 Canarias,,Pernoctaciones,,2024M08,6875312,05,Canarias,,,2024,8
Total Nacional,05 Canarias,,Pernoctaciones,,2024M07,6394760,05,Canarias,,,2024,7
Total Nacional,05 Canarias,,Pernoctaciones,,2024M06,5694371,05,Canarias,,,2024,6
Total Nacional,05 Canarias,,Pernoctaciones,,2024M05,5419971,05,Canarias,,,2024,5
Total Nacional,05 Canarias,,Pernoctaciones,,2024M04,5589807,05,Canarias,,,2024,4
Total Nacional,05 Canarias,,Pernoctaciones,,2024M03,6382046,05,Canarias,,,2024,3
Total Nacional,05 Canarias,,Pernoctaciones,,2024M02,5955648,05,Canarias,,,2024,2
Total Nacional,05 Canarias,,Pernoctaciones,,2024M01,6128443,05,Canarias,,,2024,1
Total Nacional,05 Canarias,,Pernoctaciones,,2023M12,5827194,05,Canarias,,,2023,12
Total Nacional,05 Canarias,,Pernoctaciones,,2023M11,5940879,05,Canarias,,,2023,11
Total Nacional,05 Canarias,,Pernoctaciones,,2023M10,6196320,05,Canarias,,,2023,10
Total Nacional,05 Canarias,,Pernoctaciones,,2023M09,5848227,05,Canarias,,,2023,9
Total Nacional,05 Canarias,,Pernoctaciones,,2023M08,6528461,05,Canarias,,,2023,8
Total Nacional,05 Canarias,,Pernoctaciones,,2023M07,6291686,05,Canarias,,,2023,7
Total Nacional,05 Canarias,,Pernoctaciones,,2023M06,5445601,05,Canarias,,,2023,6
Total Nacional,05 Canarias,,Pernoctaciones,,2023M05,5146775,05,Canarias,,,2023,5
Total Nacional,05 Canarias,,Pernoctaciones,,2023M04,5539132,05,Canarias,,,2023,4
Total Nacional,05 Canarias,,Pernoctaciones,,2023M03,5800802,05,Canarias,,,2023,3
Total Nacional,05 Canarias,,Pernoctaciones,,2023M02,5483287,05,Canarias,,,2023,2
Total Nacional,05 Canarias,,Pernoctaciones,,2023M01,5705808,05,Canarias,,,2023,1
Total Nacional,05 Canarias,,Pernoctaciones,,2022M12,5619237,05,Canarias,,,2022,12
Total Nacional,05 Canarias,,Pernoctaciones,,2022M11,5524185,05,Canarias,,,2022,11
Total Nacional,05 Canarias,,Pernoctaciones,,2022M10,5895262,05,Canarias,,,2022,10
Total Nacional,05 Canarias,,Pernoctaciones,,2022M09,5601930,05,Canarias,,,2022,9
Total Nacional,05 Canarias,,Pernoctaciones,,2022M08,6745851,05,Canarias,,,2022,8
Total Nacional,05 Canarias,,Pernoctaciones,,2022M07,6135261,05,Canarias,,,2022,7
Total Nacional,05 Canarias,,Pernoctaciones,,2022M06,5247608,05,Canarias,,,2022,6
Total Nacional,05 Canarias,,Pernoctaciones,,2022M05,4864172,05,Canarias,,,2022,5
Total Nacional,05 Canarias,,Pernoctaciones,,2022M04,5354728,05,Canarias,,,2022,4
Total Nacional,05 Canarias,,Pernoctaciones,,2022M03,5313518,05,Canarias,,,2022,3
Total Nacional,05 Canarias,,Pernoctaciones,,2022M02,4309818,05,Canarias,,,2022,2
Total Nacional,05 Canarias,,Pernoctaciones,,2022M01,3852818,05,Canarias,,,2022,1
Total Nacional,05 Canarias,,Pernoctaciones,,2021M12,4400112,05,Canarias,,,2021,12
Total Nacional,05 Canarias,,Pernoctaciones,,2021M11,5014821,05,Canarias,,,2021,11
Total Nacional,05 Canarias,,Pernoctaciones,,2021M10,5086242,05,Canarias,,,2021,10
Total Nacional,05 Canarias,,Pernoctaciones,,2021M09,4070808,05,Canarias,,,2021,9
Total Nacional,05 Canarias,,Pernoctaciones,,2021M08,4405191,05,Canarias,,,2021,8
Total Nacional,05 Canarias,,Pernoctaciones,,2021M07,2910469,05,Canarias,,,2021,7
Total Nacional,05 Canarias,,Pernoctaciones,,2021M06,1454196,05,Canarias,,,2021,6
Total Nacional,05 Canarias,,Pernoctaciones,,2021M05,857369,05,Canarias,,,2021,5
Total Nacional,05 Canarias,,Pernoctaciones,,2021M04,618665,05,Canarias,,,2021,4
Total Nacional,05 Canarias,,Pernoctaciones,,2021M03,530590,05,Canarias,,,2021,3
Total Nacional,05 Canarias,,Pernoctaciones,,2021M02,369907,05,Canarias,,,2021,2
Total Nacional,05 Canarias,,Pernoctaciones,,2021M01,442191,05,Canarias,,,2021,1
Total Nacional,05 Canarias,,Pernoctaciones,Residentes en España,2025M12,529981,05,Canarias,,,2025,12
Total Nacional,05 Canarias,,Pernoctaciones,Residentes en España,2025M11,539222,05,Canarias,,,2025,11
Total Nacional,05 Canarias,,Pernoctaciones,Residentes en España,2025M10,690900,05,Canarias,,,2025,10
Total Nacional,05 Canarias,,Pernoctaciones,Residentes en España,2025M09,919464,05,Canarias,,,2025,9
Total Nacional,05 Canarias,,Pernoctaciones,Residentes en España,2025M08,1481718,05,Canarias,,,2025,8
Total Nacional,05 Canarias,,Pernoctaciones,Residentes en España,2025M07,1172408,05,Canarias,,,2025,7
Total Nacional,05 Canarias,,Pernoctaciones,Residentes en España,2025M06,894049,05,Canarias,,,2025,6
Total Nacional,05 Canarias,,Pernoctaciones,Residentes en España,2025M05,843547,05,Canarias,,,2025,5
Total Nacional,05 Canarias,,Pernoctaciones,Residentes en España,2025M04,679776,05,Canarias,,,2025,4
Total Nacional,05 Canarias,,Pernoctaciones,Residentes en España,2025M03,535971,05,Canarias,,,2025,3
Total Nacional,05 Canarias,,Pernoctaciones,Residentes en España,2025M02,423759,05,Canarias,,,2025,2
Total Nacional,05 Canarias,,Pernoctaciones,Residentes en España,2025M01,499915,05,Canarias,,,2025,1
Total Nacional,05 Canarias,,Pernoctaciones,Residentes en España,2024M12,614159,05,Canarias,,,2024,12
Total Nacional,05 Canarias,,Pernoctaciones,Residentes en España,2024M11,548693,05,Canarias,,,2024,11
Total Nacional,05 Canarias,,Pernoctaciones,Residentes en España,2024M10,759636,05,Canarias,,,2024,10
Total Nacional,05 Canarias,,Pernoctaciones,Residentes en España,2024M09,980202,05,Canarias,,,2024,9
Total Nacional,05 Canarias,,Pernoctaciones,Residentes en España,2024M08,1368540,05,Canarias,,,2024,8
Total Nacional,05 Canarias,,Pernoctaciones,Residentes en España,2024M07,1112345,05,Canarias,,,2024,7
Total Nacional,05 Canarias,,Pernoctaciones,Residentes en España,2024M06,926379,05,Canarias,,,2024,6
Total Nacional,05 Canarias,,Pernoctaciones,Residentes en España,2024M05,771235,05,Canarias,,,2024,5
Total Nacional,05 Canarias,,Pernoctaciones,Residentes en España,2024M04,579991,05,Canarias,,,2024,4
Total Nacional,05 Canarias,,Pernoctaciones,Residentes en España,2024M03,572800,05,Canarias,,,2024,3
Total Nacional,05 Canarias,,Pernoctaciones,Residentes en España,2024M02,470284,05,Canarias,,,2024,2
Total Nacional,05 Canarias,,Pernoctaciones,Residentes en España,2024M01,557008,05,Canarias,,,2024,1
Total Nacional,05 Canarias,,Pernoctaciones,Residentes en España,2023M12,582647,05,Canarias,,,2023,12
Total Nacional,05 Canarias,,Pernoctaciones,Residentes en España,2023M11,501620,05,Canarias,,,2023,11
Total Nacional,05 Canarias,,Pernoctaciones,Residentes en España,2023M10,726785,05,Canarias,,,2023,10
Total Nacional,05 Canarias,,Pernoctaciones,Residentes en España,2023M09,927473,05,Canarias,,,2023,9
Total Nacional,05 Canarias,,Pernoctaciones,Residentes en España,2023M08,1327435,05,Canarias,,,2023,8
Total Nacional,05 Canarias,,Pernoctaciones,Residentes en España,2023M07,1147950,05,Canarias,,,2023,7
Total Nacional,05 Canarias,,Pernoctaciones,Residentes en España,2023M06,865338,05,Canarias,,,2023,6
Total Nacional,05 Canarias,,Pernoctaciones,Residentes en España,2023M05,721934,05,Canarias,,,2023,5
Total Nacional,05 Canarias,,Pernoctaciones,Residentes en España,2023M04,762520,05,Canarias,,,2023,4
Total Nacional,05 Canarias,,Pernoctaciones,Residentes en España,2023M03,539108,05,Canarias,,,2023,3
Total Nacional,05 Canarias,,Pernoctaciones,Residentes en España,2023M02,466900,05,Canarias,,,2023,2
Total Nacional,05 Canarias,,Pernoctaciones,Residentes en España,2023M01,550612,05,Canarias,,,2023,1
Total Nacional,05 Canarias,,Pernoctaciones,Residentes en España,2022M12,613415,05,Canarias,,,2022,12
Total Nacional,05 Canarias,,Pernoctaciones,Residentes en España,2022M11,553564,05,Canarias,,,2022,11
Total Nacional,05 Canarias,,Pernoctaciones,Residentes en España,2022M10,756132,05,Canarias,,,2022,10
Total Nacional,05 Canarias,,Pernoctaciones,Residentes en España,2022M09,981835,05,Canarias,,,2022,9
Total Nacional,05 Canarias,,Pernoctaciones,Residentes en España,2022M08,1428336,05,Canarias,,,2022,8
Total Nacional,05 Canarias,,Pernoctaciones,Residentes en España,2022M07,1175547,05,Canarias,,,2022,7
Total Nacional,05 Canarias,,Pernoctaciones,Residentes en España,2022M06,908654,05,Canarias,,,2022,6
Total Nacional,05 Canarias,,Pernoctaciones,Residentes en España,2022M05,781732,05,Canarias,,,2022,5
Total Nacional,05 Canarias,,Pernoctaciones,Residentes en España,2022M04,717178,05,Canarias,,,2022,4
Total Nacional,05 Canarias,,Pernoctaciones,Residentes en España,2022M03,520639,05,Canarias,,,2022,3
Total Nacional,05 Canarias,,Pernoctaciones,Residentes en España,2022M02,440448,05,Canarias,,,2022,2
Total Nacional,05 Canarias,,Pernoctaciones,Residentes en España,2022M01,399018,05,Canarias,,,2022,1
Total Nacional,05 Canarias,,Pernoctaciones,Residentes en España,2021M12,571832,05,Canarias,,,2021,12
Total Nacional,05 Canarias,,Pernoctaciones,Residentes en España,2021M11,487491,05,Canarias,,,2021,11
Total Nacional,05 Canarias,,Pernoctaciones,Residentes en España,2021M10,720711,05,Canarias,,,2021,10
Total Nacional,05 Canarias,,Pernoctaciones,Residentes en España,2021M09,958764,05,Canarias,,,2021,9
Total Nacional,05 Canarias,,Pernoctaciones,Residentes en España,2021M08,1544680,05,Canarias,,,2021,8
Total Nacional,05 Canarias,,Pernoctaciones,Residentes en España,2021M07,1040041,05,Canarias,,,2021,7
Total Nacional,05 Canarias,,Pernoctaciones,Residentes en España,2021M06,534116,05,Canarias,,,2021,6
Total Nacional,05 Canarias,,Pernoctaciones,Residentes en España,2021M05,324304,05,Canarias,,,2021,5
Total Nacional,05 Canarias,,Pernoctaciones,Residentes en España,2021M04,227687,05,Canarias,,,2021,4
Total Nacional,05 Canarias,,Pernoctaciones,Residentes en España,2021M03,194863,05,Canarias,,,2021,3
Total Nacional,05 Canarias,,Pernoctaciones,Residentes en España,2021M02,134285,05,Canarias,,,2021,2
Total Nacional,05 Canarias,,Pernoctaciones,Residentes en España,2021M01,115892,05,Canarias,,,2021,1
Total Nacional,05 Canarias,,Pernoctaciones,Residentes en el Extranjero,2025M12,5342723,05,Canarias,,,2025,12
Total Nacional,05 Canarias,,Pernoctaciones,Residentes en el Extranjero,2025M11,5438988,05,Canarias,,,2025,11
Total Nacional,05 Canarias,,Pernoctaciones,Residentes en el Extranjero,2025M10,5705027,05,Canarias,,,2025,10
Total Nacional,05 Canarias,,Pernoctaciones,Residentes en el Extranjero,2025M09,4909063,05,Canarias,,,2025,9
Total Nacional,05 Canarias,,Pernoctaciones,Residentes en el Extranjero,2025M08,5595201,05,Canarias,,,2025,8
Total Nacional,05 Canarias,,Pernoctaciones,Residentes en el Extranjero,2025M07,5380218,05,Canarias,,,2025,7
Total Nacional,05 Canarias,,Pernoctaciones,Residentes en el Extranjero,2025M06,4779285,05,Canarias,,,2025,6
Total Nacional,05 Canarias,,Pernoctaciones,Residentes en el Extranjero,2025M05,4500856,05,Canarias,,,2025,5
Total Nacional,05 Canarias,,Pernoctaciones,Residentes en el Extranjero,2025M04,5069949,05,Canarias,,,2025,4
Total Nacional,05 Canarias,,Pernoctaciones,Residentes en el Extranjero,2025M03,5610765,05,Canarias,,,2025,3
Total Nacional,05 Canarias,,Pernoctaciones,Residentes en el Extranjero,2025M02,5527595,05,Canarias,,,2025,2
Total Nacional,05 Canarias,,Pernoctaciones,Residentes en el Extranjero,2025M01,5748996,05,Canarias,,,2025,1
Total Nacional,05 Canarias,,Pernoctaciones,Residentes en el Extranjero,2024M12,5351841,05,Canarias,,,2024,12
Total Nacional,05 Canarias,,Pernoctaciones,Residentes en el Extranjero,2024M11,5524287,05,Canarias,,,2024,11
Total Nacional,05 Canarias,,Pernoctaciones,Residentes en el Extranjero,2024M10,5681320,05,Canarias,,,2024,10
Total Nacional,05 Canarias,,Pernoctaciones,Residentes en el Extranjero,2024M09,4994011,05,Canarias,,,2024,9
Total Nacional,05 Canarias,,Pernoctaciones,Residentes en el Extranjero,2024M08,5506772,05,Canarias,,,2024,8
Total Nacional,05 Canarias,,Pernoctaciones,Residentes en el Extranjero,2024M07,5282415,05,Canarias,,,2024,7
Total Nacional,05 Canarias,,Pernoctaciones,Residentes en el Extranjero,2024M06,4767991,05,Canarias,,,2024,6
Total Nacional,05 Canarias,,Pernoctaciones,Residentes en el Extranjero,2024M05,4648736,05,Canarias,,,2024,5
Total Nacional,05 Canarias,,Pernoctaciones,Residentes en el Extranjero,2024M04,5009817,05,Canarias,,,2024,4
Total Nacional,05 Canarias,,Pernoctaciones,Residentes en el Extranjero,2024M03,5809246,05,Canarias,,,2024,3
Total Nacional,05 Canarias,,Pernoctaciones,Residentes en el Extranjero,2024M02,5485364,05,Canarias,,,2024,2
Total Nacional,05 Canarias,,Pernoctaciones,Residentes en el Extranjero,2024M01,5571435,05,Canarias,,,2024,1
Total Nacional,05 Canarias,,Pernoctaciones,Residentes en el Extranjero,2023M12,5244547,05,Canarias,,,2023,12
Total Nacional,05 Canarias,,Pernoctaciones,Residentes en el Extranjero,2023M11,5439259,05,Canarias,,,2023,11
Total Nacional,05 Canarias,,Pernoctaciones,Residentes en el Extranjero,2023M10,5469535,05,Canarias,,,2023,10
Total Nacional,05 Canarias,,Pernoctaciones,Residentes en el Extranjero,2023M09,4920754,05,Canarias,,,2023,9
Total Nacional,05 Canarias,,Pernoctaciones,Residentes en el Extranjero,2023M08,5201026,05,Canarias,,,2023,8
Total Nacional,05 Canarias,,Pernoctaciones,Residentes en el Extranjero,2023M07,5143737,05,Canarias,,,2023,7
Total Nacional,05 Canarias,,Pernoctaciones,Residentes en el Extranjero,2023M06,4580264,05,Canarias,,,2023,6
Total Nacional,05 Canarias,,Pernoctaciones,Residentes en el Extranjero,2023M05,4424842,05,Canarias,,,2023,5
Total Nacional,05 Canarias,,Pernoctaciones,Residentes en el Extranjero,2023M04,4776612,05,Canarias,,,2023,4
Total Nacional,05 Canarias,,Pernoctaciones,Residentes en el Extranjero,2023M03,5261695,05,Canarias,,,2023,3
Total Nacional,05 Canarias,,Pernoctaciones,Residentes en el Extranjero,2023M02,5016387,05,Canarias,,,2023,2
Total Nacional,05 Canarias,,Pernoctaciones,Residentes en el Extranjero,2023M01,5155197,05,Canarias,,,2023,1
Total Nacional,05 Canarias,,Pernoctaciones,Residentes en el Extranjero,2022M12,5005822,05,Canarias,,,2022,12
Total Nacional,05 Canarias,,Pernoctaciones,Residentes en el Extranjero,2022M11,4970621,05,Canarias,,,2022,11
Total Nacional,05 Canarias,,Pernoctaciones,Residentes en el Extranjero,2022M10,5139130,05,Canarias,,,2022,10
Total Nacional,05 Canarias,,Pernoctaciones,Residentes en el Extranjero,2022M09,4620095,05,Canarias,,,2022,9
Total Nacional,05 Canarias,,Pernoctaciones,Residentes en el Extranjero,2022M08,5317515,05,Canarias,,,2022,8
Total Nacional,05 Canarias,,Pernoctaciones,Residentes en el Extranjero,2022M07,4959713,05,Canarias,,,2022,7
Total Nacional,05 Canarias,,Pernoctaciones,Residentes en el Extranjero,2022M06,4338953,05,Canarias,,,2022,6
Total Nacional,05 Canarias,,Pernoctaciones,Residentes en el Extranjero,2022M05,4082440,05,Canarias,,,2022,5
Total Nacional,05 Canarias,,Pernoctaciones,Residentes en el Extranjero,2022M04,4637550,05,Canarias,,,2022,4
Total Nacional,05 Canarias,,Pernoctaciones,Residentes en el Extranjero,2022M03,4792878,05,Canarias,,,2022,3
Total Nacional,05 Canarias,,Pernoctaciones,Residentes en el Extranjero,2022M02,3869370,05,Canarias,,,2022,2
Total Nacional,05 Canarias,,Pernoctaciones,Residentes en el Extranjero,2022M01,3453800,05,Canarias,,,2022,1
Total Nacional,05 Canarias,,Pernoctaciones,Residentes en el Extranjero,2021M12,3828281,05,Canarias,,,2021,12
Total Nacional,05 Canarias,,Pernoctaciones,Residentes en el Extranjero,2021M11,4527330,05,Canarias,,,2021,11
Total Nacional,05 Canarias,,Pernoctaciones,Residentes en el Extranjero,2021M10,4365531,05,Canarias,,,2021,10
Total Nacional,05 Canarias,,Pernoctaciones,Residentes en el Extranjero,2021M09,3112044,05,Canarias,,,2021,9
Total Nacional,05 Canarias,,Pernoctaciones,Residentes en el Extranjero,2021M08,2860511,05,Canarias,,,2021,8
Total Nacional,05 Canarias,,Pernoctaciones,Residentes en el Extranjero,2021M07,1870428,05,Canarias,,,2021,7
Total Nacional,05 Canarias,,Pernoctaciones,Residentes en el Extranjero,2021M06,920080,05,Canarias,,,2021,6
Total Nacional,05 Canarias,,Pernoctaciones,Residentes en el Extranjero,2021M05,533065,05,Canarias,,,2021,5
Total Nacional,05 Canarias,,Pernoctaciones,Residentes en el Extranjero,2021M04,390978,05,Canarias,,,2021,4
Total Nacional,05 Canarias,,Pernoctaciones,Residentes en el Extranjero,2021M03,335727,05,Canarias,,,2021,3
Total Nacional,05 Canarias,,Pernoctaciones,Residentes en el Extranjero,2021M02,235622,05,Canarias,,,2021,2
Total Nacional,05 Canarias,,Pernoctaciones,Residentes en el Extranjero,2021M01,326299,05,Canarias,,,2021,1
Total Nacional,05 Canarias,"35 Palmas, Las",Viajero,,2025M12,528181,05,Canarias,35,"Palmas, Las",2025,12
Total Nacional,05 Canarias,"35 Palmas, Las",Viajero,,2025M11,538482,05,Canarias,35,"Palmas, Las",2025,11
Total Nacional,05 Canarias,"35 Palmas, Las",Viajero,,2025M10,586387,05,Canarias,35,"Palmas, Las",2025,10
Total Nacional,05 Canarias,"35 Palmas, Las",Viajero,,2025M09,526666,05,Canarias,35,"Palmas, Las",2025,9
Total Nacional,05 Canarias,"35 Palmas, Las",Viajero,,2025M08,628696,05,Canarias,35,"Palmas, Las",2025,8
Total Nacional,05 Canarias,"35 Palmas, Las",Viajero,,2025M07,587211,05,Canarias,35,"Palmas, Las",2025,7
Total Nacional,05 Canarias,"35 Palmas, Las",Viajero,,2025M06,527790,05,Canarias,35,"Palmas, Las",2025,6
Total Nacional,05 Canarias,"35 Palmas, Las",Viajero,,2025M05,510814,05,Canarias,35,"Palmas, Las",2025,5
Total Nacional,05 Canarias,"35 Palmas, Las",Viajero,,2025M04,552297,05,Canarias,35,"Palmas, Las",2025,4
Total Nacional,05 Canarias,"35 Palmas, Las",Viajero,,2025M03,575803,05,Canarias,35,"Palmas, Las",2025,3
Total Nacional,05 Canarias,"35 Palmas, Las",Viajero,,2025M02,541275,05,Canarias,35,"Palmas, Las",2025,2
Total Nacional,05 Canarias,"35 Palmas, Las",Viajero,,2025M01,528395,05,Canarias,35,"Palmas, Las",2025,1
Total Nacional,05 Canarias,"35 Palmas, Las",Viajero,,2024M12,532985,05,Canarias,35,"Palmas, Las",2024,12
Total Nacional,05 Canarias,"35 Palmas, Las",Viajero,,2024M11,538304,05,Canarias,35,"Palmas, Las",2024,11
Total Nacional,05 Canarias,"35 Palmas, Las",Viajero,,2024M10,587412,05,Canarias,35,"Palmas, Las",2024,10
Total Nacional,05 Canarias,"35 Palmas, Las",Viajero,,2024M09,519661,05,Canarias,35,"Palmas, Las",2024,9
Total Nacional,05 Canarias,"35 Palmas, Las",Viajero,,2024M08,595864,05,Canarias,35,"Palmas, Las",2024,8
Total Nacional,05 Canarias,"35 Palmas, Las",Viajero,,2024M07,556338,05,Canarias,35,"Palmas, Las",2024,7
Total Nacional,05 Canarias,"35 Palmas, Las",Viajero,,2024M06,524053,05,Canarias,35,"Palmas, Las",2024,6
Total Nacional,05 Canarias,"35 Palmas, Las",Viajero,,2024M05,506552,05,Canarias,35,"Palmas, Las",2024,5
Total Nacional,05 Canarias,"35 Palmas, Las",Viajero,,2024M04,531782,05,Canarias,35,"Palmas, Las",2024,4
Total Nacional,05 Canarias,"35 Palmas, Las",Viajero,,2024M03,586433,05,Canarias,35,"Palmas, Las",2024,3
Total Nacional,05 Canarias,"35 Palmas, Las",Viajero,,2024M02,537139,05,Canarias,35,"Palmas, Las",2024,2
Total Nacional,05 Canarias,"35 Palmas, Las",Viajero,,2024M01,514611,05,Canarias,35,"Palmas, Las",2024,1
Total Nacional,05 Canarias,"35 Palmas, Las",Viajero,,2023M12,521810,05,Canarias,35,"Palmas, Las",2023,12
Total Nacional,05 Canarias,"35 Palmas, Las",Viajero,,2023M11,507617,05,Canarias,35,"Palmas, Las",2023,11
Total Nacional,05 Canarias,"35 Palmas, Las",Viajero,,2023M10,576118,05,Canarias,35,"Palmas, Las",2023,10
Total Nacional,05 Canarias,"35 Palmas, Las",Viajero,,2023M09,512563,05,Canarias,35,"Palmas, Las",2023,9
Total Nacional,05 Canarias,"35 Palmas, Las",Viajero,,2023M08,581149,05,Canarias,35,"Palmas, Las",2023,8
Total Nacional,05 Canarias,"35 Palmas, Las",Viajero,,2023M07,574819,05,Canarias,35,"Palmas, Las",2023,7
Total Nacional,05 Canarias,"35 Palmas, Las",Viajero,,2023M06,505164,05,Canarias,35,"Palmas, Las",2023,6
Total Nacional,05 Canarias,"35 Palmas, Las",Viajero,,2023M05,479392,05,Canarias,35,"Palmas, Las",2023,5
Total Nacional,05 Canarias,"35 Palmas, Las",Viajero,,2023M04,540256,05,Canarias,35,"Palmas, Las",2023,4
Total Nacional,05 Canarias,"35 Palmas, Las",Viajero,,2023M03,528575,05,Canarias,35,"Palmas, Las",2023,3
Total Nacional,05 Canarias,"35 Palmas, Las",Viajero,,2023M02,487977,05,Canarias,35,"Palmas, Las",2023,2
Total Nacional,05 Canarias,"35 Palmas, Las",Viajero,,2023M01,467161,05,Canarias,35,"Palmas, Las",2023,1
Total Nacional,05 Canarias,"35 Palmas, Las",Viajero,,2022M12,508217,05,Canarias,35,"Palmas, Las",2022,12
Total Nacional,05 Canarias,"35 Palmas, Las",Viajero,,2022M11,468960,05,Canarias,35,"Palmas, Las",2022,11
Total Nacional,05 Canarias,"35 Palmas, Las",Viajero,,2022M10,545737,05,Canarias,35,"Palmas, Las",2022,10
Total Nacional,05 Canarias,"35 Palmas, Las",Viajero,,2022M09,483480,05,Canarias,35,"Palmas, Las",2022,9
Total Nacional,05 Canarias,"35 Palmas, Las",Viajero,,2022M08,578091,05,Canarias,35,"Palmas, Las",2022,8
Total Nacional,05 Canarias,"35 Palmas, Las",Viajero,,2022M07,552054,05,Canarias,35,"Palmas, Las",2022,7
Total Nacional,05 Canarias,"35 Palmas, Las",Viajero,,2022M06,479762,05,Canarias,35,"Palmas, Las",2022,6
Total Nacional,05 Canarias,"35 Palmas, Las",Viajero,,2022M05,457335,05,Canarias,35,"Palmas, Las",2022,5
Total Nacional,05 Canarias,"35 Palmas, Las",Viajero,,2022M04,500068,05,Canarias,35,"Palmas, Las",2022,4
Total Nacional,05 Canarias,"35 Palmas, Las",Viajero,,2022M03,463276,05,Canarias,35,"Palmas, Las",2022,3
Total Nacional,05 Canarias,"35 Palmas, Las",Viajero,,2022M02,403249,05,Canarias,35,"Palmas, Las",2022,2
Total Nacional,05 Canarias,"35 Palmas, Las",Viajero,,2022M01,308562,05,Canarias,35,"Palmas, Las",2022,1
Total Nacional,05 Canarias,"35 Palmas, Las",Viajero,,2021M12,383443,05,Canarias,35,"Palmas, Las",2021,12
Total Nacional,05 Canarias,"35 Palmas, Las",Viajero,,2021M11,423738,05,Canarias,35,"Palmas, Las",2021,11
Total Nacional,05 Canarias,"35 Palmas, Las",Viajero,,2021M10,496682,05,Canarias,35,"Palmas, Las",2021,10
Total Nacional,05 Canarias,"35 Palmas, Las",Viajero,,2021M09,368389,05,Canarias,35,"Palmas, Las",2021,9
Total Nacional,05 Canarias,"35 Palmas, Las",Viajero,,2021M08,424333,05,Canarias,35,"Palmas, Las",2021,8
Total Nacional,05 Canarias,"35 Palmas, Las",Viajero,,2021M07,316950,05,Canarias,35,"Palmas, Las",2021,7
Total Nacional,05 Canarias,"35 Palmas, Las",Viajero,,2021M06,184869,05,Canarias,35,"Palmas, Las",2021,6
Total Nacional,05 Canarias,"35 Palmas, Las",Viajero,,2021M05,118486,05,Canarias,35,"Palmas, Las",2021,5
Total Nacional,05 Canarias,"35 Palmas, Las",Viajero,,2021M04,83745,05,Canarias,35,"Palmas, Las",2021,4
Total Nacional,05 Canarias,"35 Palmas, Las",Viajero,,2021M03,70156,05,Canarias,35,"Palmas, Las",2021,3
Total Nacional,05 Canarias,"35 Palmas, Las",Viajero,,2021M02,47678,05,Canarias,35,"Palmas, Las",2021,2
Total Nacional,05 Canarias,"35 Palmas, Las",Viajero,,2021M01,51311,05,Canarias,35,"Palmas, Las",2021,1
Total Nacional,05 Canarias,"35 Palmas, Las",Viajero,Residentes en España,2025M12,74423,05,Canarias,35,"Palmas, Las",2025,12
Total Nacional,05 Canarias,"35 Palmas, Las",Viajero,Residentes en España,2025M11,77772,05,Canarias,35,"Palmas, Las",2025,11
Total Nacional,05 Canarias,"35 Palmas, Las",Viajero,Residentes en España,2025M10,96526,05,Canarias,35,"Palmas, Las",2025,10
Total Nacional,05 Canarias,"35 Palmas, Las",Viajero,Residentes en España,2025M09,131082,05,Canarias,35,"Palmas, Las",2025,9
Total Nacional,05 Canarias,"35 Palmas, Las",Viajero,Residentes en España,2025M08,185167,05,Canarias,35,"Palmas, Las",2025,8
Total Nacional,05 Canarias,"35 Palmas, Las",Viajero,Residentes en España,2025M07,151286,05,Canarias,35,"Palmas, Las",2025,7
Total Nacional,05 Canarias,"35 Palmas, Las",Viajero,Residentes en España,2025M06,132983,05,Canarias,35,"Palmas, Las",2025,6
Total Nacional,05 Canarias,"35 Palmas, Las",Viajero,Residentes en España,2025M05,126243,05,Canarias,35,"Palmas, Las",2025,5
Total Nacional,05 Canarias,"35 Palmas, Las",Viajero,Residentes en España,2025M04,102006,05,Canarias,35,"Palmas, Las",2025,4
Total Nacional,05 Canarias,"35 Palmas, Las",Viajero,Residentes en España,2025M03,80732,05,Canarias,35,"Palmas, Las",2025,3
Total Nacional,05 Canarias,"35 Palmas, Las",Viajero,Residentes en España,2025M02,65077,05,Canarias,35,"Palmas, Las",2025,2
Total Nacional,05 Canarias,"35 Palmas, Las",Viajero,Residentes en España,2025M01,67403,05,Canarias,35,"Palmas, Las",2025,1
Total Nacional,05 Canarias,"35 Palmas, Las",Viajero,Residentes en España,2024M12,86181,05,Canarias,35,"Palmas, Las",2024,12
Total Nacional,05 Canarias,"35 Palmas, Las",Viajero,Residentes en España,2024M11,79022,05,Canarias,35,"Palmas, Las",2024,11
Total Nacional,05 Canarias,"35 Palmas, Las",Viajero,Residentes en España,2024M10,110260,05,Canarias,35,"Palmas, Las",2024,10
Total Nacional,05 Canarias,"35 Palmas, Las",Viajero,Residentes en España,2024M09,127817,05,Canarias,35,"Palmas, Las",2024,9
Total Nacional,05 Canarias,"35 Palmas, Las",Viajero,Residentes en España,2024M08,170419,05,Canarias,35,"Palmas, Las",2024,8
Total Nacional,05 Canarias,"35 Palmas, Las",Viajero,Residentes en España,2024M07,145507,05,Canarias,35,"Palmas, Las",2024,7
