Totales Territoriales,Comunidades y Ciudades Autónomas,Provincias,Viajeros y pernoctaciones,Residencia: Nivel 2,Periodo,Total,cod_comunidad,nombre_comunidad,cod_provincia,nombre_provincia,año,mes
Total Nacional,,,Viajero,,2023M03,7361364,,,,,2023,3
Total Nacional,,,Viajero,,2023M02,5967064,,,,,2023,2
Total Nacional,,,Viajero,,2023M01,5367962,,,,,2023,1
Total Nacional,,,Viajero,,2022M12,6054556,,,,,2022,12
Total Nacional,,,Viajero,,2022M11,6284698,,,,,2022,11
Total Nacional,,,Viajero,,2022M10,9743259,,,,,2022,10
Total Nacional,,,Viajero,,2022M09,11050305,,,,,2022,9
Total Nacional,,,Viajero,,2022M08,12889916,,,,,2022,8
Total Nacional,,,Viajero,,2022M07,12292936,,,,,2022,7
Total Nacional,,,Viajero,,2022M06,10990468,,,,,2022,6
Total Nacional,,,Viajero,,2022M05,9920671,,,,,2022,5
Total Nacional,,,Viajero,,2022M04,8689822,,,,,2022,4
Total Nacional,,,Viajero,,2022M03,6061398,,,,,2022,3
Total Nacional,,,Viajero,,2022M02,5133961,,,,,2022,2
Total Nacional,,,Viajero,,2022M01,3770578,,,,,2022,1
Total Nacional,,,Viajero,,2021M12,4881952,,,,,2021,12
Total Nacional,,,Viajero,,2021M11,5391958,,,,,2021,11
Total Nacional,,,Viajero,,2021M10,8131666,,,,,2021,10
Total Nacional,,,Viajero,,2021M09,8256057,,,,,2021,9
Total Nacional,,,Viajero,,2021M08,10408035,,,,,2021,8
Total Nacional,,,Viajero,,2021M07,8544001,,,,,2021,7
Total Nacional,,,Viajero,,2021M06,5676067,,,,,2021,6
Total Nacional,,,Viajero,,2021M05,3404118,,,,,2021,5
Total Nacional,,,Viajero,,2021M04,1955719,,,,,2021,4
Total Nacional,,,Viajero,,2021M03,1770722,,,,,2021,3
Total Nacional,,,Viajero,,2021M02,1179236,,,,,2021,2
Total Nacional,,,Viajero,,2021M01,1124601,,,,,2021,1
Total Nacional,,,Viajero,Residentes en España,2025M12,3777442,,,,,2025,12
Total Nacional,,,Viajero,Residentes en España,2025M11,3819809,,,,,2025,11
Total Nacional,,,Viajero,Residentes en España,2025M10,4645026,,,,,2025,10
Total Nacional,,,Viajero,Residentes en España,2025M09,5085693,,,,,2025,9
Total Nacional,,,Viajero,Residentes en España,2025M08,6409255,,,,,2025,8
Total Nacional,,,Viajero,Residentes en España,2025M07,5842459,,,,,2025,7
Total Nacional,,,Viajero,Residentes en España,2025M06,5440374,,,,,2025,6
Total Nacional,,,Viajero,Residentes en España,2025M05,4933125,,,,,2025,5
Total Nacional,,,Viajero,Residentes en España,2025M04,4593215,,,,,2025,4
Total Nacional,,,Viajero,Residentes en España,2025M03,3794808,,,,,2025,3
Total Nacional,,,Viajero,Residentes en España,2025M02,3423944,,,,,2025,2
Total Nacional,,,Viajero,Residentes en España,2025M01,2916184,,,,,2025,1
Total Nacional,,,Viajero,Residentes en España,2024M12,3645324,,,,,2024,12
Total Nacional,,,Viajero,Residentes en España,2024M11,3755355,,,,,2024,11
Total Nacional,,,Viajero,Residentes en España,2024M10,4523969,,,,,2024,10
Total Nacional,,,Viajero,Residentes en España,2024M09,4991258,,,,,2024,9
Total Nacional,,,Viajero,Residentes en España,2024M08,6363350,,,,,2024,8
Total Nacional,,,Viajero,Residentes en España,2024M07,5756518,,,,,2024,7
Total Nacional,,,Viajero,Residentes en España,2024M06,5419681,,,,,2024,6
Total Nacional,,,Viajero,Residentes en España,2024M05,4928517,,,,,2024,5
Total Nacional,,,Viajero,Residentes en España,2024M04,4181084,,,,,2024,4
Total Nacional,,,Viajero,Residentes en España,2024M03,4412670,,,,,2024,3
Total Nacional,,,Viajero,Residentes en España,2024M02,3422317,,,,,2024,2
Total Nacional,,,Viajero,Residentes en España,2024M01,2919329,,,,,2024,1
Total Nacional,,,Viajero,Residentes en España,2023M12,3736128,,,,,2023,12
Total Nacional,,,Viajero,Residentes en España,2023M11,3586759,,,,,2023,11
Total Nacional,,,Viajero,Residentes en España,2023M10,4589155,,,,,2023,10
Total Nacional,,,Viajero,Residentes en España,2023M09,5122862,,,,,2023,9
Total Nacional,,,Viajero,Residentes en España,2023M08,6381789,,,,,2023,8
Total Nacional,,,Viajero,Residentes en España,2023M07,6012479,,,,,2023,7
Total Nacional,,,Viajero,Residentes en España,2023M06,5455490,,,,,2023,6
Total Nacional,,,Viajero,Residentes en España,2023M05,4553381,,,,,2023,5
Total Nacional,,,Viajero,Residentes en España,2023M04,4983861,,,,,2023,4
Total Nacional,,,Viajero,Residentes en España,2023M03,3983218,,,,,2023,3
Total Nacional,,,Viajero,Residentes en España,2023M02,3337995,,,,,2023,2
Total Nacional,,,Viajero,Residentes en España,2023M01,2964949,,,,,2023,1
Total Nacional,,,Viajero,Residentes en España,2022M12,3567132,,,,,2022,12
Total Nacional,,,Viajero,Residentes en España,2022M11,3541109,,,,,2022,11
Total Nacional,,,Viajero,Residentes en España,2022M10,4657750,,,,,2022,10
Total Nacional,,,Viajero,Residentes en España,2022M09,5178258,,,,,2022,9
Total Nacional,,,Viajero,Residentes en España,2022M08,6526507,,,,,2022,8
Total Nacional,,,Viajero,Residentes en España,2022M07,6075062,,,,,2022,7
Total Nacional,,,Viajero,Residentes en España,2022M06,5422886,,,,,2022,6
Total Nacional,,,Viajero,Residentes en España,2022M05,4672236,,,,,2022,5
Total Nacional,,,Viajero,Residentes en España,2022M04,4733976,,,,,2022,4
Total Nacional,,,Viajero,Residentes en España,2022M03,3432900,,,,,2022,3
