RESIDENCIA/ORIGEN,Países,Viajeros y pernoctaciones,Periodo,Total,año,mes
Total,,Viajero,2025M12,6937385,2025,12
Total,,Viajero,2025M11,7413495,2025,11
Total,,Viajero,2025M10,11041430,2025,10
Total,,Viajero,2025M09,12050972,2025,9
Total,,Viajero,2025M08,13828672,2025,8
Total,,Viajero,2025M07,13044764,2025,7
Total,,Viajero,2025M06,12256716,2025,6
Total,,Viajero,2025M05,11803477,2025,5
Total,,Viajero,2025M04,10049832,2025,4
Total,,Viajero,2025M03,7708029,2025,3
Total,,Viajero,2025M02,6542730,2025,2
Total,,Viajero,2025M01,5774050,2025,1
Total,,Viajero,2024M12,6561380,2024,12
Total,,Viajero,2024M11,7152418,2024,11
Total,,Viajero,2024M10,10757739,2024,10
Total,,Viajero,2024M09,11753507,2024,9
Total,,Viajero,2024M08,13622908,2024,8
Total,,Viajero,2024M07,12692328,2024,7
Total,,Viajero,2024M06,11865112,2024,6
Total,,Viajero,2024M05,11768411,2024,5
Total,,Viajero,2024M04,9386103,2024,4
Total,,Viajero,2024M03,8433226,2024,3
Total,,Viajero,2024M02,6512168,2024,2
Total,,Viajero,2024M01,5660859,2024,1
Total,,Viajero,2023M12,6586138,2023,12
Total,,Viajero,2023M11,6798815,2023,11
Total,,Viajero,2023M10,10390441,2023,10
Total,,Viajero,2023M09,11627872,2023,9
Total,,Viajero,2023M08,13266497,2023,8
Total,,Viajero,2023M07,12680483,2023,7
Total,,Viajero,2023M06,11535550,2023,6
Total,,Viajero,2023M05,10580202,2023,5
Total,,Viajero,2023M04,9829384,2023,4
Total,,Viajero,2023M03,7361364,2023,3
Total,,Viajero,2023M02,5967064,2023,2
Total,,Viajero,2023M01,5367962,2023,1
Total,,Viajero,2022M12,6054556,2022,12
Total,,Viajero,2022M11,6284698,2022,11
Total,,Viajero,2022M10,9743259,2022,10
Total,,Viajero,2022M09,11050305,2022,9
Total,,Viajero,2022M08,12889916,2022,8
Total,,Viajero,2022M07,12292936,2022,7
Total,,Viajero,2022M06,10990468,2022,6
Total,,Viajero,2022M05,9920671,2022,5
Total,,Viajero,2022M04,8689822,2022,4
Total,,Viajero,2022M03,6061398,2022,3
Total,,Viajero,2022M02,5133961,2022,2
Total,,Viajero,2022M01,3770578,2022,1
Total,,Viajero,2021M12,4881952,2021,12
Total,,Viajero,2021M11,5391958,2021,11
Total,,Viajero,2021M10,8131666,2021,10
Total,,Viajero,2021M09,8256057,2021,9
Total,,Viajero,2021M08,10408035,2021,8
Total,,Viajero,2021M07,8544001,2021,7
Total,,Viajero,2021M06,5676067,2021,6
Total,,Viajero,2021M05,3404118,2021,5
Total,,Viajero,2021M04,1955719,2021,4
Total,,Viajero,2021M03,1770722,2021,3
Total,,Viajero,2021M02,1179236,2021,2
Total,,Viajero,2021M01,1124601,2021,1
Total,,Pernoctaciones,2025M12,18546462,2025,12
Total,,Pernoctaciones,2025M11,20301411,2025,11
Total,,Pernoctaciones,2025M10,34281206,2025,10
Total,,Pernoctaciones,2025M09,39420118,2025,9
Total,,Pernoctaciones,2025M08,48181913,2025,8
Total,,Pernoctaciones,2025M07,44691923,2025,7
Total,,Pernoctaciones,2025M06,38982683,2025,6
Total,,Pernoctaciones,2025M05,35565862,2025,5
Total,,Pernoctaciones,2025M04,28957925,2025,4
Total,,Pernoctaciones,2025M03,22393743,2025,3
Total,,Pernoctaciones,2025M02,18373966,2025,2
Total,,Pernoctaciones,2025M01,16830947,2025,1
Total,,Pernoctaciones,2024M12,18025526,2024,12
Total,,Pernoctaciones,2024M11,19978052,2024,11
Total,,Pernoctaciones,2024M10,33836772,2024,10
Total,,Pernoctaciones,2024M09,38965938,2024,9
Total,,Pernoctaciones,2024M08,47760600,2024,8
Total,,Pernoctaciones,2024M07,43918939,2024,7
Total,,Pernoctaciones,2024M06,38185201,2024,6
Total,,Pernoctaciones,2024M05,35701080,2024,5
Total,,Pernoctaciones,2024M04,27099375,2024,4
Total,,Pernoctaciones,2024M03,24520234,2024,3
Total,,Pernoctaciones,2024M02,18581766,2024,2
Total,,Pernoctaciones,2024M01,16491597,2024,1
Total,,Pernoctaciones,2023M12,17913857,2023,12
Total,,Pernoctaciones,2023M11,19023828,2023,11
Total,,Pernoctaciones,2023M10,32415687,2023,10
Total,,Pernoctaciones,2023M09,37980229,2023,9
Total,,Pernoctaciones,2023M08,46695607,2023,8
Total,,Pernoctaciones,2023M07,43109417,2023,7
Total,,Pernoctaciones,2023M06,36255025,2023,6
Total,,Pernoctaciones,2023M05,32187667,2023,5
Total,,Pernoctaciones,2023M04,28046754,2023,4
Total,,Pernoctaciones,2023M03,20597741,2023,3
Total,,Pernoctaciones,2023M02,16816547,2023,2
Total,,Pernoctaciones,2023M01,15472477,2023,1
Total,,Pernoctaciones,2022M12,16627833,2022,12
Total,,Pernoctaciones,2022M11,17661676,2022,11
Total,,Pernoctaciones,2022M10,29865924,2022,10
Total,,Pernoctaciones,2022M09,35999861,2022,9
Total,,Pernoctaciones,2022M08,46140100,2022,8
Total,,Pernoctaciones,2022M07,42121775,2022,7
Total,,Pernoctaciones,2022M06,35111326,2022,6
Total,,Pernoctaciones,2022M05,29785395,2022,5
Total,,Pernoctaciones,2022M04,25197638,2022,4
Total,,Pernoctaciones,2022M03,17632648,2022,3
Total,,Pernoctaciones,2022M02,13623546,2022,2
Total,,Pernoctaciones,2022M01,10598385,2022,1
Total,,Pernoctaciones,2021M12,13220155,2021,12
Total,,Pernoctaciones,2021M11,14930647,2021,11
Total,,Pernoctaciones,2021M10,23935219,2021,10
Total,,Pernoctaciones,2021M09,25679512,2021,9
Total,,Pernoctaciones,2021M08,34460041,2021,8
Total,,Pernoctaciones,2021M07,26351353,2021,7
Total,,Pernoctaciones,2021M06,14259621,2021,6
Total,,Pernoctaciones,2021M05,7342738,2021,5
Total,,Pernoctaciones,2021M04,4142415,2021,4
Total,,Pernoctaciones,2021M03,3588559,2021,3
Total,,Pernoctaciones,2021M02,2436961,2021,2
Total,,Pernoctaciones,2021M01,2459473,2021,1
Total,Residentes en España,Viajero,2025M12,3777442,2025,12
Total,Residentes en España,Viajero,2025M11,3819809,2025,11
Total,Residentes en España,Viajero,2025M10,4645026,2025,10
Total,Residentes en España,Viajero,2025M09,5085693,2025,9
Total,Residentes en España,Viajero,2025M08,6409255,2025,8
Total,Residentes en España,Viajero,2025M07,5842459,2025,7
Total,Residentes en España,Viajero,2025M06,5440374,2025,6
Total,Residentes en España,Viajero,2025M05,4933125,2025,5
Total,Residentes en España,Viajero,2025M04,4593215,2025,4
Total,Residentes en España,Viajero,2025M03,3794808,2025,3
Total,Residentes en España,Viajero,2025M02,3423944,2025,2
Total,Residentes en España,Viajero,2025M01,2916184,2025,1
Total,Residentes en España,Viajero,2024M12,3645324,2024,12
Total,Residentes en España,Viajero,2024M11,3755355,2024,11
Total,Residentes en España,Viajero,2024M10,4523969,2024,10
Total,Residentes en España,Viajero,2024M09,4991258,2024,9
Total,Residentes en España,Viajero,2024M08,6363350,2024,8
Total,Residentes en España,Viajero,2024M07,5756518,2024,7
Total,Residentes en España,Viajero,2024M06,5419681,2024,6
Total,Residentes en España,Viajero,2024M05,4928517,2024,5
Total,Residentes en España,Viajero,2024M04,4181084,2024,4
Total,Residentes en España,Viajero,2024M03,4412670,2024,3
Total,Residentes en España,Viajero,2024M02,3422317,2024,2
Total,Residentes en España,Viajero,2024M01,2919329,2024,1
Total,Residentes en España,Viajero,2023M12,3736128,2023,12
Total,Residentes en España,Viajero,2023M11,3586759,2023,11
Total,Residentes en España,Viajero,2023M10,4589155,2023,10
Total,Residentes en España,Viajero,2023M09,5122862,2023,9
Total,Residentes en España,Viajero,2023M08,6381789,2023,8
Total,Residentes en España,Viajero,2023M07,6012479,2023,7
Total,Residentes en España,Viajero,2023M06,5455490,2023,6
Total,Residentes en España,Viajero,2023M05,4553381,2023,5
Total,Residentes en España,Viajero,2023M04,4983861,2023,4
Total,Residentes en España,Viajero,2023M03,3983218,2023,3
Total,Residentes en España,Viajero,2023M02,3337995,2023,2
Total,Residentes en España,Viajero,2023M01,2964949,2023,1
Total,Residentes en España,Viajero,2022M12,3567132,2022,12
Total,Residentes en España,Viajero,2022M11,3541109,2022,11
Total,Residentes en España,Viajero,2022M10,4657750,2022,10
Total,Residentes en España,Viajero,2022M09,5178258,2022,9
Total,Residentes en España,Viajero,2022M08,6526507,2022,8
Total,Residentes en España,Viajero,2022M07,6075062,2022,7
Total,Residentes en España,Viajero,2022M06,5422886,2022,6
Total,Residentes en España,Viajero,2022M05,4672236,2022,5
Total,Residentes en España,Viajero,2022M04,4733976,2022,4
Total,Residentes en España,Viajero,2022M03,3432900,2022,3
Total,Residentes en España,Viajero,2022M02,3164177,2022,2
Total,Residentes en España,Viajero,2022M01,2342492,2022,1
Total,Residentes en España,Viajero,2021M12,3164988,2021,12
Total,Residentes en España,Viajero,2021M11,3218059,2021,11
Total,Residentes en España,Viajero,2021M10,4590112,2021,10
Total,Residentes en España,Viajero,2021M09,4952050,2021,9
Total,Residentes en España,Viajero,2021M08,6935006,2021,8
Total,Residentes en España,Viajero,2021M07,5772248,2021,7
Total,Residentes en España,Viajero,2021M06,4179628,2021,6
Total,Residentes en España,Viajero,2021M05,2580060,2021,5
Total,Residentes en España,Viajero,2021M04,1559023,2021,4
Total,Residentes en España,Viajero,2021M03,1456708,2021,3
Total,Residentes en España,Viajero,2021M02,975226,2021,2
Total,Residentes en España,Viajero,2021M01,889575,2021,1
Total,Residentes en España,Pernoctaciones,2025M12,7228948,2025,12
Total,Residentes en España,Pernoctaciones,2025M11,7528091,2025,11
Total,Residentes en España,Pernoctaciones,2025M10,9566101,2025,10
Total,Residentes en España,Pernoctaciones,2025M09,11902934,2025,9
Total,Residentes en España,Pernoctaciones,2025M08,17218949,2025,8
Total,Residentes en España,Pernoctaciones,2025M07,14895856,2025,7
Total,Residentes en España,Pernoctaciones,2025M06,12191754,2025,6
Total,Residentes en España,Pernoctaciones,2025M05,10891067,2025,5
Total,Residentes en España,Pernoctaciones,2025M04,10101779,2025,4
Total,Residentes en España,Pernoctaciones,2025M03,8077931,2025,3
Total,Residentes en España,Pernoctaciones,2025M02,6554049,2025,2
Total,Residentes en España,Pernoctaciones,2025M01,5704151,2025,1
Total,Residentes en España,Pernoctaciones,2024M12,7206683,2024,12
Total,Residentes en España,Pernoctaciones,2024M11,7578414,2024,11
Total,Residentes en España,Pernoctaciones,2024M10,9614409,2024,10
Total,Residentes en España,Pernoctaciones,2024M09,11754777,2024,9
Total,Residentes en España,Pernoctaciones,2024M08,17310199,2024,8
Total,Residentes en España,Pernoctaciones,2024M07,14743902,2024,7
Total,Residentes en España,Pernoctaciones,2024M06,12347782,2024,6
Total,Residentes en España,Pernoctaciones,2024M05,10623796,2024,5
Total,Residentes en España,Pernoctaciones,2024M04,8884448,2024,4
Total,Residentes en España,Pernoctaciones,2024M03,9421644,2024,3
Total,Residentes en España,Pernoctaciones,2024M02,6774732,2024,2
Total,Residentes en España,Pernoctaciones,2024M01,5762176,2024,1
Total,Residentes en España,Pernoctaciones,2023M12,7363463,2023,12
Total,Residentes en España,Pernoctaciones,2023M11,6957475,2023,11
Total,Residentes en España,Pernoctaciones,2023M10,9662174,2023,10
Total,Residentes en España,Pernoctaciones,2023M09,11783151,2023,9
Total,Residentes en España,Pernoctaciones,2023M08,17548462,2023,8
Total,Residentes en España,Pernoctaciones,2023M07,15303797,2023,7
Total,Residentes en España,Pernoctaciones,2023M06,12216070,2023,6
Total,Residentes en España,Pernoctaciones,2023M05,9784069,2023,5
Total,Residentes en España,Pernoctaciones,2023M04,10749390,2023,4
Total,Residentes en España,Pernoctaciones,2023M03,8037671,2023,3
Total,Residentes en España,Pernoctaciones,2023M02,6508332,2023,2
Total,Residentes en España,Pernoctaciones,2023M01,5810812,2023,1
Total,Residentes en España,Pernoctaciones,2022M12,7121128,2022,12
Total,Residentes en España,Pernoctaciones,2022M11,7046984,2022,11
Total,Residentes en España,Pernoctaciones,2022M10,9771323,2022,10
Total,Residentes en España,Pernoctaciones,2022M09,12065204,2022,9
Total,Residentes en España,Pernoctaciones,2022M08,18268800,2022,8
Total,Residentes en España,Pernoctaciones,2022M07,15608687,2022,7
Total,Residentes en España,Pernoctaciones,2022M06,12216496,2022,6
Total,Residentes en España,Pernoctaciones,2022M05,10052067,2022,5
Total,Residentes en España,Pernoctaciones,2022M04,10260559,2022,4
Total,Residentes en España,Pernoctaciones,2022M03,7071757,2022,3
Total,Residentes en España,Pernoctaciones,2022M02,6018570,2022,2
Total,Residentes en España,Pernoctaciones,2022M01,4536018,2022,1
Total,Residentes en España,Pernoctaciones,2021M12,6316273,2021,12
Total,Residentes en España,Pernoctaciones,2021M11,6088018,2021,11
Total,Residentes en España,Pernoctaciones,2021M10,9526090,2021,10
Total,Residentes en España,Pernoctaciones,2021M09,11812962,2021,9
Total,Residentes en España,Pernoctaciones,2021M08,19570475,2021,8
Total,Residentes en España,Pernoctaciones,2021M07,14839925,2021,7
Total,Residentes en España,Pernoctaciones,2021M06,8961374,2021,6
Total,Residentes en España,Pernoctaciones,2021M05,4695099,2021,5
Total,Residentes en España,Pernoctaciones,2021M04,2841406,2021,4
Total,Residentes en España,Pernoctaciones,2021M03,2591447,2021,3
Total,Residentes en España,Pernoctaciones,2021M02,1774784,2021,2
Total,Residentes en España,Pernoctaciones,2021M01,1682063,2021,1
Total,Residentes en el Extranjero,Viajero,2025M12,3159943,2025,12
Total,Residentes en el Extranjero,Viajero,2025M11,3593686,2025,11
Total,Residentes en el Extranjero,Viajero,2025M10,6396404,2025,10
Total,Residentes en el Extranjero,Viajero,2025M09,6965279,2025,9
Total,Residentes en el Extranjero,Viajero,2025M08,7419417,2025,8
Total,Residentes en el Extranjero,Viajero,2025M07,7202305,2025,7
Total,Residentes en el Extranjero,Viajero,2025M06,6816343,2025,6
Total,Residentes en el Extranjero,Viajero,2025M05,6870352,2025,5
Total,Residentes en el Extranjero,Viajero,2025M04,5456618,2025,4
Total,Residentes en el Extranjero,Viajero,2025M03,3913221,2025,3
Total,Residentes en el Extranjero,Viajero,2025M02,3118786,2025,2
Total,Residentes en el Extranjero,Viajero,2025M01,2857866,2025,1
Total,Residentes en el Extranjero,Viajero,2024M12,2916057,2024,12
Total,Residentes en el Extranjero,Viajero,2024M11,3397063,2024,11
Total,Residentes en el Extranjero,Viajero,2024M10,6233770,2024,10
Total,Residentes en el Extranjero,Viajero,2024M09,6762248,2024,9
Total,Residentes en el Extranjero,Viajero,2024M08,7259558,2024,8
Total,Residentes en el Extranjero,Viajero,2024M07,6935810,2024,7
Total,Residentes en el Extranjero,Viajero,2024M06,6445432,2024,6
Total,Residentes en el Extranjero,Viajero,2024M05,6839894,2024,5
Total,Residentes en el Extranjero,Viajero,2024M04,5205019,2024,4
Total,Residentes en el Extranjero,Viajero,2024M03,4020556,2024,3
Total,Residentes en el Extranjero,Viajero,2024M02,3089851,2024,2
Total,Residentes en el Extranjero,Viajero,2024M01,2741530,2024,1
Total,Residentes en el Extranjero,Viajero,2023M12,2850010,2023,12
Total,Residentes en el Extranjero,Viajero,2023M11,3212056,2023,11
Total,Residentes en el Extranjero,Viajero,2023M10,5801286,2023,10
Total,Residentes en el Extranjero,Viajero,2023M09,6505010,2023,9
Total,Residentes en el Extranjero,Viajero,2023M08,6884708,2023,8
Total,Residentes en el Extranjero,Viajero,2023M07,6668004,2023,7
Total,Residentes en el Extranjero,Viajero,2023M06,6080059,2023,6
Total,Residentes en el Extranjero,Viajero,2023M05,6026821,2023,5
Total,Residentes en el Extranjero,Viajero,2023M04,4845523,2023,4
Total,Residentes en el Extranjero,Viajero,2023M03,3378146,2023,3
Total,Residentes en el Extranjero,Viajero,2023M02,2629069,2023,2
Total,Residentes en el Extranjero,Viajero,2023M01,2403013,2023,1
Total,Residentes en el Extranjero,Viajero,2022M12,2487423,2022,12
Total,Residentes en el Extranjero,Viajero,2022M11,2743589,2022,11
Total,Residentes en el Extranjero,Viajero,2022M10,5085510,2022,10
Total,Residentes en el Extranjero,Viajero,2022M09,5872047,2022,9
Total,Residentes en el Extranjero,Viajero,2022M08,6363409,2022,8
Total,Residentes en el Extranjero,Viajero,2022M07,6217875,2022,7
Total,Residentes en el Extranjero,Viajero,2022M06,5567582,2022,6
Total,Residentes en el Extranjero,Viajero,2022M05,5248435,2022,5
Total,Residentes en el Extranjero,Viajero,2022M04,3955846,2022,4
Total,Residentes en el Extranjero,Viajero,2022M03,2628498,2022,3
Total,Residentes en el Extranjero,Viajero,2022M02,1969784,2022,2
Total,Residentes en el Extranjero,Viajero,2022M01,1428086,2022,1
Total,Residentes en el Extranjero,Viajero,2021M12,1716964,2021,12
Total,Residentes en el Extranjero,Viajero,2021M11,2173899,2021,11
Total,Residentes en el Extranjero,Viajero,2021M10,3541554,2021,10
Total,Residentes en el Extranjero,Viajero,2021M09,3304007,2021,9
Total,Residentes en el Extranjero,Viajero,2021M08,3473029,2021,8
Total,Residentes en el Extranjero,Viajero,2021M07,2771753,2021,7
Total,Residentes en el Extranjero,Viajero,2021M06,1496439,2021,6
Total,Residentes en el Extranjero,Viajero,2021M05,824057,2021,5
Total,Residentes en el Extranjero,Viajero,2021M04,396696,2021,4
Total,Residentes en el Extranjero,Viajero,2021M03,314013,2021,3
Total,Residentes en el Extranjero,Viajero,2021M02,204009,2021,2
Total,Residentes en el Extranjero,Viajero,2021M01,235026,2021,1
Total,Residentes en el Extranjero,Pernoctaciones,2025M12,11317514,2025,12
Total,Residentes en el Extranjero,Pernoctaciones,2025M11,12773320,2025,11
Total,Residentes en el Extranjero,Pernoctaciones,2025M10,24715105,2025,10
Total,Residentes en el Extranjero,Pernoctaciones,2025M09,27517185,2025,9
Total,Residentes en el Extranjero,Pernoctaciones,2025M08,30962964,2025,8
Total,Residentes en el Extranjero,Pernoctaciones,2025M07,29796067,2025,7
Total,Residentes en el Extranjero,Pernoctaciones,2025M06,26790929,2025,6
Total,Residentes en el Extranjero,Pernoctaciones,2025M05,24674795,2025,5
Total,Residentes en el Extranjero,Pernoctaciones,2025M04,18856145,2025,4
Total,Residentes en el Extranjero,Pernoctaciones,2025M03,14315812,2025,3
Total,Residentes en el Extranjero,Pernoctaciones,2025M02,11819917,2025,2
Total,Residentes en el Extranjero,Pernoctaciones,2025M01,11126796,2025,1
Total,Residentes en el Extranjero,Pernoctaciones,2024M12,10818842,2024,12
Total,Residentes en el Extranjero,Pernoctaciones,2024M11,12399638,2024,11
Total,Residentes en el Extranjero,Pernoctaciones,2024M10,24222363,2024,10
Total,Residentes en el Extranjero,Pernoctaciones,2024M09,27211161,2024,9
Total,Residentes en el Extranjero,Pernoctaciones,2024M08,30450401,2024,8
Total,Residentes en el Extranjero,Pernoctaciones,2024M07,29175038,2024,7
Total,Residentes en el Extranjero,Pernoctaciones,2024M06,25837418,2024,6
Total,Residentes en el Extranjero,Pernoctaciones,2024M05,25077285,2024,5
Total,Residentes en el Extranjero,Pernoctaciones,2024M04,18214927,2024,4
Total,Residentes en el Extranjero,Pernoctaciones,2024M03,15098591,2024,3
Total,Residentes en el Extranjero,Pernoctaciones,2024M02,11807033,2024,2
Total,Residentes en el Extranjero,Pernoctaciones,2024M01,10729421,2024,1
Total,Residentes en el Extranjero,Pernoctaciones,2023M12,10550395,2023,12
Total,Residentes en el Extranjero,Pernoctaciones,2023M11,12066353,2023,11
Total,Residentes en el Extranjero,Pernoctaciones,2023M10,22753513,2023,10
Total,Residentes en el Extranjero,Pernoctaciones,2023M09,26197078,2023,9
Total,Residentes en el Extranjero,Pernoctaciones,2023M08,29147145,2023,8
Total,Residentes en el Extranjero,Pernoctaciones,2023M07,27805620,2023,7
Total,Residentes en el Extranjero,Pernoctaciones,2023M06,24038955,2023,6
Total,Residentes en el Extranjero,Pernoctaciones,2023M05,22403599,2023,5
Total,Residentes en el Extranjero,Pernoctaciones,2023M04,17297363,2023,4
Total,Residentes en el Extranjero,Pernoctaciones,2023M03,12560069,2023,3
Total,Residentes en el Extranjero,Pernoctaciones,2023M02,10308214,2023,2
Total,Residentes en el Extranjero,Pernoctaciones,2023M01,9661665,2023,1
Total,Residentes en el Extranjero,Pernoctaciones,2022M12,9506705,2022,12
Total,Residentes en el Extranjero,Pernoctaciones,2022M11,10614692,2022,11
Total,Residentes en el Extranjero,Pernoctaciones,2022M10,20094601,2022,10
Total,Residentes en el Extranjero,Pernoctaciones,2022M09,23934658,2022,9
Total,Residentes en el Extranjero,Pernoctaciones,2022M08,27871300,2022,8
Total,Residentes en el Extranjero,Pernoctaciones,2022M07,26513088,2022,7
Total,Residentes en el Extranjero,Pernoctaciones,2022M06,22894830,2022,6
Total,Residentes en el Extranjero,Pernoctaciones,2022M05,19733328,2022,5
Total,Residentes en el Extranjero,Pernoctaciones,2022M04,14937079,2022,4
Total,Residentes en el Extranjero,Pernoctaciones,2022M03,10560891,2022,3
Total,Residentes en el Extranjero,Pernoctaciones,2022M02,7604976,2022,2
Total,Residentes en el Extranjero,Pernoctaciones,2022M01,6062368,2022,1
Total,Residentes en el Extranjero,Pernoctaciones,2021M12,6903882,2021,12
Total,Residentes en el Extranjero,Pernoctaciones,2021M11,8842628,2021,11
Total,Residentes en el Extranjero,Pernoctaciones,2021M10,14409129,2021,10
Total,Residentes en el Extranjero,Pernoctaciones,2021M09,13866550,2021,9
Total,Residentes en el Extranjero,Pernoctaciones,2021M08,14889566,2021,8
Total,Residentes en el Extranjero,Pernoctaciones,2021M07,11511428,2021,7
Total,Residentes en el Extranjero,Pernoctaciones,2021M06,5298248,2021,6
Total,Residentes en el Extranjero,Pernoctaciones,2021M05,2647639,2021,5
Total,Residentes en el Extranjero,Pernoctaciones,2021M04,1301009,2021,4
Total,Residentes en el Extranjero,Pernoctaciones,2021M03,997112,2021,3
Total,Residentes en el Extranjero,Pernoctaciones,2021M02,662177,2021,2
Total,Residentes en el Extranjero,Pernoctaciones,2021M01,777409,2021,1
Total,Alemania,Viajero,2025M12,290385,2025,12
Total,Alemania,Viajero,2025M11,364596,2025,11
Total,Alemania,Viajero,2025M10,848751,2025,10
Total,Alemania,Viajero,2025M09,922964,2025,9
Total,Alemania,Viajero,2025M08,851328,2025,8
Total,Alemania,Viajero,2025M07,789186,2025,7
Total,Alemania,Viajero,2025M06,870770,2025,6
Total,Alemania,Viajero,2025M05,857776,2025,5
Total,Alemania,Viajero,2025M04,662721,2025,4
Total,Alemania,Viajero,2025M03,473868,2025,3
Total,Alemania,Viajero,2025M02,332161,2025,2
Total,Alemania,Viajero,2025M01,262474,2025,1
Total,Alemania,Viajero,2024M12,286033,2024,12
Total,Alemania,Viajero,2024M11,344910,2024,11
Total,Alemania,Viajero,2024M10,893847,2024,10
Total,Alemania,Viajero,2024M09,919461,2024,9
Total,Alemania,Viajero,2024M08,847500,2024,8
Total,Alemania,Viajero,2024M07,832821,2024,7
Total,Alemania,Viajero,2024M06,835373,2024,6
Total,Alemania,Viajero,2024M05,938592,2024,5
Total,Alemania,Viajero,2024M04,638213,2024,4
Total,Alemania,Viajero,2024M03,544724,2024,3
Total,Alemania,Viajero,2024M02,321751,2024,2
Total,Alemania,Viajero,2024M01,253218,2024,1
Total,Alemania,Viajero,2023M12,265222,2023,12
Total,Alemania,Viajero,2023M11,334775,2023,11
Total,Alemania,Viajero,2023M10,800108,2023,10
Total,Alemania,Viajero,2023M09,935137,2023,9
Total,Alemania,Viajero,2023M08,822266,2023,8
Total,Alemania,Viajero,2023M07,804595,2023,7
Total,Alemania,Viajero,2023M06,858136,2023,6
Total,Alemania,Viajero,2023M05,837369,2023,5
Total,Alemania,Viajero,2023M04,640754,2023,4
Total,Alemania,Viajero,2023M03,424265,2023,3
Total,Alemania,Viajero,2023M02,278415,2023,2
Total,Alemania,Viajero,2023M01,237872,2023,1
Total,Alemania,Viajero,2022M12,236239,2022,12
Total,Alemania,Viajero,2022M11,290820,2022,11
Total,Alemania,Viajero,2022M10,716360,2022,10
Total,Alemania,Viajero,2022M09,880931,2022,9
Total,Alemania,Viajero,2022M08,801550,2022,8
Total,Alemania,Viajero,2022M07,776051,2022,7
Total,Alemania,Viajero,2022M06,862263,2022,6
Total,Alemania,Viajero,2022M05,760733,2022,5
Total,Alemania,Viajero,2022M04,565194,2022,4
Total,Alemania,Viajero,2022M03,358345,2022,3
Total,Alemania,Viajero,2022M02,200136,2022,2
Total,Alemania,Viajero,2022M01,143443,2022,1
Total,Alemania,Viajero,2021M12,194051,2021,12
Total,Alemania,Viajero,2021M11,282527,2021,11
Total,Alemania,Viajero,2021M10,594642,2021,10
Total,Alemania,Viajero,2021M09,572993,2021,9
Total,Alemania,Viajero,2021M08,426635,2021,8
Total,Alemania,Viajero,2021M07,436470,2021,7
Total,Alemania,Viajero,2021M06,295062,2021,6
Total,Alemania,Viajero,2021M05,148245,2021,5
Total,Alemania,Viajero,2021M04,57903,2021,4
Total,Alemania,Viajero,2021M03,40944,2021,3
Total,Alemania,Viajero,2021M02,15557,2021,2
Total,Alemania,Viajero,2021M01,19980,2021,1
Total,Alemania,Pernoctaciones,2025M12,1709469,2025,12
Total,Alemania,Pernoctaciones,2025M11,2017765,2025,11
Total,Alemania,Pernoctaciones,2025M10,4733643,2025,10
Total,Alemania,Pernoctaciones,2025M09,4950489,2025,9
Total,Alemania,Pernoctaciones,2025M08,4659009,2025,8
Total,Alemania,Pernoctaciones,2025M07,4327557,2025,7
Total,Alemania,Pernoctaciones,2025M06,4581005,2025,6
Total,Alemania,Pernoctaciones,2025M05,4145806,2025,5
Total,Alemania,Pernoctaciones,2025M04,3228570,2025,4
Total,Alemania,Pernoctaciones,2025M03,2563910,2025,3
Total,Alemania,Pernoctaciones,2025M02,1847625,2025,2
Total,Alemania,Pernoctaciones,2025M01,1679162,2025,1
Total,Alemania,Pernoctaciones,2024M12,1762158,2024,12
Total,Alemania,Pernoctaciones,2024M11,2059727,2024,11
Total,Alemania,Pernoctaciones,2024M10,4990492,2024,10
Total,Alemania,Pernoctaciones,2024M09,5060994,2024,9
Total,Alemania,Pernoctaciones,2024M08,4762987,2024,8
Total,Alemania,Pernoctaciones,2024M07,4634009,2024,7
Total,Alemania,Pernoctaciones,2024M06,4495932,2024,6
Total,Alemania,Pernoctaciones,2024M05,4679079,2024,5
Total,Alemania,Pernoctaciones,2024M04,3173927,2024,4
Total,Alemania,Pernoctaciones,2024M03,2988329,2024,3
Total,Alemania,Pernoctaciones,2024M02,1877629,2024,2
Total,Alemania,Pernoctaciones,2024M01,1619813,2024,1
Total,Alemania,Pernoctaciones,2023M12,1634262,2023,12
Total,Alemania,Pernoctaciones,2023M11,2004674,2023,11
Total,Alemania,Pernoctaciones,2023M10,4543616,2023,10
Total,Alemania,Pernoctaciones,2023M09,5054810,2023,9
Total,Alemania,Pernoctaciones,2023M08,4553050,2023,8
Total,Alemania,Pernoctaciones,2023M07,4461214,2023,7
Total,Alemania,Pernoctaciones,2023M06,4451013,2023,6
Total,Alemania,Pernoctaciones,2023M05,4113960,2023,5
Total,Alemania,Pernoctaciones,2023M04,3143902,2023,4
Total,Alemania,Pernoctaciones,2023M03,2266807,2023,3
Total,Alemania,Pernoctaciones,2023M02,1653987,2023,2
Total,Alemania,Pernoctaciones,2023M01,1527076,2023,1
Total,Alemania,Pernoctaciones,2022M12,1461766,2022,12
Total,Alemania,Pernoctaciones,2022M11,1778704,2022,11
Total,Alemania,Pernoctaciones,2022M10,3976465,2022,10
Total,Alemania,Pernoctaciones,2022M09,4793552,2022,9
Total,Alemania,Pernoctaciones,2022M08,4665352,2022,8
Total,Alemania,Pernoctaciones,2022M07,4502389,2022,7
Total,Alemania,Pernoctaciones,2022M06,4688446,2022,6
Total,Alemania,Pernoctaciones,2022M05,3668543,2022,5
