Puntos turísticos,Viajeros y pernoctaciones,Residencia,Periodo,Total,año,mes,cod_postal_ciudad,nombre_ciudad
01059 Vitoria-Gasteiz,Viajero,Residentes en España,2021M12,16766,2021,12,01059,Vitoria-Gasteiz
01059 Vitoria-Gasteiz,Viajero,Residentes en España,2021M11,16728,2021,11,01059,Vitoria-Gasteiz
01059 Vitoria-Gasteiz,Viajero,Residentes en España,2021M10,21467,2021,10,01059,Vitoria-Gasteiz
01059 Vitoria-Gasteiz,Viajero,Residentes en España,2021M09,18647,2021,9,01059,Vitoria-Gasteiz
01059 Vitoria-Gasteiz,Viajero,Residentes en España,2021M08,26661,2021,8,01059,Vitoria-Gasteiz
01059 Vitoria-Gasteiz,Viajero,Residentes en España,2021M07,19567,2021,7,01059,Vitoria-Gasteiz
01059 Vitoria-Gasteiz,Viajero,Residentes en España,2021M06,14399,2021,6,01059,Vitoria-Gasteiz
01059 Vitoria-Gasteiz,Viajero,Residentes en España,2021M05,11338,2021,5,01059,Vitoria-Gasteiz
01059 Vitoria-Gasteiz,Viajero,Residentes en España,2021M04,9879,2021,4,01059,Vitoria-Gasteiz
01059 Vitoria-Gasteiz,Viajero,Residentes en España,2021M03,9124,2021,3,01059,Vitoria-Gasteiz
01059 Vitoria-Gasteiz,Viajero,Residentes en España,2021M02,5979,2021,2,01059,Vitoria-Gasteiz
01059 Vitoria-Gasteiz,Viajero,Residentes en España,2021M01,6023,2021,1,01059,Vitoria-Gasteiz
01059 Vitoria-Gasteiz,Viajero,Residentes en el Extranjero,2025M12,6265,2025,12,01059,Vitoria-Gasteiz
01059 Vitoria-Gasteiz,Viajero,Residentes en el Extranjero,2025M11,6114,2025,11,01059,Vitoria-Gasteiz
01059 Vitoria-Gasteiz,Viajero,Residentes en el Extranjero,2025M10,10308,2025,10,01059,Vitoria-Gasteiz
01059 Vitoria-Gasteiz,Viajero,Residentes en el Extranjero,2025M09,10750,2025,9,01059,Vitoria-Gasteiz
01059 Vitoria-Gasteiz,Viajero,Residentes en el Extranjero,2025M08,17452,2025,8,01059,Vitoria-Gasteiz
01059 Vitoria-Gasteiz,Viajero,Residentes en el Extranjero,2025M07,16512,2025,7,01059,Vitoria-Gasteiz
01059 Vitoria-Gasteiz,Viajero,Residentes en el Extranjero,2025M06,9685,2025,6,01059,Vitoria-Gasteiz
01059 Vitoria-Gasteiz,Viajero,Residentes en el Extranjero,2025M05,10147,2025,5,01059,Vitoria-Gasteiz
01059 Vitoria-Gasteiz,Viajero,Residentes en el Extranjero,2025M04,8852,2025,4,01059,Vitoria-Gasteiz
01059 Vitoria-Gasteiz,Viajero,Residentes en el Extranjero,2025M03,6903,2025,3,01059,Vitoria-Gasteiz
01059 Vitoria-Gasteiz,Viajero,Residentes en el Extranjero,2025M02,4621,2025,2,01059,Vitoria-Gasteiz
01059 Vitoria-Gasteiz,Viajero,Residentes en el Extranjero,2025M01,5499,2025,1,01059,Vitoria-Gasteiz
01059 Vitoria-Gasteiz,Viajero,Residentes en el Extranjero,2024M12,6277,2024,12,01059,Vitoria-Gasteiz
