ENCUESTA ANUAL LABORAL,,,EAL
,,,Volver al índice
"EAL-C3. TRABAJADORES CON CONTRATO TEMPORAL, SEGÚN SEXO, POR TAMAÑO DE LA EMPRESA, ACTIVIDAD ECONÓMICA Y COMUNIDAD AUTÓNOMA (1)",,,
Año 2020. Porcentaje respecto al total de trabajadores en cada categoría.,,,
,PORCENTAJE DE TEMPORALIDAD (2),,
,TOTAL,Varones,Mujeres
TOTAL,23.4,24,22.5
TAMAÑO DE LA EMPRESA,,,
De 5 a 9 trabajadores,26.5,28.6,23.4
De 10 a 49 trabajadores,24,25.1,21.9
De 50 a 249 trabajadores,22,22.2,21.7
De 250 a 499 trabajadores,21.5,20.7,22.8
Más de 499 trabajadores,23.1,23.3,22.9
ACTIVIDAD ECONÓMICA,,,
Industria,16.8,16.7,17
Construcción,44.1,46.7,23.7
Comercio y reparación de vehículos,17.1,15.9,18.4
Transporte y almacenamiento,22.3,22.9,20.5
Hostelería,26.4,26.4,26.3
"Información, comunicaciones, actividades financieras, de seguros e inmobiliarias",9,9,9
"Actividades profesionales, científicas y técnicas",19,19.4,18.6
Actividades administrativas y servicios auxiliares,40,43.9,36.7
"Actividades artísticas, recreativas y de entretenimiento y otros servicios",29.4,30.3,28.4
COMUNIDAD AUTÓNOMA,,,
Andalucía ,34.6,35.3,33.3
Aragón ,20.1,20.2,20
Asturias (Principado de),24.9,25.3,24.3
Balears (Illes),20.7,23.8,16.2
Canarias ,26.3,26.8,25.5
Cantabria ,23.8,23.9,23.7
Castilla-La Mancha,26.9,27.3,25.9
Castilla y León,23,22.9,23.2
Cataluña ,19.9,20.1,19.7
Comunitat Valenciana ,23.9,25.2,22.1
Extremadura ,29.2,30,27.9
Galicia ,23.9,24.5,23.3
Madrid (Comunidad de),21.2,21.5,20.9
Murcia (Región de),30,30.6,28.9
Navarra (Comunidad Foral de),21.3,21,21.8
País Vasco ,21.5,21.3,21.9
"Rioja, La",18.3,18,18.9
(1) Datos obtenidos a partir del marco del que se extrae la muestra de la Encuesta. Dicho marco es una explotación específica de los ficheros de Cuentas de Cotización a la Seguridad Social en el último día de cada uno de los doce meses del Año 2020.,,,
(2) El porcentaje de temporalidad para cada empresa del marco se ha calculado como suma de trabajadores temporales en el último día de cada uno de los doce meses del año entre suma de total trabajadores en el último día de cada uno de los doce meses del año.,,,
