ENCUESTA ANUAL LABORAL,,,,,,,EAL
,,,,,,,Volver al índice
"EAL-C2. EMPRESAS, SEGÚN PORCENTAJE DE TRABAJADORES CON CONTRATO TEMPORAL, POR TAMAÑO DE LA EMPRESA, ACTIVIDAD ECONÓMICA Y COMUNIDAD AUTÓNOMA (1)",,,,,,,
Año 2020. Porcentaje respecto al total de trabajadores en cada categoría.,,,,,,,
                         ,PORCENTAJE DE TEMPORALIDAD,,,,,,
,TOTAL,De más de 0% hasta 20%,De más de 20% hasta 40%,De más de 40% hasta 60%,De más de 60% hasta 80%,De más de 80% hasta 100%,No tienen
                         ,,,,,,,
 TOTAL,100,39.7,21.7,11.4,6.6,5.8,14.8
TAMAÑO DE LA EMPRESA,,,,,,,
De 5 a 9 trabajadores,100,33.3,21,12,7,7.3,19.4
De 10 a 49 trabajadores,100,45.2,22.4,11,6.3,4.4,10.6
De 50 a 249 trabajadores,100,55.1,21.9,9.4,5.4,2.8,5.5
De 250 a 499 trabajadores,100,55.2,24.2,9.2,3.7,2.4,5.3
Más de 499 trabajadores,100,54,27.2,7.8,2.2,3.7,5.1
ACTIVIDAD ECONÓMICA,,,,,,,
Industria,100,51.3,21.2,7.8,3,1.9,14.8
Construcción,100,21.5,19.1,17.5,17.1,18.3,6.5
Comercio y reparación de vehículos,100,48,20.9,7.7,3,1.8,18.6
Transporte y almacenamiento,100,39.2,23.9,12.9,6.9,5,12.1
Hostelería,100,30.8,28.1,17,8.8,7.4,7.9
"Información, comunicaciones, actividades financieras, de seguros e inmobiliarias",100,42.8,13.4,6.6,2.9,2.4,32
"Actividades profesionales, científicas y técnicas",100,46.5,15.6,5.8,2.9,1.7,27.5
Actividades administrativas y servicios auxiliares,100,32,24.9,16.2,8.7,7.3,10.9
"Actividades artísticas, recreativas y de entretenimiento y otros servicios",100,34,22.3,13,7.8,10.2,12.7
COMUNIDAD AUTÓNOMA,,,,,,,
Andalucía ,100,27.7,23.4,16.6,11.5,13.6,7.1
Aragón ,100,44.9,23.9,9.4,4.4,3.5,13.9
Asturias (Principado de),100,39.6,24,12.5,6.6,4.7,12.6
Balears (Illes),100,43.1,21.4,10.5,6.1,4.7,14.3
Canarias ,100,39.4,23.9,11.5,6.5,5.3,13.4
Cantabria ,100,42.5,22.8,11.4,6.8,4.4,12
Castilla-La Mancha,100,37.1,24.4,13.1,8,6.4,10.9
Castilla y León,100,44.3,22.8,10.2,4.9,3.2,14.6
Cataluña ,100,44.4,19.5,8.8,4.5,3.4,19.4
Comunitat Valenciana ,100,39.2,23.7,12.7,7.2,5.9,11.3
Extremadura ,100,34.1,23.8,15.4,9.3,7.4,9.9
Galicia ,100,40.7,25.2,12.2,5.8,3.6,12.5
Madrid (Comunidad de),100,40.4,17.1,9.1,5.5,4.4,23.5
Murcia (Región de),100,38.4,24.9,13.2,7.1,6.3,10
Navarra (Comunidad Foral de),100,47.3,23.5,9.9,4,3.2,12.1
País Vasco ,100,46.7,20.3,8.7,4.2,3.6,16.4
"Rioja, La",100,50.9,20.4,9,3.4,2.3,14.1
(1)  Datos obtenidos a partir del marco del que se extrae la muestra de la Encuesta. Dicho marco es una explotación específica de los ficheros de Cuentas de Cotización a la Seguridad Social en el último día de cada uno de los doce meses del Año 2020.,,,,,,,
El porcentaje de temporalidad para cada empresa del marco se ha calculado como suma de trabajadores temporales en el último día de cada uno de los doce meses del año entre la suma del total trabajadores en el último día de cada uno de los doce meses del año.,,,,,,,
