ENCUESTA ANUAL LABORAL,,,,,EAL
,,,,,Volver al índice
"EAL-16a. EMPRESAS, SEGÚN ACTIVIDAD ECONÓMICA, POR COMPETENCIAS CONSIDERADAS IMPORTANTES PARA EL DESARROLLO DE LA EMPRESA EN LOS PRÓXIMOS AÑOS (1)",,,,,
Año 2020. Porcentaje sobre el total de empresas en cada categoría.,,,,,
,TOTAL,INDUSTRIA,CONSTRUCCIÓN,COMERCIO Y REPARACIÓN VEHÍCULOS,TRANSPORTE Y ALMACENAMIENTO
De dirección,39.91,42,44.881,36.58,48.075
De trabajo en equipo,58.868,53.228,60.682,56.153,47.373
De atención al público/ trato a clientes,49.737,29.731,23.123,66.486,36.21
Administrativas de oficina,17.702,16.782,22.827,20.166,27.915
Técnicas específicas del puesto de trabajo,23.85,42.855,40.034,17.206,30.221
"De resolución de problemas (localización de problemas o fallos, análisis de sus causas y búsqueda de soluciones)",34.018,38.633,37.455,33.314,36.313
En lenguas extranjeras,9.962,7.807,2.872,7.75,7.701
Generales de tecnologías de la información ,12.539,11.654,8.333,15.195,12.108
Profesionales de tecnologías de la información ,5.794,5.978,2.106,6.223,5.103
De cálculo o lingüísticas,0.749,0.435,0.724,0.945,0.95
De comunicación oral o escrita,2.314,1.253,1.016,1.865,2.149
Otras ,5.378,6.156,8.059,4.533,6.124
No sabe,1.276,1.063,1.482,0.907,2.047
,HOSTELERÍA,"INFORMACIÓN, COMUNIC., ACT.FINANCIERAS, DE SEGUROS E INMOBILIARIAS","ACT. PROFESIONALES, CIENTÍFICAS Y TÉCNICAS",ACT. ADM. Y SERVICIOS AUXILIARES,"ACT. ARTÍSTICAS, RECREATIVAS Y DE ENTRETENIMIENTO Y OTROS SERVICIOS"
De dirección,33.998,36.407,43.28,41.95,42.807
De trabajo en equipo,71.78,53.295,59.187,55.598,63.453
De atención al público/ trato a clientes,78.092,39.976,39.818,41.967,52.059
Administrativas de oficina,4.145,13.755,28.472,22.408,13.347
Técnicas específicas del puesto de trabajo,7.222,15.976,17.474,20.978,23.481
"De resolución de problemas (localización de problemas o fallos, análisis de sus causas y búsqueda de soluciones)",30.232,34.186,29.475,39.113,26.478
En lenguas extranjeras,18.577,17.437,12.591,7.498,10.085
Generales de tecnologías de la información ,5.242,20.464,27.128,13.514,8.413
Profesionales de tecnologías de la información ,0.719,28.059,8.715,7.382,2.976
De cálculo o lingüísticas,0.723,0.258,1.111,0.587,0.833
De comunicación oral o escrita,0.767,7.7,5.951,3.429,4.274
Otras ,4.103,5.513,3.888,3.813,7.234
No sabe,0.577,2.089,2.278,0.889,2.575
(1) Una empresa puede haber señalado de una a tres competencias.,,,,,
