ENCUESTA ANUAL LABORAL,,,,EAL
,,,,Volver al índice
"EAL-21. EMPRESAS QUE PROPORCIONARON FORMACIÓN A SUS TRABAJADORES, SEGÚN SECTOR DE ACTIVIDAD, POR COMPETENCIAS EN LAS QUE SE HAN FORMADO (1)",,,,
Año 2023. Porcentaje sobre el total de empresas formadoras en cada categoría.,,,,
,TOTAL,INDUSTRIA,CONSTRUCCIÓN,SERVICIOS
De dirección,11.720302260634622,10.913108218454296,13.238076412616836,11.605946351102732
De trabajo en equipo,25.101615980470772,19.03309476920121,21.187134668059752,27.32357417039544
De atención al público/ trato a clientes,21.546537946507925,9.733896921081705,5.017931268178352,27.663706362005133
Administrativas de oficina,15.40415312116101,14.693308996589654,11.117386270578601,16.43423353851046
Técnicas específicas del puesto de trabajo,41.047325988805454,56.88793890196455,60.44955242425098,33.40109478274695
"De resolución de problemas (localización de problemas o fallos, análisis de sus causas y búsqueda de soluciones)",12.089240358825876,10.387146356693405,5.224070256685398,13.872169350625752
En lenguas extranjeras,8.198404954988762,9.109467313511695,2.535791940812696,9.121675335589524
Generales de tecnologías de la información ,12.247243827002002,11.383832076468611,10.657103323638212,12.771708269925274
Profesionales de tecnologías de la información ,6.125399452517983,4.063595753878668,2.134809250840087,7.41533604379131
Básicas de cálculo y/o comunicación oral o escrita,1.9142120169537722,1.191219559056631,1.0504616948578205,2.2582733322733777
Otras ,18.897609802535165,19.981747442240263,21.480812131138283,18.12183432893452
(1) Una empresa puede haber señalado de una a tres competencias.,,,,
