ENCUESTA ANUAL LABORAL,,,,,,EAL
,,,,,,Volver al índice
"EAL-17. EMPRESAS, SEGÚN SI IMPARTIERON FORMACIÓN, POR TAMAÑO DE LA EMPRESA, ACTIVIDAD ECONÓMICA Y COMUNIDAD AUTÓNOMA",,,,,,
Año 2020. Porcentaje sobre el total de empresas en cada categoría.,,,,,,
,TOTAL,EMPRESAS QUE PROPORCIONAN FORMACIÓN,,,,EMPRESAS QUE NO PROPORCIONAN FORMACIÓN
,,Total ,Impartición de cursos y otros tipos de formación (1),Sólo impartición de cursos (1),Sólo otros tipos de formación (1),
TOTAL,100,60.474,61.509,23.845,14.646,39.526
TAMAÑO DE LA EMPRESA,,,,,,
De 5 a 9 trabajadores,100,50.105,55.55,25.647,18.803,49.895
De 10 a 49 trabajadores,100,68.289,62.637,24.125,13.238,31.711
De 50 a 249 trabajadores,100,90.475,78.506,16.823,4.671,9.525
De 250 a 499 trabajadores,100,96.142,88.123,10.045,1.831,3.858
Más de 499 trabajadores,100,98.119,90.16,8.882,0.958,1.881
ACTIVIDAD ECONÓMICA,,,,,,
Industria,100,64.707,64.553,22.506,12.941,35.293
Construcción,100,63.456,64.279,25.044,10.677,36.544
Comercio y reparación de vehículos,100,57.632,58.904,25.006,16.09,42.368
Transporte y almacenamiento,100,68.179,66.108,26.779,7.113,31.821
Hostelería,100,47.102,44.46,27.994,27.546,52.898
"Información, comunicaciones, actividades financieras, de seguros e inmobiliarias",100,69.921,74.531,17.19,8.279,30.079
"Actividades profesionales, científicas y técnicas",100,75.697,68.008,18.982,13.01,24.303
Actividades administrativas y servicios auxiliares,100,67.486,59.983,27.018,13,32.514
"Actividades artísticas, recreativas y de entretenimiento y otros servicios",100,51.259,69.572,17.892,12.536,48.741
COMUNIDAD AUTÓNOMA,,,,,,
Andalucía ,100,66.9,54.639,29.919,15.442,33.1
Aragón ,100,54.996,61.544,25.687,12.77,45.004
Asturias (Principado de),100,54.631,60.055,29.173,10.773,45.369
Balears (Illes),100,55.471,58.05,29.874,12.076,44.529
Canarias ,100,55.698,61.677,28.426,9.897,44.302
Cantabria ,100,55.234,64.287,22.992,12.72,44.766
Castilla-La Mancha,100,57.251,68.751,23.17,8.078,42.749
Castilla y León,100,63.125,67.856,18.973,13.172,36.875
Cataluña ,100,60.572,63.386,19.946,16.668,39.428
Comunitat Valenciana ,100,59.059,56.564,23.77,19.666,40.941
Extremadura ,100,51.856,63.219,18.89,17.891,48.144
Galicia ,100,62.53,61.704,25.845,12.451,37.47
Madrid (Comunidad de),100,60.053,65.001,22.158,12.842,39.947
Murcia (Región de),100,63.94,54.963,29.253,15.784,36.06
Navarra (Comunidad Foral de),100,69.052,64.485,24.076,11.438,30.948
País Vasco ,100,55.974,71.295,13.745,14.959,44.026
"Rioja, La",100,57.932,64.935,22.194,12.872,42.068
(1) Los porcentajes en estas columnas se calculan respecto al total de empresas que proporcionan formación en cada categoría.,,,,,,
