ENCUESTA ANUAL LABORAL,,,EAL
,,,Volver al índice
"EAL-M1. ERRORES DE MUESTREO, POR TAMAÑO DE LA EMPRESA, ACTIVIDAD ECONÓMICA Y COMUNIDAD AUTÓNOMA",,,
Año 2020. Coeficientes de variación en porcentaje.,,,
,EMPRESAS QUE HAN APLICADO  MEDIDAS DE FLEXIBLIDAD INTERNA SOBRE EL TOTAL DE EMPRESAS,EMPRESAS QUE HAN PROPORCIONADO FORMACIÓN A SUS TRABAJADORES SOBRE EL TOTAL DE EMPRESAS,EMPRESAS QUE PREVÉN UN AUMENTO DE SU PLANTILLA EN UN AÑO SOBRE EL TOTAL DE EMPRESAS
TOTAL,1.4497433983185328,1.3607550155432813,3.9062412371064275
TAMAÑO DE LA EMPRESA,,,
De 5 a 9 trabajadores,2.408351650998105,2.6875792272574928,7.563683636455274
De 10 a 49 trabajadores,1.8760532913982169,1.5377651379005473,5.007058167626262
De 50 a 249 trabajadores,1.552265222513215,0.6505202456226887,3.272159430643366
De 250 a 499 trabajadores,2.1813435616099732,0.5278502362514338,4.34100309453898
Más de 499 trabajadores,0.6561475662580035,0.15183338104271235,1.3978647835041986
ACTIVIDAD ECONÓMICA,,,
Industria,2.149400841632896,1.6140470694922062,4.8905845659563285
Construcción,4.336889619115198,2.583716527498595,7.783734697270489
Comercio y reparación de vehículos,3.9120885498525513,3.3238840673120356,9.903642069275254
Transporte y almacenamiento,6.8260214442634135,3.946567369389141,14.336869392512405
Hostelería,2.7391453634233227,6.346123008825397,13.474861418377419
"Información, comunicaciones, actividades financieras, de seguros e inmobiliarias",5.786941840543107,3.0571870016964464,6.820028808454635
"Actividades profesionales, científicas y técnicas",6.960344151874019,3.443458096888754,12.37719741992843
Actividades administrativas y servicios auxiliares,6.4724410945113595,4.150202214217087,14.094173689244494
"Actividades artísticas, recreativas y de entretenimiento y otros servicios",4.036121666166763,5.78134863366861,16.55387703786671
COMUNIDAD AUTÓNOMA,,,
Andalucía ,5.238774158426791,3.9851925428922206,12.79625103120564
Aragón ,4.334447516868471,4.8172894953543555,12.247944638662483
Asturias (Principado de),5.310162179434797,5.24705401205065,15.27473418571934
Balears (Illes),5.505821188507116,5.3748755368308645,18.12030404822856
Canarias ,4.465430326907157,5.549757209081469,18.774805468126353
Cantabria ,4.709555562778506,5.242572090228484,15.031181200781802
Castilla-La Mancha,5.263016168609735,4.787211930990577,13.85048634407351
Castilla y León,5.24386726893125,4.194915788492542,14.054404136047104
Cataluña ,3.6743875878065566,3.6267020847418925,9.696763514502026
Comunitat Valenciana ,4.390456382927551,4.39452863451287,10.840983550967017
Extremadura ,6.573955765559192,5.716201672013161,13.88652681962053
Galicia ,4.554036921379026,4.261987745016513,13.688628331970365
Madrid (Comunidad de),4.231217082392165,4.071675749265845,9.664386047352515
Murcia (Región de),5.668679084402466,4.512887989998764,13.712143146104713
Navarra (Comunidad Foral de),5.6155615961385115,3.9383206361709284,14.862455408389533
País Vasco ,4.2674308501042475,4.77702448168659,14.304781497026426
"Rioja, La",4.6013365186562005,4.286419304930781,15.864451556286133
