apartment_id,grupo_valoracion
927430,Notables (7-9)
928401,Notables (7-9)
931437,Excelentes (9-10)
933625,Notables (7-9)
935081,Notables (7-9)
935836,Excelentes (9-10)
936781,Excelentes (9-10)
936871,Excelentes (9-10)
939437,Excelentes (9-10)
942693,Notables (7-9)
943200,Excelentes (9-10)
947269,Notables (7-9)
951364,Notables (7-9)
952327,Excelentes (9-10)
954437,Excelentes (9-10)
954903,Insuficiente Bajo (0-3)
956256,Excelentes (9-10)
958020,Excelentes (9-10)
959089,Excelentes (9-10)
959840,Excelentes (9-10)
961665,Excelentes (9-10)
963533,Excelentes (9-10)
965621,Excelentes (9-10)
967804,Excelentes (9-10)
968469,Excelentes (9-10)
972024,Notables (7-9)
975297,Notables (7-9)
977261,Excelentes (9-10)
977631,Excelentes (9-10)
980773,Insuficiente Bajo (0-3)
983548,Excelentes (9-10)
986639,Excelentes (9-10)
986692,Excelentes (9-10)
987773,Notables (7-9)
990086,Excelentes (9-10)
993553,Insuficiente Bajo (0-3)
999573,Notables (7-9)
1000382,Excelentes (9-10)
1005240,Excelentes (9-10)
1005502,Notables (7-9)
1005819,Excelentes (9-10)
1007939,Excelentes (9-10)
1010493,Excelentes (9-10)
1011127,Notables (7-9)
1015826,Notables (7-9)
1020452,Excelentes (9-10)
1022983,Excelentes (9-10)
1027365,Notables (7-9)
1038867,Notables (7-9)
1038904,Notables (7-9)
1044902,Insuficiente Bajo (0-3)
1045513,Excelentes (9-10)
1051645,Notables (7-9)
1060042,Excelentes (9-10)
1065016,Excelentes (9-10)
1065863,Excelentes (9-10)
1066993,Notables (7-9)
1067941,Notables (7-9)
1068801,Notables (7-9)
1068919,Notables (7-9)
1069174,Excelentes (9-10)
1069572,Excelentes (9-10)
1073748,Excelentes (9-10)
1075276,Excelentes (9-10)
1078049,Notables (7-9)
1087155,Notables (7-9)
1090988,Excelentes (9-10)
1092321,Notables (7-9)
1094052,Excelentes (9-10)
1094228,Excelentes (9-10)
1095953,Insuficiente Bajo (0-3)
1097454,Notables (7-9)
1097523,Notables (7-9)
1098894,Excelentes (9-10)
1102069,Notables (7-9)
1102856,Excelentes (9-10)
1103288,Notables (7-9)
1106731,Notables (7-9)
1111412,Notables (7-9)
1114170,Excelentes (9-10)
1118161,Excelentes (9-10)
1119707,Excelentes (9-10)
1120751,Notables (7-9)
1121590,Notables (7-9)
1123440,Excelentes (9-10)
1125952,Notables (7-9)
1137823,Excelentes (9-10)
1139810,Excelentes (9-10)
1143827,Excelentes (9-10)
1144751,Excelentes (9-10)
1145799,Notables (7-9)
1146290,Excelentes (9-10)
1146914,Excelentes (9-10)
1147333,Notables (7-9)
1152737,Excelentes (9-10)
1156223,Excelentes (9-10)
1159566,Excelentes (9-10)
1160633,Notables (7-9)
1169088,Notables (7-9)
1169229,Suficientes (5-7)
1174149,Excelentes (9-10)
1182242,Excelentes (9-10)
1184401,Insuficiente Bajo (0-3)
1193162,Notables (7-9)
1194696,Excelentes (9-10)
1195793,Excelentes (9-10)
1196332,Notables (7-9)
1196447,Notables (7-9)
1197169,Excelentes (9-10)
1198074,Excelentes (9-10)
1199380,Excelentes (9-10)
1199594,Excelentes (9-10)
1204161,Excelentes (9-10)
1204581,Notables (7-9)
1206034,Excelentes (9-10)
1211082,Insuficiente Bajo (0-3)
1212211,Excelentes (9-10)
1213201,Excelentes (9-10)
1215049,Notables (7-9)
1215918,Notables (7-9)
1223803,Excelentes (9-10)
1224896,Excelentes (9-10)
1229186,Notables (7-9)
1231323,Notables (7-9)
1235805,Excelentes (9-10)
1241225,Notables (7-9)
1243138,Excelentes (9-10)
1245436,Excelentes (9-10)
1247304,Excelentes (9-10)
1250133,Notables (7-9)
1254955,Excelentes (9-10)
1255665,Notables (7-9)
1255912,Excelentes (9-10)
1257705,Excelentes (9-10)
1263442,Notables (7-9)
1264178,Excelentes (9-10)
1273077,Excelentes (9-10)
1276537,Excelentes (9-10)
1285388,Excelentes (9-10)
1285739,Notables (7-9)
1287567,Excelentes (9-10)
1294249,Excelentes (9-10)
1294911,Excelentes (9-10)
1296977,Notables (7-9)
1302878,Excelentes (9-10)
1303927,Excelentes (9-10)
1304845,Excelentes (9-10)
1305640,Excelentes (9-10)
1311003,Excelentes (9-10)
1313371,Excelentes (9-10)
1314537,Excelentes (9-10)
1314735,Excelentes (9-10)
1318990,Suficientes (5-7)
1332929,Excelentes (9-10)
1337590,Suficientes (5-7)
1342549,Excelentes (9-10)
1346199,Insuficiente Bajo (0-3)
1351010,Notables (7-9)
1351195,Excelentes (9-10)
1361784,Excelentes (9-10)
1362147,Notables (7-9)
1363752,Notables (7-9)
1373074,Excelentes (9-10)
1374753,Excelentes (9-10)
1387193,Excelentes (9-10)
1395084,Excelentes (9-10)
1397560,Excelentes (9-10)
1397748,Excelentes (9-10)
