ENCUESTA ANUAL LABORAL,,,,,,EAL
,,,,,,Volver al índice
"EAL-20. EMPRESAS QUE PROPORCIONARON FORMACIÓN A SUS TRABAJADORES, SEGÚN TAMAÑO DE LA EMPRESA, POR COMPETENCIAS EN LAS QUE SE HAN FORMADO (1)",,,,,,
Año 2021. Porcentaje sobre el total de empresas formadoras en cada categoría.,,,,,,
,TOTAL,DE 5 A 9 TRABAJADORES,DE 10 A 49 TRABAJADORES,DE 50 A 249 TRABAJADORES,DE 250 A 499 TRABAJADORES,MÁS DE 499 TRABAJADORES
De dirección,18.460771046731004,18.431138108099454,17.875769974371657,19.890610756608933,26.42626480086114,29.30019620667103
De trabajo en equipo,25.83836268631654,28.64325899672264,22.900274268243333,24.81920388939532,29.44025834230355,31.45846958796599
De atención al público/ trato a clientes,20.20861525696619,22.934036488636,17.154129760352504,20.783956244302644,18.353067814854683,27.07652060170046
Administrativas de oficina,18.01775995416786,19.536045605457282,16.87648936648532,16.675782436949255,13.078579117330463,11.8378024852845
Técnicas específicas del puesto de trabajo,46.67716986536809,43.31344143990264,48.14756530731532,56.57247037374658,52.529601722282024,53.56442119032047
"De resolución de problemas (localización de problemas o fallos, análisis de sus causas y búsqueda de soluciones)",11.202204683965665,12.234048231614233,10.32327683107774,9.595867517471893,13.02475780409042,14.192282537606278
En lenguas extranjeras,7.862088720749909,4.315010728811931,8.577626905265051,19.823761774536614,30.893433799784713,26.880313930673644
Generales de tecnologías de la información ,13.936822765930126,12.511609535298325,14.127062632075896,18.906107566089336,22.604951560818083,26.095487246566382
Profesionales de tecnologías de la información ,5.719139857169668,4.996103466313666,5.734904006114833,8.392585840170161,11.410118406889127,13.472858077174624
Básicas de cálculo y/o comunicación oral o escrita,1.9730538626418672,1.8724712563919166,1.9974371655950722,2.0905499848070495,3.821313240043057,3.2047089601046435
Otras ,13.93139007694663,12.097402666723603,15.574839260824604,15.271953813430569,15.823466092572659,13.865271419228254
(1) Una empresa puede haber señalado de una a tres competencias.,,,,,,
