,Año,TOTAL,De 250 a 499 trabajadores,Cataluña,Andalucía,Madrid (Comunidad de),País Vasco,Comunitat Valenciana,Transporte y almacenamiento
Empresas_con_ERTE,2023,3.74,9.15,3.1,3.96,4.45,3.61,5.47,2.0
Total_100,2023,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
El_0_porc,2023,88.75,62.42,88.68,87.68,87.18,85.24,90.28,87.65
De_0_a_25,2023,7.06,25.32,7.53,7.01,6.65,8.39,6.87,8.49
De_25_a_50,2023,1.45,3.28,0.98,2.17,2.46,2.63,1.03,0.9
De_50_a_75,2023,0.7,3.68,1.12,0.74,0.85,1.12,0.2,0.87
De_75_a_100,2023,0.48,2.6,0.44,0.22,0.17,0.65,0.68,0.86
El_100_porc,2023,1.56,2.7,1.25,2.17,2.69,1.98,0.94,1.22
