anio,tabla,pregunta,ambito,TOTAL,INDUSTRIA,CONSTRUCCIÓN,SERVICIOS
2024,EAL-21,EMPRESAS QUE PROPORCIONARON FORMACIÓN A SUS TRABAJADORES SEGÚN SECTOR DE ACTIVIDAD POR COMPETENCIAS EN LAS QUE SE HAN FORMADO (1),De dirección,16.34734049117611,16.486104569006123,15.70361466472053,16.439152691584518
2024,EAL-21,EMPRESAS QUE PROPORCIONARON FORMACIÓN A SUS TRABAJADORES SEGÚN SECTOR DE ACTIVIDAD POR COMPETENCIAS EN LAS QUE SE HAN FORMADO (1),De trabajo en equipo,28.49484758731334,24.620075860872152,24.630090724363928,30.078035844319576
2024,EAL-21,EMPRESAS QUE PROPORCIONARON FORMACIÓN A SUS TRABAJADORES SEGÚN SECTOR DE ACTIVIDAD POR COMPETENCIAS EN LAS QUE SE HAN FORMADO (1),De atención al público/ trato a clientes,24.5302665679378,9.157845154572724,5.801207750207492,31.456161897205707
2024,EAL-21,EMPRESAS QUE PROPORCIONARON FORMACIÓN A SUS TRABAJADORES SEGÚN SECTOR DE ACTIVIDAD POR COMPETENCIAS EN LAS QUE SE HAN FORMADO (1),Administrativas de oficina,17.027644082438602,19.208171157993903,14.684754300105892,16.99453314349683
2024,EAL-21,EMPRESAS QUE PROPORCIONARON FORMACIÓN A SUS TRABAJADORES SEGÚN SECTOR DE ACTIVIDAD POR COMPETENCIAS EN LAS QUE SE HAN FORMADO (1),Técnicas específicas del puesto de trabajo,50.83880970011107,64.15449835138955,66.28888698091068,44.985816604897344
2024,EAL-21,EMPRESAS QUE PROPORCIONARON FORMACIÓN A SUS TRABAJADORES SEGÚN SECTOR DE ACTIVIDAD POR COMPETENCIAS EN LAS QUE SE HAN FORMADO (1),"De resolución de problemas (localización de problemas o fallos, análisis de sus causas y búsqueda de soluciones)",11.20996853017401,12.928576740957434,10.912681377178671,10.889695573259138
2024,EAL-21,EMPRESAS QUE PROPORCIONARON FORMACIÓN A SUS TRABAJADORES SEGÚN SECTOR DE ACTIVIDAD POR COMPETENCIAS EN LAS QUE SE HAN FORMADO (1),En lenguas extranjeras,7.478711588300629,9.058680615811786,1.5454623508199536,8.258974665521851
2024,EAL-21,EMPRESAS QUE PROPORCIONARON FORMACIÓN A SUS TRABAJADORES SEGÚN SECTOR DE ACTIVIDAD POR COMPETENCIAS EN LAS QUE SE HAN FORMADO (1),Generales de tecnologías de la información,12.666990620757744,11.874953516622456,7.395323545405112,13.84158071493006
2024,EAL-21,EMPRESAS QUE PROPORCIONARON FORMACIÓN A SUS TRABAJADORES SEGÚN SECTOR DE ACTIVIDAD POR COMPETENCIAS EN LAS QUE SE HAN FORMADO (1),Profesionales de tecnologías de la información,5.3109187955078365,5.44661229144458,2.5385650095875905,5.807584040691672
2024,EAL-21,EMPRESAS QUE PROPORCIONARON FORMACIÓN A SUS TRABAJADORES SEGÚN SECTOR DE ACTIVIDAD POR COMPETENCIAS EN LAS QUE SE HAN FORMADO (1),Básicas de cálculo y/o comunicación oral o escrita,1.2549364432926078,1.2098073728834569,1.247817749921296,1.2661804823441185
2024,EAL-21,EMPRESAS QUE PROPORCIONARON FORMACIÓN A SUS TRABAJADORES SEGÚN SECTOR DE ACTIVIDAD POR COMPETENCIAS EN LAS QUE SE HAN FORMADO (1),Otras,13.934268172281872,13.35994248456752,17.400761283306146,13.40194980925779
