ENCUESTA ANUAL LABORAL,,,,EAL
,,,,Volver al índice
EAL-19. EMPRESAS QUE PROPORCIONARON FORMACIÓN A SUS TRABAJADORES SEGÚN SECTOR DE ACTIVIDAD POR TAMAÑO DE LA EMPRESA,,,,
Año 2024. Porcentaje sobre el total de empresas en cada categoría.,,,,
,TOTAL,INDUSTRIA,CONSTRUCCIÓN,SERVICIOS
TOTAL,73.46827753473718,76.22260015117158,77.71229037854188,72.14864303245587
De 5 a 9 trabajadores,65.3194233986582,63.058146457630485,71.26009485963338,64.62183870293512
De 10 a 49 trabajadores,79.22790528576526,80.66876873369925,83.54515050167224,78.05854535959848
De 50 a 249 trabajadores,94.75935347350412,97.16916780354707,95.04643962848297,93.74002359636339
De 250 a 499 trabajadores,98.38523644752019,99.46737683089215,100,97.81859931113662
Más de 499 trabajadores,99.27536231884058,99.78260869565217,98.71794871794872,99.1514360313316
