anio,tipo_cruce,valor_cruce,medio,porcentaje
2023,CCAA,Galicia,Cursos propios,30.26
2023,CCAA,Galicia,Cursos externos,74.33
2023,CCAA,Galicia,Formación en el puesto,52.91
2023,CCAA,Galicia,Rotación / intercambios,27.83
2023,CCAA,Galicia,Conferencias / seminarios,36.93
2023,CCAA,Madrid (Comunidad de),Cursos propios,41.93
2023,CCAA,Madrid (Comunidad de),Cursos externos,71.07
2023,CCAA,Madrid (Comunidad de),Formación en el puesto,63.0
2023,CCAA,Madrid (Comunidad de),Rotación / intercambios,28.93
2023,CCAA,Madrid (Comunidad de),Conferencias / seminarios,38.81
2023,CCAA,Murcia (Región de),Cursos propios,30.56
2023,CCAA,Murcia (Región de),Cursos externos,68.66
2023,CCAA,Murcia (Región de),Formación en el puesto,60.05
2023,CCAA,Murcia (Región de),Rotación / intercambios,27.97
2023,CCAA,Murcia (Región de),Conferencias / seminarios,30.07
2023,CCAA,Navarra (Comunidad Foral de),Cursos propios,34.98
2023,CCAA,Navarra (Comunidad Foral de),Cursos externos,74.09
2023,CCAA,Navarra (Comunidad Foral de),Formación en el puesto,55.39
2023,CCAA,Navarra (Comunidad Foral de),Rotación / intercambios,34.66
2023,CCAA,Navarra (Comunidad Foral de),Conferencias / seminarios,40.85
2023,CCAA,País Vasco,Cursos propios,37.06
2023,CCAA,País Vasco,Cursos externos,78.49
2023,CCAA,País Vasco,Formación en el puesto,54.33
2023,CCAA,País Vasco,Rotación / intercambios,23.55
2023,CCAA,País Vasco,Conferencias / seminarios,33.14
2023,CCAA,"Rioja, La",Cursos propios,32.82
2023,CCAA,"Rioja, La",Cursos externos,67.45
2023,CCAA,"Rioja, La",Formación en el puesto,60.63
2023,CCAA,"Rioja, La",Rotación / intercambios,25.79
2023,CCAA,"Rioja, La",Conferencias / seminarios,30.9
