ENCUESTA ANUAL LABORAL,,,,EAL
,,,,Volver al índice
"EAL-19. EMPRESAS QUE PROPORCIONARON FORMACIÓN A SUS TRABAJADORES, SEGÚN SECTOR DE ACTIVIDAD, POR TAMAÑO DE LA EMPRESA",,,,
Año 2021. Porcentaje sobre el total de empresas en cada categoría.,,,,
,TOTAL,INDUSTRIA,CONSTRUCCIÓN,SERVICIOS
TOTAL,67.29929670495578,72.05163923168985,70.62850339798601,65.63833307595579
De 5 a 9 trabajadores,58.897924490767814,62.046188229451204,62.64855687606112,57.727151719520165
De 10 a 49 trabajadores,73.61891059853653,74.20992303913542,78.36501221474111,72.54942035403255
De 50 a 249 trabajadores,91.84412042379104,94.58955223880596,95.76687116564418,90.09605829744949
De 250 a 499 trabajadores,95.96891694997572,99.40029985007496,96.49122807017544,94.23220973782772
Más de 499 trabajadores,97.55799755799755,97.8891820580475,98.18181818181819,97.50830564784053
