ENCUESTA ANUAL LABORAL,,,,,EAL
,,,,,Volver al índice
"EAL-25. EMPRESAS QUE NO PROPORCIONARON FORMACIÓN A SUS TRABAJADORES, SEGÚN GRADO DE INFLUENCIA QUE SUPUSIERON CIERTOS MOTIVOS PARA NO PROPORCIONAR FORMACIÓN ",,,,,
Año 2021. Porcentaje sobre el total de empresas que no proporcionaron formación a sus trabajadores.,,,,,
,TOTAL,NADA,POCO,BASTANTE,MUCHO
El nivel de formación de los empleados era el apropiado para las necesidades de la empresa,100,8.252,11.022,49.075,31.65
"La estrategia preferida de la empresa fue contratar personal con la cualificación, habilidades o competencias requeridas",100,22.656,16.102,41.784,19.458
Dificultad para evaluar la necesidades de formación de la empresa,100,32.646,45.35,18.455,3.548
La falta de cursos de formación adecuados en el mercado,100,32.612,40.011,23.237,4.14
El alto coste de los cursos de formación,100,32.471,35.402,24.192,7.935
La empresa prefirió tener personal con contrato de formación y aprendizaje o formación por convenio de formación profesional dual,100,72.632,18.771,7.048,1.549
El mayor esfuerzo realizado en años anteriores para ofrecer formación a sus trabajadores,100,42.927,33.179,20.706,3.189
La elevada carga de trabajo y el escaso tiempo disponible de los empleados de su empresa,100,29.947,24.183,35.038,10.832
Dificultad para acceder a ayudas o subvenciones públicas,100,33.525,33.42,26.36,6.694
Cancelación o aplazamiento de las actividades de formación debido a las restricciones por COVID,100,43.909,30.088,17.546,8.457
Otras razones,100,61.03,25.17,10.355,3.445
"EAL-25a. EMPRESAS DE 5 A 49 TRABAJADORES QUE NO PROPORCIONARON FORMACIÓN A SUS TRABAJADORES, SEGÚN GRADO DE INFLUENCIA QUE SUPUSIERON CIERTOS MOTIVOS PARA NO PROPORCIONAR FORMACIÓN ",,,,,
Año 2021. Porcentaje sobre el total de empresas de 5 a 49 trabajadores que no proporcionaron formación a sus trabajadores.,,,,,
,TOTAL,NADA,POCO,BASTANTE,MUCHO
El nivel de formación de los empleados era el apropiado para las necesidades de la empresa,100,8.221,10.814,49.139,31.826
"La estrategia preferida de la empresa fue contratar personal con la cualificación, habilidades o competencias requeridas",100,22.742,15.877,41.863,19.518
Dificultad para evaluar la necesidades de formación de la empresa,100,32.725,45.247,18.48,3.548
La falta de cursos de formación adecuados en el mercado,100,32.768,39.761,23.365,4.106
El alto coste de los cursos de formación,100,32.629,35.169,24.218,7.984
La empresa prefirió tener personal con contrato de formación y aprendizaje o formación por convenio de formación profesional dual,100,72.803,18.612,7.03,1.555
El mayor esfuerzo realizado en años anteriores para ofrecer formación a sus trabajadores,100,43.055,32.942,20.792,3.212
La elevada carga de trabajo y el escaso tiempo disponible de los empleados de su empresa,100,30.084,24.072,34.976,10.868
Dificultad para acceder a ayudas o subvenciones públicas,100,33.547,33.282,26.453,6.718
Cancelación o aplazamiento de las actividades de formación debido a las restricciones por COVID,100,44.076,29.956,17.576,8.392
Otras razones,100,61.09,25.139,10.335,3.436
"EAL-25b. EMPRESAS DE 50 O MÁS TRABAJADORES QUE NO PROPORCIONARON FORMACIÓN A SUS TRABAJADORES, SEGÚN GRADO DE INFLUENCIA QUE SUPUSIERON CIERTOS MOTIVOS PARA NO PROPORCIONAR FORMACIÓN ",,,,,
Año 2021. Porcentaje sobre el total de empresas de más de 50 trabajadores no que proporcionaron formación a sus trabajadores.,,,,,
,TOTAL,NADA,POCO,BASTANTE,MUCHO
El nivel de formación de los empleados era el apropiado para las necesidades de la empresa,100,10.171,23.72,45.158,20.951
"La estrategia preferida de la empresa fue contratar personal con la cualificación, habilidades o competencias requeridas",100,17.406,29.846,36.933,15.816
Dificultad para evaluar la necesidades de formación de la empresa,100,27.873,51.618,16.956,3.553
La falta de cursos de formación adecuados en el mercado,100,23.111,55.293,15.393,6.203
El alto coste de los cursos de formación,100,22.847,49.599,22.598,4.956
La empresa prefirió tener personal con contrato de formación y aprendizaje o formación por convenio de formación profesional dual,100,62.179,28.447,8.171,1.203
El mayor esfuerzo realizado en años anteriores para ofrecer formación a sus trabajadores,100,35.113,47.646,15.468,1.773
La elevada carga de trabajo y el escaso tiempo disponible de los empleados de su empresa,100,21.574,30.965,38.846,8.614
Dificultad para acceder a ayudas o subvenciones públicas,100,32.174,41.858,20.728,5.239
Cancelación o aplazamiento de las actividades de formación debido a las restricciones por COVID,100,33.753,38.136,15.731,12.38
Otras razones,100,57.364,27.058,11.58,3.998
"EAL-25c. EMPRESAS DE LA INDUSTRIA QUE NO PROPORCIONARON FORMACIÓN A SUS TRABAJADORES, SEGÚN GRADO DE INFLUENCIA QUE SUPUSIERON CIERTOS MOTIVOS PARA NO PROPORCIONAR FORMACIÓN ",,,,,
Año 2021. Porcentaje sobre el total de empresas en la industria que no proporcionaron formación a sus trabajadores.,,,,,
,TOTAL,NADA,POCO,BASTANTE,MUCHO
