ENCUESTA ANUAL LABORAL,,,,,,EAL
,,,,,,Volver al índice
"EAL-C1. EMPRESAS  Y TRABAJADORES SEGÚN SEXO POR TAMAÑO DE LA EMPRESA, ACTIVIDAD ECONÓMICA Y COMUNIDAD AUTÓNOMA (1)",,,,,,
Año 2024,,,,,,
,TOTAL EMPRESAS,TOTAL TRABAJADORES,VARONES,MUJERES,DISTRIBUCIÓN PORCENTUAL,
,,,,,Varones,Mujeres
TOTAL,352936,10932782,6370693,4562089,58.3,41.7
TAMAÑO DE LA EMPRESA,,,,,,
De 5 a 9 trabajadores,177523,1152611,659562,493049,57.2,42.8
De 10 a 49 trabajadores,148531,2922930,1858509,1064421,63.6,36.4
De 50 a 249 trabajadores,22211,2229934,1398770,831164,62.7,37.3
De 250 a 499 trabajadores,2601,896026,518238,377788,57.8,42.2
Más de 499 trabajadores,2070,3731281,1935614,1795667,51.9,48.1
ACTIVIDAD ECONÓMICA,,,,,,
Industria,52920,2208897,1555762,653135,70.4,29.6
Construcción,44962,923622,755620,168002,81.8,18.2
Comercio y reparación de vehículos,81943,2243843,1129605,1114238,50.3,49.7
Transporte y almacenamiento,19736,746918,561512,185406,75.2,24.8
Hostelería,65382,1234682,561053,673629,45.4,54.6
"Información, comunicaciones, actividades financieras, de seguros e inmobiliarias",18673,969344,558859,410485,57.7,42.3
"Actividades profesionales, científicas y técnicas",27570,751802,369618,382184,49.2,50.8
Actividades administrativas y servicios auxiliares,19702,1309813,612262,697551,46.7,53.3
"Actividades artísticas, recreativas y de entretenimiento y otros servicios",22048,543861,266402,277459,49,51
COMUNIDAD AUTÓNOMA,,,,,,
Andalucía ,55767,1207857,730079,477778,60.4,39.6
Aragón ,9927,275939,176380,99559,63.9,36.1
Asturias (Principado de),6344,155534,95234,60300,61.2,38.8
Balears (Illes),11335,283192,161889,121303,57.2,42.8
Canarias ,17208,406943,231471,175472,56.9,43.1
Cantabria ,3955,90595,54892,35703,60.6,39.4
Castilla-La Mancha,12965,275437,184065,91372,66.8,33.2
Castilla y León,15319,349344,206922,142422,59.2,40.8
Cataluña ,65954,2173558,1215919,957639,55.9,44.1
Comunitat Valenciana ,39969,1094404,631742,462662,57.7,42.3
Extremadura ,6091,113688,73544,40144,64.7,35.3
Galicia ,18809,472826,259416,213410,54.9,45.1
Madrid (Comunidad de),53753,3006810,1700768,1306042,56.6,43.4
Murcia (Región de),11568,303487,187318,116169,61.7,38.3
Navarra (Comunidad Foral de),4757,150155,96919,53236,64.5,35.5
País Vasco ,16669,518373,330174,188199,63.7,36.3
"Rioja, La",2546,54640,33961,20679,62.2,37.8
(1) Datos obtenidos a partir del marco del que se extrae la muestra de la encuesta. Dicho marco es una explotación específica de los ficheros de Cuentas de Cotización a la Seguridad Social en el último día de cada uno de los doce meses del año 2024.,,,,,,
Los datos de trabajadores de esta tabla se han calculado promediando los valores del último día de cada mes del año 2024 en los que la empresa ha estado activa y sumando para todas las empresas del marco.,,,,,,
