ENCUESTA ANUAL LABORAL,,,,,,,EAL
,,,,,,,Volver al índice
"EAL-C2. EMPRESAS SEGÚN PORCENTAJE DE TRABAJADORES CON CONTRATO DE DURACIÓN DETERMINADA POR TAMAÑO DE LA EMPRESA, ACTIVIDAD ECONÓMICA Y COMUNIDAD AUTÓNOMA (1)",,,,,,,
Año 2024. Porcentaje respecto al total de trabajadores en cada categoría.,,,,,,,
                         ,PORCENTAJE DE TEMPORALIDAD (2),,,,,,
,TOTAL,De más de 0% hasta 20%,De más de 20% hasta 40%,De más de 40% hasta 60%,De más de 60% hasta 80%,De más de 80% hasta 100%,No tienen
                         ,,,,,,,
 TOTAL,100,42.7,5.1,1.3,0.5,0.4,49.9
TAMAÑO DE LA EMPRESA,,,,,,,
De 5 a 9 trabajadores,100,33.7,5.3,1.5,0.5,0.4,58.4
De 10 a 49 trabajadores,100,49.1,4.6,1.1,0.4,0.4,44.4
De 50 a 249 trabajadores,100,66.2,5.7,1.2,0.4,0.4,26.1
De 250 a 499 trabajadores,100,71.3,7.5,1.3,0.5,0.6,18.8
Más de 499 trabajadores,100,73.9,6.1,1.3,1,0.7,17.1
ACTIVIDAD ECONÓMICA,,,,,,,
Industria,100,50.9,4,0.7,0.2,0.1,44.1
Construcción,100,34.6,4.5,1.3,0.5,0.3,58.8
Comercio y reparación de vehículos,100,43.8,4.2,0.8,0.2,0.1,50.8
Transporte y almacenamiento,100,42.2,4.9,1.2,0.4,0.1,51.2
Hostelería,100,42.6,7.3,2.4,0.8,0.4,46.4
"Información, comunicaciones, actividades financieras, de seguros e inmobiliarias",100,31.6,3,1,0.6,1.1,62.8
"Actividades profesionales, científicas y técnicas",100,38.9,3.1,0.6,0.2,0.1,57.1
Actividades administrativas y servicios auxiliares,100,49.4,8.2,2.2,1,0.7,38.5
"Actividades artísticas, recreativas y de entretenimiento y otros servicios",100,44.8,7.2,2.4,1.4,2.3,42
COMUNIDAD AUTÓNOMA,,,,,,,
Andalucía ,100,46.4,8.6,2.9,1.1,0.7,40.4
Aragón ,100,47.6,5.5,1,0.4,0.3,45.2
Asturias (Principado de),100,52.3,7.9,2,0.8,0.6,36.4
Balears (Illes),100,29.1,1.4,0.5,0.1,0.2,68.7
Canarias ,100,40.5,3.4,0.8,0.4,0.4,54.7
Cantabria ,100,51.6,8.5,2,0.6,0.9,36.4
Castilla-La Mancha,100,45.9,6.2,1.5,0.4,0.4,45.7
Castilla y León,100,48.9,5.5,1.1,0.4,0.3,43.8
Cataluña ,100,37.5,3.1,0.8,0.3,0.2,58.1
Comunitat Valenciana ,100,41.9,4.7,1.1,0.4,0.2,51.6
Extremadura ,100,52.1,9.3,2.7,0.8,0.8,34.3
Galicia ,100,50,6.1,1.4,0.4,0.3,41.8
Madrid (Comunidad de),100,36.3,3.5,1,0.4,0.4,58.4
Murcia (Región de),100,38.6,3.2,0.9,0.2,0.3,56.8
Navarra (Comunidad Foral de),100,58.8,7.1,1,0.6,0.7,31.8
País Vasco ,100,53.7,6.3,1.3,0.6,0.5,37.6
"Rioja, La",100,52.7,4.9,0.7,0.2,0.8,40.6
(1)  Datos obtenidos a partir del marco del que se extrae la muestra de la Encuesta. Dicho marco es una explotación específica de los ficheros de Cuentas de Cotización a la Seguridad Social en el último día de cada uno de los doce meses del año 2024.,,,,,,,
(2) El porcentaje de temporalidad para cada empresa del marco se ha calculado como suma de trabajadores temporales en el último día de cada uno de los doce meses del año entre la suma del total trabajadores en el último día de cada uno de los doce meses del año.,,,,,,,
