ENCUESTA ANUAL LABORAL,,,EAL
,,,Volver al índice
"EAL-C3. TRABAJADORES CON CONTRATO DE DURACIÓN DETERMINADA SEGÚN SEXO POR TAMAÑO DE LA EMPRESA, ACTIVIDAD ECONÓMICA Y COMUNIDAD AUTÓNOMA (1)",,,
Año 2024. Porcentaje respecto al total de trabajadores en cada categoría.,,,
,PORCENTAJE DE TEMPORALIDAD (2),,
,TOTAL,Varones,Mujeres
TOTAL,8.1,7.5,8.8
TAMAÑO DE LA EMPRESA,,,
De 5 a 9 trabajadores,5.4,5.2,5.7
De 10 a 49 trabajadores,5.4,5.1,5.8
De 50 a 249 trabajadores,6.9,6.5,7.5
De 250 a 499 trabajadores,8.4,7.9,9
Más de 499 trabajadores,11.6,11.2,11.9
ACTIVIDAD ECONÓMICA,,,
Industria,7.2,6.9,7.8
Construcción,5.2,5,5.9
Comercio y reparación de vehículos,6.3,5.4,7.3
Transporte y almacenamiento,7.8,7.1,9.9
Hostelería,7.5,6.7,8.2
"Información, comunicaciones, actividades financieras, de seguros e inmobiliarias",3.4,3,3.8
"Actividades profesionales, científicas y técnicas",4.8,4.7,4.9
Actividades administrativas y servicios auxiliares,18.4,19.8,17.1
"Actividades artísticas, recreativas y de entretenimiento y otros servicios",13.3,15.2,11.4
COMUNIDAD AUTÓNOMA,,,
Andalucía ,9.1,8.2,10.4
Aragón ,7.6,7.2,8.3
Asturias (Principado de),9.9,9.5,10.6
Balears (Illes),3.4,3.3,3.6
Canarias ,8.1,7.1,9.4
Cantabria ,9.6,9.1,10.5
Castilla-La Mancha,6.7,6.1,7.9
Castilla y León,7.7,6.9,8.9
Cataluña ,7.4,7,7.8
Comunitat Valenciana ,6.6,6,7.4
Extremadura ,9.1,8.5,10.3
Galicia ,9.6,8.4,11
Madrid (Comunidad de),8.7,8.3,9.2
Murcia (Región de),6.5,6,7.5
Navarra (Comunidad Foral de),9.6,9.6,9.6
País Vasco ,9.8,9.3,10.5
"Rioja, La",6.9,6.7,7.3
(1) Datos obtenidos a partir del marco del que se extrae la muestra de la encuesta. Dicho marco es una explotación específica de los ficheros de Cuentas de Cotización a la Seguridad Social en el último día de cada uno de los doce meses del Año 2024.,,,
(2) El porcentaje de temporalidad para cada empresa del marco se ha calculado como suma de trabajadores temporales en el último día de cada uno de los doce meses del año entre suma de total trabajadores en el último día de cada uno de los doce meses del año.,,,
