ENCUESTA ANUAL LABORAL,,,,,EAL
,,,,,Volver al índice
EAL-24. EMPRESAS QUE PROPORCIONARON FORMACIÓN A SUS TRABAJADORES SEGÚN GRADO DE LIMITACIÓN A LA FORMACIÓN  QUE SUPUSIERON CIERTOS MOTIVOS ,,,,,
Año 2024. Porcentaje sobre el total de empresas que proporcionaron formación a sus trabajadores.,,,,,
,TOTAL,NADA,POCO,BASTANTE,MUCHO
El nivel de formación de los empleados era el apropiado para las necesidades de la empresa,100,8.964,19.548,53.724,17.765
"La empresa prefirió contratar a personal con la cualificación, habilidades y competencias necesarias ",100,21.954,25.684,39.843,12.519
Dificultad para evaluar la necesidades de formación de la empresa,100,31.45,51.904,14.719,1.928
La falta de cursos de formación adecuados en el mercado,100,26.775,45.123,20.708,7.394
El alto coste de los cursos de formación,100,21.532,36.681,28.491,13.295
La empresa prefirió tener personal con contratos formativos o personal en formación por convenio de Formación profesional dual a proporcionar más formación a sus trabajadores ,100,68.584,23.204,6.415,1.797
El mayor esfuerzo realizado en años anteriores para ofrecer formación a sus trabajadores,100,32.592,42.286,20.426,4.696
La elevada carga de trabajo y el escaso tiempo disponible de los empleados de su empresa,100,15.221,28.392,39.031,17.356
Dificultad para acceder a ayudas o subvenciones públicas,100,25.833,36.915,23.157,14.095
Otras razones,100,68.296,22.73,5.969,3.004
EAL-24a. EMPRESAS DE 5 A 49 TRABAJADORES QUE PROPORCIONARON FORMACIÓN A SUS TRABAJADORES SEGÚN GRADO DE LIMITACIÓN A LA FORMACIÓN  QUE SUPUSIERON CIERTOS MOTIVOS ,,,,,
Año 2024. Porcentaje sobre el total de empresas de 5 a 49 trabajadores que proporcionaron formación a sus trabajadores.,,,,,
,TOTAL,NADA,POCO,BASTANTE,MUCHO
El nivel de formación de los empleados era el apropiado para las necesidades de la empresa,100,8.916,18.38,53.952,18.752
"La empresa prefirió contratar a personal con la cualificación, habilidades y competencias necesarias ",100,22.702,24.462,39.835,13.002
Dificultad para evaluar la necesidades de formación de la empresa,100,32.243,51.152,14.692,1.912
La falta de cursos de formación adecuados en el mercado,100,27.266,44.279,20.8,7.654
El alto coste de los cursos de formación,100,21.805,35.816,28.577,13.802
La empresa prefirió tener personal con contratos formativos o personal en formación por convenio de Formación profesional dual a proporcionar más formación a sus trabajadores ,100,68.811,22.687,6.594,1.908
