Zonas Turísticas;Viajeros y pernoctaciones;Residencia;Periodo;Total
Andalucía: Costa De Almería;Viajero;Residentes en España;2018M11;44.137
Andalucía: Costa De Almería;Viajero;Residentes en España;2018M10;73.792
Andalucía: Costa De Almería;Viajero;Residentes en España;2018M09;134.817
Andalucía: Costa De Almería;Viajero;Residentes en España;2018M08;197.456
Andalucía: Costa De Almería;Viajero;Residentes en España;2018M07;167.021
Andalucía: Costa De Almería;Viajero;Residentes en España;2018M06;134.981
Andalucía: Costa De Almería;Viajero;Residentes en España;2018M05;82.354
Andalucía: Costa De Almería;Viajero;Residentes en España;2018M04;78.044
Andalucía: Costa De Almería;Viajero;Residentes en España;2018M03;67.705
Andalucía: Costa De Almería;Viajero;Residentes en España;2018M02;43.880
Andalucía: Costa De Almería;Viajero;Residentes en España;2018M01;26.446
Andalucía: Costa De Almería;Viajero;Residentes en España;2017M12;37.792
Andalucía: Costa De Almería;Viajero;Residentes en España;2017M11;38.296
Andalucía: Costa De Almería;Viajero;Residentes en España;2017M10;63.052
Andalucía: Costa De Almería;Viajero;Residentes en España;2017M09;115.175
Andalucía: Costa De Almería;Viajero;Residentes en España;2017M08;157.226
Andalucía: Costa De Almería;Viajero;Residentes en España;2017M07;157.261
Andalucía: Costa De Almería;Viajero;Residentes en España;2017M06;127.343
Andalucía: Costa De Almería;Viajero;Residentes en España;2017M05;75.475
Andalucía: Costa De Almería;Viajero;Residentes en España;2017M04;86.378
Andalucía: Costa De Almería;Viajero;Residentes en España;2017M03;60.028
Andalucía: Costa De Almería;Viajero;Residentes en España;2017M02;45.307
Andalucía: Costa De Almería;Viajero;Residentes en España;2017M01;28.891
Andalucía: Costa De Almería;Viajero;Residentes en España;2016M12;31.864
Andalucía: Costa De Almería;Viajero;Residentes en España;2016M11;38.892
Andalucía: Costa De Almería;Viajero;Residentes en España;2016M10;60.772
Andalucía: Costa De Almería;Viajero;Residentes en España;2016M09;121.938
Andalucía: Costa De Almería;Viajero;Residentes en España;2016M08;166.783
Andalucía: Costa De Almería;Viajero;Residentes en España;2016M07;162.543
Andalucía: Costa De Almería;Viajero;Residentes en España;2016M06;127.533
Andalucía: Costa De Almería;Viajero;Residentes en España;2016M05;82.349
Andalucía: Costa De Almería;Viajero;Residentes en España;2016M04;68.073
Andalucía: Costa De Almería;Viajero;Residentes en España;2016M03;70.416
Andalucía: Costa De Almería;Viajero;Residentes en España;2016M02;50.714
Andalucía: Costa De Almería;Viajero;Residentes en España;2016M01;31.428
Andalucía: Costa De Almería;Viajero;Residentes en España;2015M12;36.955
Andalucía: Costa De Almería;Viajero;Residentes en España;2015M11;32.513
Andalucía: Costa De Almería;Viajero;Residentes en España;2015M10;55.889
Andalucía: Costa De Almería;Viajero;Residentes en España;2015M09;115.565
Andalucía: Costa De Almería;Viajero;Residentes en España;2015M08;183.681
Andalucía: Costa De Almería;Viajero;Residentes en España;2015M07;158.613
Andalucía: Costa De Almería;Viajero;Residentes en España;2015M06;129.309
Andalucía: Costa De Almería;Viajero;Residentes en España;2015M05;70.258
Andalucía: Costa De Almería;Viajero;Residentes en España;2015M04;65.759
Andalucía: Costa De Almería;Viajero;Residentes en España;2015M03;56.085
Andalucía: Costa De Almería;Viajero;Residentes en España;2015M02;42.024
Andalucía: Costa De Almería;Viajero;Residentes en España;2015M01;24.471
Andalucía: Costa De Almería;Viajero;Residentes en España;2014M12;34.259
Andalucía: Costa De Almería;Viajero;Residentes en España;2014M11;34.184
Andalucía: Costa De Almería;Viajero;Residentes en España;2014M10;52.826
Andalucía: Costa De Almería;Viajero;Residentes en España;2014M09;106.427
Andalucía: Costa De Almería;Viajero;Residentes en España;2014M08;166.134
Andalucía: Costa De Almería;Viajero;Residentes en España;2014M07;137.233
Andalucía: Costa De Almería;Viajero;Residentes en España;2014M06;111.265
