apartment_id,city,room_type,price_€,availability_30,availability_60,availability_90,availability_365,has_availability_numeric,occupancy_30,occupancy_rate_30,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,rating_above_80
1768203,madrid,Entire home/apt,550.0,5,9,9,9,,25,83.33,96.0,10.0,10.0,10.0,10.0,10.0,True
8728121,madrid,Entire home/apt,900.0,0,0,0,0,,30,100.0,100.0,10.0,10.0,10.0,10.0,10.0,True
8099214,barcelona,Entire home/apt,1000.0,12,21,51,312,,18,60.0,93.0,9.0,10.0,10.0,10.0,10.0,True
8345529,barcelona,Private room,400.0,6,22,46,130,,24,80.0,95.0,10.0,10.0,10.0,10.0,10.0,True
1304845,barcelona,Private room,400.0,25,55,85,360,,5,16.67,99.0,10.0,10.0,10.0,10.0,10.0,True
1264178,madrid,Private room,500.0,14,44,72,308,,16,53.33,95.0,10.0,10.0,10.0,10.0,10.0,True
7412177,barcelona,Entire home/apt,800.0,0,0,0,0,,30,100.0,100.0,10.0,9.0,10.0,10.0,9.0,True
16908827,madrid,Entire home/apt,370.0,3,14,30,31,,27,90.0,85.0,9.0,9.0,10.0,10.0,10.0,True
186221,barcelona,Private room,150.0,5,11,37,234,,25,83.33,89.0,9.0,10.0,10.0,9.0,9.0,True
17459613,madrid,Private room,350.0,11,29,47,47,,19,63.33,,,,,,,
7434098,madrid,Entire home/apt,590.0,10,28,53,328,,20,66.67,94.0,10.0,10.0,9.0,9.0,9.0,True
12086335,madrid,Private room,350.0,0,0,6,281,,30,100.0,,,,,,,
16471188,barcelona,Entire home/apt,750.0,0,7,15,160,,30,100.0,100.0,10.0,10.0,10.0,10.0,10.0,True
3880319,madrid,Entire home/apt,550.0,12,21,34,286,,18,60.0,93.0,10.0,10.0,10.0,10.0,10.0,True
1617393,madrid,Entire home/apt,1350.0,0,2,32,307,,30,100.0,60.0,4.0,8.0,6.0,8.0,8.0,False
17355483,barcelona,Entire home/apt,770.0,1,3,7,263,,29,96.67,,,,,,,
10100174,barcelona,Private room,300.0,5,29,58,333,,25,83.33,91.0,10.0,9.0,10.0,10.0,10.0,True
10073858,madrid,Shared room,250.0,30,60,90,365,,0,0.0,100.0,10.0,10.0,10.0,10.0,10.0,True
1194696,barcelona,Private room,260.0,1,14,44,134,,29,96.67,95.0,10.0,10.0,10.0,10.0,9.0,True
16740624,madrid,Private room,350.0,24,54,84,84,,6,20.0,93.0,10.0,10.0,10.0,10.0,10.0,True
9982451,madrid,Private room,200.0,1,1,5,280,,29,96.67,88.0,8.0,9.0,10.0,10.0,9.0,True
7588305,barcelona,Entire home/apt,1000.0,12,35,61,325,,18,60.0,,,,,,,
9876822,madrid,Entire home/apt,850.0,0,4,7,74,,30,100.0,100.0,10.0,10.0,10.0,10.0,10.0,True
10086645,barcelona,Entire home/apt,1000.0,0,0,0,0,,30,100.0,80.0,10.0,10.0,10.0,10.0,8.0,False
4704835,madrid,Private room,250.0,0,11,41,41,,30,100.0,100.0,10.0,10.0,10.0,10.0,9.0,True
5822353,madrid,Private room,320.0,5,5,5,277,,25,83.33,93.0,10.0,10.0,10.0,10.0,10.0,True
15053593,madrid,Entire home/apt,1000.0,18,40,66,66,,12,40.0,98.0,9.0,9.0,10.0,10.0,10.0,True
12825535,madrid,Private room,220.0,26,56,86,361,,4,13.33,,,,,,,
17820967,barcelona,Private room,290.0,10,27,51,168,,20,66.67,,,,,,,
6188369,madrid,Entire home/apt,700.0,0,0,0,0,,30,100.0,100.0,10.0,10.0,10.0,10.0,10.0,True
12872395,barcelona,Private room,280.0,0,0,0,0,,30,100.0,86.0,9.0,9.0,10.0,10.0,8.0,True
18030678,madrid,Entire home/apt,1250.0,6,6,6,6,,24,80.0,,,,,,,
12982507,madrid,Private room,360.0,7,37,67,102,,23,76.67,,,,,,,
12997259,barcelona,Entire home/apt,1200.0,4,14,38,38,,26,86.67,80.0,9.0,8.0,9.0,9.0,9.0,False
13028502,barcelona,Private room,500.0,0,0,0,0,,30,100.0,,,,,,,
14913422,madrid,Entire home/apt,1200.0,16,39,67,337,,14,46.67,97.0,9.0,9.0,10.0,10.0,10.0,True
943200,madrid,Private room,350.0,27,57,87,362,,3,10.0,91.0,9.0,9.0,10.0,10.0,10.0,True
17756450,barcelona,Private room,180.0,0,3,28,118,,30,100.0,100.0,10.0,10.0,10.0,10.0,10.0,True
14896686,barcelona,Private room,550.0,10,21,36,289,,20,66.67,84.0,8.0,8.0,10.0,9.0,9.0,True
13042848,madrid,Entire home/apt,900.0,6,6,11,64,,24,80.0,,,,,,,
14620999,madrid,Entire home/apt,2000.0,4,9,34,309,,26,86.67,90.0,8.0,8.0,10.0,9.0,9.0,True
13075457,madrid,Entire home/apt,990.0,6,11,18,283,,24,80.0,99.0,10.0,10.0,10.0,10.0,10.0,True
933625,barcelona,Entire home/apt,750.0,0,6,9,71,,30,100.0,87.0,9.0,9.0,10.0,9.0,9.0,True
717710,barcelona,Entire home/apt,650.0,0,0,14,254,,30,100.0,90.0,9.0,9.0,9.0,9.0,9.0,True
13260979,barcelona,Private room,190.0,4,4,4,102,,26,86.67,94.0,10.0,9.0,10.0,10.0,9.0,True
13202055,barcelona,Private room,700.0,1,12,17,252,,29,96.67,93.0,9.0,9.0,9.0,9.0,10.0,True
14234152,barcelona,Private room,500.0,0,0,0,66,,30,100.0,,,,,,,
14160614,barcelona,Shared room,250.0,23,53,83,358,,7,23.33,,,,,,,
14052769,barcelona,Entire home/apt,1500.0,0,0,0,0,,30,100.0,,,,,,,
