apartment_id,name,description,host_id,neighbourhood_name,neighbourhood_district,room_type,accommodates,bathrooms,bedrooms,beds,amenities_list,price_€,minimum_nights,maximum_nights,has_availability,availability_30,availability_60,availability_90,availability_365,number_of_reviews,first_review_date,last_review_date,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,is_instant_bookable,reviews_per_month,country,city,insert_date,has_availability_numeric,rating_above_80,occupancy_30,occupancy_rate_30,occupancy_60,occupancy_rate_60,occupancy_90,occupancy_rate_90,occupancy_365,occupancy_rate_365,is_instant_bookable_numeric,cat_premium,cat_confort,cat_conectividad,cat_familia,cat_seguridad,cat_parking,cat_cocina,logp
13384721,Apartamento loft muy centrico,"Lo mejor que tiene es que esta en una zona tranquila para descansar, pero a la vez, tiene todo el encanto del Madrid cultural y el encanto de los barrios pintorescos  para disfrutar en tu estancia del arte, gastronom�a,musica, cultura y sin tenerte que desplazar mucho.Ademas de tener Atocha a 5 min. y numerosos medios de transporte por si los quieres usar. Aunque lo mejor es poderlo hacer andando E",66110302,Embajadores,Centro,Entire home/apt,4,1,1,3,"TV,Wifi,Kitchen,Breakfast,Heating,Family/kid friendly,Washer,First aid kit,Essentials,Shampoo,Hangers,Hair dryer,Iron,Laptop friendly workspace,Private entrance,Hot water,Bed linens,Extra pillows and blankets,Microwave,Coffee maker,Refrigerator,Dishes and silverware,Cooking basics,Oven,Host greets you,Paid parking on premises",710.0,2,1125,VERDADERO,19,40,70,70,88,2016-07-04,2019-07-16,93.0,10.0,9.0,10.0,9.0,10.0,9.0,FALSO,225.0,spain,Madrid,2019-09-19,1.0,True,11,36.67,20,33.33,20,22.22,295,80.82,0,0,1,1,1,1,1,1,6.565264970035361
34880590,Double room in Malasa�a,"The apartment is located in the best area - Malasa�a. Its really peaceful even though there is a lot of bars and restaurants around. The apartment is pretty big and has all the basics that you need.  We post it just for the Champions League. Because of the neighbors we cant have parties here but we can show you the best places to drink! champions league weekend Im here all the time if you need Heart of the city with a lot of bars, restaurants, parks around Metro card will take you anywhere. I truly recommend walking as well.",221806993,Universidad,Centro,Private room,2,1,1,1,"Wifi,Kitchen,Smoking allowed,Heating,Washer,Essentials,Shampoo,Lock on bedroom door,Hangers,Hair dryer,Iron,Laptop friendly workspace,Private living room",1500.0,2,3,VERDADERO,28,58,88,363,0,,,,,,,,,,VERDADERO,,spain,Madrid,2019-09-19,1.0,,2,6.67,2,3.33,2,2.22,2,0.55,1,0,1,1,0,1,0,1,7.313220387090301
25872708,Bonita y amplia habitaci�n Parque del retiro!,"Habitaci�n en piso amplio con zonas comunes, silencioso y muy tranquilo.  El Barrio del parque del retiro es una de las mejores zonas para vivir y disfrutar de Madrid. Habitaci�n ideal para mes entero a muy buen precio y en un entorno relajado. Ven a conocerla y si te interesa saber m�s, escr�beme. Besos!!",194398787,Ibiza,Retiro,Private room,1,1,1,1,"TV,Cable TV,Wifi,Air conditioning,Wheelchair accessible,Kitchen,Paid parking off premises,Pets allowed,Doorman,Pets live on this property,Elevator,Buzzer/wireless intercom,Heating,Washer,Essentials,Shampoo,Lock on bedroom door,Hangers,Hair dryer,Iron,Laptop friendly workspace,Private living room,Private entrance,Hot water,Bed linens,Extra pillows and blankets,Microwave,Coffee maker,Refrigerator,Dishwasher,Dishes and silverware,Cooking basics,Oven,Luggage dropoff allowed,Long term stays allowed,Host greets you,Paid parking on premises",250.0,7,1125,VERDADERO,0,0,0,0,2,2018-06-30,2018-07-18,100.0,9.0,8.0,10.0,10.0,10.0,9.0,VERDADERO,13.0,spain,Madrid,2019-09-19,1.0,True,30,100.0,60,100.0,90,100.0,365,100.0,1,1,1,1,0,1,1,1,5.521460917862246
35158678,Habitaci�n para Wanda Metropolitano con desayuno,Habitaci�n agradable y acogedora cerca del estadio Wanda Metropolitano para la final de la Champions League. Bonitas vistas del horizonte de Madrid desde la habitaci�n. Hay dos camas individuales y escritorio de trabajo disponible.  Incluye desayuno y comida para llevar para el partido.,141092816,Arcos,San Blas - Canillejas,Private room,2,1,1,2,"Wifi,Breakfast,Elevator,Heating,First aid kit,Essentials,Shampoo,Hair dryer,Laptop friendly workspace",3000.0,1,2,VERDADERO,30,60,90,365,0,,,,,,,,,,VERDADERO,,spain,Madrid,2019-09-19,1.0,,0,0.0,0,0.0,0,0.0,0,0.0,1,0,1,1,0,1,0,1,8.006367567650246
32280626,Habitaci�n de lujo a pocos minutos del centro,,45394573,Berruguete,Tetu�n,Private room,2,1,1,0,"TV,Kitchen,Free parking on premises,Pets allowed,Breakfast,Heating,Suitable for events,Washer,Essentials,Shampoo,Hangers,Hot water",300.0,1,1125,VERDADERO,0,0,0,0,1,2019-02-23,2019-02-23,80.0,8.0,10.0,10.0,10.0,10.0,10.0,FALSO,14.0,spain,Madrid,2019-09-19,1.0,False,30,100.0,60,100.0,90,100.0,365,100.0,0,0,1,1,0,0,1,1,5.703782474656201
17579529,Apartamento Plaza de Toros Ventas Madrid,"Lugares de inter�s: Transporte p�blico a tres minutos esta el metro Ventas line (Website hidden by Airbnb) Mi alojamiento es bueno para parejas, aventureros, viajeros de negocios, familias (con hijos), y mascotas. El apartamento se encuentra a tres minutos de la Plaza de Toros en el barrio de Ventas Madrid Para dudas he informacion se les atiende atraves de email o telefono La plaza de garaje se paga aparte  Consultar precio Todas las entradas despues de las 18 h tienen coste adicional que se pagan en efectivo a la persona encargada de entregar las llaves  Consultar con el anfitrion",9846097,Guindalera,Salamanca,Entire home/apt,4,1,1,3,"TV,Wifi,Air conditioning,Wheelchair accessible,Kitchen,Smoking allowed,Pets allowed,Doorman,Elevator,Free street parking,Buzzer/wireless intercom,Heating,Washer,Fire extinguisher,Essentials,Shampoo,Hangers,Hair dryer,Iron,Laptop friendly workspace,Self check-in,Smart lock,Room-darkening shades,Hot water,Microwave,Coffee maker,Refrigerator,Dishes and silverware,Cooking basics,Oven,Stove,Patio or balcony,Paid parking on premises",600.0,4,1125,VERDADERO,0,0,0,261,11,2017-04-16,2019-05-05,92.0,9.0,9.0,10.0,10.0,9.0,9.0,FALSO,37.0,spain,Madrid,2019-09-19,1.0,True,30,100.0,60,100.0,90,100.0,104,28.49,0,1,1,1,0,1,1,1,6.396929655216146
34941329,Wanda/Aeropuerto/ifema Hortaleza,,263286265,Canillas,Hortaleza,Private room,4,1,2,3,"Wifi,Kitchen,Free parking on premises,Heating,Washer,Essentials,Iron,Laptop friendly workspace,Hot water",2800.0,1,1125,VERDADERO,28,58,88,88,0,,,,,,,,,,FALSO,,spain,Madrid,2019-09-19,1.0,,2,6.67,2,3.33,2,2.22,277,75.89,0,0,1,1,0,0,1,1,7.937374696163295
27123764,MODERN FLAT 300 METERS FROM PLAZA MAYOR,"It�s our house and we just rent it out while we are away on holidays, so you�ll find evertything you need, just like home. Perfect location in La Latina, 300 meters from Plaza Mayor Main room with big dbl bed and a balcony facing Toledo St., another room with a bed, big living/dinning room with 2 balconies, smart TV, comfy couch and very bright since it�s on the 4th floor. Fully equiped bathroom & kitchen (oven, washing machine, dishwasher, etc) We�ll be away but you can always (Hidden by Airbnb) or call, also our cleaning lady will be available in case you need anything out of the ordinary One of the most beautiful and lively neighbourhoods of Madrid, walking distance to all the main attractions Plenty of bars and nice restaurants all around, near Royal Palace, Puerta del Sol, Plaza Mayor",16468930,Embajadores,Centro,Entire home/apt,4,1,2,2,"TV,Cable TV,Wifi,Air conditioning,Kitchen,Paid parking off premises,Elevator,Heating,Washer,Essentials,Hangers,Hair dryer,Iron,Laptop friendly workspace,Private living room,Baby monitor,Outlet covers,Baby bath,High chair,Children's books and toys,Window guards,Babysitter recommendations,Crib,Room-darkening shades,Children's dinnerware,Hot water,Bed linens,Extra pillows and blankets,Ethernet connection,Coffee maker,Refrigerator,Dishwasher,Dishes and silverware,Cooking basics,Oven,Patio or balcony,Wide entrance for guests,Well-lit path to entrance,No stairs or steps to enter,Wide entrance,Extra space around bed,No stairs or steps to enter,Wide doorway to guest bathroom,No stairs or steps to enter,Wide entryway,Other,Handheld shower head",1000.0,3,15,VERDADERO,1,1,1,1,0,,,,,,,,,,FALSO,,spain,Madrid,2019-09-19,1.0,,29,96.67,59,98.33,89,98.89,364,99.73,0,1,1,1,1,0,1,1,6.907755278982137
34953940,"Plaza Santa Ana, Studio, 50 sq.m , 4 people, END","Come visit Madrid and stay in our studio located in las Letras, just beside Plaza de Santa Ana. Quiet at night as it overlooks an internal courtyard. Double bed and double sofa bed in the living Fully fitted kitchen , bathroom with shower. Best location to enjoy Madrid on foot, close to all the amenities. Services /equipment included: Lift, Wifi, bed linen and towels, air conditioning, final cleaning. Studio fully fitted to accommodate up to 4 people  well equiped , modern furniture, air conditioning and TV. To ensure a relaxing stay, the apartment has comfortable  beds with a choice of pillows. The kitchen is  well equiped with cookware, microwave, kettle and toast. 20% discount on Plaza de Santa Ana parking Additional services: We can help you to book airport transfer, Madrid culinary tour, Segovia/Toledo/�vila day trip, Flamenco show All included package: Internet Final cleaning Bed linen Towels Air conditioning / Heating Baby crib available at 8� per night Please get in touch throu",105708985,Cortes,Centro,Entire home/apt,4,1,0,3,"TV,Internet,Wifi,Air conditioning,Kitchen,Paid parking off premises,Elevator,Heating,Family/kid friendly,Washer,Essentials,Hangers,Hair dryer,Iron,Crib,Room-darkening shades,Hot water,Bed linens,Extra pillows and blankets,Microwave,Coffee maker,Refrigerator,Dishwasher,Dishes and silverware,Cooking basics,Oven,Stove,Single level home,Patio or balcony,Long term stays allowed,Cleaning before checkout,Wide entrance for guests,Flat path to guest entrance,Well-lit path to entrance,No stairs or steps to enter,Accessible-height bed,No stairs or steps to enter,Accessible-height Toilet,No stairs or steps to enter,Host greets you,Handheld shower head",600.0,3,60,VERDADERO,10,26,46,321,4,2019-07-19,2019-08-26,65.0,9.0,9.0,8.0,8.0,10.0,7.0,VERDADERO,19.0,spain,Madrid,2019-09-19,1.0,False,20,66.67,34,56.67,44,48.89,44,12.05,1,1,1,1,1,0,1,1,6.396929655216146
22186227,Habitaci�n individual acogedora cerca del centro.,"Habitaci�n individual acogedora a una parada de Atocha Renfe y dos paradas de Puerta del Sol, la estaci�n de tren est� a 2 (Website hidden by Airbnb) parada de metro m�s  cercana es Portazgo L1 a 15min caminando desde casa.A 15minutos caminando  de la estaci�n de autobuses de M�ndez �lvaro y a 20minutos del Aeropuerto en coche, pudi�ndose  ir  tambi�n en tren.Aparcamiento gratuito en la zona. Carrefour 24H. Se puede disfrutar tambi�n del resto del piso(cocina,ba�o y sal�n).Disfrutar�s de una feliz estancia! Alojamiento acogedor y luminoso.Cercano a la estaci�n de tren y autobuses.Pr�ximo a Carrefour y farmacia 24horas. Disponibles para resolver sus dudas por aplicaci�n, tel�fono o was. Barrio tranquilo y pr�ximo al centro de Madrid. Alojamiento Gayfriendly.",53327354,San Diego,Puente de Vallecas,Private room,1,1,1,1,"TV,Wifi,Air conditioning,Kitchen,Free parking on premises,Free street parking,Washer,Essentials,Shampoo,Lock on bedroom door,Hangers,Hair dryer,Private living room,Hot water,Bed linens,Extra pillows and blankets,Microwave,Coffee maker,Refrigerator,Dishwasher,Dishes and silverware,Cooking basics,Oven,Stove,Long term stays allowed,Wide entrance for guests,Well-lit path to entrance",270.0,2,100,VERDADERO,0,3,33,308,28,2017-12-24,2019-08-25,97.0,10.0,10.0,10.0,10.0,9.0,10.0,VERDADERO,132.0,spain,Madrid,2019-09-19,1.0,True,30,100.0,57,95.0,57,63.33,57,15.62,1,0,1,1,0,1,1,1,5.598421958998375
