Zonas Turísticas;Viajeros y pernoctaciones;Residencia;Periodo;Total
Andalucía: Costa De Almería;Pernoctaciones;Residentes en España;2025M01;49.850
Andalucía: Costa De Almería;Pernoctaciones;Residentes en España;2024M12;76.609
Andalucía: Costa De Almería;Pernoctaciones;Residentes en España;2024M11;65.635
Andalucía: Costa De Almería;Pernoctaciones;Residentes en España;2024M10;161.735
Andalucía: Costa De Almería;Pernoctaciones;Residentes en España;2024M09;450.620
Andalucía: Costa De Almería;Pernoctaciones;Residentes en España;2024M08;776.227
Andalucía: Costa De Almería;Pernoctaciones;Residentes en España;2024M07;679.420
Andalucía: Costa De Almería;Pernoctaciones;Residentes en España;2024M06;453.446
Andalucía: Costa De Almería;Pernoctaciones;Residentes en España;2024M05;342.835
Andalucía: Costa De Almería;Pernoctaciones;Residentes en España;2024M04;265.171
Andalucía: Costa De Almería;Pernoctaciones;Residentes en España;2024M03;210.496
Andalucía: Costa De Almería;Pernoctaciones;Residentes en España;2024M02;118.621
Andalucía: Costa De Almería;Pernoctaciones;Residentes en España;2024M01;45.771
Andalucía: Costa De Almería;Pernoctaciones;Residentes en España;2023M12;73.868
Andalucía: Costa De Almería;Pernoctaciones;Residentes en España;2023M11;59.037
Andalucía: Costa De Almería;Pernoctaciones;Residentes en España;2023M10;169.375
Andalucía: Costa De Almería;Pernoctaciones;Residentes en España;2023M09;450.946
Andalucía: Costa De Almería;Pernoctaciones;Residentes en España;2023M08;796.022
Andalucía: Costa De Almería;Pernoctaciones;Residentes en España;2023M07;718.866
Andalucía: Costa De Almería;Pernoctaciones;Residentes en España;2023M06;442.012
Andalucía: Costa De Almería;Pernoctaciones;Residentes en España;2023M05;263.950
Andalucía: Costa De Almería;Pernoctaciones;Residentes en España;2023M04;203.979
Andalucía: Costa De Almería;Pernoctaciones;Residentes en España;2023M03;120.879
Andalucía: Costa De Almería;Pernoctaciones;Residentes en España;2023M02;90.188
Andalucía: Costa De Almería;Pernoctaciones;Residentes en España;2023M01;51.924
Andalucía: Costa De Almería;Pernoctaciones;Residentes en el Extranjero;2025M12;29.457
Andalucía: Costa De Almería;Pernoctaciones;Residentes en el Extranjero;2025M11;49.096
Andalucía: Costa De Almería;Pernoctaciones;Residentes en el Extranjero;2025M10;131.825
Andalucía: Costa De Almería;Pernoctaciones;Residentes en el Extranjero;2025M09;188.245
Andalucía: Costa De Almería;Pernoctaciones;Residentes en el Extranjero;2025M08;212.272
Andalucía: Costa De Almería;Pernoctaciones;Residentes en el Extranjero;2025M07;189.352
Andalucía: Costa De Almería;Pernoctaciones;Residentes en el Extranjero;2025M06;172.566
Andalucía: Costa De Almería;Pernoctaciones;Residentes en el Extranjero;2025M05;124.667
Andalucía: Costa De Almería;Pernoctaciones;Residentes en el Extranjero;2025M04;104.242
Andalucía: Costa De Almería;Pernoctaciones;Residentes en el Extranjero;2025M03;52.111
Andalucía: Costa De Almería;Pernoctaciones;Residentes en el Extranjero;2025M02;41.091
