Totales Territoriales;Comunidades y Ciudades Autónomas;Provincias;Viajeros y pernoctaciones;Residencia: Nivel 1;Residencia: Nivel 2;Periodo;Total
Total Nacional;;;Viajero;Total;Residentes en el Extranjero;2024M04;5.205.019
Total Nacional;;;Viajero;Total;Residentes en el Extranjero;2024M03;4.020.556
Total Nacional;;;Viajero;Total;Residentes en el Extranjero;2024M02;3.089.851
Total Nacional;;;Viajero;Total;Residentes en el Extranjero;2024M01;2.741.530
Total Nacional;;;Viajero;Total;Residentes en el Extranjero;2023M12;2.850.010
Total Nacional;;;Viajero;Total;Residentes en el Extranjero;2023M11;3.212.056
Total Nacional;;;Viajero;Total;Residentes en el Extranjero;2023M10;5.801.286
Total Nacional;;;Viajero;Total;Residentes en el Extranjero;2023M09;6.505.010
Total Nacional;;;Viajero;Total;Residentes en el Extranjero;2023M08;6.884.708
Total Nacional;;;Viajero;Total;Residentes en el Extranjero;2023M07;6.668.004
Total Nacional;;;Viajero;Total;Residentes en el Extranjero;2023M06;6.080.059
Total Nacional;;;Viajero;Total;Residentes en el Extranjero;2023M05;6.026.821
Total Nacional;;;Viajero;Total;Residentes en el Extranjero;2023M04;4.845.523
Total Nacional;;;Viajero;Total;Residentes en el Extranjero;2023M03;3.378.146
Total Nacional;;;Viajero;Total;Residentes en el Extranjero;2023M02;2.629.069
Total Nacional;;;Viajero;Total;Residentes en el Extranjero;2023M01;2.403.013
Total Nacional;;;Pernoctaciones;Total;;2025M12;18.546.462
Total Nacional;;;Pernoctaciones;Total;;2025M11;20.301.411
Total Nacional;;;Pernoctaciones;Total;;2025M10;34.281.206
Total Nacional;;;Pernoctaciones;Total;;2025M09;39.420.118
Total Nacional;;;Pernoctaciones;Total;;2025M08;48.181.913
Total Nacional;;;Pernoctaciones;Total;;2025M07;44.691.923
Total Nacional;;;Pernoctaciones;Total;;2025M06;38.982.683
Total Nacional;;;Pernoctaciones;Total;;2025M05;35.418.451
Total Nacional;;;Pernoctaciones;Total;;2025M04;28.957.925
Total Nacional;;;Pernoctaciones;Total;;2025M03;22.393.743
Total Nacional;;;Pernoctaciones;Total;;2025M02;18.373.966
Total Nacional;;;Pernoctaciones;Total;;2025M01;16.830.947
Total Nacional;;;Pernoctaciones;Total;;2024M12;18.025.526
Total Nacional;;;Pernoctaciones;Total;;2024M11;19.978.052
Total Nacional;;;Pernoctaciones;Total;;2024M10;33.836.772
Total Nacional;;;Pernoctaciones;Total;;2024M09;38.965.938
Total Nacional;;;Pernoctaciones;Total;;2024M08;47.760.600
Total Nacional;;;Pernoctaciones;Total;;2024M07;43.918.939
Total Nacional;;;Pernoctaciones;Total;;2024M06;38.185.201
Total Nacional;;;Pernoctaciones;Total;;2024M05;35.701.080
Total Nacional;;;Pernoctaciones;Total;;2024M04;27.099.375
Total Nacional;;;Pernoctaciones;Total;;2024M03;24.520.234
Total Nacional;;;Pernoctaciones;Total;;2024M02;18.581.766
Total Nacional;;;Pernoctaciones;Total;;2024M01;16.491.597
Total Nacional;;;Pernoctaciones;Total;;2023M12;17.913.857
Total Nacional;;;Pernoctaciones;Total;;2023M11;19.023.828
Total Nacional;;;Pernoctaciones;Total;;2023M10;32.415.687
Total Nacional;;;Pernoctaciones;Total;;2023M09;37.980.229
Total Nacional;;;Pernoctaciones;Total;;2023M08;46.695.607
Total Nacional;;;Pernoctaciones;Total;;2023M07;43.109.417
Total Nacional;;;Pernoctaciones;Total;;2023M06;36.255.025
Total Nacional;;;Pernoctaciones;Total;;2023M05;32.187.667
Total Nacional;;;Pernoctaciones;Total;;2023M04;28.046.754
Total Nacional;;;Pernoctaciones;Total;;2023M03;20.597.741
Total Nacional;;;Pernoctaciones;Total;;2023M02;16.816.547
Total Nacional;;;Pernoctaciones;Total;;2023M01;15.472.477
Total Nacional;;;Pernoctaciones;Total;Residentes en España;2025M12;7.228.948
Total Nacional;;;Pernoctaciones;Total;Residentes en España;2025M11;7.528.091
Total Nacional;;;Pernoctaciones;Total;Residentes en España;2025M10;9.566.101
Total Nacional;;;Pernoctaciones;Total;Residentes en España;2025M09;11.902.934
Total Nacional;;;Pernoctaciones;Total;Residentes en España;2025M08;17.218.949
Total Nacional;;;Pernoctaciones;Total;Residentes en España;2025M07;14.895.856
Total Nacional;;;Pernoctaciones;Total;Residentes en España;2025M06;12.191.754
Total Nacional;;;Pernoctaciones;Total;Residentes en España;2025M05;10.811.397
Total Nacional;;;Pernoctaciones;Total;Residentes en España;2025M04;10.101.779
Total Nacional;;;Pernoctaciones;Total;Residentes en España;2025M03;8.077.931
Total Nacional;;;Pernoctaciones;Total;Residentes en España;2025M02;6.554.049
Total Nacional;;;Pernoctaciones;Total;Residentes en España;2025M01;5.704.151
Total Nacional;;;Pernoctaciones;Total;Residentes en España;2024M12;7.206.683
Total Nacional;;;Pernoctaciones;Total;Residentes en España;2024M11;7.578.414
Total Nacional;;;Pernoctaciones;Total;Residentes en España;2024M10;9.614.409
Total Nacional;;;Pernoctaciones;Total;Residentes en España;2024M09;11.754.777
Total Nacional;;;Pernoctaciones;Total;Residentes en España;2024M08;17.310.199
Total Nacional;;;Pernoctaciones;Total;Residentes en España;2024M07;14.743.902
Total Nacional;;;Pernoctaciones;Total;Residentes en España;2024M06;12.347.782
Total Nacional;;;Pernoctaciones;Total;Residentes en España;2024M05;10.623.796
Total Nacional;;;Pernoctaciones;Total;Residentes en España;2024M04;8.884.448
Total Nacional;;;Pernoctaciones;Total;Residentes en España;2024M03;9.421.644
Total Nacional;;;Pernoctaciones;Total;Residentes en España;2024M02;6.774.732
