Totales Territoriales;Comunidades y Ciudades Autónomas;Provincias;Viajeros y pernoctaciones;Residencia: Nivel 1;Residencia: Nivel 2;Periodo;Total
Total Nacional;01 Andalucía;29 Málaga;Pernoctaciones;Total;Residentes en el Extranjero;2025M02;833.750
Total Nacional;01 Andalucía;29 Málaga;Pernoctaciones;Total;Residentes en el Extranjero;2025M01;657.803
Total Nacional;01 Andalucía;29 Málaga;Pernoctaciones;Total;Residentes en el Extranjero;2024M12;646.667
Total Nacional;01 Andalucía;29 Málaga;Pernoctaciones;Total;Residentes en el Extranjero;2024M11;898.709
Total Nacional;01 Andalucía;29 Málaga;Pernoctaciones;Total;Residentes en el Extranjero;2024M10;1.831.695
Total Nacional;01 Andalucía;29 Málaga;Pernoctaciones;Total;Residentes en el Extranjero;2024M09;1.856.708
Total Nacional;01 Andalucía;29 Málaga;Pernoctaciones;Total;Residentes en el Extranjero;2024M08;1.826.249
Total Nacional;01 Andalucía;29 Málaga;Pernoctaciones;Total;Residentes en el Extranjero;2024M07;1.754.594
Total Nacional;01 Andalucía;29 Málaga;Pernoctaciones;Total;Residentes en el Extranjero;2024M06;1.706.362
Total Nacional;01 Andalucía;29 Málaga;Pernoctaciones;Total;Residentes en el Extranjero;2024M05;1.798.902
Total Nacional;01 Andalucía;29 Málaga;Pernoctaciones;Total;Residentes en el Extranjero;2024M04;1.558.088
Total Nacional;01 Andalucía;29 Málaga;Pernoctaciones;Total;Residentes en el Extranjero;2024M03;1.226.555
Total Nacional;01 Andalucía;29 Málaga;Pernoctaciones;Total;Residentes en el Extranjero;2024M02;838.547
Total Nacional;01 Andalucía;29 Málaga;Pernoctaciones;Total;Residentes en el Extranjero;2024M01;663.907
Total Nacional;01 Andalucía;29 Málaga;Pernoctaciones;Total;Residentes en el Extranjero;2023M12;639.288
Total Nacional;01 Andalucía;29 Málaga;Pernoctaciones;Total;Residentes en el Extranjero;2023M11;906.125
Total Nacional;01 Andalucía;29 Málaga;Pernoctaciones;Total;Residentes en el Extranjero;2023M10;1.767.196
Total Nacional;01 Andalucía;29 Málaga;Pernoctaciones;Total;Residentes en el Extranjero;2023M09;1.789.535
Total Nacional;01 Andalucía;29 Málaga;Pernoctaciones;Total;Residentes en el Extranjero;2023M08;1.848.907
Total Nacional;01 Andalucía;29 Málaga;Pernoctaciones;Total;Residentes en el Extranjero;2023M07;1.741.493
Total Nacional;01 Andalucía;29 Málaga;Pernoctaciones;Total;Residentes en el Extranjero;2023M06;1.627.078
Total Nacional;01 Andalucía;29 Málaga;Pernoctaciones;Total;Residentes en el Extranjero;2023M05;1.747.038
Total Nacional;01 Andalucía;29 Málaga;Pernoctaciones;Total;Residentes en el Extranjero;2023M04;1.465.277
Total Nacional;01 Andalucía;29 Málaga;Pernoctaciones;Total;Residentes en el Extranjero;2023M03;942.906
Total Nacional;01 Andalucía;29 Málaga;Pernoctaciones;Total;Residentes en el Extranjero;2023M02;623.536
Total Nacional;01 Andalucía;29 Málaga;Pernoctaciones;Total;Residentes en el Extranjero;2023M01;524.819
Total Nacional;01 Andalucía;41 Sevilla;Viajero;Total;;2025M12;298.309
Total Nacional;01 Andalucía;41 Sevilla;Viajero;Total;;2025M11;317.715
Total Nacional;01 Andalucía;41 Sevilla;Viajero;Total;;2025M10;366.742
Total Nacional;01 Andalucía;41 Sevilla;Viajero;Total;;2025M09;351.790
Total Nacional;01 Andalucía;41 Sevilla;Viajero;Total;;2025M08;314.675
Total Nacional;01 Andalucía;41 Sevilla;Viajero;Total;;2025M07;297.892
Total Nacional;01 Andalucía;41 Sevilla;Viajero;Total;;2025M06;331.000
Total Nacional;01 Andalucía;41 Sevilla;Viajero;Total;;2025M05;364.665
Total Nacional;01 Andalucía;41 Sevilla;Viajero;Total;;2025M04;347.159
Total Nacional;01 Andalucía;41 Sevilla;Viajero;Total;;2025M03;307.875
Total Nacional;01 Andalucía;41 Sevilla;Viajero;Total;;2025M02;270.291
Total Nacional;01 Andalucía;41 Sevilla;Viajero;Total;;2025M01;253.879
Total Nacional;01 Andalucía;41 Sevilla;Viajero;Total;;2024M12;291.612
Total Nacional;01 Andalucía;41 Sevilla;Viajero;Total;;2024M11;315.397
Total Nacional;01 Andalucía;41 Sevilla;Viajero;Total;;2024M10;372.127
Total Nacional;01 Andalucía;41 Sevilla;Viajero;Total;;2024M09;340.661
Total Nacional;01 Andalucía;41 Sevilla;Viajero;Total;;2024M08;319.596
Total Nacional;01 Andalucía;41 Sevilla;Viajero;Total;;2024M07;294.007
Total Nacional;01 Andalucía;41 Sevilla;Viajero;Total;;2024M06;330.565
Total Nacional;01 Andalucía;41 Sevilla;Viajero;Total;;2024M05;383.281
Total Nacional;01 Andalucía;41 Sevilla;Viajero;Total;;2024M04;377.242
Total Nacional;01 Andalucía;41 Sevilla;Viajero;Total;;2024M03;340.136
Total Nacional;01 Andalucía;41 Sevilla;Viajero;Total;;2024M02;294.357
Total Nacional;01 Andalucía;41 Sevilla;Viajero;Total;;2024M01;265.030
Total Nacional;01 Andalucía;41 Sevilla;Viajero;Total;;2023M12;296.784
Total Nacional;01 Andalucía;41 Sevilla;Viajero;Total;;2023M11;290.333
Total Nacional;01 Andalucía;41 Sevilla;Viajero;Total;;2023M10;364.920
Total Nacional;01 Andalucía;41 Sevilla;Viajero;Total;;2023M09;337.835
Total Nacional;01 Andalucía;41 Sevilla;Viajero;Total;;2023M08;323.252
Total Nacional;01 Andalucía;41 Sevilla;Viajero;Total;;2023M07;297.598
Total Nacional;01 Andalucía;41 Sevilla;Viajero;Total;;2023M06;325.922
Total Nacional;01 Andalucía;41 Sevilla;Viajero;Total;;2023M05;352.514
Total Nacional;01 Andalucía;41 Sevilla;Viajero;Total;;2023M04;351.424
Total Nacional;01 Andalucía;41 Sevilla;Viajero;Total;;2023M03;314.817
Total Nacional;01 Andalucía;41 Sevilla;Viajero;Total;;2023M02;268.601
Total Nacional;01 Andalucía;41 Sevilla;Viajero;Total;;2023M01;244.929
Total Nacional;01 Andalucía;41 Sevilla;Viajero;Total;Residentes en España;2025M12;152.082
Total Nacional;01 Andalucía;41 Sevilla;Viajero;Total;Residentes en España;2025M11;149.822
Total Nacional;01 Andalucía;41 Sevilla;Viajero;Total;Residentes en España;2025M10;139.814
Total Nacional;01 Andalucía;41 Sevilla;Viajero;Total;Residentes en España;2025M09;142.390
Total Nacional;01 Andalucía;41 Sevilla;Viajero;Total;Residentes en España;2025M08;124.477
Total Nacional;01 Andalucía;41 Sevilla;Viajero;Total;Residentes en España;2025M07;130.677
Total Nacional;01 Andalucía;41 Sevilla;Viajero;Total;Residentes en España;2025M06;143.147
Total Nacional;01 Andalucía;41 Sevilla;Viajero;Total;Residentes en España;2025M05;138.669
Total Nacional;01 Andalucía;41 Sevilla;Viajero;Total;Residentes en España;2025M04;131.670
Total Nacional;01 Andalucía;41 Sevilla;Viajero;Total;Residentes en España;2025M03;136.010
Total Nacional;01 Andalucía;41 Sevilla;Viajero;Total;Residentes en España;2025M02;131.110
Total Nacional;01 Andalucía;41 Sevilla;Viajero;Total;Residentes en España;2025M01;126.493
Total Nacional;01 Andalucía;41 Sevilla;Viajero;Total;Residentes en España;2024M12;154.675
Total Nacional;01 Andalucía;41 Sevilla;Viajero;Total;Residentes en España;2024M11;155.648
Total Nacional;01 Andalucía;41 Sevilla;Viajero;Total;Residentes en España;2024M10;140.343
Total Nacional;01 Andalucía;41 Sevilla;Viajero;Total;Residentes en España;2024M09;137.532
Total Nacional;01 Andalucía;41 Sevilla;Viajero;Total;Residentes en España;2024M08;118.028
Total Nacional;01 Andalucía;41 Sevilla;Viajero;Total;Residentes en España;2024M07;123.832
Total Nacional;01 Andalucía;41 Sevilla;Viajero;Total;Residentes en España;2024M06;152.373
Total Nacional;01 Andalucía;41 Sevilla;Viajero;Total;Residentes en España;2024M05;156.750
Total Nacional;01 Andalucía;41 Sevilla;Viajero;Total;Residentes en España;2024M04;162.581
Total Nacional;01 Andalucía;41 Sevilla;Viajero;Total;Residentes en España;2024M03;157.047
Total Nacional;01 Andalucía;41 Sevilla;Viajero;Total;Residentes en España;2024M02;144.952
Total Nacional;01 Andalucía;41 Sevilla;Viajero;Total;Residentes en España;2024M01;132.023
Total Nacional;01 Andalucía;41 Sevilla;Viajero;Total;Residentes en España;2023M12;161.030
Total Nacional;01 Andalucía;41 Sevilla;Viajero;Total;Residentes en España;2023M11;145.435
Total Nacional;01 Andalucía;41 Sevilla;Viajero;Total;Residentes en España;2023M10;161.023
Total Nacional;01 Andalucía;41 Sevilla;Viajero;Total;Residentes en España;2023M09;153.142
Total Nacional;01 Andalucía;41 Sevilla;Viajero;Total;Residentes en España;2023M08;139.187
Total Nacional;01 Andalucía;41 Sevilla;Viajero;Total;Residentes en España;2023M07;144.052
Total Nacional;01 Andalucía;41 Sevilla;Viajero;Total;Residentes en España;2023M06;163.255
Total Nacional;01 Andalucía;41 Sevilla;Viajero;Total;Residentes en España;2023M05;167.518
Total Nacional;01 Andalucía;41 Sevilla;Viajero;Total;Residentes en España;2023M04;168.951
Total Nacional;01 Andalucía;41 Sevilla;Viajero;Total;Residentes en España;2023M03;166.958
Total Nacional;01 Andalucía;41 Sevilla;Viajero;Total;Residentes en España;2023M02;155.381
Total Nacional;01 Andalucía;41 Sevilla;Viajero;Total;Residentes en España;2023M01;135.802
Total Nacional;01 Andalucía;41 Sevilla;Viajero;Total;Residentes en el Extranjero;2025M12;146.227
Total Nacional;01 Andalucía;41 Sevilla;Viajero;Total;Residentes en el Extranjero;2025M11;167.893
Total Nacional;01 Andalucía;41 Sevilla;Viajero;Total;Residentes en el Extranjero;2025M10;226.927
Total Nacional;01 Andalucía;41 Sevilla;Viajero;Total;Residentes en el Extranjero;2025M09;209.400
Total Nacional;01 Andalucía;41 Sevilla;Viajero;Total;Residentes en el Extranjero;2025M08;190.198
Total Nacional;01 Andalucía;41 Sevilla;Viajero;Total;Residentes en el Extranjero;2025M07;167.215
Total Nacional;01 Andalucía;41 Sevilla;Viajero;Total;Residentes en el Extranjero;2025M06;187.853
Total Nacional;01 Andalucía;41 Sevilla;Viajero;Total;Residentes en el Extranjero;2025M05;225.996
Total Nacional;01 Andalucía;41 Sevilla;Viajero;Total;Residentes en el Extranjero;2025M04;215.489
Total Nacional;01 Andalucía;41 Sevilla;Viajero;Total;Residentes en el Extranjero;2025M03;171.865
Total Nacional;01 Andalucía;41 Sevilla;Viajero;Total;Residentes en el Extranjero;2025M02;139.180
Total Nacional;01 Andalucía;41 Sevilla;Viajero;Total;Residentes en el Extranjero;2025M01;127.385
Total Nacional;01 Andalucía;41 Sevilla;Viajero;Total;Residentes en el Extranjero;2024M12;136.937
Total Nacional;01 Andalucía;41 Sevilla;Viajero;Total;Residentes en el Extranjero;2024M11;159.749
Total Nacional;01 Andalucía;41 Sevilla;Viajero;Total;Residentes en el Extranjero;2024M10;231.784
Total Nacional;01 Andalucía;41 Sevilla;Viajero;Total;Residentes en el Extranjero;2024M09;203.128
Total Nacional;01 Andalucía;41 Sevilla;Viajero;Total;Residentes en el Extranjero;2024M08;201.569
Total Nacional;01 Andalucía;41 Sevilla;Viajero;Total;Residentes en el Extranjero;2024M07;170.175
Total Nacional;01 Andalucía;41 Sevilla;Viajero;Total;Residentes en el Extranjero;2024M06;178.192
Total Nacional;01 Andalucía;41 Sevilla;Viajero;Total;Residentes en el Extranjero;2024M05;226.530
Total Nacional;01 Andalucía;41 Sevilla;Viajero;Total;Residentes en el Extranjero;2024M04;214.661
Total Nacional;01 Andalucía;41 Sevilla;Viajero;Total;Residentes en el Extranjero;2024M03;183.089
Total Nacional;01 Andalucía;41 Sevilla;Viajero;Total;Residentes en el Extranjero;2024M02;149.405
Total Nacional;01 Andalucía;41 Sevilla;Viajero;Total;Residentes en el Extranjero;2024M01;133.008
Total Nacional;01 Andalucía;41 Sevilla;Viajero;Total;Residentes en el Extranjero;2023M12;135.754
Total Nacional;01 Andalucía;41 Sevilla;Viajero;Total;Residentes en el Extranjero;2023M11;144.897
Total Nacional;01 Andalucía;41 Sevilla;Viajero;Total;Residentes en el Extranjero;2023M10;203.897
Total Nacional;01 Andalucía;41 Sevilla;Viajero;Total;Residentes en el Extranjero;2023M09;184.693
Total Nacional;01 Andalucía;41 Sevilla;Viajero;Total;Residentes en el Extranjero;2023M08;184.065
Total Nacional;01 Andalucía;41 Sevilla;Viajero;Total;Residentes en el Extranjero;2023M07;153.546
Total Nacional;01 Andalucía;41 Sevilla;Viajero;Total;Residentes en el Extranjero;2023M06;162.667
Total Nacional;01 Andalucía;41 Sevilla;Viajero;Total;Residentes en el Extranjero;2023M05;184.996
Total Nacional;01 Andalucía;41 Sevilla;Viajero;Total;Residentes en el Extranjero;2023M04;182.473
Total Nacional;01 Andalucía;41 Sevilla;Viajero;Total;Residentes en el Extranjero;2023M03;147.858
Total Nacional;01 Andalucía;41 Sevilla;Viajero;Total;Residentes en el Extranjero;2023M02;113.220
Total Nacional;01 Andalucía;41 Sevilla;Viajero;Total;Residentes en el Extranjero;2023M01;109.127
Total Nacional;01 Andalucía;41 Sevilla;Pernoctaciones;Total;;2025M12;612.164
Total Nacional;01 Andalucía;41 Sevilla;Pernoctaciones;Total;;2025M11;659.455
Total Nacional;01 Andalucía;41 Sevilla;Pernoctaciones;Total;;2025M10;756.432
Total Nacional;01 Andalucía;41 Sevilla;Pernoctaciones;Total;;2025M09;699.294
Total Nacional;01 Andalucía;41 Sevilla;Pernoctaciones;Total;;2025M08;645.475
Total Nacional;01 Andalucía;41 Sevilla;Pernoctaciones;Total;;2025M07;594.291
Total Nacional;01 Andalucía;41 Sevilla;Pernoctaciones;Total;;2025M06;663.710
Total Nacional;01 Andalucía;41 Sevilla;Pernoctaciones;Total;;2025M05;764.862
Total Nacional;01 Andalucía;41 Sevilla;Pernoctaciones;Total;;2025M04;731.436
Total Nacional;01 Andalucía;41 Sevilla;Pernoctaciones;Total;;2025M03;657.519
Total Nacional;01 Andalucía;41 Sevilla;Pernoctaciones;Total;;2025M02;550.023
Total Nacional;01 Andalucía;41 Sevilla;Pernoctaciones;Total;;2025M01;494.915
Total Nacional;01 Andalucía;41 Sevilla;Pernoctaciones;Total;;2024M12;584.318
Total Nacional;01 Andalucía;41 Sevilla;Pernoctaciones;Total;;2024M11;646.013
Total Nacional;01 Andalucía;41 Sevilla;Pernoctaciones;Total;;2024M10;767.363
Total Nacional;01 Andalucía;41 Sevilla;Pernoctaciones;Total;;2024M09;687.662
Total Nacional;01 Andalucía;41 Sevilla;Pernoctaciones;Total;;2024M08;654.582
Total Nacional;01 Andalucía;41 Sevilla;Pernoctaciones;Total;;2024M07;582.973
Total Nacional;01 Andalucía;41 Sevilla;Pernoctaciones;Total;;2024M06;647.282
Total Nacional;01 Andalucía;41 Sevilla;Pernoctaciones;Total;;2024M05;775.427
Total Nacional;01 Andalucía;41 Sevilla;Pernoctaciones;Total;;2024M04;767.023
Total Nacional;01 Andalucía;41 Sevilla;Pernoctaciones;Total;;2024M03;711.305
Total Nacional;01 Andalucía;41 Sevilla;Pernoctaciones;Total;;2024M02;588.754
Total Nacional;01 Andalucía;41 Sevilla;Pernoctaciones;Total;;2024M01;524.637
Total Nacional;01 Andalucía;41 Sevilla;Pernoctaciones;Total;;2023M12;597.988
Total Nacional;01 Andalucía;41 Sevilla;Pernoctaciones;Total;;2023M11;587.432
Total Nacional;01 Andalucía;41 Sevilla;Pernoctaciones;Total;;2023M10;723.477
Total Nacional;01 Andalucía;41 Sevilla;Pernoctaciones;Total;;2023M09;667.277
Total Nacional;01 Andalucía;41 Sevilla;Pernoctaciones;Total;;2023M08;641.777
Total Nacional;01 Andalucía;41 Sevilla;Pernoctaciones;Total;;2023M07;557.786
Total Nacional;01 Andalucía;41 Sevilla;Pernoctaciones;Total;;2023M06;618.585
Total Nacional;01 Andalucía;41 Sevilla;Pernoctaciones;Total;;2023M05;692.027
Total Nacional;01 Andalucía;41 Sevilla;Pernoctaciones;Total;;2023M04;726.702
Total Nacional;01 Andalucía;41 Sevilla;Pernoctaciones;Total;;2023M03;643.519
Total Nacional;01 Andalucía;41 Sevilla;Pernoctaciones;Total;;2023M02;526.552
Total Nacional;01 Andalucía;41 Sevilla;Pernoctaciones;Total;;2023M01;481.877
Total Nacional;01 Andalucía;41 Sevilla;Pernoctaciones;Total;Residentes en España;2025M12;275.677
Total Nacional;01 Andalucía;41 Sevilla;Pernoctaciones;Total;Residentes en España;2025M11;270.256
Total Nacional;01 Andalucía;41 Sevilla;Pernoctaciones;Total;Residentes en España;2025M10;240.993
Total Nacional;01 Andalucía;41 Sevilla;Pernoctaciones;Total;Residentes en España;2025M09;241.395
Total Nacional;01 Andalucía;41 Sevilla;Pernoctaciones;Total;Residentes en España;2025M08;217.272
Total Nacional;01 Andalucía;41 Sevilla;Pernoctaciones;Total;Residentes en España;2025M07;228.080
Total Nacional;01 Andalucía;41 Sevilla;Pernoctaciones;Total;Residentes en España;2025M06;245.185
Total Nacional;01 Andalucía;41 Sevilla;Pernoctaciones;Total;Residentes en España;2025M05;246.073
Total Nacional;01 Andalucía;41 Sevilla;Pernoctaciones;Total;Residentes en España;2025M04;238.082
Total Nacional;01 Andalucía;41 Sevilla;Pernoctaciones;Total;Residentes en España;2025M03;237.455
Total Nacional;01 Andalucía;41 Sevilla;Pernoctaciones;Total;Residentes en España;2025M02;224.212
Total Nacional;01 Andalucía;41 Sevilla;Pernoctaciones;Total;Residentes en España;2025M01;215.601
Total Nacional;01 Andalucía;41 Sevilla;Pernoctaciones;Total;Residentes en España;2024M12;281.149
Total Nacional;01 Andalucía;41 Sevilla;Pernoctaciones;Total;Residentes en España;2024M11;277.439
Total Nacional;01 Andalucía;41 Sevilla;Pernoctaciones;Total;Residentes en España;2024M10;245.055
Total Nacional;01 Andalucía;41 Sevilla;Pernoctaciones;Total;Residentes en España;2024M09;232.368
Total Nacional;01 Andalucía;41 Sevilla;Pernoctaciones;Total;Residentes en España;2024M08;203.090
Total Nacional;01 Andalucía;41 Sevilla;Pernoctaciones;Total;Residentes en España;2024M07;209.860
Total Nacional;01 Andalucía;41 Sevilla;Pernoctaciones;Total;Residentes en España;2024M06;254.756
Total Nacional;01 Andalucía;41 Sevilla;Pernoctaciones;Total;Residentes en España;2024M05;266.724
Total Nacional;01 Andalucía;41 Sevilla;Pernoctaciones;Total;Residentes en España;2024M04;289.950
Total Nacional;01 Andalucía;41 Sevilla;Pernoctaciones;Total;Residentes en España;2024M03;284.466
Total Nacional;01 Andalucía;41 Sevilla;Pernoctaciones;Total;Residentes en España;2024M02;246.830
Total Nacional;01 Andalucía;41 Sevilla;Pernoctaciones;Total;Residentes en España;2024M01;225.917
Total Nacional;01 Andalucía;41 Sevilla;Pernoctaciones;Total;Residentes en España;2023M12;300.382
Total Nacional;01 Andalucía;41 Sevilla;Pernoctaciones;Total;Residentes en España;2023M11;261.713
Total Nacional;01 Andalucía;41 Sevilla;Pernoctaciones;Total;Residentes en España;2023M10;278.737
Total Nacional;01 Andalucía;41 Sevilla;Pernoctaciones;Total;Residentes en España;2023M09;254.620
Total Nacional;01 Andalucía;41 Sevilla;Pernoctaciones;Total;Residentes en España;2023M08;236.241
Total Nacional;01 Andalucía;41 Sevilla;Pernoctaciones;Total;Residentes en España;2023M07;227.117
Total Nacional;01 Andalucía;41 Sevilla;Pernoctaciones;Total;Residentes en España;2023M06;264.895
Total Nacional;01 Andalucía;41 Sevilla;Pernoctaciones;Total;Residentes en España;2023M05;281.827
Total Nacional;01 Andalucía;41 Sevilla;Pernoctaciones;Total;Residentes en España;2023M04;313.102
Total Nacional;01 Andalucía;41 Sevilla;Pernoctaciones;Total;Residentes en España;2023M03;307.168
Total Nacional;01 Andalucía;41 Sevilla;Pernoctaciones;Total;Residentes en España;2023M02;264.978
Total Nacional;01 Andalucía;41 Sevilla;Pernoctaciones;Total;Residentes en España;2023M01;236.477
Total Nacional;01 Andalucía;41 Sevilla;Pernoctaciones;Total;Residentes en el Extranjero;2025M12;336.486
Total Nacional;01 Andalucía;41 Sevilla;Pernoctaciones;Total;Residentes en el Extranjero;2025M11;389.198
Total Nacional;01 Andalucía;41 Sevilla;Pernoctaciones;Total;Residentes en el Extranjero;2025M10;515.439
Total Nacional;01 Andalucía;41 Sevilla;Pernoctaciones;Total;Residentes en el Extranjero;2025M09;457.899
Total Nacional;01 Andalucía;41 Sevilla;Pernoctaciones;Total;Residentes en el Extranjero;2025M08;428.203
Total Nacional;01 Andalucía;41 Sevilla;Pernoctaciones;Total;Residentes en el Extranjero;2025M07;366.210
Total Nacional;01 Andalucía;41 Sevilla;Pernoctaciones;Total;Residentes en el Extranjero;2025M06;418.525
Total Nacional;01 Andalucía;41 Sevilla;Pernoctaciones;Total;Residentes en el Extranjero;2025M05;518.790
Total Nacional;01 Andalucía;41 Sevilla;Pernoctaciones;Total;Residentes en el Extranjero;2025M04;493.354
Total Nacional;01 Andalucía;41 Sevilla;Pernoctaciones;Total;Residentes en el Extranjero;2025M03;420.063
Total Nacional;01 Andalucía;41 Sevilla;Pernoctaciones;Total;Residentes en el Extranjero;2025M02;325.811
Total Nacional;01 Andalucía;41 Sevilla;Pernoctaciones;Total;Residentes en el Extranjero;2025M01;279.314
Total Nacional;01 Andalucía;41 Sevilla;Pernoctaciones;Total;Residentes en el Extranjero;2024M12;303.169
Total Nacional;01 Andalucía;41 Sevilla;Pernoctaciones;Total;Residentes en el Extranjero;2024M11;368.575
Total Nacional;01 Andalucía;41 Sevilla;Pernoctaciones;Total;Residentes en el Extranjero;2024M10;522.307
Total Nacional;01 Andalucía;41 Sevilla;Pernoctaciones;Total;Residentes en el Extranjero;2024M09;455.294
Total Nacional;01 Andalucía;41 Sevilla;Pernoctaciones;Total;Residentes en el Extranjero;2024M08;451.492
Total Nacional;01 Andalucía;41 Sevilla;Pernoctaciones;Total;Residentes en el Extranjero;2024M07;373.113
Total Nacional;01 Andalucía;41 Sevilla;Pernoctaciones;Total;Residentes en el Extranjero;2024M06;392.525
Total Nacional;01 Andalucía;41 Sevilla;Pernoctaciones;Total;Residentes en el Extranjero;2024M05;508.703
Total Nacional;01 Andalucía;41 Sevilla;Pernoctaciones;Total;Residentes en el Extranjero;2024M04;477.073
Total Nacional;01 Andalucía;41 Sevilla;Pernoctaciones;Total;Residentes en el Extranjero;2024M03;426.838
Total Nacional;01 Andalucía;41 Sevilla;Pernoctaciones;Total;Residentes en el Extranjero;2024M02;341.924
Total Nacional;01 Andalucía;41 Sevilla;Pernoctaciones;Total;Residentes en el Extranjero;2024M01;298.720
Total Nacional;01 Andalucía;41 Sevilla;Pernoctaciones;Total;Residentes en el Extranjero;2023M12;297.606
Total Nacional;01 Andalucía;41 Sevilla;Pernoctaciones;Total;Residentes en el Extranjero;2023M11;325.719
Total Nacional;01 Andalucía;41 Sevilla;Pernoctaciones;Total;Residentes en el Extranjero;2023M10;444.740
Total Nacional;01 Andalucía;41 Sevilla;Pernoctaciones;Total;Residentes en el Extranjero;2023M09;412.657
Total Nacional;01 Andalucía;41 Sevilla;Pernoctaciones;Total;Residentes en el Extranjero;2023M08;405.536
Total Nacional;01 Andalucía;41 Sevilla;Pernoctaciones;Total;Residentes en el Extranjero;2023M07;330.669
Total Nacional;01 Andalucía;41 Sevilla;Pernoctaciones;Total;Residentes en el Extranjero;2023M06;353.690
Total Nacional;01 Andalucía;41 Sevilla;Pernoctaciones;Total;Residentes en el Extranjero;2023M05;410.200
Total Nacional;01 Andalucía;41 Sevilla;Pernoctaciones;Total;Residentes en el Extranjero;2023M04;413.601
Total Nacional;01 Andalucía;41 Sevilla;Pernoctaciones;Total;Residentes en el Extranjero;2023M03;336.351
Total Nacional;01 Andalucía;41 Sevilla;Pernoctaciones;Total;Residentes en el Extranjero;2023M02;261.574
Total Nacional;01 Andalucía;41 Sevilla;Pernoctaciones;Total;Residentes en el Extranjero;2023M01;245.400
Total Nacional;02 Aragón;;Viajero;Total;;2025M12;217.273
Total Nacional;02 Aragón;;Viajero;Total;;2025M11;200.792
Total Nacional;02 Aragón;;Viajero;Total;;2025M10;269.713
Total Nacional;02 Aragón;;Viajero;Total;;2025M09;290.172
Total Nacional;02 Aragón;;Viajero;Total;;2025M08;368.007
Total Nacional;02 Aragón;;Viajero;Total;;2025M07;299.878
Total Nacional;02 Aragón;;Viajero;Total;;2025M06;266.408
Total Nacional;02 Aragón;;Viajero;Total;;2025M05;263.614
Total Nacional;02 Aragón;;Viajero;Total;;2025M04;249.743
Total Nacional;02 Aragón;;Viajero;Total;;2025M03;225.797
Total Nacional;02 Aragón;;Viajero;Total;;2025M02;218.345
Total Nacional;02 Aragón;;Viajero;Total;;2025M01;181.284
Total Nacional;02 Aragón;;Viajero;Total;;2024M12;206.449
Total Nacional;02 Aragón;;Viajero;Total;;2024M11;207.704
Total Nacional;02 Aragón;;Viajero;Total;;2024M10;270.671
Total Nacional;02 Aragón;;Viajero;Total;;2024M09;274.902
Total Nacional;02 Aragón;;Viajero;Total;;2024M08;360.395
Total Nacional;02 Aragón;;Viajero;Total;;2024M07;298.120
Total Nacional;02 Aragón;;Viajero;Total;;2024M06;267.967
Total Nacional;02 Aragón;;Viajero;Total;;2024M05;265.442
Total Nacional;02 Aragón;;Viajero;Total;;2024M04;224.184
Total Nacional;02 Aragón;;Viajero;Total;;2024M03;266.685
Total Nacional;02 Aragón;;Viajero;Total;;2024M02;208.041
Total Nacional;02 Aragón;;Viajero;Total;;2024M01;181.165
Total Nacional;02 Aragón;;Viajero;Total;;2023M12;206.185
Total Nacional;02 Aragón;;Viajero;Total;;2023M11;184.819
Total Nacional;02 Aragón;;Viajero;Total;;2023M10;254.261
Total Nacional;02 Aragón;;Viajero;Total;;2023M09;269.336
Total Nacional;02 Aragón;;Viajero;Total;;2023M08;343.772
Total Nacional;02 Aragón;;Viajero;Total;;2023M07;285.961
Total Nacional;02 Aragón;;Viajero;Total;;2023M06;239.433
Total Nacional;02 Aragón;;Viajero;Total;;2023M05;214.445
Total Nacional;02 Aragón;;Viajero;Total;;2023M04;252.862
Total Nacional;02 Aragón;;Viajero;Total;;2023M03;216.350
Total Nacional;02 Aragón;;Viajero;Total;;2023M02;197.371
Total Nacional;02 Aragón;;Viajero;Total;;2023M01;169.047
Total Nacional;02 Aragón;;Viajero;Total;Residentes en España;2025M12;184.699
Total Nacional;02 Aragón;;Viajero;Total;Residentes en España;2025M11;167.008
Total Nacional;02 Aragón;;Viajero;Total;Residentes en España;2025M10;214.452
Total Nacional;02 Aragón;;Viajero;Total;Residentes en España;2025M09;218.577
Total Nacional;02 Aragón;;Viajero;Total;Residentes en España;2025M08;285.500
Total Nacional;02 Aragón;;Viajero;Total;Residentes en España;2025M07;229.112
Total Nacional;02 Aragón;;Viajero;Total;Residentes en España;2025M06;202.455
Total Nacional;02 Aragón;;Viajero;Total;Residentes en España;2025M05;196.330
Total Nacional;02 Aragón;;Viajero;Total;Residentes en España;2025M04;200.487
Total Nacional;02 Aragón;;Viajero;Total;Residentes en España;2025M03;186.512
Total Nacional;02 Aragón;;Viajero;Total;Residentes en España;2025M02;185.538
Total Nacional;02 Aragón;;Viajero;Total;Residentes en España;2025M01;150.151
Total Nacional;02 Aragón;;Viajero;Total;Residentes en España;2024M12;170.556
Total Nacional;02 Aragón;;Viajero;Total;Residentes en España;2024M11;162.338
Total Nacional;02 Aragón;;Viajero;Total;Residentes en España;2024M10;202.570
Total Nacional;02 Aragón;;Viajero;Total;Residentes en España;2024M09;201.935
Total Nacional;02 Aragón;;Viajero;Total;Residentes en España;2024M08;276.921
Total Nacional;02 Aragón;;Viajero;Total;Residentes en España;2024M07;228.472
Total Nacional;02 Aragón;;Viajero;Total;Residentes en España;2024M06;205.477
