Totales Territoriales;Provincias;Viajeros y pernoctaciones;Totales Territoriales.1;Comunidades y Ciudades Autónomas;Periodo;Total
Total Nacional;06 Badajoz;Pernoctaciones;Total Nacional;11 Extremadura;2023M10;13,55
Total Nacional;06 Badajoz;Pernoctaciones;Total Nacional;11 Extremadura;2023M09;17,94
Total Nacional;06 Badajoz;Pernoctaciones;Total Nacional;11 Extremadura;2023M08;15,37
Total Nacional;06 Badajoz;Pernoctaciones;Total Nacional;11 Extremadura;2023M07;18,44
Total Nacional;06 Badajoz;Pernoctaciones;Total Nacional;11 Extremadura;2023M06;27,01
Total Nacional;06 Badajoz;Pernoctaciones;Total Nacional;11 Extremadura;2023M05;18,69
Total Nacional;06 Badajoz;Pernoctaciones;Total Nacional;11 Extremadura;2023M04;18,28
Total Nacional;06 Badajoz;Pernoctaciones;Total Nacional;11 Extremadura;2023M03;19,55
Total Nacional;06 Badajoz;Pernoctaciones;Total Nacional;11 Extremadura;2023M02;17,08
Total Nacional;06 Badajoz;Pernoctaciones;Total Nacional;11 Extremadura;2023M01;19,11
Total Nacional;06 Badajoz;Pernoctaciones;Total Nacional;12 Galicia;2025M12;2,48
Total Nacional;06 Badajoz;Pernoctaciones;Total Nacional;12 Galicia;2025M11;3,11
Total Nacional;06 Badajoz;Pernoctaciones;Total Nacional;12 Galicia;2025M10;4,65
Total Nacional;06 Badajoz;Pernoctaciones;Total Nacional;12 Galicia;2025M09;3,86
Total Nacional;06 Badajoz;Pernoctaciones;Total Nacional;12 Galicia;2025M08;2,43
Total Nacional;06 Badajoz;Pernoctaciones;Total Nacional;12 Galicia;2025M07;2,77
Total Nacional;06 Badajoz;Pernoctaciones;Total Nacional;12 Galicia;2025M06;2,59
Total Nacional;06 Badajoz;Pernoctaciones;Total Nacional;12 Galicia;2025M05;3,69
Total Nacional;06 Badajoz;Pernoctaciones;Total Nacional;12 Galicia;2025M04;4,3
Total Nacional;06 Badajoz;Pernoctaciones;Total Nacional;12 Galicia;2025M03;2,15
Total Nacional;06 Badajoz;Pernoctaciones;Total Nacional;12 Galicia;2025M02;1,95
Total Nacional;06 Badajoz;Pernoctaciones;Total Nacional;12 Galicia;2025M01;3,26
Total Nacional;06 Badajoz;Pernoctaciones;Total Nacional;12 Galicia;2024M12;2,11
Total Nacional;06 Badajoz;Pernoctaciones;Total Nacional;12 Galicia;2024M11;2,96
Total Nacional;06 Badajoz;Pernoctaciones;Total Nacional;12 Galicia;2024M10;3,6
Total Nacional;06 Badajoz;Pernoctaciones;Total Nacional;12 Galicia;2024M09;2,94
Total Nacional;06 Badajoz;Pernoctaciones;Total Nacional;12 Galicia;2024M08;3,15
Total Nacional;06 Badajoz;Pernoctaciones;Total Nacional;12 Galicia;2024M07;2,65
Total Nacional;06 Badajoz;Pernoctaciones;Total Nacional;12 Galicia;2024M06;3,04
Total Nacional;06 Badajoz;Pernoctaciones;Total Nacional;12 Galicia;2024M05;3,95
Total Nacional;06 Badajoz;Pernoctaciones;Total Nacional;12 Galicia;2024M04;3,41
Total Nacional;06 Badajoz;Pernoctaciones;Total Nacional;12 Galicia;2024M03;4,77
Total Nacional;06 Badajoz;Pernoctaciones;Total Nacional;12 Galicia;2024M02;2,74
Total Nacional;06 Badajoz;Pernoctaciones;Total Nacional;12 Galicia;2024M01;1,89
Total Nacional;06 Badajoz;Pernoctaciones;Total Nacional;12 Galicia;2023M12;2,4
Total Nacional;06 Badajoz;Pernoctaciones;Total Nacional;12 Galicia;2023M11;1,63
Total Nacional;06 Badajoz;Pernoctaciones;Total Nacional;12 Galicia;2023M10;5,57
Total Nacional;06 Badajoz;Pernoctaciones;Total Nacional;12 Galicia;2023M09;3,4
Total Nacional;06 Badajoz;Pernoctaciones;Total Nacional;12 Galicia;2023M08;3,91
Total Nacional;06 Badajoz;Pernoctaciones;Total Nacional;12 Galicia;2023M07;2,68
Total Nacional;06 Badajoz;Pernoctaciones;Total Nacional;12 Galicia;2023M06;2,86
Total Nacional;06 Badajoz;Pernoctaciones;Total Nacional;12 Galicia;2023M05;4,46
Total Nacional;06 Badajoz;Pernoctaciones;Total Nacional;12 Galicia;2023M04;4,39
Total Nacional;06 Badajoz;Pernoctaciones;Total Nacional;12 Galicia;2023M03;3,24
Total Nacional;06 Badajoz;Pernoctaciones;Total Nacional;12 Galicia;2023M02;2
Total Nacional;06 Badajoz;Pernoctaciones;Total Nacional;12 Galicia;2023M01;1,96
Total Nacional;06 Badajoz;Pernoctaciones;Total Nacional;13 Madrid, Comunidad de;2025M12;24,62
Total Nacional;06 Badajoz;Pernoctaciones;Total Nacional;13 Madrid, Comunidad de;2025M11;18,05
Total Nacional;06 Badajoz;Pernoctaciones;Total Nacional;13 Madrid, Comunidad de;2025M10;17,08
Total Nacional;06 Badajoz;Pernoctaciones;Total Nacional;13 Madrid, Comunidad de;2025M09;19,12
Total Nacional;06 Badajoz;Pernoctaciones;Total Nacional;13 Madrid, Comunidad de;2025M08;19,48
Total Nacional;06 Badajoz;Pernoctaciones;Total Nacional;13 Madrid, Comunidad de;2025M07;19,73
Total Nacional;06 Badajoz;Pernoctaciones;Total Nacional;13 Madrid, Comunidad de;2025M06;19,51
Total Nacional;06 Badajoz;Pernoctaciones;Total Nacional;13 Madrid, Comunidad de;2025M05;17,66
Total Nacional;06 Badajoz;Pernoctaciones;Total Nacional;13 Madrid, Comunidad de;2025M04;21,32
Total Nacional;06 Badajoz;Pernoctaciones;Total Nacional;13 Madrid, Comunidad de;2025M03;18,25
Total Nacional;06 Badajoz;Pernoctaciones;Total Nacional;13 Madrid, Comunidad de;2025M02;24,59
Total Nacional;06 Badajoz;Pernoctaciones;Total Nacional;13 Madrid, Comunidad de;2025M01;21,77
Total Nacional;06 Badajoz;Pernoctaciones;Total Nacional;13 Madrid, Comunidad de;2024M12;21,4
Total Nacional;06 Badajoz;Pernoctaciones;Total Nacional;13 Madrid, Comunidad de;2024M11;18,5
Total Nacional;06 Badajoz;Pernoctaciones;Total Nacional;13 Madrid, Comunidad de;2024M10;21,57
Total Nacional;06 Badajoz;Pernoctaciones;Total Nacional;13 Madrid, Comunidad de;2024M09;18,94
Total Nacional;06 Badajoz;Pernoctaciones;Total Nacional;13 Madrid, Comunidad de;2024M08;20,02
Total Nacional;06 Badajoz;Pernoctaciones;Total Nacional;13 Madrid, Comunidad de;2024M07;22,81
Total Nacional;06 Badajoz;Pernoctaciones;Total Nacional;13 Madrid, Comunidad de;2024M06;21,15
Total Nacional;06 Badajoz;Pernoctaciones;Total Nacional;13 Madrid, Comunidad de;2024M05;22,24
Total Nacional;06 Badajoz;Pernoctaciones;Total Nacional;13 Madrid, Comunidad de;2024M04;18,81
Total Nacional;06 Badajoz;Pernoctaciones;Total Nacional;13 Madrid, Comunidad de;2024M03;20,64
Total Nacional;06 Badajoz;Pernoctaciones;Total Nacional;13 Madrid, Comunidad de;2024M02;16,21
Total Nacional;06 Badajoz;Pernoctaciones;Total Nacional;13 Madrid, Comunidad de;2024M01;20,38
Total Nacional;06 Badajoz;Pernoctaciones;Total Nacional;13 Madrid, Comunidad de;2023M12;21,57
Total Nacional;06 Badajoz;Pernoctaciones;Total Nacional;13 Madrid, Comunidad de;2023M11;19,46
Total Nacional;06 Badajoz;Pernoctaciones;Total Nacional;13 Madrid, Comunidad de;2023M10;21,14
Total Nacional;06 Badajoz;Pernoctaciones;Total Nacional;13 Madrid, Comunidad de;2023M09;17,26
Total Nacional;06 Badajoz;Pernoctaciones;Total Nacional;13 Madrid, Comunidad de;2023M08;22,08
Total Nacional;06 Badajoz;Pernoctaciones;Total Nacional;13 Madrid, Comunidad de;2023M07;21,92
Total Nacional;06 Badajoz;Pernoctaciones;Total Nacional;13 Madrid, Comunidad de;2023M06;15,97
Total Nacional;06 Badajoz;Pernoctaciones;Total Nacional;13 Madrid, Comunidad de;2023M05;19,24
Total Nacional;06 Badajoz;Pernoctaciones;Total Nacional;13 Madrid, Comunidad de;2023M04;19,35
Total Nacional;06 Badajoz;Pernoctaciones;Total Nacional;13 Madrid, Comunidad de;2023M03;18,65
Total Nacional;06 Badajoz;Pernoctaciones;Total Nacional;13 Madrid, Comunidad de;2023M02;18,3
Total Nacional;06 Badajoz;Pernoctaciones;Total Nacional;13 Madrid, Comunidad de;2023M01;18,1
Total Nacional;06 Badajoz;Pernoctaciones;Total Nacional;14 Murcia, Región de;2025M12;0,7
Total Nacional;06 Badajoz;Pernoctaciones;Total Nacional;14 Murcia, Región de;2025M11;1,03
Total Nacional;06 Badajoz;Pernoctaciones;Total Nacional;14 Murcia, Región de;2025M10;1,89
Total Nacional;06 Badajoz;Pernoctaciones;Total Nacional;14 Murcia, Región de;2025M09;1,81
Total Nacional;06 Badajoz;Pernoctaciones;Total Nacional;14 Murcia, Región de;2025M08;1,63
Total Nacional;06 Badajoz;Pernoctaciones;Total Nacional;14 Murcia, Región de;2025M07;1,39
Total Nacional;06 Badajoz;Pernoctaciones;Total Nacional;14 Murcia, Región de;2025M06;1,01
Total Nacional;06 Badajoz;Pernoctaciones;Total Nacional;14 Murcia, Región de;2025M05;2,08
Total Nacional;06 Badajoz;Pernoctaciones;Total Nacional;14 Murcia, Región de;2025M04;1,2
Total Nacional;06 Badajoz;Pernoctaciones;Total Nacional;14 Murcia, Región de;2025M03;1,13
Total Nacional;06 Badajoz;Pernoctaciones;Total Nacional;14 Murcia, Región de;2025M02;1,24
Total Nacional;06 Badajoz;Pernoctaciones;Total Nacional;14 Murcia, Región de;2025M01;1,28
Total Nacional;06 Badajoz;Pernoctaciones;Total Nacional;14 Murcia, Región de;2024M12;2,37
Total Nacional;06 Badajoz;Pernoctaciones;Total Nacional;14 Murcia, Región de;2024M11;1,79
Total Nacional;06 Badajoz;Pernoctaciones;Total Nacional;14 Murcia, Región de;2024M10;2,13
Total Nacional;06 Badajoz;Pernoctaciones;Total Nacional;14 Murcia, Región de;2024M09;1,32
Total Nacional;06 Badajoz;Pernoctaciones;Total Nacional;14 Murcia, Región de;2024M08;1,52
Total Nacional;06 Badajoz;Pernoctaciones;Total Nacional;14 Murcia, Región de;2024M07;1,32
Total Nacional;06 Badajoz;Pernoctaciones;Total Nacional;14 Murcia, Región de;2024M06;1,03
Total Nacional;06 Badajoz;Pernoctaciones;Total Nacional;14 Murcia, Región de;2024M05;1,28
Total Nacional;06 Badajoz;Pernoctaciones;Total Nacional;14 Murcia, Región de;2024M04;2,29
Total Nacional;06 Badajoz;Pernoctaciones;Total Nacional;14 Murcia, Región de;2024M03;1,19
Total Nacional;06 Badajoz;Pernoctaciones;Total Nacional;14 Murcia, Región de;2024M02;1,01
Total Nacional;06 Badajoz;Pernoctaciones;Total Nacional;14 Murcia, Región de;2024M01;1,04
Total Nacional;06 Badajoz;Pernoctaciones;Total Nacional;14 Murcia, Región de;2023M12;1,66
Total Nacional;06 Badajoz;Pernoctaciones;Total Nacional;14 Murcia, Región de;2023M11;1,2
Total Nacional;06 Badajoz;Pernoctaciones;Total Nacional;14 Murcia, Región de;2023M10;1,43
Total Nacional;06 Badajoz;Pernoctaciones;Total Nacional;14 Murcia, Región de;2023M09;1,08
Total Nacional;06 Badajoz;Pernoctaciones;Total Nacional;14 Murcia, Región de;2023M08;1,07
Total Nacional;06 Badajoz;Pernoctaciones;Total Nacional;14 Murcia, Región de;2023M07;2,14
Total Nacional;06 Badajoz;Pernoctaciones;Total Nacional;14 Murcia, Región de;2023M06;1,72
Total Nacional;06 Badajoz;Pernoctaciones;Total Nacional;14 Murcia, Región de;2023M05;2,42
Total Nacional;06 Badajoz;Pernoctaciones;Total Nacional;14 Murcia, Región de;2023M04;2,66
Total Nacional;06 Badajoz;Pernoctaciones;Total Nacional;14 Murcia, Región de;2023M03;1,28
Total Nacional;06 Badajoz;Pernoctaciones;Total Nacional;14 Murcia, Región de;2023M02;1,17
Total Nacional;06 Badajoz;Pernoctaciones;Total Nacional;14 Murcia, Región de;2023M01;1,34
Total Nacional;06 Badajoz;Pernoctaciones;Total Nacional;15 Navarra, Comunidad Foral de;2025M12;1,34
Total Nacional;06 Badajoz;Pernoctaciones;Total Nacional;15 Navarra, Comunidad Foral de;2025M11;1,04
Total Nacional;06 Badajoz;Pernoctaciones;Total Nacional;15 Navarra, Comunidad Foral de;2025M10;1,37
Total Nacional;06 Badajoz;Pernoctaciones;Total Nacional;15 Navarra, Comunidad Foral de;2025M09;0,87
Total Nacional;06 Badajoz;Pernoctaciones;Total Nacional;15 Navarra, Comunidad Foral de;2025M08;0,55
Total Nacional;06 Badajoz;Pernoctaciones;Total Nacional;15 Navarra, Comunidad Foral de;2025M07;1,32
Total Nacional;06 Badajoz;Pernoctaciones;Total Nacional;15 Navarra, Comunidad Foral de;2025M06;0,93
Total Nacional;06 Badajoz;Pernoctaciones;Total Nacional;15 Navarra, Comunidad Foral de;2025M05;1,04
Total Nacional;06 Badajoz;Pernoctaciones;Total Nacional;15 Navarra, Comunidad Foral de;2025M04;1,5
Total Nacional;06 Badajoz;Pernoctaciones;Total Nacional;15 Navarra, Comunidad Foral de;2025M03;0,94
Total Nacional;06 Badajoz;Pernoctaciones;Total Nacional;15 Navarra, Comunidad Foral de;2025M02;0,49
Total Nacional;06 Badajoz;Pernoctaciones;Total Nacional;15 Navarra, Comunidad Foral de;2025M01;0,33
Total Nacional;06 Badajoz;Pernoctaciones;Total Nacional;15 Navarra, Comunidad Foral de;2024M12;0,78
Total Nacional;06 Badajoz;Pernoctaciones;Total Nacional;15 Navarra, Comunidad Foral de;2024M11;0,89
Total Nacional;06 Badajoz;Pernoctaciones;Total Nacional;15 Navarra, Comunidad Foral de;2024M10;0,64
Total Nacional;06 Badajoz;Pernoctaciones;Total Nacional;15 Navarra, Comunidad Foral de;2024M09;0,6
Total Nacional;06 Badajoz;Pernoctaciones;Total Nacional;15 Navarra, Comunidad Foral de;2024M08;1
Total Nacional;06 Badajoz;Pernoctaciones;Total Nacional;15 Navarra, Comunidad Foral de;2024M07;0,97
Total Nacional;06 Badajoz;Pernoctaciones;Total Nacional;15 Navarra, Comunidad Foral de;2024M06;0,79
Total Nacional;06 Badajoz;Pernoctaciones;Total Nacional;15 Navarra, Comunidad Foral de;2024M05;1,81
Total Nacional;06 Badajoz;Pernoctaciones;Total Nacional;15 Navarra, Comunidad Foral de;2024M04;0,6
Total Nacional;06 Badajoz;Pernoctaciones;Total Nacional;15 Navarra, Comunidad Foral de;2024M03;2,08
Total Nacional;06 Badajoz;Pernoctaciones;Total Nacional;15 Navarra, Comunidad Foral de;2024M02;0,65
Total Nacional;06 Badajoz;Pernoctaciones;Total Nacional;15 Navarra, Comunidad Foral de;2024M01;1,01
Total Nacional;06 Badajoz;Pernoctaciones;Total Nacional;15 Navarra, Comunidad Foral de;2023M12;0,43
Total Nacional;06 Badajoz;Pernoctaciones;Total Nacional;15 Navarra, Comunidad Foral de;2023M11;1,32
Total Nacional;06 Badajoz;Pernoctaciones;Total Nacional;15 Navarra, Comunidad Foral de;2023M10;0,59
Total Nacional;06 Badajoz;Pernoctaciones;Total Nacional;15 Navarra, Comunidad Foral de;2023M09;0,83
Total Nacional;06 Badajoz;Pernoctaciones;Total Nacional;15 Navarra, Comunidad Foral de;2023M08;0,67
Total Nacional;06 Badajoz;Pernoctaciones;Total Nacional;15 Navarra, Comunidad Foral de;2023M07;0,71
Total Nacional;06 Badajoz;Pernoctaciones;Total Nacional;15 Navarra, Comunidad Foral de;2023M06;0,81
Total Nacional;06 Badajoz;Pernoctaciones;Total Nacional;15 Navarra, Comunidad Foral de;2023M05;3,09
Total Nacional;06 Badajoz;Pernoctaciones;Total Nacional;15 Navarra, Comunidad Foral de;2023M04;1,18
Total Nacional;06 Badajoz;Pernoctaciones;Total Nacional;15 Navarra, Comunidad Foral de;2023M03;0,84
Total Nacional;06 Badajoz;Pernoctaciones;Total Nacional;15 Navarra, Comunidad Foral de;2023M02;0,52
Total Nacional;06 Badajoz;Pernoctaciones;Total Nacional;15 Navarra, Comunidad Foral de;2023M01;0,38
Total Nacional;06 Badajoz;Pernoctaciones;Total Nacional;16 País Vasco;2025M12;2,16
Total Nacional;06 Badajoz;Pernoctaciones;Total Nacional;16 País Vasco;2025M11;2,75
Total Nacional;06 Badajoz;Pernoctaciones;Total Nacional;16 País Vasco;2025M10;3,56
Total Nacional;06 Badajoz;Pernoctaciones;Total Nacional;16 País Vasco;2025M09;3,07
Total Nacional;06 Badajoz;Pernoctaciones;Total Nacional;16 País Vasco;2025M08;6,67
Total Nacional;06 Badajoz;Pernoctaciones;Total Nacional;16 País Vasco;2025M07;5,69
Total Nacional;06 Badajoz;Pernoctaciones;Total Nacional;16 País Vasco;2025M06;3,24
Total Nacional;06 Badajoz;Pernoctaciones;Total Nacional;16 País Vasco;2025M05;2,3
Total Nacional;06 Badajoz;Pernoctaciones;Total Nacional;16 País Vasco;2025M04;5,08
Total Nacional;06 Badajoz;Pernoctaciones;Total Nacional;16 País Vasco;2025M03;3,41
Total Nacional;06 Badajoz;Pernoctaciones;Total Nacional;16 País Vasco;2025M02;1,81
Total Nacional;06 Badajoz;Pernoctaciones;Total Nacional;16 País Vasco;2025M01;1,49
Total Nacional;06 Badajoz;Pernoctaciones;Total Nacional;16 País Vasco;2024M12;1,79
Total Nacional;06 Badajoz;Pernoctaciones;Total Nacional;16 País Vasco;2024M11;1,44
Total Nacional;06 Badajoz;Pernoctaciones;Total Nacional;16 País Vasco;2024M10;2,1
Total Nacional;06 Badajoz;Pernoctaciones;Total Nacional;16 País Vasco;2024M09;2,86
Total Nacional;06 Badajoz;Pernoctaciones;Total Nacional;16 País Vasco;2024M08;5,68
Total Nacional;06 Badajoz;Pernoctaciones;Total Nacional;16 País Vasco;2024M07;4,21
Total Nacional;06 Badajoz;Pernoctaciones;Total Nacional;16 País Vasco;2024M06;4,56
Total Nacional;06 Badajoz;Pernoctaciones;Total Nacional;16 País Vasco;2024M05;3,35
Total Nacional;06 Badajoz;Pernoctaciones;Total Nacional;16 País Vasco;2024M04;6,66
Total Nacional;06 Badajoz;Pernoctaciones;Total Nacional;16 País Vasco;2024M03;3,57
Total Nacional;06 Badajoz;Pernoctaciones;Total Nacional;16 País Vasco;2024M02;3,32
Total Nacional;06 Badajoz;Pernoctaciones;Total Nacional;16 País Vasco;2024M01;2,39
Total Nacional;06 Badajoz;Pernoctaciones;Total Nacional;16 País Vasco;2023M12;2,18
Total Nacional;06 Badajoz;Pernoctaciones;Total Nacional;16 País Vasco;2023M11;2,05
Total Nacional;06 Badajoz;Pernoctaciones;Total Nacional;16 País Vasco;2023M10;3,4
Total Nacional;06 Badajoz;Pernoctaciones;Total Nacional;16 País Vasco;2023M09;4,6
Total Nacional;06 Badajoz;Pernoctaciones;Total Nacional;16 País Vasco;2023M08;5,23
Total Nacional;06 Badajoz;Pernoctaciones;Total Nacional;16 País Vasco;2023M07;3,77
Total Nacional;06 Badajoz;Pernoctaciones;Total Nacional;16 País Vasco;2023M06;2,03
Total Nacional;06 Badajoz;Pernoctaciones;Total Nacional;16 País Vasco;2023M05;1,79
Total Nacional;06 Badajoz;Pernoctaciones;Total Nacional;16 País Vasco;2023M04;3,43
Total Nacional;06 Badajoz;Pernoctaciones;Total Nacional;16 País Vasco;2023M03;2,01
Total Nacional;06 Badajoz;Pernoctaciones;Total Nacional;16 País Vasco;2023M02;1,56
Total Nacional;06 Badajoz;Pernoctaciones;Total Nacional;16 País Vasco;2023M01;2,5
Total Nacional;06 Badajoz;Pernoctaciones;Total Nacional;17 Rioja, La;2025M12;0,2
Total Nacional;06 Badajoz;Pernoctaciones;Total Nacional;17 Rioja, La;2025M11;0,33
Total Nacional;06 Badajoz;Pernoctaciones;Total Nacional;17 Rioja, La;2025M10;0,5
Total Nacional;06 Badajoz;Pernoctaciones;Total Nacional;17 Rioja, La;2025M09;0,4
Total Nacional;06 Badajoz;Pernoctaciones;Total Nacional;17 Rioja, La;2025M08;0,47
Total Nacional;06 Badajoz;Pernoctaciones;Total Nacional;17 Rioja, La;2025M07;0,53
Total Nacional;06 Badajoz;Pernoctaciones;Total Nacional;17 Rioja, La;2025M06;0,5
Total Nacional;06 Badajoz;Pernoctaciones;Total Nacional;17 Rioja, La;2025M05;0,64
Total Nacional;06 Badajoz;Pernoctaciones;Total Nacional;17 Rioja, La;2025M04;0,49
Total Nacional;06 Badajoz;Pernoctaciones;Total Nacional;17 Rioja, La;2025M03;0,5
Total Nacional;06 Badajoz;Pernoctaciones;Total Nacional;17 Rioja, La;2025M02;0,18
Total Nacional;06 Badajoz;Pernoctaciones;Total Nacional;17 Rioja, La;2025M01;0,3
Total Nacional;06 Badajoz;Pernoctaciones;Total Nacional;17 Rioja, La;2024M12;0,33
Total Nacional;06 Badajoz;Pernoctaciones;Total Nacional;17 Rioja, La;2024M11;0,6
Total Nacional;06 Badajoz;Pernoctaciones;Total Nacional;17 Rioja, La;2024M10;0,56
Total Nacional;06 Badajoz;Pernoctaciones;Total Nacional;17 Rioja, La;2024M09;0,8
Total Nacional;06 Badajoz;Pernoctaciones;Total Nacional;17 Rioja, La;2024M08;0,44
Total Nacional;06 Badajoz;Pernoctaciones;Total Nacional;17 Rioja, La;2024M07;0,42
Total Nacional;06 Badajoz;Pernoctaciones;Total Nacional;17 Rioja, La;2024M06;0,58
Total Nacional;06 Badajoz;Pernoctaciones;Total Nacional;17 Rioja, La;2024M05;0,34
Total Nacional;06 Badajoz;Pernoctaciones;Total Nacional;17 Rioja, La;2024M04;0,86
Total Nacional;06 Badajoz;Pernoctaciones;Total Nacional;17 Rioja, La;2024M03;0,38
Total Nacional;06 Badajoz;Pernoctaciones;Total Nacional;17 Rioja, La;2024M02;0,17
Total Nacional;06 Badajoz;Pernoctaciones;Total Nacional;17 Rioja, La;2024M01;0,15
Total Nacional;06 Badajoz;Pernoctaciones;Total Nacional;17 Rioja, La;2023M12;0,34
Total Nacional;06 Badajoz;Pernoctaciones;Total Nacional;17 Rioja, La;2023M11;0,4
Total Nacional;06 Badajoz;Pernoctaciones;Total Nacional;17 Rioja, La;2023M10;1,54
Total Nacional;06 Badajoz;Pernoctaciones;Total Nacional;17 Rioja, La;2023M09;0,7
Total Nacional;06 Badajoz;Pernoctaciones;Total Nacional;17 Rioja, La;2023M08;0,62
Total Nacional;06 Badajoz;Pernoctaciones;Total Nacional;17 Rioja, La;2023M07;0,54
Total Nacional;06 Badajoz;Pernoctaciones;Total Nacional;17 Rioja, La;2023M06;0,21
Total Nacional;06 Badajoz;Pernoctaciones;Total Nacional;17 Rioja, La;2023M05;0,33
Total Nacional;06 Badajoz;Pernoctaciones;Total Nacional;17 Rioja, La;2023M04;0,54
Total Nacional;06 Badajoz;Pernoctaciones;Total Nacional;17 Rioja, La;2023M03;0,27
Total Nacional;06 Badajoz;Pernoctaciones;Total Nacional;17 Rioja, La;2023M02;0,17
Total Nacional;06 Badajoz;Pernoctaciones;Total Nacional;17 Rioja, La;2023M01;0,18
Total Nacional;06 Badajoz;Pernoctaciones;Total Nacional;18 Ceuta;2025M12;0,27
Total Nacional;06 Badajoz;Pernoctaciones;Total Nacional;18 Ceuta;2025M11;0,4
Total Nacional;06 Badajoz;Pernoctaciones;Total Nacional;18 Ceuta;2025M10;0,24
Total Nacional;06 Badajoz;Pernoctaciones;Total Nacional;18 Ceuta;2025M09;0,16
Total Nacional;06 Badajoz;Pernoctaciones;Total Nacional;18 Ceuta;2025M08;0,1
Total Nacional;06 Badajoz;Pernoctaciones;Total Nacional;18 Ceuta;2025M07;0,39
Total Nacional;06 Badajoz;Pernoctaciones;Total Nacional;18 Ceuta;2025M06;0,11
Total Nacional;06 Badajoz;Pernoctaciones;Total Nacional;18 Ceuta;2025M05;0,09
Total Nacional;06 Badajoz;Pernoctaciones;Total Nacional;18 Ceuta;2025M04;0,08
Total Nacional;06 Badajoz;Pernoctaciones;Total Nacional;18 Ceuta;2025M03;0,04
Total Nacional;06 Badajoz;Pernoctaciones;Total Nacional;18 Ceuta;2025M02;0,13
Total Nacional;06 Badajoz;Pernoctaciones;Total Nacional;18 Ceuta;2025M01;0,18
Total Nacional;06 Badajoz;Pernoctaciones;Total Nacional;18 Ceuta;2024M12;0,24
Total Nacional;06 Badajoz;Pernoctaciones;Total Nacional;18 Ceuta;2024M11;0,1
Total Nacional;06 Badajoz;Pernoctaciones;Total Nacional;18 Ceuta;2024M10;0,13
Total Nacional;06 Badajoz;Pernoctaciones;Total Nacional;18 Ceuta;2024M09;0,24
Total Nacional;06 Badajoz;Pernoctaciones;Total Nacional;18 Ceuta;2024M08;0,25
Total Nacional;06 Badajoz;Pernoctaciones;Total Nacional;18 Ceuta;2024M07;0,45
Total Nacional;06 Badajoz;Pernoctaciones;Total Nacional;18 Ceuta;2024M06;0,09
Total Nacional;06 Badajoz;Pernoctaciones;Total Nacional;18 Ceuta;2024M05;0,33
Total Nacional;06 Badajoz;Pernoctaciones;Total Nacional;18 Ceuta;2024M04;0,12
Total Nacional;06 Badajoz;Pernoctaciones;Total Nacional;18 Ceuta;2024M03;0,21
Total Nacional;06 Badajoz;Pernoctaciones;Total Nacional;18 Ceuta;2024M02;0,07
Total Nacional;06 Badajoz;Pernoctaciones;Total Nacional;18 Ceuta;2024M01;0,16
Total Nacional;06 Badajoz;Pernoctaciones;Total Nacional;18 Ceuta;2023M12;0,15
Total Nacional;06 Badajoz;Pernoctaciones;Total Nacional;18 Ceuta;2023M11;0,05
Total Nacional;06 Badajoz;Pernoctaciones;Total Nacional;18 Ceuta;2023M10;0,1
Total Nacional;06 Badajoz;Pernoctaciones;Total Nacional;18 Ceuta;2023M09;0,1
Total Nacional;06 Badajoz;Pernoctaciones;Total Nacional;18 Ceuta;2023M08;0,26
Total Nacional;06 Badajoz;Pernoctaciones;Total Nacional;18 Ceuta;2023M07;0,32
Total Nacional;06 Badajoz;Pernoctaciones;Total Nacional;18 Ceuta;2023M06;0,16
Total Nacional;06 Badajoz;Pernoctaciones;Total Nacional;18 Ceuta;2023M05;0,14
Total Nacional;06 Badajoz;Pernoctaciones;Total Nacional;18 Ceuta;2023M04;0,09
Total Nacional;06 Badajoz;Pernoctaciones;Total Nacional;18 Ceuta;2023M03;0,07
Total Nacional;06 Badajoz;Pernoctaciones;Total Nacional;18 Ceuta;2023M02;0,08
Total Nacional;06 Badajoz;Pernoctaciones;Total Nacional;18 Ceuta;2023M01;0,07
Total Nacional;06 Badajoz;Pernoctaciones;Total Nacional;19 Melilla;2025M12;0,06
Total Nacional;06 Badajoz;Pernoctaciones;Total Nacional;19 Melilla;2025M11;0,37
Total Nacional;06 Badajoz;Pernoctaciones;Total Nacional;19 Melilla;2025M10;0,11
Total Nacional;06 Badajoz;Pernoctaciones;Total Nacional;19 Melilla;2025M09;0,1
Total Nacional;06 Badajoz;Pernoctaciones;Total Nacional;19 Melilla;2025M08;0,12
Total Nacional;06 Badajoz;Pernoctaciones;Total Nacional;19 Melilla;2025M07;0,1
Total Nacional;06 Badajoz;Pernoctaciones;Total Nacional;19 Melilla;2025M06;0,01
Total Nacional;06 Badajoz;Pernoctaciones;Total Nacional;19 Melilla;2025M05;0,12
Total Nacional;06 Badajoz;Pernoctaciones;Total Nacional;19 Melilla;2025M04;0,07
Total Nacional;06 Badajoz;Pernoctaciones;Total Nacional;19 Melilla;2025M03;0,02
Total Nacional;06 Badajoz;Pernoctaciones;Total Nacional;19 Melilla;2025M02;0,02
Total Nacional;06 Badajoz;Pernoctaciones;Total Nacional;19 Melilla;2025M01;0,03
Total Nacional;06 Badajoz;Pernoctaciones;Total Nacional;19 Melilla;2024M12;0,12
Total Nacional;06 Badajoz;Pernoctaciones;Total Nacional;19 Melilla;2024M11;
Total Nacional;06 Badajoz;Pernoctaciones;Total Nacional;19 Melilla;2024M10;0,03
