Puntos turísticos;Viajeros y pernoctaciones;Residencia;Periodo;Total
01059 Vitoria-Gasteiz;Pernoctaciones;Residentes en España;2025M05;54.363
01059 Vitoria-Gasteiz;Pernoctaciones;Residentes en España;2025M04;53.611
01059 Vitoria-Gasteiz;Pernoctaciones;Residentes en España;2025M03;49.752
01059 Vitoria-Gasteiz;Pernoctaciones;Residentes en España;2025M02;39.798
01059 Vitoria-Gasteiz;Pernoctaciones;Residentes en España;2025M01;43.172
01059 Vitoria-Gasteiz;Pernoctaciones;Residentes en España;2024M12;50.113
01059 Vitoria-Gasteiz;Pernoctaciones;Residentes en España;2024M11;49.399
01059 Vitoria-Gasteiz;Pernoctaciones;Residentes en España;2024M10;49.323
01059 Vitoria-Gasteiz;Pernoctaciones;Residentes en España;2024M09;55.729
01059 Vitoria-Gasteiz;Pernoctaciones;Residentes en España;2024M08;61.675
01059 Vitoria-Gasteiz;Pernoctaciones;Residentes en España;2024M07;49.661
01059 Vitoria-Gasteiz;Pernoctaciones;Residentes en España;2024M06;46.480
01059 Vitoria-Gasteiz;Pernoctaciones;Residentes en España;2024M05;46.948
01059 Vitoria-Gasteiz;Pernoctaciones;Residentes en España;2024M04;41.473
01059 Vitoria-Gasteiz;Pernoctaciones;Residentes en España;2024M03;50.544
01059 Vitoria-Gasteiz;Pernoctaciones;Residentes en España;2024M02;37.454
01059 Vitoria-Gasteiz;Pernoctaciones;Residentes en España;2024M01;35.140
01059 Vitoria-Gasteiz;Pernoctaciones;Residentes en España;2023M12;43.134
01059 Vitoria-Gasteiz;Pernoctaciones;Residentes en España;2023M11;43.914
01059 Vitoria-Gasteiz;Pernoctaciones;Residentes en España;2023M10;49.587
01059 Vitoria-Gasteiz;Pernoctaciones;Residentes en España;2023M09;51.494
01059 Vitoria-Gasteiz;Pernoctaciones;Residentes en España;2023M08;61.908
01059 Vitoria-Gasteiz;Pernoctaciones;Residentes en España;2023M07;44.949
01059 Vitoria-Gasteiz;Pernoctaciones;Residentes en España;2023M06;40.329
01059 Vitoria-Gasteiz;Pernoctaciones;Residentes en España;2023M05;38.601
01059 Vitoria-Gasteiz;Pernoctaciones;Residentes en España;2023M04;40.897
01059 Vitoria-Gasteiz;Pernoctaciones;Residentes en España;2023M03;38.352
01059 Vitoria-Gasteiz;Pernoctaciones;Residentes en España;2023M02;32.075
01059 Vitoria-Gasteiz;Pernoctaciones;Residentes en España;2023M01;33.052
01059 Vitoria-Gasteiz;Pernoctaciones;Residentes en el Extranjero;2025M12;18.752
01059 Vitoria-Gasteiz;Pernoctaciones;Residentes en el Extranjero;2025M11;20.738
01059 Vitoria-Gasteiz;Pernoctaciones;Residentes en el Extranjero;2025M10;28.229
01059 Vitoria-Gasteiz;Pernoctaciones;Residentes en el Extranjero;2025M09;27.402
01059 Vitoria-Gasteiz;Pernoctaciones;Residentes en el Extranjero;2025M08;30.882
01059 Vitoria-Gasteiz;Pernoctaciones;Residentes en el Extranjero;2025M07;36.171
01059 Vitoria-Gasteiz;Pernoctaciones;Residentes en el Extranjero;2025M06;23.223
01059 Vitoria-Gasteiz;Pernoctaciones;Residentes en el Extranjero;2025M05;24.249
01059 Vitoria-Gasteiz;Pernoctaciones;Residentes en el Extranjero;2025M04;20.657
01059 Vitoria-Gasteiz;Pernoctaciones;Residentes en el Extranjero;2025M03;18.849
01059 Vitoria-Gasteiz;Pernoctaciones;Residentes en el Extranjero;2025M02;12.629
01059 Vitoria-Gasteiz;Pernoctaciones;Residentes en el Extranjero;2025M01;14.001
