Totales Territoriales;Comunidades y Ciudades Autónomas;Provincias;Residencia: Nivel 1;Residencia: Nivel 2;Viajeros y pernoctaciones;Periodo;Total
Total Nacional;01 Andalucía;;Total;Residentes en España;Pernoctaciones;2024M05;2.253.979
Total Nacional;01 Andalucía;;Total;Residentes en España;Pernoctaciones;2024M04;1.898.961
Total Nacional;01 Andalucía;;Total;Residentes en España;Pernoctaciones;2024M03;1.938.428
Total Nacional;01 Andalucía;;Total;Residentes en España;Pernoctaciones;2024M02;1.373.288
Total Nacional;01 Andalucía;;Total;Residentes en España;Pernoctaciones;2024M01;1.017.475
Total Nacional;01 Andalucía;;Total;Residentes en España;Pernoctaciones;2023M12;1.388.925
Total Nacional;01 Andalucía;;Total;Residentes en España;Pernoctaciones;2023M11;1.279.040
Total Nacional;01 Andalucía;;Total;Residentes en España;Pernoctaciones;2023M10;1.817.115
Total Nacional;01 Andalucía;;Total;Residentes en España;Pernoctaciones;2023M09;2.586.139
Total Nacional;01 Andalucía;;Total;Residentes en España;Pernoctaciones;2023M08;4.158.487
Total Nacional;01 Andalucía;;Total;Residentes en España;Pernoctaciones;2023M07;3.610.922
Total Nacional;01 Andalucía;;Total;Residentes en España;Pernoctaciones;2023M06;2.649.406
Total Nacional;01 Andalucía;;Total;Residentes en España;Pernoctaciones;2023M05;1.978.466
Total Nacional;01 Andalucía;;Total;Residentes en España;Pernoctaciones;2023M04;2.140.172
Total Nacional;01 Andalucía;;Total;Residentes en España;Pernoctaciones;2023M03;1.583.785
Total Nacional;01 Andalucía;;Total;Residentes en España;Pernoctaciones;2023M02;1.313.951
Total Nacional;01 Andalucía;;Total;Residentes en España;Pernoctaciones;2023M01;1.052.987
Total Nacional;01 Andalucía;;Total;Residentes en España;Pernoctaciones;2022M12;1.270.267
Total Nacional;01 Andalucía;;Total;Residentes en España;Pernoctaciones;2022M11;1.306.991
Total Nacional;01 Andalucía;;Total;Residentes en España;Pernoctaciones;2022M10;1.821.955
Total Nacional;01 Andalucía;;Total;Residentes en España;Pernoctaciones;2022M09;2.718.541
Total Nacional;01 Andalucía;;Total;Residentes en España;Pernoctaciones;2022M08;4.337.352
Total Nacional;01 Andalucía;;Total;Residentes en España;Pernoctaciones;2022M07;3.799.539
Total Nacional;01 Andalucía;;Total;Residentes en España;Pernoctaciones;2022M06;2.678.849
Total Nacional;01 Andalucía;;Total;Residentes en España;Pernoctaciones;2022M05;2.214.034
Total Nacional;01 Andalucía;;Total;Residentes en España;Pernoctaciones;2022M04;2.201.487
Total Nacional;01 Andalucía;;Total;Residentes en España;Pernoctaciones;2022M03;1.430.902
Total Nacional;01 Andalucía;;Total;Residentes en España;Pernoctaciones;2022M02;1.269.054
Total Nacional;01 Andalucía;;Total;Residentes en España;Pernoctaciones;2022M01;826.684
Total Nacional;01 Andalucía;;Total;Residentes en el Extranjero;Viajero;2026M03;773.275
Total Nacional;01 Andalucía;;Total;Residentes en el Extranjero;Viajero;2026M02;556.961
Total Nacional;01 Andalucía;;Total;Residentes en el Extranjero;Viajero;2026M01;486.667
Total Nacional;01 Andalucía;;Total;Residentes en el Extranjero;Viajero;2025M12;511.783
Total Nacional;01 Andalucía;;Total;Residentes en el Extranjero;Viajero;2025M11;620.454
