Totales Territoriales;Comunidades y Ciudades Autónomas;Provincias;Residencia: Nivel 1;Residencia: Nivel 2;Viajeros y pernoctaciones;Periodo;Total
Total Nacional;02 Aragón;44 Teruel;Total;Residentes en España;Pernoctaciones;2023M03;51.013
Total Nacional;02 Aragón;44 Teruel;Total;Residentes en España;Pernoctaciones;2023M02;48.687
Total Nacional;02 Aragón;44 Teruel;Total;Residentes en España;Pernoctaciones;2023M01;36.879
Total Nacional;02 Aragón;44 Teruel;Total;Residentes en España;Pernoctaciones;2022M12;50.750
Total Nacional;02 Aragón;44 Teruel;Total;Residentes en España;Pernoctaciones;2022M11;47.143
Total Nacional;02 Aragón;44 Teruel;Total;Residentes en España;Pernoctaciones;2022M10;75.960
Total Nacional;02 Aragón;44 Teruel;Total;Residentes en España;Pernoctaciones;2022M09;68.590
Total Nacional;02 Aragón;44 Teruel;Total;Residentes en España;Pernoctaciones;2022M08;100.542
Total Nacional;02 Aragón;44 Teruel;Total;Residentes en España;Pernoctaciones;2022M07;67.611
Total Nacional;02 Aragón;44 Teruel;Total;Residentes en España;Pernoctaciones;2022M06;59.551
Total Nacional;02 Aragón;44 Teruel;Total;Residentes en España;Pernoctaciones;2022M05;58.846
Total Nacional;02 Aragón;44 Teruel;Total;Residentes en España;Pernoctaciones;2022M04;77.981
Total Nacional;02 Aragón;44 Teruel;Total;Residentes en España;Pernoctaciones;2022M03;44.340
Total Nacional;02 Aragón;44 Teruel;Total;Residentes en España;Pernoctaciones;2022M02;43.498
Total Nacional;02 Aragón;44 Teruel;Total;Residentes en España;Pernoctaciones;2022M01;35.177
Total Nacional;02 Aragón;44 Teruel;Total;Residentes en el Extranjero;Viajero;2026M03;4.527
Total Nacional;02 Aragón;44 Teruel;Total;Residentes en el Extranjero;Viajero;2026M02;3.102
Total Nacional;02 Aragón;44 Teruel;Total;Residentes en el Extranjero;Viajero;2026M01;2.832
Total Nacional;02 Aragón;44 Teruel;Total;Residentes en el Extranjero;Viajero;2025M12;2.717
Total Nacional;02 Aragón;44 Teruel;Total;Residentes en el Extranjero;Viajero;2025M11;3.749
Total Nacional;02 Aragón;44 Teruel;Total;Residentes en el Extranjero;Viajero;2025M10;6.559
Total Nacional;02 Aragón;44 Teruel;Total;Residentes en el Extranjero;Viajero;2025M09;7.615
Total Nacional;02 Aragón;44 Teruel;Total;Residentes en el Extranjero;Viajero;2025M08;5.361
Total Nacional;02 Aragón;44 Teruel;Total;Residentes en el Extranjero;Viajero;2025M07;5.413
Total Nacional;02 Aragón;44 Teruel;Total;Residentes en el Extranjero;Viajero;2025M06;6.325
Total Nacional;02 Aragón;44 Teruel;Total;Residentes en el Extranjero;Viajero;2025M05;7.151
Total Nacional;02 Aragón;44 Teruel;Total;Residentes en el Extranjero;Viajero;2025M04;5.215
Total Nacional;02 Aragón;44 Teruel;Total;Residentes en el Extranjero;Viajero;2025M03;4.053
Total Nacional;02 Aragón;44 Teruel;Total;Residentes en el Extranjero;Viajero;2025M02;2.882
Total Nacional;02 Aragón;44 Teruel;Total;Residentes en el Extranjero;Viajero;2025M01;2.619
Total Nacional;02 Aragón;44 Teruel;Total;Residentes en el Extranjero;Viajero;2024M12;2.916
Total Nacional;02 Aragón;44 Teruel;Total;Residentes en el Extranjero;Viajero;2024M11;3.642
Total Nacional;02 Aragón;44 Teruel;Total;Residentes en el Extranjero;Viajero;2024M10;7.083
Total Nacional;02 Aragón;44 Teruel;Total;Residentes en el Extranjero;Viajero;2024M09;7.233
Total Nacional;02 Aragón;44 Teruel;Total;Residentes en el Extranjero;Viajero;2024M08;6.054
Total Nacional;02 Aragón;44 Teruel;Total;Residentes en el Extranjero;Viajero;2024M07;5.277
Total Nacional;02 Aragón;44 Teruel;Total;Residentes en el Extranjero;Viajero;2024M06;4.429
Total Nacional;02 Aragón;44 Teruel;Total;Residentes en el Extranjero;Viajero;2024M05;7.344
Total Nacional;02 Aragón;44 Teruel;Total;Residentes en el Extranjero;Viajero;2024M04;4.902
Total Nacional;02 Aragón;44 Teruel;Total;Residentes en el Extranjero;Viajero;2024M03;4.402
Total Nacional;02 Aragón;44 Teruel;Total;Residentes en el Extranjero;Viajero;2024M02;2.952
Total Nacional;02 Aragón;44 Teruel;Total;Residentes en el Extranjero;Viajero;2024M01;2.392
Total Nacional;02 Aragón;44 Teruel;Total;Residentes en el Extranjero;Viajero;2023M12;2.526
Total Nacional;02 Aragón;44 Teruel;Total;Residentes en el Extranjero;Viajero;2023M11;3.685
Total Nacional;02 Aragón;44 Teruel;Total;Residentes en el Extranjero;Viajero;2023M10;5.562
Total Nacional;02 Aragón;44 Teruel;Total;Residentes en el Extranjero;Viajero;2023M09;6.182
Total Nacional;02 Aragón;44 Teruel;Total;Residentes en el Extranjero;Viajero;2023M08;6.135
Total Nacional;02 Aragón;44 Teruel;Total;Residentes en el Extranjero;Viajero;2023M07;4.881
Total Nacional;02 Aragón;44 Teruel;Total;Residentes en el Extranjero;Viajero;2023M06;4.861
Total Nacional;02 Aragón;44 Teruel;Total;Residentes en el Extranjero;Viajero;2023M05;6.490
Total Nacional;02 Aragón;44 Teruel;Total;Residentes en el Extranjero;Viajero;2023M04;4.551
Total Nacional;02 Aragón;44 Teruel;Total;Residentes en el Extranjero;Viajero;2023M03;3.322
Total Nacional;02 Aragón;44 Teruel;Total;Residentes en el Extranjero;Viajero;2023M02;2.601
Total Nacional;02 Aragón;44 Teruel;Total;Residentes en el Extranjero;Viajero;2023M01;1.937
Total Nacional;02 Aragón;44 Teruel;Total;Residentes en el Extranjero;Viajero;2022M12;1.909
Total Nacional;02 Aragón;44 Teruel;Total;Residentes en el Extranjero;Viajero;2022M11;3.394
Total Nacional;02 Aragón;44 Teruel;Total;Residentes en el Extranjero;Viajero;2022M10;5.327
Total Nacional;02 Aragón;44 Teruel;Total;Residentes en el Extranjero;Viajero;2022M09;6.552
Total Nacional;02 Aragón;44 Teruel;Total;Residentes en el Extranjero;Viajero;2022M08;5.577
Total Nacional;02 Aragón;44 Teruel;Total;Residentes en el Extranjero;Viajero;2022M07;4.757
Total Nacional;02 Aragón;44 Teruel;Total;Residentes en el Extranjero;Viajero;2022M06;4.643
Total Nacional;02 Aragón;44 Teruel;Total;Residentes en el Extranjero;Viajero;2022M05;5.111
Total Nacional;02 Aragón;44 Teruel;Total;Residentes en el Extranjero;Viajero;2022M04;4.512
Total Nacional;02 Aragón;44 Teruel;Total;Residentes en el Extranjero;Viajero;2022M03;3.057
Total Nacional;02 Aragón;44 Teruel;Total;Residentes en el Extranjero;Viajero;2022M02;1.887
Total Nacional;02 Aragón;44 Teruel;Total;Residentes en el Extranjero;Viajero;2022M01;1.898
Total Nacional;02 Aragón;44 Teruel;Total;Residentes en el Extranjero;Pernoctaciones;2026M03;12.469
Total Nacional;02 Aragón;44 Teruel;Total;Residentes en el Extranjero;Pernoctaciones;2026M02;9.218
Total Nacional;02 Aragón;44 Teruel;Total;Residentes en el Extranjero;Pernoctaciones;2026M01;9.214
Total Nacional;02 Aragón;44 Teruel;Total;Residentes en el Extranjero;Pernoctaciones;2025M12;9.938
Total Nacional;02 Aragón;44 Teruel;Total;Residentes en el Extranjero;Pernoctaciones;2025M11;8.583
Total Nacional;02 Aragón;44 Teruel;Total;Residentes en el Extranjero;Pernoctaciones;2025M10;12.696
Total Nacional;02 Aragón;44 Teruel;Total;Residentes en el Extranjero;Pernoctaciones;2025M09;14.818
Total Nacional;02 Aragón;44 Teruel;Total;Residentes en el Extranjero;Pernoctaciones;2025M08;9.367
Total Nacional;02 Aragón;44 Teruel;Total;Residentes en el Extranjero;Pernoctaciones;2025M07;14.307
Total Nacional;02 Aragón;44 Teruel;Total;Residentes en el Extranjero;Pernoctaciones;2025M06;16.483
Total Nacional;02 Aragón;44 Teruel;Total;Residentes en el Extranjero;Pernoctaciones;2025M05;17.552
Total Nacional;02 Aragón;44 Teruel;Total;Residentes en el Extranjero;Pernoctaciones;2025M04;13.578
Total Nacional;02 Aragón;44 Teruel;Total;Residentes en el Extranjero;Pernoctaciones;2025M03;13.286
Total Nacional;02 Aragón;44 Teruel;Total;Residentes en el Extranjero;Pernoctaciones;2025M02;8.862
Total Nacional;02 Aragón;44 Teruel;Total;Residentes en el Extranjero;Pernoctaciones;2025M01;9.423
Total Nacional;02 Aragón;44 Teruel;Total;Residentes en el Extranjero;Pernoctaciones;2024M12;5.826
Total Nacional;02 Aragón;44 Teruel;Total;Residentes en el Extranjero;Pernoctaciones;2024M11;10.727
Total Nacional;02 Aragón;44 Teruel;Total;Residentes en el Extranjero;Pernoctaciones;2024M10;17.271
Total Nacional;02 Aragón;44 Teruel;Total;Residentes en el Extranjero;Pernoctaciones;2024M09;19.565
Total Nacional;02 Aragón;44 Teruel;Total;Residentes en el Extranjero;Pernoctaciones;2024M08;12.293
Total Nacional;02 Aragón;44 Teruel;Total;Residentes en el Extranjero;Pernoctaciones;2024M07;13.407
Total Nacional;02 Aragón;44 Teruel;Total;Residentes en el Extranjero;Pernoctaciones;2024M06;9.826
Total Nacional;02 Aragón;44 Teruel;Total;Residentes en el Extranjero;Pernoctaciones;2024M05;14.905
Total Nacional;02 Aragón;44 Teruel;Total;Residentes en el Extranjero;Pernoctaciones;2024M04;11.360
Total Nacional;02 Aragón;44 Teruel;Total;Residentes en el Extranjero;Pernoctaciones;2024M03;11.317
Total Nacional;02 Aragón;44 Teruel;Total;Residentes en el Extranjero;Pernoctaciones;2024M02;7.241
Total Nacional;02 Aragón;44 Teruel;Total;Residentes en el Extranjero;Pernoctaciones;2024M01;6.063
Total Nacional;02 Aragón;44 Teruel;Total;Residentes en el Extranjero;Pernoctaciones;2023M12;7.284
Total Nacional;02 Aragón;44 Teruel;Total;Residentes en el Extranjero;Pernoctaciones;2023M11;9.198
Total Nacional;02 Aragón;44 Teruel;Total;Residentes en el Extranjero;Pernoctaciones;2023M10;12.411
Total Nacional;02 Aragón;44 Teruel;Total;Residentes en el Extranjero;Pernoctaciones;2023M09;12.174
Total Nacional;02 Aragón;44 Teruel;Total;Residentes en el Extranjero;Pernoctaciones;2023M08;14.874
Total Nacional;02 Aragón;44 Teruel;Total;Residentes en el Extranjero;Pernoctaciones;2023M07;10.865
Total Nacional;02 Aragón;44 Teruel;Total;Residentes en el Extranjero;Pernoctaciones;2023M06;10.683
Total Nacional;02 Aragón;44 Teruel;Total;Residentes en el Extranjero;Pernoctaciones;2023M05;13.359
Total Nacional;02 Aragón;44 Teruel;Total;Residentes en el Extranjero;Pernoctaciones;2023M04;9.582
Total Nacional;02 Aragón;44 Teruel;Total;Residentes en el Extranjero;Pernoctaciones;2023M03;8.118
Total Nacional;02 Aragón;44 Teruel;Total;Residentes en el Extranjero;Pernoctaciones;2023M02;6.250
Total Nacional;02 Aragón;44 Teruel;Total;Residentes en el Extranjero;Pernoctaciones;2023M01;4.493
Total Nacional;02 Aragón;44 Teruel;Total;Residentes en el Extranjero;Pernoctaciones;2022M12;4.148
Total Nacional;02 Aragón;44 Teruel;Total;Residentes en el Extranjero;Pernoctaciones;2022M11;7.604
Total Nacional;02 Aragón;44 Teruel;Total;Residentes en el Extranjero;Pernoctaciones;2022M10;10.414
Total Nacional;02 Aragón;44 Teruel;Total;Residentes en el Extranjero;Pernoctaciones;2022M09;13.084
Total Nacional;02 Aragón;44 Teruel;Total;Residentes en el Extranjero;Pernoctaciones;2022M08;10.248
Total Nacional;02 Aragón;44 Teruel;Total;Residentes en el Extranjero;Pernoctaciones;2022M07;9.037
Total Nacional;02 Aragón;44 Teruel;Total;Residentes en el Extranjero;Pernoctaciones;2022M06;8.594
Total Nacional;02 Aragón;44 Teruel;Total;Residentes en el Extranjero;Pernoctaciones;2022M05;9.461
Total Nacional;02 Aragón;44 Teruel;Total;Residentes en el Extranjero;Pernoctaciones;2022M04;9.775
Total Nacional;02 Aragón;44 Teruel;Total;Residentes en el Extranjero;Pernoctaciones;2022M03;6.186
Total Nacional;02 Aragón;44 Teruel;Total;Residentes en el Extranjero;Pernoctaciones;2022M02;3.462
Total Nacional;02 Aragón;44 Teruel;Total;Residentes en el Extranjero;Pernoctaciones;2022M01;4.630
Total Nacional;02 Aragón;50 Zaragoza;Total;Residentes en España;Viajero;2026M03;96.440
Total Nacional;02 Aragón;50 Zaragoza;Total;Residentes en España;Viajero;2026M02;79.675
Total Nacional;02 Aragón;50 Zaragoza;Total;Residentes en España;Viajero;2026M01;70.562
Total Nacional;02 Aragón;50 Zaragoza;Total;Residentes en España;Viajero;2025M12;95.521
Total Nacional;02 Aragón;50 Zaragoza;Total;Residentes en España;Viajero;2025M11;100.129
Total Nacional;02 Aragón;50 Zaragoza;Total;Residentes en España;Viajero;2025M10;113.784
Total Nacional;02 Aragón;50 Zaragoza;Total;Residentes en España;Viajero;2025M09;108.772
Total Nacional;02 Aragón;50 Zaragoza;Total;Residentes en España;Viajero;2025M08;114.157
Total Nacional;02 Aragón;50 Zaragoza;Total;Residentes en España;Viajero;2025M07;99.363
Total Nacional;02 Aragón;50 Zaragoza;Total;Residentes en España;Viajero;2025M06;99.161
Total Nacional;02 Aragón;50 Zaragoza;Total;Residentes en España;Viajero;2025M05;112.130
Total Nacional;02 Aragón;50 Zaragoza;Total;Residentes en España;Viajero;2025M04;109.485
Total Nacional;02 Aragón;50 Zaragoza;Total;Residentes en España;Viajero;2025M03;95.801
Total Nacional;02 Aragón;50 Zaragoza;Total;Residentes en España;Viajero;2025M02;80.125
Total Nacional;02 Aragón;50 Zaragoza;Total;Residentes en España;Viajero;2025M01;67.641
Total Nacional;02 Aragón;50 Zaragoza;Total;Residentes en España;Viajero;2024M12;92.030
Total Nacional;02 Aragón;50 Zaragoza;Total;Residentes en España;Viajero;2024M11;100.592
Total Nacional;02 Aragón;50 Zaragoza;Total;Residentes en España;Viajero;2024M10;110.416
Total Nacional;02 Aragón;50 Zaragoza;Total;Residentes en España;Viajero;2024M09;104.237
Total Nacional;02 Aragón;50 Zaragoza;Total;Residentes en España;Viajero;2024M08;112.099
Total Nacional;02 Aragón;50 Zaragoza;Total;Residentes en España;Viajero;2024M07;107.143
Total Nacional;02 Aragón;50 Zaragoza;Total;Residentes en España;Viajero;2024M06;108.249
Total Nacional;02 Aragón;50 Zaragoza;Total;Residentes en España;Viajero;2024M05;111.280
Total Nacional;02 Aragón;50 Zaragoza;Total;Residentes en España;Viajero;2024M04;96.569
Total Nacional;02 Aragón;50 Zaragoza;Total;Residentes en España;Viajero;2024M03;110.265
Total Nacional;02 Aragón;50 Zaragoza;Total;Residentes en España;Viajero;2024M02;82.205
Total Nacional;02 Aragón;50 Zaragoza;Total;Residentes en España;Viajero;2024M01;68.947
Total Nacional;02 Aragón;50 Zaragoza;Total;Residentes en España;Viajero;2023M12;94.772
Total Nacional;02 Aragón;50 Zaragoza;Total;Residentes en España;Viajero;2023M11;94.734
Total Nacional;02 Aragón;50 Zaragoza;Total;Residentes en España;Viajero;2023M10;108.110
Total Nacional;02 Aragón;50 Zaragoza;Total;Residentes en España;Viajero;2023M09;105.834
Total Nacional;02 Aragón;50 Zaragoza;Total;Residentes en España;Viajero;2023M08;106.344
Total Nacional;02 Aragón;50 Zaragoza;Total;Residentes en España;Viajero;2023M07;96.207
Total Nacional;02 Aragón;50 Zaragoza;Total;Residentes en España;Viajero;2023M06;94.977
Total Nacional;02 Aragón;50 Zaragoza;Total;Residentes en España;Viajero;2023M05;91.042
Total Nacional;02 Aragón;50 Zaragoza;Total;Residentes en España;Viajero;2023M04;109.311
Total Nacional;02 Aragón;50 Zaragoza;Total;Residentes en España;Viajero;2023M03;93.128
Total Nacional;02 Aragón;50 Zaragoza;Total;Residentes en España;Viajero;2023M02;72.281
Total Nacional;02 Aragón;50 Zaragoza;Total;Residentes en España;Viajero;2023M01;63.347
Total Nacional;02 Aragón;50 Zaragoza;Total;Residentes en España;Viajero;2022M12;86.404
Total Nacional;02 Aragón;50 Zaragoza;Total;Residentes en España;Viajero;2022M11;87.803
Total Nacional;02 Aragón;50 Zaragoza;Total;Residentes en España;Viajero;2022M10;111.251
Total Nacional;02 Aragón;50 Zaragoza;Total;Residentes en España;Viajero;2022M09;98.802
Total Nacional;02 Aragón;50 Zaragoza;Total;Residentes en España;Viajero;2022M08;107.262
Total Nacional;02 Aragón;50 Zaragoza;Total;Residentes en España;Viajero;2022M07;93.812
Total Nacional;02 Aragón;50 Zaragoza;Total;Residentes en España;Viajero;2022M06;95.814
Total Nacional;02 Aragón;50 Zaragoza;Total;Residentes en España;Viajero;2022M05;91.928
Total Nacional;02 Aragón;50 Zaragoza;Total;Residentes en España;Viajero;2022M04;105.153
Total Nacional;02 Aragón;50 Zaragoza;Total;Residentes en España;Viajero;2022M03;79.611
Total Nacional;02 Aragón;50 Zaragoza;Total;Residentes en España;Viajero;2022M02;64.237
Total Nacional;02 Aragón;50 Zaragoza;Total;Residentes en España;Viajero;2022M01;47.469
Total Nacional;02 Aragón;50 Zaragoza;Total;Residentes en España;Pernoctaciones;2026M03;172.245
Total Nacional;02 Aragón;50 Zaragoza;Total;Residentes en España;Pernoctaciones;2026M02;138.548
Total Nacional;02 Aragón;50 Zaragoza;Total;Residentes en España;Pernoctaciones;2026M01;130.336
Total Nacional;02 Aragón;50 Zaragoza;Total;Residentes en España;Pernoctaciones;2025M12;158.681
Total Nacional;02 Aragón;50 Zaragoza;Total;Residentes en España;Pernoctaciones;2025M11;184.255
Total Nacional;02 Aragón;50 Zaragoza;Total;Residentes en España;Pernoctaciones;2025M10;203.971
Total Nacional;02 Aragón;50 Zaragoza;Total;Residentes en España;Pernoctaciones;2025M09;193.566
Total Nacional;02 Aragón;50 Zaragoza;Total;Residentes en España;Pernoctaciones;2025M08;190.528
Total Nacional;02 Aragón;50 Zaragoza;Total;Residentes en España;Pernoctaciones;2025M07;175.759
Total Nacional;02 Aragón;50 Zaragoza;Total;Residentes en España;Pernoctaciones;2025M06;176.856
Total Nacional;02 Aragón;50 Zaragoza;Total;Residentes en España;Pernoctaciones;2025M05;204.221
Total Nacional;02 Aragón;50 Zaragoza;Total;Residentes en España;Pernoctaciones;2025M04;197.476
Total Nacional;02 Aragón;50 Zaragoza;Total;Residentes en España;Pernoctaciones;2025M03;171.536
Total Nacional;02 Aragón;50 Zaragoza;Total;Residentes en España;Pernoctaciones;2025M02;135.626
Total Nacional;02 Aragón;50 Zaragoza;Total;Residentes en España;Pernoctaciones;2025M01;113.837
Total Nacional;02 Aragón;50 Zaragoza;Total;Residentes en España;Pernoctaciones;2024M12;152.759
Total Nacional;02 Aragón;50 Zaragoza;Total;Residentes en España;Pernoctaciones;2024M11;180.445
Total Nacional;02 Aragón;50 Zaragoza;Total;Residentes en España;Pernoctaciones;2024M10;196.541
Total Nacional;02 Aragón;50 Zaragoza;Total;Residentes en España;Pernoctaciones;2024M09;181.116
Total Nacional;02 Aragón;50 Zaragoza;Total;Residentes en España;Pernoctaciones;2024M08;189.012
Total Nacional;02 Aragón;50 Zaragoza;Total;Residentes en España;Pernoctaciones;2024M07;188.625
Total Nacional;02 Aragón;50 Zaragoza;Total;Residentes en España;Pernoctaciones;2024M06;185.018
Total Nacional;02 Aragón;50 Zaragoza;Total;Residentes en España;Pernoctaciones;2024M05;194.945
Total Nacional;02 Aragón;50 Zaragoza;Total;Residentes en España;Pernoctaciones;2024M04;172.119
Total Nacional;02 Aragón;50 Zaragoza;Total;Residentes en España;Pernoctaciones;2024M03;193.248
Total Nacional;02 Aragón;50 Zaragoza;Total;Residentes en España;Pernoctaciones;2024M02;142.117
Total Nacional;02 Aragón;50 Zaragoza;Total;Residentes en España;Pernoctaciones;2024M01;118.020
Total Nacional;02 Aragón;50 Zaragoza;Total;Residentes en España;Pernoctaciones;2023M12;159.992
Total Nacional;02 Aragón;50 Zaragoza;Total;Residentes en España;Pernoctaciones;2023M11;172.094
Total Nacional;02 Aragón;50 Zaragoza;Total;Residentes en España;Pernoctaciones;2023M10;203.573
Total Nacional;02 Aragón;50 Zaragoza;Total;Residentes en España;Pernoctaciones;2023M09;191.559
Total Nacional;02 Aragón;50 Zaragoza;Total;Residentes en España;Pernoctaciones;2023M08;180.200
Total Nacional;02 Aragón;50 Zaragoza;Total;Residentes en España;Pernoctaciones;2023M07;173.171
Total Nacional;02 Aragón;50 Zaragoza;Total;Residentes en España;Pernoctaciones;2023M06;173.580
Total Nacional;02 Aragón;50 Zaragoza;Total;Residentes en España;Pernoctaciones;2023M05;164.774
Total Nacional;02 Aragón;50 Zaragoza;Total;Residentes en España;Pernoctaciones;2023M04;200.608
Total Nacional;02 Aragón;50 Zaragoza;Total;Residentes en España;Pernoctaciones;2023M03;167.797
Total Nacional;02 Aragón;50 Zaragoza;Total;Residentes en España;Pernoctaciones;2023M02;123.898
Total Nacional;02 Aragón;50 Zaragoza;Total;Residentes en España;Pernoctaciones;2023M01;107.419
Total Nacional;02 Aragón;50 Zaragoza;Total;Residentes en España;Pernoctaciones;2022M12;144.951
Total Nacional;02 Aragón;50 Zaragoza;Total;Residentes en España;Pernoctaciones;2022M11;157.886
Total Nacional;02 Aragón;50 Zaragoza;Total;Residentes en España;Pernoctaciones;2022M10;205.763
Total Nacional;02 Aragón;50 Zaragoza;Total;Residentes en España;Pernoctaciones;2022M09;179.221
Total Nacional;02 Aragón;50 Zaragoza;Total;Residentes en España;Pernoctaciones;2022M08;185.738
Total Nacional;02 Aragón;50 Zaragoza;Total;Residentes en España;Pernoctaciones;2022M07;166.975
Total Nacional;02 Aragón;50 Zaragoza;Total;Residentes en España;Pernoctaciones;2022M06;168.386
Total Nacional;02 Aragón;50 Zaragoza;Total;Residentes en España;Pernoctaciones;2022M05;166.443
Total Nacional;02 Aragón;50 Zaragoza;Total;Residentes en España;Pernoctaciones;2022M04;189.269
Total Nacional;02 Aragón;50 Zaragoza;Total;Residentes en España;Pernoctaciones;2022M03;143.935
Total Nacional;02 Aragón;50 Zaragoza;Total;Residentes en España;Pernoctaciones;2022M02;107.399
Total Nacional;02 Aragón;50 Zaragoza;Total;Residentes en España;Pernoctaciones;2022M01;81.558
Total Nacional;02 Aragón;50 Zaragoza;Total;Residentes en el Extranjero;Viajero;2026M03;28.364
Total Nacional;02 Aragón;50 Zaragoza;Total;Residentes en el Extranjero;Viajero;2026M02;24.084
Total Nacional;02 Aragón;50 Zaragoza;Total;Residentes en el Extranjero;Viajero;2026M01;21.998
Total Nacional;02 Aragón;50 Zaragoza;Total;Residentes en el Extranjero;Viajero;2025M12;23.403
Total Nacional;02 Aragón;50 Zaragoza;Total;Residentes en el Extranjero;Viajero;2025M11;24.904
Total Nacional;02 Aragón;50 Zaragoza;Total;Residentes en el Extranjero;Viajero;2025M10;36.560
Total Nacional;02 Aragón;50 Zaragoza;Total;Residentes en el Extranjero;Viajero;2025M09;40.445
Total Nacional;02 Aragón;50 Zaragoza;Total;Residentes en el Extranjero;Viajero;2025M08;51.527
Total Nacional;02 Aragón;50 Zaragoza;Total;Residentes en el Extranjero;Viajero;2025M07;41.182
Total Nacional;02 Aragón;50 Zaragoza;Total;Residentes en el Extranjero;Viajero;2025M06;35.732
Total Nacional;02 Aragón;50 Zaragoza;Total;Residentes en el Extranjero;Viajero;2025M05;41.080
Total Nacional;02 Aragón;50 Zaragoza;Total;Residentes en el Extranjero;Viajero;2025M04;34.145
Total Nacional;02 Aragón;50 Zaragoza;Total;Residentes en el Extranjero;Viajero;2025M03;28.241
Total Nacional;02 Aragón;50 Zaragoza;Total;Residentes en el Extranjero;Viajero;2025M02;23.082
Total Nacional;02 Aragón;50 Zaragoza;Total;Residentes en el Extranjero;Viajero;2025M01;23.401
Total Nacional;02 Aragón;50 Zaragoza;Total;Residentes en el Extranjero;Viajero;2024M12;26.781
Total Nacional;02 Aragón;50 Zaragoza;Total;Residentes en el Extranjero;Viajero;2024M11;35.096
Total Nacional;02 Aragón;50 Zaragoza;Total;Residentes en el Extranjero;Viajero;2024M10;46.486
Total Nacional;02 Aragón;50 Zaragoza;Total;Residentes en el Extranjero;Viajero;2024M09;44.991
Total Nacional;02 Aragón;50 Zaragoza;Total;Residentes en el Extranjero;Viajero;2024M08;50.730
Total Nacional;02 Aragón;50 Zaragoza;Total;Residentes en el Extranjero;Viajero;2024M07;42.475
Total Nacional;02 Aragón;50 Zaragoza;Total;Residentes en el Extranjero;Viajero;2024M06;38.178
Total Nacional;02 Aragón;50 Zaragoza;Total;Residentes en el Extranjero;Viajero;2024M05;44.826
Total Nacional;02 Aragón;50 Zaragoza;Total;Residentes en el Extranjero;Viajero;2024M04;39.472
Total Nacional;02 Aragón;50 Zaragoza;Total;Residentes en el Extranjero;Viajero;2024M03;28.566
Total Nacional;02 Aragón;50 Zaragoza;Total;Residentes en el Extranjero;Viajero;2024M02;27.408
Total Nacional;02 Aragón;50 Zaragoza;Total;Residentes en el Extranjero;Viajero;2024M01;23.986
Total Nacional;02 Aragón;50 Zaragoza;Total;Residentes en el Extranjero;Viajero;2023M12;27.264
Total Nacional;02 Aragón;50 Zaragoza;Total;Residentes en el Extranjero;Viajero;2023M11;26.864
Total Nacional;02 Aragón;50 Zaragoza;Total;Residentes en el Extranjero;Viajero;2023M10;37.963
Total Nacional;02 Aragón;50 Zaragoza;Total;Residentes en el Extranjero;Viajero;2023M09;40.177
Total Nacional;02 Aragón;50 Zaragoza;Total;Residentes en el Extranjero;Viajero;2023M08;52.777
Total Nacional;02 Aragón;50 Zaragoza;Total;Residentes en el Extranjero;Viajero;2023M07;44.118
Total Nacional;02 Aragón;50 Zaragoza;Total;Residentes en el Extranjero;Viajero;2023M06;32.999
Total Nacional;02 Aragón;50 Zaragoza;Total;Residentes en el Extranjero;Viajero;2023M05;38.169
Total Nacional;02 Aragón;50 Zaragoza;Total;Residentes en el Extranjero;Viajero;2023M04;31.500
Total Nacional;02 Aragón;50 Zaragoza;Total;Residentes en el Extranjero;Viajero;2023M03;25.211
Total Nacional;02 Aragón;50 Zaragoza;Total;Residentes en el Extranjero;Viajero;2023M02;20.229
Total Nacional;02 Aragón;50 Zaragoza;Total;Residentes en el Extranjero;Viajero;2023M01;18.157
Total Nacional;02 Aragón;50 Zaragoza;Total;Residentes en el Extranjero;Viajero;2022M12;20.346
Total Nacional;02 Aragón;50 Zaragoza;Total;Residentes en el Extranjero;Viajero;2022M11;21.133
Total Nacional;02 Aragón;50 Zaragoza;Total;Residentes en el Extranjero;Viajero;2022M10;32.221
Total Nacional;02 Aragón;50 Zaragoza;Total;Residentes en el Extranjero;Viajero;2022M09;37.120
Total Nacional;02 Aragón;50 Zaragoza;Total;Residentes en el Extranjero;Viajero;2022M08;50.810
Total Nacional;02 Aragón;50 Zaragoza;Total;Residentes en el Extranjero;Viajero;2022M07;38.013
Total Nacional;02 Aragón;50 Zaragoza;Total;Residentes en el Extranjero;Viajero;2022M06;29.565
Total Nacional;02 Aragón;50 Zaragoza;Total;Residentes en el Extranjero;Viajero;2022M05;28.941
Total Nacional;02 Aragón;50 Zaragoza;Total;Residentes en el Extranjero;Viajero;2022M04;27.162
Total Nacional;02 Aragón;50 Zaragoza;Total;Residentes en el Extranjero;Viajero;2022M03;19.844
Total Nacional;02 Aragón;50 Zaragoza;Total;Residentes en el Extranjero;Viajero;2022M02;15.637
Total Nacional;02 Aragón;50 Zaragoza;Total;Residentes en el Extranjero;Viajero;2022M01;11.680
Total Nacional;02 Aragón;50 Zaragoza;Total;Residentes en el Extranjero;Pernoctaciones;2026M03;54.225
Total Nacional;02 Aragón;50 Zaragoza;Total;Residentes en el Extranjero;Pernoctaciones;2026M02;46.391
Total Nacional;02 Aragón;50 Zaragoza;Total;Residentes en el Extranjero;Pernoctaciones;2026M01;39.313
Total Nacional;02 Aragón;50 Zaragoza;Total;Residentes en el Extranjero;Pernoctaciones;2025M12;38.995
