Totales Territoriales;Comunidades y Ciudades Autónomas;Provincias;Periodo;Total
Total Nacional;01 Andalucía;11 Cádiz;2025M04;2,64
Total Nacional;01 Andalucía;11 Cádiz;2025M03;2,49
Total Nacional;01 Andalucía;11 Cádiz;2025M02;2,27
Total Nacional;01 Andalucía;11 Cádiz;2025M01;2,30
Total Nacional;01 Andalucía;11 Cádiz;2024M12;2,03
Total Nacional;01 Andalucía;11 Cádiz;2024M11;2,41
Total Nacional;01 Andalucía;11 Cádiz;2024M10;3,06
Total Nacional;01 Andalucía;11 Cádiz;2024M09;3,24
Total Nacional;01 Andalucía;11 Cádiz;2024M08;3,64
Total Nacional;01 Andalucía;11 Cádiz;2024M07;3,62
Total Nacional;01 Andalucía;11 Cádiz;2024M06;3,08
Total Nacional;01 Andalucía;11 Cádiz;2024M05;2,68
Total Nacional;01 Andalucía;11 Cádiz;2024M04;2,60
Total Nacional;01 Andalucía;11 Cádiz;2024M03;2,58
Total Nacional;01 Andalucía;11 Cádiz;2024M02;2,28
Total Nacional;01 Andalucía;11 Cádiz;2024M01;2,09
Total Nacional;01 Andalucía;11 Cádiz;2023M12;2,09
Total Nacional;01 Andalucía;11 Cádiz;2023M11;2,23
Total Nacional;01 Andalucía;11 Cádiz;2023M10;2,91
Total Nacional;01 Andalucía;11 Cádiz;2023M09;3,19
Total Nacional;01 Andalucía;11 Cádiz;2023M08;3,41
Total Nacional;01 Andalucía;11 Cádiz;2023M07;3,13
Total Nacional;01 Andalucía;11 Cádiz;2023M06;2,93
Total Nacional;01 Andalucía;11 Cádiz;2023M05;2,66
Total Nacional;01 Andalucía;11 Cádiz;2023M04;2,51
Total Nacional;01 Andalucía;11 Cádiz;2023M03;2,30
Total Nacional;01 Andalucía;11 Cádiz;2023M02;2,18
Total Nacional;01 Andalucía;11 Cádiz;2023M01;2,05
Total Nacional;01 Andalucía;11 Cádiz;2022M12;2,10
Total Nacional;01 Andalucía;11 Cádiz;2022M11;2,31
Total Nacional;01 Andalucía;11 Cádiz;2022M10;2,91
Total Nacional;01 Andalucía;11 Cádiz;2022M09;3,08
Total Nacional;01 Andalucía;11 Cádiz;2022M08;3,57
Total Nacional;01 Andalucía;11 Cádiz;2022M07;3,18
Total Nacional;01 Andalucía;11 Cádiz;2022M06;2,86
Total Nacional;01 Andalucía;11 Cádiz;2022M05;2,57
Total Nacional;01 Andalucía;11 Cádiz;2022M04;2,58
Total Nacional;01 Andalucía;11 Cádiz;2022M03;2,41
Total Nacional;01 Andalucía;11 Cádiz;2022M02;2,16
Total Nacional;01 Andalucía;11 Cádiz;2022M01;2,12
Total Nacional;01 Andalucía;14 Córdoba;2026M03;1,72
Total Nacional;01 Andalucía;14 Córdoba;2026M02;1,65
