Totales Territoriales;Comunidades y Ciudades Autónomas;Provincias;Periodo;Total
Total Nacional;01 Andalucía;41 Sevilla;2022M07;1,91
Total Nacional;01 Andalucía;41 Sevilla;2022M06;1,95
Total Nacional;01 Andalucía;41 Sevilla;2022M05;2,04
Total Nacional;01 Andalucía;41 Sevilla;2022M04;2,11
Total Nacional;01 Andalucía;41 Sevilla;2022M03;2,05
Total Nacional;01 Andalucía;41 Sevilla;2022M02;1,96
Total Nacional;01 Andalucía;41 Sevilla;2022M01;1,88
Total Nacional;02 Aragón;;2026M03;2,06
Total Nacional;02 Aragón;;2026M02;2,10
Total Nacional;02 Aragón;;2026M01;2,16
Total Nacional;02 Aragón;;2025M12;1,87
Total Nacional;02 Aragón;;2025M11;1,90
Total Nacional;02 Aragón;;2025M10;1,91
Total Nacional;02 Aragón;;2025M09;1,92
Total Nacional;02 Aragón;;2025M08;1,99
Total Nacional;02 Aragón;;2025M07;2,00
Total Nacional;02 Aragón;;2025M06;1,88
Total Nacional;02 Aragón;;2025M05;1,91
Total Nacional;02 Aragón;;2025M04;1,90
Total Nacional;02 Aragón;;2025M03;2,02
Total Nacional;02 Aragón;;2025M02;2,03
Total Nacional;02 Aragón;;2025M01;2,01
Total Nacional;02 Aragón;;2024M12;1,86
Total Nacional;02 Aragón;;2024M11;1,89
Total Nacional;02 Aragón;;2024M10;1,86
Total Nacional;02 Aragón;;2024M09;1,89
Total Nacional;02 Aragón;;2024M08;2,04
Total Nacional;02 Aragón;;2024M07;1,99
Total Nacional;02 Aragón;;2024M06;1,84
Total Nacional;02 Aragón;;2024M05;1,82
Total Nacional;02 Aragón;;2024M04;1,82
Total Nacional;02 Aragón;;2024M03;2,01
Total Nacional;02 Aragón;;2024M02;2,07
Total Nacional;02 Aragón;;2024M01;2,04
Total Nacional;02 Aragón;;2023M12;1,85
Total Nacional;02 Aragón;;2023M11;1,92
Total Nacional;02 Aragón;;2023M10;1,94
Total Nacional;02 Aragón;;2023M09;1,89
Total Nacional;02 Aragón;;2023M08;2,05
Total Nacional;02 Aragón;;2023M07;2,03
Total Nacional;02 Aragón;;2023M06;1,93
Total Nacional;02 Aragón;;2023M05;1,91
Total Nacional;02 Aragón;;2023M04;1,96
Total Nacional;02 Aragón;;2023M03;2,06
Total Nacional;02 Aragón;;2023M02;2,18
Total Nacional;02 Aragón;;2023M01;2,08
Total Nacional;02 Aragón;;2022M12;1,98
Total Nacional;02 Aragón;;2022M11;1,92
Total Nacional;02 Aragón;;2022M10;1,97
Total Nacional;02 Aragón;;2022M09;1,95
Total Nacional;02 Aragón;;2022M08;2,12
Total Nacional;02 Aragón;;2022M07;2,04
Total Nacional;02 Aragón;;2022M06;1,92
Total Nacional;02 Aragón;;2022M05;1,93
Total Nacional;02 Aragón;;2022M04;1,99
Total Nacional;02 Aragón;;2022M03;2,15
Total Nacional;02 Aragón;;2022M02;2,13
Total Nacional;02 Aragón;;2022M01;2,15
Total Nacional;02 Aragón;22 Huesca;2026M03;2,41
Total Nacional;02 Aragón;22 Huesca;2026M02;2,59
Total Nacional;02 Aragón;22 Huesca;2026M01;2,64
Total Nacional;02 Aragón;22 Huesca;2025M12;2,18
Total Nacional;02 Aragón;22 Huesca;2025M11;2,01
Total Nacional;02 Aragón;22 Huesca;2025M10;2,11
Total Nacional;02 Aragón;22 Huesca;2025M09;2,09
Total Nacional;02 Aragón;22 Huesca;2025M08;2,40
Total Nacional;02 Aragón;22 Huesca;2025M07;2,24
Total Nacional;02 Aragón;22 Huesca;2025M06;1,87
Total Nacional;02 Aragón;22 Huesca;2025M05;1,97
Total Nacional;02 Aragón;22 Huesca;2025M04;2,03
Total Nacional;02 Aragón;22 Huesca;2025M03;2,35
Total Nacional;02 Aragón;22 Huesca;2025M02;2,42
Total Nacional;02 Aragón;22 Huesca;2025M01;2,46
Total Nacional;02 Aragón;22 Huesca;2024M12;2,20
Total Nacional;02 Aragón;22 Huesca;2024M11;2,01
Total Nacional;02 Aragón;22 Huesca;2024M10;2,01
Total Nacional;02 Aragón;22 Huesca;2024M09;2,12
Total Nacional;02 Aragón;22 Huesca;2024M08;2,47
Total Nacional;02 Aragón;22 Huesca;2024M07;2,29
Total Nacional;02 Aragón;22 Huesca;2024M06;2,04
Total Nacional;02 Aragón;22 Huesca;2024M05;1,93
Total Nacional;02 Aragón;22 Huesca;2024M04;1,95
Total Nacional;02 Aragón;22 Huesca;2024M03;2,38
Total Nacional;02 Aragón;22 Huesca;2024M02;2,59
Total Nacional;02 Aragón;22 Huesca;2024M01;2,53
Total Nacional;02 Aragón;22 Huesca;2023M12;2,21
Total Nacional;02 Aragón;22 Huesca;2023M11;2,09
Total Nacional;02 Aragón;22 Huesca;2023M10;2,09
Total Nacional;02 Aragón;22 Huesca;2023M09;2,08
Total Nacional;02 Aragón;22 Huesca;2023M08;2,55
Total Nacional;02 Aragón;22 Huesca;2023M07;2,42
Total Nacional;02 Aragón;22 Huesca;2023M06;2,08
Total Nacional;02 Aragón;22 Huesca;2023M05;2,06
Total Nacional;02 Aragón;22 Huesca;2023M04;2,24
Total Nacional;02 Aragón;22 Huesca;2023M03;2,48
Total Nacional;02 Aragón;22 Huesca;2023M02;2,75
Total Nacional;02 Aragón;22 Huesca;2023M01;2,50
Total Nacional;02 Aragón;22 Huesca;2022M12;2,48
Total Nacional;02 Aragón;22 Huesca;2022M11;2,13
Total Nacional;02 Aragón;22 Huesca;2022M10;2,19
Total Nacional;02 Aragón;22 Huesca;2022M09;2,14
Total Nacional;02 Aragón;22 Huesca;2022M08;2,63
Total Nacional;02 Aragón;22 Huesca;2022M07;2,35
Total Nacional;02 Aragón;22 Huesca;2022M06;2,16
Total Nacional;02 Aragón;22 Huesca;2022M05;2,03
Total Nacional;02 Aragón;22 Huesca;2022M04;2,24
Total Nacional;02 Aragón;22 Huesca;2022M03;2,68
Total Nacional;02 Aragón;22 Huesca;2022M02;2,68
Total Nacional;02 Aragón;22 Huesca;2022M01;2,56
Total Nacional;02 Aragón;44 Teruel;2026M03;2,08
Total Nacional;02 Aragón;44 Teruel;2026M02;1,92
Total Nacional;02 Aragón;44 Teruel;2026M01;1,99
Total Nacional;02 Aragón;44 Teruel;2025M12;2,01
Total Nacional;02 Aragón;44 Teruel;2025M11;1,99
Total Nacional;02 Aragón;44 Teruel;2025M10;2,02
Total Nacional;02 Aragón;44 Teruel;2025M09;1,98
Total Nacional;02 Aragón;44 Teruel;2025M08;1,98
Total Nacional;02 Aragón;44 Teruel;2025M07;2,11
Total Nacional;02 Aragón;44 Teruel;2025M06;2,18
Total Nacional;02 Aragón;44 Teruel;2025M05;2,16
Total Nacional;02 Aragón;44 Teruel;2025M04;2,04
Total Nacional;02 Aragón;44 Teruel;2025M03;2,11
Total Nacional;02 Aragón;44 Teruel;2025M02;2,01
Total Nacional;02 Aragón;44 Teruel;2025M01;2,04
Total Nacional;02 Aragón;44 Teruel;2024M12;1,98
Total Nacional;02 Aragón;44 Teruel;2024M11;2,12
Total Nacional;02 Aragón;44 Teruel;2024M10;1,94
Total Nacional;02 Aragón;44 Teruel;2024M09;2,06
Total Nacional;02 Aragón;44 Teruel;2024M08;1,98
Total Nacional;02 Aragón;44 Teruel;2024M07;2,11
Total Nacional;02 Aragón;44 Teruel;2024M06;1,90
Total Nacional;02 Aragón;44 Teruel;2024M05;1,97
Total Nacional;02 Aragón;44 Teruel;2024M04;1,87
Total Nacional;02 Aragón;44 Teruel;2024M03;2,03
Total Nacional;02 Aragón;44 Teruel;2024M02;1,95
Total Nacional;02 Aragón;44 Teruel;2024M01;1,90
Total Nacional;02 Aragón;44 Teruel;2023M12;1,95
Total Nacional;02 Aragón;44 Teruel;2023M11;1,97
Total Nacional;02 Aragón;44 Teruel;2023M10;1,95
Total Nacional;02 Aragón;44 Teruel;2023M09;1,94
Total Nacional;02 Aragón;44 Teruel;2023M08;2,02
Total Nacional;02 Aragón;44 Teruel;2023M07;1,96
Total Nacional;02 Aragón;44 Teruel;2023M06;1,94
Total Nacional;02 Aragón;44 Teruel;2023M05;2,00
Total Nacional;02 Aragón;44 Teruel;2023M04;1,96
Total Nacional;02 Aragón;44 Teruel;2023M03;1,97
Total Nacional;02 Aragón;44 Teruel;2023M02;1,93
Total Nacional;02 Aragón;44 Teruel;2023M01;1,98
Total Nacional;02 Aragón;44 Teruel;2022M12;1,96
Total Nacional;02 Aragón;44 Teruel;2022M11;1,92
Total Nacional;02 Aragón;44 Teruel;2022M10;1,94
Total Nacional;02 Aragón;44 Teruel;2022M09;1,89
Total Nacional;02 Aragón;44 Teruel;2022M08;2,02
Total Nacional;02 Aragón;44 Teruel;2022M07;1,95
Total Nacional;02 Aragón;44 Teruel;2022M06;1,80
Total Nacional;02 Aragón;44 Teruel;2022M05;1,93
Total Nacional;02 Aragón;44 Teruel;2022M04;1,97
Total Nacional;02 Aragón;44 Teruel;2022M03;1,88
Total Nacional;02 Aragón;44 Teruel;2022M02;1,82
Total Nacional;02 Aragón;44 Teruel;2022M01;1,84
Total Nacional;02 Aragón;50 Zaragoza;2026M03;1,81
Total Nacional;02 Aragón;50 Zaragoza;2026M02;1,78
Total Nacional;02 Aragón;50 Zaragoza;2026M01;1,83
Total Nacional;02 Aragón;50 Zaragoza;2025M12;1,66
Total Nacional;02 Aragón;50 Zaragoza;2025M11;1,84
Total Nacional;02 Aragón;50 Zaragoza;2025M10;1,78
Total Nacional;02 Aragón;50 Zaragoza;2025M09;1,79
Total Nacional;02 Aragón;50 Zaragoza;2025M08;1,65
Total Nacional;02 Aragón;50 Zaragoza;2025M07;1,75
Total Nacional;02 Aragón;50 Zaragoza;2025M06;1,80
Total Nacional;02 Aragón;50 Zaragoza;2025M05;1,81
Total Nacional;02 Aragón;50 Zaragoza;2025M04;1,79
Total Nacional;02 Aragón;50 Zaragoza;2025M03;1,81
Total Nacional;02 Aragón;50 Zaragoza;2025M02;1,70
Total Nacional;02 Aragón;50 Zaragoza;2025M01;1,67
Total Nacional;02 Aragón;50 Zaragoza;2024M12;1,67
Total Nacional;02 Aragón;50 Zaragoza;2024M11;1,80
Total Nacional;02 Aragón;50 Zaragoza;2024M10;1,77
Total Nacional;02 Aragón;50 Zaragoza;2024M09;1,72
Total Nacional;02 Aragón;50 Zaragoza;2024M08;1,68
Total Nacional;02 Aragón;50 Zaragoza;2024M07;1,74
Total Nacional;02 Aragón;50 Zaragoza;2024M06;1,71
Total Nacional;02 Aragón;50 Zaragoza;2024M05;1,73
Total Nacional;02 Aragón;50 Zaragoza;2024M04;1,76
Total Nacional;02 Aragón;50 Zaragoza;2024M03;1,76
Total Nacional;02 Aragón;50 Zaragoza;2024M02;1,76
Total Nacional;02 Aragón;50 Zaragoza;2024M01;1,71
Total Nacional;02 Aragón;50 Zaragoza;2023M12;1,67
Total Nacional;02 Aragón;50 Zaragoza;2023M11;1,87
Total Nacional;02 Aragón;50 Zaragoza;2023M10;1,87
Total Nacional;02 Aragón;50 Zaragoza;2023M09;1,77
Total Nacional;02 Aragón;50 Zaragoza;2023M08;1,64
Total Nacional;02 Aragón;50 Zaragoza;2023M07;1,74
Total Nacional;02 Aragón;50 Zaragoza;2023M06;1,83
Total Nacional;02 Aragón;50 Zaragoza;2023M05;1,83
Total Nacional;02 Aragón;50 Zaragoza;2023M04;1,83
Total Nacional;02 Aragón;50 Zaragoza;2023M03;1,85
Total Nacional;02 Aragón;50 Zaragoza;2023M02;1,78
Total Nacional;02 Aragón;50 Zaragoza;2023M01;1,76
Total Nacional;02 Aragón;50 Zaragoza;2022M12;1,72
Total Nacional;02 Aragón;50 Zaragoza;2022M11;1,86
Total Nacional;02 Aragón;50 Zaragoza;2022M10;1,89
Total Nacional;02 Aragón;50 Zaragoza;2022M09;1,86
Total Nacional;02 Aragón;50 Zaragoza;2022M08;1,74
Total Nacional;02 Aragón;50 Zaragoza;2022M07;1,81
Total Nacional;02 Aragón;50 Zaragoza;2022M06;1,81
Total Nacional;02 Aragón;50 Zaragoza;2022M05;1,88
Total Nacional;02 Aragón;50 Zaragoza;2022M04;1,87
Total Nacional;02 Aragón;50 Zaragoza;2022M03;1,89
Total Nacional;02 Aragón;50 Zaragoza;2022M02;1,72
Total Nacional;02 Aragón;50 Zaragoza;2022M01;1,74
Total Nacional;03 Asturias, Principado de;;2026M03;1,83
Total Nacional;03 Asturias, Principado de;;2026M02;1,76
Total Nacional;03 Asturias, Principado de;;2026M01;1,91
Total Nacional;03 Asturias, Principado de;;2025M12;1,87
Total Nacional;03 Asturias, Principado de;;2025M11;1,84
Total Nacional;03 Asturias, Principado de;;2025M10;1,84
Total Nacional;03 Asturias, Principado de;;2025M09;1,97
Total Nacional;03 Asturias, Principado de;;2025M08;2,31
Total Nacional;03 Asturias, Principado de;;2025M07;2,16
Total Nacional;03 Asturias, Principado de;;2025M06;1,80
Total Nacional;03 Asturias, Principado de;;2025M05;1,78
Total Nacional;03 Asturias, Principado de;;2025M04;1,84
Total Nacional;03 Asturias, Principado de;;2025M03;1,87
Total Nacional;03 Asturias, Principado de;;2025M02;1,77
Total Nacional;03 Asturias, Principado de;;2025M01;1,83
Total Nacional;03 Asturias, Principado de;;2024M12;1,91
Total Nacional;03 Asturias, Principado de;;2024M11;1,94
Total Nacional;03 Asturias, Principado de;;2024M10;1,92
Total Nacional;03 Asturias, Principado de;;2024M09;2,07
Total Nacional;03 Asturias, Principado de;;2024M08;2,37
Total Nacional;03 Asturias, Principado de;;2024M07;2,17
Total Nacional;03 Asturias, Principado de;;2024M06;1,98
Total Nacional;03 Asturias, Principado de;;2024M05;1,80
Total Nacional;03 Asturias, Principado de;;2024M04;1,85
Total Nacional;03 Asturias, Principado de;;2024M03;1,96
Total Nacional;03 Asturias, Principado de;;2024M02;1,83
Total Nacional;03 Asturias, Principado de;;2024M01;1,91
Total Nacional;03 Asturias, Principado de;;2023M12;1,97
Total Nacional;03 Asturias, Principado de;;2023M11;1,91
Total Nacional;03 Asturias, Principado de;;2023M10;1,98
Total Nacional;03 Asturias, Principado de;;2023M09;2,00
Total Nacional;03 Asturias, Principado de;;2023M08;2,45
Total Nacional;03 Asturias, Principado de;;2023M07;2,25
Total Nacional;03 Asturias, Principado de;;2023M06;1,98
Total Nacional;03 Asturias, Principado de;;2023M05;1,83
Total Nacional;03 Asturias, Principado de;;2023M04;2,01
Total Nacional;03 Asturias, Principado de;;2023M03;1,92
Total Nacional;03 Asturias, Principado de;;2023M02;1,86
Total Nacional;03 Asturias, Principado de;;2023M01;1,91
Total Nacional;03 Asturias, Principado de;;2022M12;1,99
Total Nacional;03 Asturias, Principado de;;2022M11;1,96
Total Nacional;03 Asturias, Principado de;;2022M10;2,05
Total Nacional;03 Asturias, Principado de;;2022M09;2,13
Total Nacional;03 Asturias, Principado de;;2022M08;2,45
Total Nacional;03 Asturias, Principado de;;2022M07;2,28
Total Nacional;03 Asturias, Principado de;;2022M06;2,08
Total Nacional;03 Asturias, Principado de;;2022M05;1,97
Total Nacional;03 Asturias, Principado de;;2022M04;2,06
Total Nacional;03 Asturias, Principado de;;2022M03;1,90
Total Nacional;03 Asturias, Principado de;;2022M02;1,85
Total Nacional;03 Asturias, Principado de;;2022M01;1,87
Total Nacional;04 Balears, Illes;;2026M03;4,39
Total Nacional;04 Balears, Illes;;2026M02;3,66
Total Nacional;04 Balears, Illes;;2026M01;3,13
Total Nacional;04 Balears, Illes;;2025M12;3,10
Total Nacional;04 Balears, Illes;;2025M11;3,12
Total Nacional;04 Balears, Illes;;2025M10;5,37
Total Nacional;04 Balears, Illes;;2025M09;5,25
Total Nacional;04 Balears, Illes;;2025M08;5,53
Total Nacional;04 Balears, Illes;;2025M07;5,40
Total Nacional;04 Balears, Illes;;2025M06;5,15
Total Nacional;04 Balears, Illes;;2025M05;4,77
Total Nacional;04 Balears, Illes;;2025M04;4,65
Total Nacional;04 Balears, Illes;;2025M03;4,34
Total Nacional;04 Balears, Illes;;2025M02;3,70
Total Nacional;04 Balears, Illes;;2025M01;3,31
Total Nacional;04 Balears, Illes;;2024M12;3,04
Total Nacional;04 Balears, Illes;;2024M11;3,36
Total Nacional;04 Balears, Illes;;2024M10;5,18
Total Nacional;04 Balears, Illes;;2024M09;5,38
Total Nacional;04 Balears, Illes;;2024M08;5,45
Total Nacional;04 Balears, Illes;;2024M07;5,40
Total Nacional;04 Balears, Illes;;2024M06;5,09
Total Nacional;04 Balears, Illes;;2024M05;4,69
Total Nacional;04 Balears, Illes;;2024M04;4,49
Total Nacional;04 Balears, Illes;;2024M03;4,47
Total Nacional;04 Balears, Illes;;2024M02;3,93
Total Nacional;04 Balears, Illes;;2024M01;3,28
Total Nacional;04 Balears, Illes;;2023M12;3,07
Total Nacional;04 Balears, Illes;;2023M11;3,66
Total Nacional;04 Balears, Illes;;2023M10;5,37
Total Nacional;04 Balears, Illes;;2023M09;5,36
Total Nacional;04 Balears, Illes;;2023M08;5,59
Total Nacional;04 Balears, Illes;;2023M07;5,38
Total Nacional;04 Balears, Illes;;2023M06;4,96
Total Nacional;04 Balears, Illes;;2023M05;4,86
Total Nacional;04 Balears, Illes;;2023M04;4,37
Total Nacional;04 Balears, Illes;;2023M03;4,10
Total Nacional;04 Balears, Illes;;2023M02;3,74
Total Nacional;04 Balears, Illes;;2023M01;3,13
Total Nacional;04 Balears, Illes;;2022M12;3,08
Total Nacional;04 Balears, Illes;;2022M11;3,58
Total Nacional;04 Balears, Illes;;2022M10;5,23
Total Nacional;04 Balears, Illes;;2022M09;5,36
Total Nacional;04 Balears, Illes;;2022M08;5,52
Total Nacional;04 Balears, Illes;;2022M07;5,45
Total Nacional;04 Balears, Illes;;2022M06;5,14
Total Nacional;04 Balears, Illes;;2022M05;4,63
Total Nacional;04 Balears, Illes;;2022M04;4,49
Total Nacional;04 Balears, Illes;;2022M03;4,04
Total Nacional;04 Balears, Illes;;2022M02;3,35
Total Nacional;04 Balears, Illes;;2022M01;3,02
Total Nacional;05 Canarias;;2026M03;6,30
Total Nacional;05 Canarias;;2026M02;6,38
Total Nacional;05 Canarias;;2026M01;6,74
Total Nacional;05 Canarias;;2025M12;6,52
Total Nacional;05 Canarias;;2025M11;6,43
Total Nacional;05 Canarias;;2025M10;6,47
Total Nacional;05 Canarias;;2025M09;6,56
Total Nacional;05 Canarias;;2025M08;6,70
Total Nacional;05 Canarias;;2025M07;6,56
Total Nacional;05 Canarias;;2025M06;6,26
Total Nacional;05 Canarias;;2025M05;6,01
Total Nacional;05 Canarias;;2025M04;6,12
Total Nacional;05 Canarias;;2025M03;6,35
Total Nacional;05 Canarias;;2025M02;6,47
Total Nacional;05 Canarias;;2025M01;6,89
Total Nacional;05 Canarias;;2024M12;6,56
Total Nacional;05 Canarias;;2024M11;6,59
Total Nacional;05 Canarias;;2024M10;6,54
Total Nacional;05 Canarias;;2024M09;6,69
Total Nacional;05 Canarias;;2024M08;6,80
Total Nacional;05 Canarias;;2024M07;6,69
Total Nacional;05 Canarias;;2024M06;6,33
Total Nacional;05 Canarias;;2024M05;6,23
Total Nacional;05 Canarias;;2024M04;6,24
Total Nacional;05 Canarias;;2024M03;6,45
Total Nacional;05 Canarias;;2024M02;6,61
Total Nacional;05 Canarias;;2024M01;6,97
Total Nacional;05 Canarias;;2023M12;6,56
Total Nacional;05 Canarias;;2023M11;6,83
Total Nacional;05 Canarias;;2023M10;6,37
Total Nacional;05 Canarias;;2023M09;6,69
Total Nacional;05 Canarias;;2023M08;6,70
Total Nacional;05 Canarias;;2023M07;6,46
Total Nacional;05 Canarias;;2023M06;6,30
Total Nacional;05 Canarias;;2023M05;6,24
Total Nacional;05 Canarias;;2023M04;6,03
Total Nacional;05 Canarias;;2023M03;6,47
Total Nacional;05 Canarias;;2023M02;6,62
Total Nacional;05 Canarias;;2023M01;7,08
Total Nacional;05 Canarias;;2022M12;6,32
Total Nacional;05 Canarias;;2022M11;6,76
Total Nacional;05 Canarias;;2022M10;6,38
Total Nacional;05 Canarias;;2022M09;6,74
Total Nacional;05 Canarias;;2022M08;6,91
Total Nacional;05 Canarias;;2022M07;6,52
Total Nacional;05 Canarias;;2022M06;6,36
Total Nacional;05 Canarias;;2022M05;6,16
Total Nacional;05 Canarias;;2022M04;6,24
Total Nacional;05 Canarias;;2022M03;6,67
Total Nacional;05 Canarias;;2022M02;6,12
Total Nacional;05 Canarias;;2022M01;7,11
Total Nacional;05 Canarias;35 Palmas, Las;2026M03;6,77
Total Nacional;05 Canarias;35 Palmas, Las;2026M02;6,68
Total Nacional;05 Canarias;35 Palmas, Las;2026M01;7,25
Total Nacional;05 Canarias;35 Palmas, Las;2025M12;6,88
Total Nacional;05 Canarias;35 Palmas, Las;2025M11;6,83
Total Nacional;05 Canarias;35 Palmas, Las;2025M10;6,80
Total Nacional;05 Canarias;35 Palmas, Las;2025M09;6,95
Total Nacional;05 Canarias;35 Palmas, Las;2025M08;7,07
Total Nacional;05 Canarias;35 Palmas, Las;2025M07;6,94
Total Nacional;05 Canarias;35 Palmas, Las;2025M06;6,63
Total Nacional;05 Canarias;35 Palmas, Las;2025M05;6,43
Total Nacional;05 Canarias;35 Palmas, Las;2025M04;6,46
Total Nacional;05 Canarias;35 Palmas, Las;2025M03;6,66
Total Nacional;05 Canarias;35 Palmas, Las;2025M02;6,78
Total Nacional;05 Canarias;35 Palmas, Las;2025M01;7,24
Total Nacional;05 Canarias;35 Palmas, Las;2024M12;6,90
Total Nacional;05 Canarias;35 Palmas, Las;2024M11;6,99
Total Nacional;05 Canarias;35 Palmas, Las;2024M10;6,87
Total Nacional;05 Canarias;35 Palmas, Las;2024M09;7,14
Total Nacional;05 Canarias;35 Palmas, Las;2024M08;7,22
Total Nacional;05 Canarias;35 Palmas, Las;2024M07;7,11
Total Nacional;05 Canarias;35 Palmas, Las;2024M06;6,72
Total Nacional;05 Canarias;35 Palmas, Las;2024M05;6,61
Total Nacional;05 Canarias;35 Palmas, Las;2024M04;6,45
Total Nacional;05 Canarias;35 Palmas, Las;2024M03;6,76
Total Nacional;05 Canarias;35 Palmas, Las;2024M02;6,87
Total Nacional;05 Canarias;35 Palmas, Las;2024M01;7,31
Total Nacional;05 Canarias;35 Palmas, Las;2023M12;6,85
Total Nacional;05 Canarias;35 Palmas, Las;2023M11;7,18
Total Nacional;05 Canarias;35 Palmas, Las;2023M10;6,68
Total Nacional;05 Canarias;35 Palmas, Las;2023M09;7,14
Total Nacional;05 Canarias;35 Palmas, Las;2023M08;7,06
Total Nacional;05 Canarias;35 Palmas, Las;2023M07;6,84
Total Nacional;05 Canarias;35 Palmas, Las;2023M06;6,65
Total Nacional;05 Canarias;35 Palmas, Las;2023M05;6,54
Total Nacional;05 Canarias;35 Palmas, Las;2023M04;6,27
Total Nacional;05 Canarias;35 Palmas, Las;2023M03;6,74
Total Nacional;05 Canarias;35 Palmas, Las;2023M02;6,81
Total Nacional;05 Canarias;35 Palmas, Las;2023M01;7,39
Total Nacional;05 Canarias;35 Palmas, Las;2022M12;6,65
Total Nacional;05 Canarias;35 Palmas, Las;2022M11;7,09
Total Nacional;05 Canarias;35 Palmas, Las;2022M10;6,64
Total Nacional;05 Canarias;35 Palmas, Las;2022M09;7,15
Total Nacional;05 Canarias;35 Palmas, Las;2022M08;7,32
Total Nacional;05 Canarias;35 Palmas, Las;2022M07;6,97
Total Nacional;05 Canarias;35 Palmas, Las;2022M06;6,71
Total Nacional;05 Canarias;35 Palmas, Las;2022M05;6,43
Total Nacional;05 Canarias;35 Palmas, Las;2022M04;6,46
Total Nacional;05 Canarias;35 Palmas, Las;2022M03;6,94
Total Nacional;05 Canarias;35 Palmas, Las;2022M02;6,26
Total Nacional;05 Canarias;35 Palmas, Las;2022M01;7,48
Total Nacional;05 Canarias;38 Santa Cruz de Tenerife;2026M03;5,66
Total Nacional;05 Canarias;38 Santa Cruz de Tenerife;2026M02;5,96
Total Nacional;05 Canarias;38 Santa Cruz de Tenerife;2026M01;6,07
Total Nacional;05 Canarias;38 Santa Cruz de Tenerife;2025M12;6,01
Total Nacional;05 Canarias;38 Santa Cruz de Tenerife;2025M11;5,88
Total Nacional;05 Canarias;38 Santa Cruz de Tenerife;2025M10;6,00
Total Nacional;05 Canarias;38 Santa Cruz de Tenerife;2025M09;6,00
Total Nacional;05 Canarias;38 Santa Cruz de Tenerife;2025M08;6,15
Total Nacional;05 Canarias;38 Santa Cruz de Tenerife;2025M07;6,01
Total Nacional;05 Canarias;38 Santa Cruz de Tenerife;2025M06;5,74
Total Nacional;05 Canarias;38 Santa Cruz de Tenerife;2025M05;5,44
Total Nacional;05 Canarias;38 Santa Cruz de Tenerife;2025M04;5,65
Total Nacional;05 Canarias;38 Santa Cruz de Tenerife;2025M03;5,90
Total Nacional;05 Canarias;38 Santa Cruz de Tenerife;2025M02;6,03
Total Nacional;05 Canarias;38 Santa Cruz de Tenerife;2025M01;6,40
Total Nacional;05 Canarias;38 Santa Cruz de Tenerife;2024M12;6,08
Total Nacional;05 Canarias;38 Santa Cruz de Tenerife;2024M11;6,03
Total Nacional;05 Canarias;38 Santa Cruz de Tenerife;2024M10;6,05
Total Nacional;05 Canarias;38 Santa Cruz de Tenerife;2024M09;6,05
Total Nacional;05 Canarias;38 Santa Cruz de Tenerife;2024M08;6,20
Total Nacional;05 Canarias;38 Santa Cruz de Tenerife;2024M07;6,12
Total Nacional;05 Canarias;38 Santa Cruz de Tenerife;2024M06;5,77
Total Nacional;05 Canarias;38 Santa Cruz de Tenerife;2024M05;5,70
Total Nacional;05 Canarias;38 Santa Cruz de Tenerife;2024M04;5,92
Total Nacional;05 Canarias;38 Santa Cruz de Tenerife;2024M03;6,00
Total Nacional;05 Canarias;38 Santa Cruz de Tenerife;2024M02;6,22
Total Nacional;05 Canarias;38 Santa Cruz de Tenerife;2024M01;6,50
Total Nacional;05 Canarias;38 Santa Cruz de Tenerife;2023M12;6,14
Total Nacional;05 Canarias;38 Santa Cruz de Tenerife;2023M11;6,33
Total Nacional;05 Canarias;38 Santa Cruz de Tenerife;2023M10;5,92
Total Nacional;05 Canarias;38 Santa Cruz de Tenerife;2023M09;6,07
Total Nacional;05 Canarias;38 Santa Cruz de Tenerife;2023M08;6,18
Total Nacional;05 Canarias;38 Santa Cruz de Tenerife;2023M07;5,92
Total Nacional;05 Canarias;38 Santa Cruz de Tenerife;2023M06;5,80
Total Nacional;05 Canarias;38 Santa Cruz de Tenerife;2023M05;5,82
Total Nacional;05 Canarias;38 Santa Cruz de Tenerife;2023M04;5,69
Total Nacional;05 Canarias;38 Santa Cruz de Tenerife;2023M03;6,08
Total Nacional;05 Canarias;38 Santa Cruz de Tenerife;2023M02;6,36
Total Nacional;05 Canarias;38 Santa Cruz de Tenerife;2023M01;6,66
Total Nacional;05 Canarias;38 Santa Cruz de Tenerife;2022M12;5,89
Total Nacional;05 Canarias;38 Santa Cruz de Tenerife;2022M11;6,31
Total Nacional;05 Canarias;38 Santa Cruz de Tenerife;2022M10;6,01
Total Nacional;05 Canarias;38 Santa Cruz de Tenerife;2022M09;6,16
Total Nacional;05 Canarias;38 Santa Cruz de Tenerife;2022M08;6,32
Total Nacional;05 Canarias;38 Santa Cruz de Tenerife;2022M07;5,89
Total Nacional;05 Canarias;38 Santa Cruz de Tenerife;2022M06;5,87
Total Nacional;05 Canarias;38 Santa Cruz de Tenerife;2022M05;5,79
Total Nacional;05 Canarias;38 Santa Cruz de Tenerife;2022M04;5,94
Total Nacional;05 Canarias;38 Santa Cruz de Tenerife;2022M03;6,29
Total Nacional;05 Canarias;38 Santa Cruz de Tenerife;2022M02;5,94
Total Nacional;05 Canarias;38 Santa Cruz de Tenerife;2022M01;6,63
Total Nacional;06 Cantabria;;2026M03;1,82
Total Nacional;06 Cantabria;;2026M02;1,68
