Comunidades y Ciudades Autónomas,Provincias,Periodo,Estancia media,Provincia limpia,Periodo fecha
Andalucía,Almería,2022M04,2.96,Almería,2022-04-01
Andalucía,Almería,2022M03,3.02,Almería,2022-03-01
Andalucía,Almería,2022M02,2.1,Almería,2022-02-01
Andalucía,Almería,2022M01,2.11,Almería,2022-01-01
Andalucía,Cádiz,2026M03,2.53,Cádiz,2026-03-01
Andalucía,Cádiz,2026M02,2.24,Cádiz,2026-02-01
Andalucía,Cádiz,2026M01,2.4,Cádiz,2026-01-01
Andalucía,Cádiz,2025M12,2.1,Cádiz,2025-12-01
Andalucía,Cádiz,2025M11,2.4,Cádiz,2025-11-01
Andalucía,Cádiz,2025M10,2.95,Cádiz,2025-10-01
Andalucía,Cádiz,2025M09,3.36,Cádiz,2025-09-01
Andalucía,Cádiz,2025M08,3.66,Cádiz,2025-08-01
Andalucía,Cádiz,2025M07,3.46,Cádiz,2025-07-01
Andalucía,Cádiz,2025M06,2.98,Cádiz,2025-06-01
Andalucía,Cádiz,2025M05,2.86,Cádiz,2025-05-01
Andalucía,Cádiz,2025M04,2.64,Cádiz,2025-04-01
Andalucía,Cádiz,2025M03,2.49,Cádiz,2025-03-01
Andalucía,Cádiz,2025M02,2.27,Cádiz,2025-02-01
Andalucía,Cádiz,2025M01,2.3,Cádiz,2025-01-01
Andalucía,Cádiz,2024M12,2.03,Cádiz,2024-12-01
Andalucía,Cádiz,2024M11,2.41,Cádiz,2024-11-01
Andalucía,Cádiz,2024M10,3.06,Cádiz,2024-10-01
Andalucía,Cádiz,2024M09,3.24,Cádiz,2024-09-01
Andalucía,Cádiz,2024M08,3.64,Cádiz,2024-08-01
Andalucía,Cádiz,2024M07,3.62,Cádiz,2024-07-01
Andalucía,Cádiz,2024M06,3.08,Cádiz,2024-06-01
Andalucía,Cádiz,2024M05,2.68,Cádiz,2024-05-01
Andalucía,Cádiz,2024M04,2.6,Cádiz,2024-04-01
Andalucía,Cádiz,2024M03,2.58,Cádiz,2024-03-01
Andalucía,Cádiz,2024M02,2.28,Cádiz,2024-02-01
Andalucía,Cádiz,2024M01,2.09,Cádiz,2024-01-01
Andalucía,Cádiz,2023M12,2.09,Cádiz,2023-12-01
Andalucía,Cádiz,2023M11,2.23,Cádiz,2023-11-01
Andalucía,Cádiz,2023M10,2.91,Cádiz,2023-10-01
Andalucía,Cádiz,2023M09,3.19,Cádiz,2023-09-01
Andalucía,Cádiz,2023M08,3.41,Cádiz,2023-08-01
Andalucía,Cádiz,2023M07,3.13,Cádiz,2023-07-01
Andalucía,Cádiz,2023M06,2.93,Cádiz,2023-06-01
Andalucía,Cádiz,2023M05,2.66,Cádiz,2023-05-01
Andalucía,Cádiz,2023M04,2.51,Cádiz,2023-04-01
Andalucía,Cádiz,2023M03,2.3,Cádiz,2023-03-01
Andalucía,Cádiz,2023M02,2.18,Cádiz,2023-02-01
Andalucía,Cádiz,2023M01,2.05,Cádiz,2023-01-01
Andalucía,Cádiz,2022M12,2.1,Cádiz,2022-12-01
Andalucía,Cádiz,2022M11,2.31,Cádiz,2022-11-01
Andalucía,Cádiz,2022M10,2.91,Cádiz,2022-10-01
Andalucía,Cádiz,2022M09,3.08,Cádiz,2022-09-01
Andalucía,Cádiz,2022M08,3.57,Cádiz,2022-08-01
Andalucía,Cádiz,2022M07,3.18,Cádiz,2022-07-01
Andalucía,Cádiz,2022M06,2.86,Cádiz,2022-06-01
Andalucía,Cádiz,2022M05,2.57,Cádiz,2022-05-01
Andalucía,Cádiz,2022M04,2.58,Cádiz,2022-04-01
Andalucía,Cádiz,2022M03,2.41,Cádiz,2022-03-01
Andalucía,Cádiz,2022M02,2.16,Cádiz,2022-02-01
Andalucía,Cádiz,2022M01,2.12,Cádiz,2022-01-01
Andalucía,Córdoba,2026M03,1.72,Córdoba,2026-03-01
Andalucía,Córdoba,2026M02,1.65,Córdoba,2026-02-01
Andalucía,Córdoba,2026M01,1.71,Córdoba,2026-01-01
Andalucía,Córdoba,2025M12,1.69,Córdoba,2025-12-01
Andalucía,Córdoba,2025M11,1.68,Córdoba,2025-11-01
Andalucía,Córdoba,2025M10,1.65,Córdoba,2025-10-01
Andalucía,Córdoba,2025M09,1.72,Córdoba,2025-09-01
Andalucía,Córdoba,2025M08,1.8,Córdoba,2025-08-01
Andalucía,Córdoba,2025M07,1.65,Córdoba,2025-07-01
Andalucía,Córdoba,2025M06,1.67,Córdoba,2025-06-01
Andalucía,Córdoba,2025M05,1.79,Córdoba,2025-05-01
Andalucía,Córdoba,2025M04,1.69,Córdoba,2025-04-01
Andalucía,Córdoba,2025M03,1.73,Córdoba,2025-03-01
Andalucía,Córdoba,2025M02,1.69,Córdoba,2025-02-01
Andalucía,Córdoba,2025M01,1.69,Córdoba,2025-01-01
Andalucía,Córdoba,2024M12,1.81,Córdoba,2024-12-01
Andalucía,Córdoba,2024M11,1.69,Córdoba,2024-11-01
Andalucía,Córdoba,2024M10,1.82,Córdoba,2024-10-01
Andalucía,Córdoba,2024M09,1.66,Córdoba,2024-09-01
Andalucía,Córdoba,2024M08,1.75,Córdoba,2024-08-01
Andalucía,Córdoba,2024M07,1.78,Córdoba,2024-07-01
Andalucía,Córdoba,2024M06,1.68,Córdoba,2024-06-01
