RESIDENCIA/ORIGEN;Países;Viajeros y pernoctaciones;Periodo;Total
Japón;;Viajero;2022M12;13.261
Japón;;Viajero;2022M11;13.423
Japón;;Viajero;2022M10;16.157
Japón;;Viajero;2022M09;14.129
Japón;;Viajero;2022M08;11.942
Japón;;Viajero;2022M07;10.452
Japón;;Viajero;2022M06;11.087
Japón;;Viajero;2022M05;8.241
Japón;;Viajero;2022M04;7.907
Japón;;Viajero;2022M03;4.861
Japón;;Viajero;2022M02;3.890
Japón;;Viajero;2022M01;2.189
Japón;;Pernoctaciones;2026M03;77.633
Japón;;Pernoctaciones;2026M02;85.477
Japón;;Pernoctaciones;2026M01;63.061
Japón;;Pernoctaciones;2025M12;76.303
Japón;;Pernoctaciones;2025M11;69.330
Japón;;Pernoctaciones;2025M10;83.881
Japón;;Pernoctaciones;2025M09;90.489
Japón;;Pernoctaciones;2025M08;77.184
Japón;;Pernoctaciones;2025M07;60.914
Japón;;Pernoctaciones;2025M06;76.503
Japón;;Pernoctaciones;2025M05;76.003
Japón;;Pernoctaciones;2025M04;63.302
Japón;;Pernoctaciones;2025M03;84.397
Japón;;Pernoctaciones;2025M02;75.975
Japón;;Pernoctaciones;2025M01;59.948
Japón;;Pernoctaciones;2024M12;66.849
Japón;;Pernoctaciones;2024M11;62.103
Japón;;Pernoctaciones;2024M10;72.687
Japón;;Pernoctaciones;2024M09;80.798
Japón;;Pernoctaciones;2024M08;67.038
Japón;;Pernoctaciones;2024M07;56.999
Japón;;Pernoctaciones;2024M06;71.862
Japón;;Pernoctaciones;2024M05;73.489
Japón;;Pernoctaciones;2024M04;65.484
Japón;;Pernoctaciones;2024M03;70.076
Japón;;Pernoctaciones;2024M02;67.149
Japón;;Pernoctaciones;2024M01;48.896
Japón;;Pernoctaciones;2023M12;54.371
Japón;;Pernoctaciones;2023M11;58.834
Japón;;Pernoctaciones;2023M10;68.240
Japón;;Pernoctaciones;2023M09;74.408
Japón;;Pernoctaciones;2023M08;57.167
Japón;;Pernoctaciones;2023M07;48.075
Japón;;Pernoctaciones;2023M06;50.878
Japón;;Pernoctaciones;2023M05;52.327
Japón;;Pernoctaciones;2023M04;46.060
Japón;;Pernoctaciones;2023M03;43.846
Japón;;Pernoctaciones;2023M02;41.741
Japón;;Pernoctaciones;2023M01;28.375
Japón;;Pernoctaciones;2022M12;27.506
Japón;;Pernoctaciones;2022M11;29.125
Japón;;Pernoctaciones;2022M10;33.290
Japón;;Pernoctaciones;2022M09;31.807
Japón;;Pernoctaciones;2022M08;29.213
Japón;;Pernoctaciones;2022M07;29.439
Japón;;Pernoctaciones;2022M06;24.511
Japón;;Pernoctaciones;2022M05;20.421
Japón;;Pernoctaciones;2022M04;20.113
Japón;;Pernoctaciones;2022M03;14.146
Japón;;Pernoctaciones;2022M02;9.584
Japón;;Pernoctaciones;2022M01;6.372
Asia (sin Japón);;Viajero;2026M03;""
Asia (sin Japón);;Viajero;2026M02;""
Asia (sin Japón);;Viajero;2026M01;""
Asia (sin Japón);;Viajero;2025M12;""
Asia (sin Japón);;Viajero;2025M11;""
Asia (sin Japón);;Viajero;2025M10;""
Asia (sin Japón);;Viajero;2025M09;""
Asia (sin Japón);;Viajero;2025M08;""
Asia (sin Japón);;Viajero;2025M07;""
Asia (sin Japón);;Viajero;2025M06;""
Asia (sin Japón);;Viajero;2025M05;""
Asia (sin Japón);;Viajero;2025M04;""
Asia (sin Japón);;Viajero;2025M03;""
Asia (sin Japón);;Viajero;2025M02;""
Asia (sin Japón);;Viajero;2025M01;""
Asia (sin Japón);;Viajero;2024M12;""
Asia (sin Japón);;Viajero;2024M11;""
Asia (sin Japón);;Viajero;2024M10;""
Asia (sin Japón);;Viajero;2024M09;""
Asia (sin Japón);;Viajero;2024M08;""
Asia (sin Japón);;Viajero;2024M07;""
Asia (sin Japón);;Viajero;2024M06;""
Asia (sin Japón);;Viajero;2024M05;""
Asia (sin Japón);;Viajero;2024M04;""
Asia (sin Japón);;Viajero;2024M03;""
Asia (sin Japón);;Viajero;2024M02;""
Asia (sin Japón);;Viajero;2024M01;""
Asia (sin Japón);;Viajero;2023M12;""
Asia (sin Japón);;Viajero;2023M11;""
Asia (sin Japón);;Viajero;2023M10;""
Asia (sin Japón);;Viajero;2023M09;""
Asia (sin Japón);;Viajero;2023M08;""
Asia (sin Japón);;Viajero;2023M07;""
Asia (sin Japón);;Viajero;2023M06;""
Asia (sin Japón);;Viajero;2023M05;""
Asia (sin Japón);;Viajero;2023M04;""
Asia (sin Japón);;Viajero;2023M03;""
Asia (sin Japón);;Viajero;2023M02;""
Asia (sin Japón);;Viajero;2023M01;""
Asia (sin Japón);;Viajero;2022M12;""
Asia (sin Japón);;Viajero;2022M11;""
Asia (sin Japón);;Viajero;2022M10;""
Asia (sin Japón);;Viajero;2022M09;""
Asia (sin Japón);;Viajero;2022M08;""
Asia (sin Japón);;Viajero;2022M07;""
Asia (sin Japón);;Viajero;2022M06;""
Asia (sin Japón);;Viajero;2022M05;""
Asia (sin Japón);;Viajero;2022M04;""
Asia (sin Japón);;Viajero;2022M03;""
Asia (sin Japón);;Viajero;2022M02;""
Asia (sin Japón);;Viajero;2022M01;""
Asia (sin Japón);;Pernoctaciones;2026M03;""
Asia (sin Japón);;Pernoctaciones;2026M02;""
Asia (sin Japón);;Pernoctaciones;2026M01;""
Asia (sin Japón);;Pernoctaciones;2025M12;""
Asia (sin Japón);;Pernoctaciones;2025M11;""
Asia (sin Japón);;Pernoctaciones;2025M10;""
Asia (sin Japón);;Pernoctaciones;2025M09;""
Asia (sin Japón);;Pernoctaciones;2025M08;""
Asia (sin Japón);;Pernoctaciones;2025M07;""
Asia (sin Japón);;Pernoctaciones;2025M06;""
Asia (sin Japón);;Pernoctaciones;2025M05;""
Asia (sin Japón);;Pernoctaciones;2025M04;""
Asia (sin Japón);;Pernoctaciones;2025M03;""
Asia (sin Japón);;Pernoctaciones;2025M02;""
Asia (sin Japón);;Pernoctaciones;2025M01;""
Asia (sin Japón);;Pernoctaciones;2024M12;""
Asia (sin Japón);;Pernoctaciones;2024M11;""
Asia (sin Japón);;Pernoctaciones;2024M10;""
Asia (sin Japón);;Pernoctaciones;2024M09;""
Asia (sin Japón);;Pernoctaciones;2024M08;""
Asia (sin Japón);;Pernoctaciones;2024M07;""
Asia (sin Japón);;Pernoctaciones;2024M06;""
Asia (sin Japón);;Pernoctaciones;2024M05;""
Asia (sin Japón);;Pernoctaciones;2024M04;""
Asia (sin Japón);;Pernoctaciones;2024M03;""
Asia (sin Japón);;Pernoctaciones;2024M02;""
Asia (sin Japón);;Pernoctaciones;2024M01;""
Asia (sin Japón);;Pernoctaciones;2023M12;""
Asia (sin Japón);;Pernoctaciones;2023M11;""
Asia (sin Japón);;Pernoctaciones;2023M10;""
Asia (sin Japón);;Pernoctaciones;2023M09;""
Asia (sin Japón);;Pernoctaciones;2023M08;""
Asia (sin Japón);;Pernoctaciones;2023M07;""
Asia (sin Japón);;Pernoctaciones;2023M06;""
Asia (sin Japón);;Pernoctaciones;2023M05;""
Asia (sin Japón);;Pernoctaciones;2023M04;""
Asia (sin Japón);;Pernoctaciones;2023M03;""
Asia (sin Japón);;Pernoctaciones;2023M02;""
Asia (sin Japón);;Pernoctaciones;2023M01;""
Asia (sin Japón);;Pernoctaciones;2022M12;""
Asia (sin Japón);;Pernoctaciones;2022M11;""
Asia (sin Japón);;Pernoctaciones;2022M10;""
Asia (sin Japón);;Pernoctaciones;2022M09;""
Asia (sin Japón);;Pernoctaciones;2022M08;""
Asia (sin Japón);;Pernoctaciones;2022M07;""
Asia (sin Japón);;Pernoctaciones;2022M06;""
Asia (sin Japón);;Pernoctaciones;2022M05;""
Asia (sin Japón);;Pernoctaciones;2022M04;""
Asia (sin Japón);;Pernoctaciones;2022M03;""
Asia (sin Japón);;Pernoctaciones;2022M02;""
Asia (sin Japón);;Pernoctaciones;2022M01;""
