anio,tabla,pregunta,dimension,ambito,porcentaje_formacion_seguridad_salud
2024,EAL-18c,"EMPRESAS QUE PROPORCIONARON FORMACIÓN A SUS TRABAJADORES SOBRE SEGURIDAD, SALUD E HIGIENE EN EL TRABAJO POR TAMAÑO DE LA EMPRESA, ACTIVIDAD ECONÓMICA Y COMUNIDAD AUTÓNOMA",TOTAL,TOTAL,75.813
2024,EAL-18c,"EMPRESAS QUE PROPORCIONARON FORMACIÓN A SUS TRABAJADORES SOBRE SEGURIDAD, SALUD E HIGIENE EN EL TRABAJO POR TAMAÑO DE LA EMPRESA, ACTIVIDAD ECONÓMICA Y COMUNIDAD AUTÓNOMA",TAMAÑO DE LA EMPRESA,Más de 499 trabajadores,96.501
2024,EAL-18c,"EMPRESAS QUE PROPORCIONARON FORMACIÓN A SUS TRABAJADORES SOBRE SEGURIDAD, SALUD E HIGIENE EN EL TRABAJO POR TAMAÑO DE LA EMPRESA, ACTIVIDAD ECONÓMICA Y COMUNIDAD AUTÓNOMA",ACTIVIDAD ECONÓMICA,Industria,81.214
2024,EAL-18c,"EMPRESAS QUE PROPORCIONARON FORMACIÓN A SUS TRABAJADORES SOBRE SEGURIDAD, SALUD E HIGIENE EN EL TRABAJO POR TAMAÑO DE LA EMPRESA, ACTIVIDAD ECONÓMICA Y COMUNIDAD AUTÓNOMA",ACTIVIDAD ECONÓMICA,Construcción,81.458
2024,EAL-18c,"EMPRESAS QUE PROPORCIONARON FORMACIÓN A SUS TRABAJADORES SOBRE SEGURIDAD, SALUD E HIGIENE EN EL TRABAJO POR TAMAÑO DE LA EMPRESA, ACTIVIDAD ECONÓMICA Y COMUNIDAD AUTÓNOMA",ACTIVIDAD ECONÓMICA,Comercio y reparación de vehículos,74.164
2024,EAL-18c,"EMPRESAS QUE PROPORCIONARON FORMACIÓN A SUS TRABAJADORES SOBRE SEGURIDAD, SALUD E HIGIENE EN EL TRABAJO POR TAMAÑO DE LA EMPRESA, ACTIVIDAD ECONÓMICA Y COMUNIDAD AUTÓNOMA",ACTIVIDAD ECONÓMICA,Transporte y almacenamiento,81.207
2024,EAL-18c,"EMPRESAS QUE PROPORCIONARON FORMACIÓN A SUS TRABAJADORES SOBRE SEGURIDAD, SALUD E HIGIENE EN EL TRABAJO POR TAMAÑO DE LA EMPRESA, ACTIVIDAD ECONÓMICA Y COMUNIDAD AUTÓNOMA",ACTIVIDAD ECONÓMICA,Hostelería,73.552
2024,EAL-18c,"EMPRESAS QUE PROPORCIONARON FORMACIÓN A SUS TRABAJADORES SOBRE SEGURIDAD, SALUD E HIGIENE EN EL TRABAJO POR TAMAÑO DE LA EMPRESA, ACTIVIDAD ECONÓMICA Y COMUNIDAD AUTÓNOMA",ACTIVIDAD ECONÓMICA,Actividades administrativas y servicios auxiliares,75.604
2024,EAL-18c,"EMPRESAS QUE PROPORCIONARON FORMACIÓN A SUS TRABAJADORES SOBRE SEGURIDAD, SALUD E HIGIENE EN EL TRABAJO POR TAMAÑO DE LA EMPRESA, ACTIVIDAD ECONÓMICA Y COMUNIDAD AUTÓNOMA",ACTIVIDAD ECONÓMICA,"Actividades artísticas, recreativas y de entretenimiento y otros servicios",69.206
2024,EAL-18c,"EMPRESAS QUE PROPORCIONARON FORMACIÓN A SUS TRABAJADORES SOBRE SEGURIDAD, SALUD E HIGIENE EN EL TRABAJO POR TAMAÑO DE LA EMPRESA, ACTIVIDAD ECONÓMICA Y COMUNIDAD AUTÓNOMA",COMUNIDAD AUTÓNOMA,Andalucía,76.023
2024,EAL-18c,"EMPRESAS QUE PROPORCIONARON FORMACIÓN A SUS TRABAJADORES SOBRE SEGURIDAD, SALUD E HIGIENE EN EL TRABAJO POR TAMAÑO DE LA EMPRESA, ACTIVIDAD ECONÓMICA Y COMUNIDAD AUTÓNOMA",COMUNIDAD AUTÓNOMA,Cataluña,79.948
2024,EAL-18c,"EMPRESAS QUE PROPORCIONARON FORMACIÓN A SUS TRABAJADORES SOBRE SEGURIDAD, SALUD E HIGIENE EN EL TRABAJO POR TAMAÑO DE LA EMPRESA, ACTIVIDAD ECONÓMICA Y COMUNIDAD AUTÓNOMA",COMUNIDAD AUTÓNOMA,Comunitat Valenciana,81.864
2024,EAL-18c,"EMPRESAS QUE PROPORCIONARON FORMACIÓN A SUS TRABAJADORES SOBRE SEGURIDAD, SALUD E HIGIENE EN EL TRABAJO POR TAMAÑO DE LA EMPRESA, ACTIVIDAD ECONÓMICA Y COMUNIDAD AUTÓNOMA",COMUNIDAD AUTÓNOMA,Madrid (Comunidad de),74.704
2024,EAL-18c,"EMPRESAS QUE PROPORCIONARON FORMACIÓN A SUS TRABAJADORES SOBRE SEGURIDAD, SALUD E HIGIENE EN EL TRABAJO POR TAMAÑO DE LA EMPRESA, ACTIVIDAD ECONÓMICA Y COMUNIDAD AUTÓNOMA",COMUNIDAD AUTÓNOMA,País Vasco,62.846
