ENCUESTA ANUAL LABORAL,,,,,,EAL
,,,,,,Volver al índice
"EAL-17. EMPRESAS, SEGÚN SI IMPARTIERON FORMACIÓN, POR TAMAÑO DE LA EMPRESA, ACTIVIDAD ECONÓMICA Y COMUNIDAD AUTÓNOMA",,,,,,
Año 2022. Porcentaje sobre el total de empresas en cada categoría.,,,,,,
,TOTAL,EMPRESAS QUE PROPORCIONAN FORMACIÓN,,,,EMPRESAS QUE NO PROPORCIONAN FORMACIÓN
,,Total ,Impartición de cursos y otros tipos de formación (1),Sólo impartición de cursos (1),Sólo otros tipos de formación (1),
TOTAL,100,70.972,63.034,22.55,14.416,29.028
TAMAÑO DE LA EMPRESA,,,,,,
De 5 a 9 trabajadores,100,62.791,57.89,24.078,18.032,37.209
De 10 a 49 trabajadores,100,76.91,64.415,22.507,13.078,23.09
De 50 a 249 trabajadores,100,94.3,78.777,17.053,4.17,5.7
De 250 a 499 trabajadores,100,96.437,88.844,9.056,2.1,3.563
Más de 499 trabajadores,100,98.702,90.344,8.464,1.192,1.298
ACTIVIDAD ECONÓMICA,,,,,,
Industria,100,72.992,66.717,20.965,12.319,27.008
Construcción,100,75.764,58.659,26.951,14.39,24.236
Comercio y reparación de vehículos,100,68.012,65.772,21.459,12.769,31.988
Transporte y almacenamiento,100,76.619,58.77,30.769,10.46,23.381
Hostelería,100,57.999,51.827,27.71,20.463,42.001
"Información, comunicaciones, actividades financieras, de seguros e inmobiliarias",100,79.575,71.353,12.209,16.438,20.425
"Actividades profesionales, científicas y técnicas",100,84.924,67.791,17.094,15.114,15.076
Actividades administrativas y servicios auxiliares,100,75.577,68.99,19.55,11.459,24.423
"Actividades artísticas, recreativas y de entretenimiento y otros servicios",100,70.645,63.373,21.112,15.515,29.355
COMUNIDAD AUTÓNOMA,,,,,,
Andalucía ,100,68.85,61.262,26.707,12.031,31.15
Aragón ,100,73.443,69.516,21.429,9.055,26.557
Asturias (Principado de),100,64.534,65.024,25.16,9.816,35.466
Balears (Illes),100,67.193,57.518,25.172,17.31,32.807
Canarias ,100,59.346,57.18,30.471,12.349,40.654
Cantabria ,100,70.212,57.101,35.432,7.467,29.788
Castilla-La Mancha,100,73.722,59.294,21.204,19.502,26.278
Castilla y León,100,72.477,56.927,24.658,18.416,27.523
Cataluña ,100,74.792,66.798,16.877,16.325,25.208
Comunitat Valenciana ,100,65.925,62.009,23.575,14.415,34.075
Extremadura ,100,67.589,55.039,22.018,22.943,32.411
Galicia ,100,73.703,57.381,30.118,12.5,26.297
Madrid (Comunidad de),100,75.843,67.651,19.31,13.039,24.157
Murcia (Región de),100,69.752,56.889,24.144,18.967,30.248
Navarra (Comunidad Foral de),100,72.569,62.076,19.159,18.764,27.431
País Vasco ,100,69.663,67.106,21.361,11.533,30.337
"Rioja, La",100,68.783,62.297,19.355,18.348,31.217
(1) Los porcentajes en estas columnas se calculan respecto al total de empresas que proporcionan formación en cada categoría.,,,,,,
