Provincias de destino;Procedencia de los viajeros;Meses;Total
01 Araba/Álava;Total;Marzo;3,79
01 Araba/Álava;Total;Abril;3,30
01 Araba/Álava;Total;Mayo;2,10
01 Araba/Álava;Total;Junio;2,25
01 Araba/Álava;Total;Julio;2,64
01 Araba/Álava;Total;Agosto;3,71
01 Araba/Álava;Total;Septiembre;2,13
01 Araba/Álava;Total;Octubre;2,07
01 Araba/Álava;Total;Noviembre;2,00
01 Araba/Álava;Total;Diciembre;2,71
01 Araba/Álava;Residentes en España;Total;2,64
01 Araba/Álava;Residentes en España;Enero;3,81
01 Araba/Álava;Residentes en España;Febrero;8,09
01 Araba/Álava;Residentes en España;Marzo;3,74
01 Araba/Álava;Residentes en España;Abril;3,28
01 Araba/Álava;Residentes en España;Mayo;1,97
01 Araba/Álava;Residentes en España;Junio;2,17
01 Araba/Álava;Residentes en España;Julio;2,64
01 Araba/Álava;Residentes en España;Agosto;3,69
01 Araba/Álava;Residentes en España;Septiembre;2,10
01 Araba/Álava;Residentes en España;Octubre;2,08
01 Araba/Álava;Residentes en España;Noviembre;1,98
01 Araba/Álava;Residentes en España;Diciembre;2,75
01 Araba/Álava;No Residentes en España;Total;3,10
01 Araba/Álava;No Residentes en España;Enero;19,20
01 Araba/Álava;No Residentes en España;Febrero;28,00
01 Araba/Álava;No Residentes en España;Marzo;13,00
01 Araba/Álava;No Residentes en España;Abril;15,00
01 Araba/Álava;No Residentes en España;Mayo;8,81
01 Araba/Álava;No Residentes en España;Junio;4,87
01 Araba/Álava;No Residentes en España;Julio;2,76
01 Araba/Álava;No Residentes en España;Agosto;4,00
01 Araba/Álava;No Residentes en España;Septiembre;2,47
01 Araba/Álava;No Residentes en España;Octubre;1,90
01 Araba/Álava;No Residentes en España;Noviembre;2,21
01 Araba/Álava;No Residentes en España;Diciembre;1,29
33 Asturias;Total;Total;3,66
33 Asturias;Total;Enero;7,70
33 Asturias;Total;Febrero;7,78
33 Asturias;Total;Marzo;5,80
33 Asturias;Total;Abril;3,02
33 Asturias;Total;Mayo;2,16
33 Asturias;Total;Junio;2,89
33 Asturias;Total;Julio;4,49
33 Asturias;Total;Agosto;4,76
33 Asturias;Total;Septiembre;3,04
33 Asturias;Total;Octubre;2,62
33 Asturias;Total;Noviembre;2,41
33 Asturias;Total;Diciembre;2,97
33 Asturias;Residentes en España;Total;3,68
33 Asturias;Residentes en España;Enero;7,49
33 Asturias;Residentes en España;Febrero;7,59
33 Asturias;Residentes en España;Marzo;5,79
33 Asturias;Residentes en España;Abril;2,86
33 Asturias;Residentes en España;Mayo;2,17
33 Asturias;Residentes en España;Junio;2,91
33 Asturias;Residentes en España;Julio;4,50
33 Asturias;Residentes en España;Agosto;4,81
33 Asturias;Residentes en España;Septiembre;3,06
33 Asturias;Residentes en España;Octubre;2,60
33 Asturias;Residentes en España;Noviembre;2,36
33 Asturias;Residentes en España;Diciembre;2,96
33 Asturias;No Residentes en España;Total;3,29
33 Asturias;No Residentes en España;Enero;13,00
33 Asturias;No Residentes en España;Febrero;12,00
33 Asturias;No Residentes en España;Marzo;6,00
33 Asturias;No Residentes en España;Abril;19,00
33 Asturias;No Residentes en España;Mayo;2,06
33 Asturias;No Residentes en España;Junio;2,37
33 Asturias;No Residentes en España;Julio;4,46
33 Asturias;No Residentes en España;Agosto;3,53
33 Asturias;No Residentes en España;Septiembre;2,74
33 Asturias;No Residentes en España;Octubre;2,89
33 Asturias;No Residentes en España;Noviembre;3,34
33 Asturias;No Residentes en España;Diciembre;3,23
05 Ávila;Total;Total;3,00
05 Ávila;Total;Enero;6,14
05 Ávila;Total;Febrero;5,16
05 Ávila;Total;Marzo;3,78
05 Ávila;Total;Abril;3,93
05 Ávila;Total;Mayo;2,22
05 Ávila;Total;Junio;2,26
05 Ávila;Total;Julio;3,22
05 Ávila;Total;Agosto;4,57
05 Ávila;Total;Septiembre;2,75
05 Ávila;Total;Octubre;2,43
05 Ávila;Total;Noviembre;2,06
05 Ávila;Total;Diciembre;2,69
05 Ávila;Residentes en España;Total;2,98
05 Ávila;Residentes en España;Enero;6,19
05 Ávila;Residentes en España;Febrero;5,16
05 Ávila;Residentes en España;Marzo;3,82
05 Ávila;Residentes en España;Abril;3,93
05 Ávila;Residentes en España;Mayo;2,22
05 Ávila;Residentes en España;Junio;2,27
05 Ávila;Residentes en España;Julio;3,21
05 Ávila;Residentes en España;Agosto;4,59
05 Ávila;Residentes en España;Septiembre;2,60
05 Ávila;Residentes en España;Octubre;2,44
05 Ávila;Residentes en España;Noviembre;2,07
05 Ávila;Residentes en España;Diciembre;2,70
05 Ávila;No Residentes en España;Total;4,43
05 Ávila;No Residentes en España;Enero;3,00
05 Ávila;No Residentes en España;Febrero;0,00
05 Ávila;No Residentes en España;Marzo;2,80
05 Ávila;No Residentes en España;Abril;1,00
05 Ávila;No Residentes en España;Mayo;1,96
05 Ávila;No Residentes en España;Junio;1,79
05 Ávila;No Residentes en España;Julio;5,32
05 Ávila;No Residentes en España;Agosto;4,06
05 Ávila;No Residentes en España;Septiembre;8,06
05 Ávila;No Residentes en España;Octubre;1,84
05 Ávila;No Residentes en España;Noviembre;1,08
05 Ávila;No Residentes en España;Diciembre;2,00
06 Badajoz;Total;Total;2,42
06 Badajoz;Total;Enero;2,69
06 Badajoz;Total;Febrero;2,42
06 Badajoz;Total;Marzo;2,40
06 Badajoz;Total;Abril;2,38
06 Badajoz;Total;Mayo;2,21
06 Badajoz;Total;Junio;2,31
06 Badajoz;Total;Julio;2,54
06 Badajoz;Total;Agosto;2,74
06 Badajoz;Total;Septiembre;2,34
06 Badajoz;Total;Octubre;2,32
06 Badajoz;Total;Noviembre;2,18
06 Badajoz;Total;Diciembre;2,38
06 Badajoz;Residentes en España;Total;2,42
06 Badajoz;Residentes en España;Enero;2,71
06 Badajoz;Residentes en España;Febrero;2,46
06 Badajoz;Residentes en España;Marzo;2,41
06 Badajoz;Residentes en España;Abril;2,36
06 Badajoz;Residentes en España;Mayo;2,17
06 Badajoz;Residentes en España;Junio;2,30
06 Badajoz;Residentes en España;Julio;2,60
06 Badajoz;Residentes en España;Agosto;2,72
06 Badajoz;Residentes en España;Septiembre;2,33
06 Badajoz;Residentes en España;Octubre;2,33
06 Badajoz;Residentes en España;Noviembre;2,13
06 Badajoz;Residentes en España;Diciembre;2,39
06 Badajoz;No Residentes en España;Total;2,47
06 Badajoz;No Residentes en España;Enero;1,72
06 Badajoz;No Residentes en España;Febrero;1,19
06 Badajoz;No Residentes en España;Marzo;1,85
06 Badajoz;No Residentes en España;Abril;2,93
06 Badajoz;No Residentes en España;Mayo;3,30
06 Badajoz;No Residentes en España;Junio;2,51
06 Badajoz;No Residentes en España;Julio;1,77
06 Badajoz;No Residentes en España;Agosto;2,96
06 Badajoz;No Residentes en España;Septiembre;2,34
06 Badajoz;No Residentes en España;Octubre;2,19
06 Badajoz;No Residentes en España;Noviembre;2,85
06 Badajoz;No Residentes en España;Diciembre;2,16
07 Balears, Illes;Total;Total;3,47
07 Balears, Illes;Total;Enero;3,13
07 Balears, Illes;Total;Febrero;2,96
07 Balears, Illes;Total;Marzo;3,35
07 Balears, Illes;Total;Abril;2,89
07 Balears, Illes;Total;Mayo;3,44
07 Balears, Illes;Total;Junio;3,55
07 Balears, Illes;Total;Julio;3,59
07 Balears, Illes;Total;Agosto;3,76
07 Balears, Illes;Total;Septiembre;3,54
07 Balears, Illes;Total;Octubre;3,39
07 Balears, Illes;Total;Noviembre;2,50
07 Balears, Illes;Total;Diciembre;2,48
07 Balears, Illes;Residentes en España;Total;2,60
07 Balears, Illes;Residentes en España;Enero;2,10
07 Balears, Illes;Residentes en España;Febrero;1,95
07 Balears, Illes;Residentes en España;Marzo;2,18
07 Balears, Illes;Residentes en España;Abril;2,04
07 Balears, Illes;Residentes en España;Mayo;2,21
07 Balears, Illes;Residentes en España;Junio;2,68
07 Balears, Illes;Residentes en España;Julio;3,00
07 Balears, Illes;Residentes en España;Agosto;3,44
07 Balears, Illes;Residentes en España;Septiembre;2,43
07 Balears, Illes;Residentes en España;Octubre;2,26
07 Balears, Illes;Residentes en España;Noviembre;1,99
07 Balears, Illes;Residentes en España;Diciembre;1,89
07 Balears, Illes;No Residentes en España;Total;3,74
07 Balears, Illes;No Residentes en España;Enero;5,87
07 Balears, Illes;No Residentes en España;Febrero;6,66
07 Balears, Illes;No Residentes en España;Marzo;4,84
07 Balears, Illes;No Residentes en España;Abril;3,39
07 Balears, Illes;No Residentes en España;Mayo;3,71
07 Balears, Illes;No Residentes en España;Junio;3,78
07 Balears, Illes;No Residentes en España;Julio;3,75
07 Balears, Illes;No Residentes en España;Agosto;3,86
07 Balears, Illes;No Residentes en España;Septiembre;3,79
07 Balears, Illes;No Residentes en España;Octubre;3,59
07 Balears, Illes;No Residentes en España;Noviembre;3,01
07 Balears, Illes;No Residentes en España;Diciembre;3,26
08 Barcelona;Total;Total;2,65
08 Barcelona;Total;Enero;2,41
08 Barcelona;Total;Febrero;2,66
08 Barcelona;Total;Marzo;2,45
08 Barcelona;Total;Abril;3,15
08 Barcelona;Total;Mayo;1,95
08 Barcelona;Total;Junio;2,19
08 Barcelona;Total;Julio;3,15
08 Barcelona;Total;Agosto;4,38
08 Barcelona;Total;Septiembre;2,04
08 Barcelona;Total;Octubre;2,11
08 Barcelona;Total;Noviembre;1,86
08 Barcelona;Total;Diciembre;2,61
08 Barcelona;Residentes en España;Total;2,61
08 Barcelona;Residentes en España;Enero;2,41
08 Barcelona;Residentes en España;Febrero;2,44
08 Barcelona;Residentes en España;Marzo;2,42
08 Barcelona;Residentes en España;Abril;2,92
08 Barcelona;Residentes en España;Mayo;1,95
08 Barcelona;Residentes en España;Junio;2,20
08 Barcelona;Residentes en España;Julio;3,19
08 Barcelona;Residentes en España;Agosto;4,41
08 Barcelona;Residentes en España;Septiembre;2,01
08 Barcelona;Residentes en España;Octubre;2,12
08 Barcelona;Residentes en España;Noviembre;1,86
08 Barcelona;Residentes en España;Diciembre;2,66
08 Barcelona;No Residentes en España;Total;3,14
08 Barcelona;No Residentes en España;Enero;0,00
08 Barcelona;No Residentes en España;Febrero;11,00
08 Barcelona;No Residentes en España;Marzo;5,54
08 Barcelona;No Residentes en España;Abril;10,00
08 Barcelona;No Residentes en España;Mayo;1,96
08 Barcelona;No Residentes en España;Junio;2,08
08 Barcelona;No Residentes en España;Julio;2,76
08 Barcelona;No Residentes en España;Agosto;4,26
08 Barcelona;No Residentes en España;Septiembre;2,31
08 Barcelona;No Residentes en España;Octubre;1,87
08 Barcelona;No Residentes en España;Noviembre;1,63
08 Barcelona;No Residentes en España;Diciembre;1,66
48 Bizkaia;Total;Total;2,79
48 Bizkaia;Total;Enero;3,96
48 Bizkaia;Total;Febrero;3,55
48 Bizkaia;Total;Marzo;2,50
48 Bizkaia;Total;Abril;3,01
48 Bizkaia;Total;Mayo;2,22
48 Bizkaia;Total;Junio;2,37
48 Bizkaia;Total;Julio;2,98
48 Bizkaia;Total;Agosto;3,54
48 Bizkaia;Total;Septiembre;2,44
48 Bizkaia;Total;Octubre;2,44
48 Bizkaia;Total;Noviembre;2,41
48 Bizkaia;Total;Diciembre;2,33
48 Bizkaia;Residentes en España;Total;2,80
48 Bizkaia;Residentes en España;Enero;4,13
48 Bizkaia;Residentes en España;Febrero;3,47
48 Bizkaia;Residentes en España;Marzo;2,48
48 Bizkaia;Residentes en España;Abril;3,04
48 Bizkaia;Residentes en España;Mayo;2,25
48 Bizkaia;Residentes en España;Junio;2,37
48 Bizkaia;Residentes en España;Julio;3,02
48 Bizkaia;Residentes en España;Agosto;3,51
48 Bizkaia;Residentes en España;Septiembre;2,52
48 Bizkaia;Residentes en España;Octubre;2,42
48 Bizkaia;Residentes en España;Noviembre;2,40
48 Bizkaia;Residentes en España;Diciembre;2,36
48 Bizkaia;No Residentes en España;Total;2,73
48 Bizkaia;No Residentes en España;Enero;1,61
48 Bizkaia;No Residentes en España;Febrero;3,79
48 Bizkaia;No Residentes en España;Marzo;3,08
48 Bizkaia;No Residentes en España;Abril;2,40
48 Bizkaia;No Residentes en España;Mayo;1,73
48 Bizkaia;No Residentes en España;Junio;2,28
48 Bizkaia;No Residentes en España;Julio;2,72
48 Bizkaia;No Residentes en España;Agosto;3,94
48 Bizkaia;No Residentes en España;Septiembre;2,04
48 Bizkaia;No Residentes en España;Octubre;2,58
48 Bizkaia;No Residentes en España;Noviembre;2,56
48 Bizkaia;No Residentes en España;Diciembre;1,79
09 Burgos;Total;Total;2,34
09 Burgos;Total;Enero;3,65
09 Burgos;Total;Febrero;3,47
09 Burgos;Total;Marzo;2,88
09 Burgos;Total;Abril;2,58
09 Burgos;Total;Mayo;2,00
09 Burgos;Total;Junio;1,91
09 Burgos;Total;Julio;2,54
09 Burgos;Total;Agosto;2,79
09 Burgos;Total;Septiembre;1,96
09 Burgos;Total;Octubre;2,06
09 Burgos;Total;Noviembre;2,11
09 Burgos;Total;Diciembre;2,77
09 Burgos;Residentes en España;Total;2,46
09 Burgos;Residentes en España;Enero;3,63
09 Burgos;Residentes en España;Febrero;3,45
09 Burgos;Residentes en España;Marzo;2,90
09 Burgos;Residentes en España;Abril;2,59
09 Burgos;Residentes en España;Mayo;2,03
09 Burgos;Residentes en España;Junio;2,05
09 Burgos;Residentes en España;Julio;2,73
09 Burgos;Residentes en España;Agosto;3,04
09 Burgos;Residentes en España;Septiembre;2,06
09 Burgos;Residentes en España;Octubre;2,17
09 Burgos;Residentes en España;Noviembre;2,04
09 Burgos;Residentes en España;Diciembre;2,82
09 Burgos;No Residentes en España;Total;1,41
09 Burgos;No Residentes en España;Enero;4,00
09 Burgos;No Residentes en España;Febrero;4,20
09 Burgos;No Residentes en España;Marzo;2,50
09 Burgos;No Residentes en España;Abril;1,50
09 Burgos;No Residentes en España;Mayo;1,60
09 Burgos;No Residentes en España;Junio;1,09
09 Burgos;No Residentes en España;Julio;1,29
