Provincias;Residencia;Meses;Total
07 Balears, Illes;Residentes en España;Enero;2,10
07 Balears, Illes;Residentes en España;Febrero;2,59
07 Balears, Illes;Residentes en España;Marzo;2,87
07 Balears, Illes;Residentes en España;Abril;0,00
07 Balears, Illes;Residentes en España;Mayo;2,69
07 Balears, Illes;Residentes en España;Junio;2,88
07 Balears, Illes;Residentes en España;Julio;3,06
07 Balears, Illes;Residentes en España;Agosto;3,45
07 Balears, Illes;Residentes en España;Septiembre;3,20
07 Balears, Illes;Residentes en España;Octubre;2,18
07 Balears, Illes;Residentes en España;Noviembre;1,89
07 Balears, Illes;Residentes en España;Diciembre;2,06
07 Balears, Illes;No residentes en España;Enero;4,25
07 Balears, Illes;No residentes en España;Febrero;4,50
07 Balears, Illes;No residentes en España;Marzo;5,17
07 Balears, Illes;No residentes en España;Abril;0,00
07 Balears, Illes;No residentes en España;Mayo;3,93
07 Balears, Illes;No residentes en España;Junio;2,95
07 Balears, Illes;No residentes en España;Julio;5,39
07 Balears, Illes;No residentes en España;Agosto;5,64
07 Balears, Illes;No residentes en España;Septiembre;4,30
07 Balears, Illes;No residentes en España;Octubre;3,23
07 Balears, Illes;No residentes en España;Noviembre;2,80
07 Balears, Illes;No residentes en España;Diciembre;2,89
08 Barcelona;Residentes en España;Enero;1,69
08 Barcelona;Residentes en España;Febrero;1,68
08 Barcelona;Residentes en España;Marzo;1,90
08 Barcelona;Residentes en España;Abril;0,00
08 Barcelona;Residentes en España;Mayo;3,06
08 Barcelona;Residentes en España;Junio;1,92
08 Barcelona;Residentes en España;Julio;2,03
08 Barcelona;Residentes en España;Agosto;2,21
08 Barcelona;Residentes en España;Septiembre;1,88
08 Barcelona;Residentes en España;Octubre;1,88
08 Barcelona;Residentes en España;Noviembre;1,86
08 Barcelona;Residentes en España;Diciembre;1,66
08 Barcelona;No residentes en España;Enero;2,56
08 Barcelona;No residentes en España;Febrero;2,47
08 Barcelona;No residentes en España;Marzo;2,62
08 Barcelona;No residentes en España;Abril;0,00
08 Barcelona;No residentes en España;Mayo;2,18
08 Barcelona;No residentes en España;Junio;2,32
08 Barcelona;No residentes en España;Julio;2,74
08 Barcelona;No residentes en España;Agosto;2,68
08 Barcelona;No residentes en España;Septiembre;2,39
08 Barcelona;No residentes en España;Octubre;2,30
08 Barcelona;No residentes en España;Noviembre;2,23
08 Barcelona;No residentes en España;Diciembre;2,13
17 Girona;Residentes en España;Enero;1,91
17 Girona;Residentes en España;Febrero;1,84
17 Girona;Residentes en España;Marzo;1,87
17 Girona;Residentes en España;Abril;0,00
17 Girona;Residentes en España;Mayo;1,79
17 Girona;Residentes en España;Junio;1,74
17 Girona;Residentes en España;Julio;2,15
17 Girona;Residentes en España;Agosto;2,58
17 Girona;Residentes en España;Septiembre;2,02
17 Girona;Residentes en España;Octubre;1,74
17 Girona;Residentes en España;Noviembre;1,87
17 Girona;Residentes en España;Diciembre;1,66
17 Girona;No residentes en España;Enero;1,80
17 Girona;No residentes en España;Febrero;2,01
17 Girona;No residentes en España;Marzo;2,48
17 Girona;No residentes en España;Abril;0,00
17 Girona;No residentes en España;Mayo;3,08
17 Girona;No residentes en España;Junio;1,79
17 Girona;No residentes en España;Julio;3,24
17 Girona;No residentes en España;Agosto;3,11
17 Girona;No residentes en España;Septiembre;2,27
17 Girona;No residentes en España;Octubre;1,94
17 Girona;No residentes en España;Noviembre;1,63
17 Girona;No residentes en España;Diciembre;1,53
28 Madrid;Residentes en España;Enero;1,71
28 Madrid;Residentes en España;Febrero;1,67
28 Madrid;Residentes en España;Marzo;1,83
28 Madrid;Residentes en España;Abril;0,00
28 Madrid;Residentes en España;Mayo;2,27
28 Madrid;Residentes en España;Junio;1,83
28 Madrid;Residentes en España;Julio;1,88
28 Madrid;Residentes en España;Agosto;1,96
28 Madrid;Residentes en España;Septiembre;1,88
28 Madrid;Residentes en España;Octubre;1,93
28 Madrid;Residentes en España;Noviembre;1,82
28 Madrid;Residentes en España;Diciembre;1,78
