Provincias;Meses;Total
07 Balears, Illes;Enero;7,86
07 Balears, Illes;Febrero;6,78
07 Balears, Illes;Marzo;9,31
07 Balears, Illes;Abril;0,00
07 Balears, Illes;Mayo;..
07 Balears, Illes;Junio;4,71
07 Balears, Illes;Julio;5,27
07 Balears, Illes;Agosto;5,49
07 Balears, Illes;Septiembre;5,08
07 Balears, Illes;Octubre;5,83
07 Balears, Illes;Noviembre;6,62
07 Balears, Illes;Diciembre;6,80
08 Barcelona;Enero;7,78
08 Barcelona;Febrero;6,18
08 Barcelona;Marzo;16,07
08 Barcelona;Abril;0,00
08 Barcelona;Mayo;21,63
08 Barcelona;Junio;4,34
08 Barcelona;Julio;3,66
08 Barcelona;Agosto;5,10
08 Barcelona;Septiembre;7,81
08 Barcelona;Octubre;12,18
08 Barcelona;Noviembre;21,38
08 Barcelona;Diciembre;24,61
17 Girona;Enero;2,93
17 Girona;Febrero;2,89
17 Girona;Marzo;3,19
17 Girona;Abril;0,00
17 Girona;Mayo;..
17 Girona;Junio;2,99
17 Girona;Julio;6,42
17 Girona;Agosto;6,42
17 Girona;Septiembre;4,90
17 Girona;Octubre;3,20
17 Girona;Noviembre;5,19
17 Girona;Diciembre;3,03
28 Madrid;Enero;3,45
28 Madrid;Febrero;3,12
28 Madrid;Marzo;5,88
28 Madrid;Abril;0,00
28 Madrid;Mayo;..
28 Madrid;Junio;6,40
28 Madrid;Julio;5,63
28 Madrid;Agosto;5,64
28 Madrid;Septiembre;5,73
28 Madrid;Octubre;7,54
28 Madrid;Noviembre;7,73
28 Madrid;Diciembre;7,74
29 Málaga;Enero;5,48
29 Málaga;Febrero;5,18
29 Málaga;Marzo;7,50
29 Málaga;Abril;0,00
29 Málaga;Mayo;..
29 Málaga;Junio;3,38
29 Málaga;Julio;4,22
29 Málaga;Agosto;5,09
29 Málaga;Septiembre;4,18
29 Málaga;Octubre;3,70
29 Málaga;Noviembre;7,07
29 Málaga;Diciembre;4,95
41 Sevilla;Enero;2,22
41 Sevilla;Febrero;2,35
41 Sevilla;Marzo;3,46
41 Sevilla;Abril;0,00
41 Sevilla;Mayo;5,08
41 Sevilla;Junio;3,98
41 Sevilla;Julio;2,85
41 Sevilla;Agosto;2,97
41 Sevilla;Septiembre;2,67
41 Sevilla;Octubre;3,39
41 Sevilla;Noviembre;3,99
41 Sevilla;Diciembre;3,02
46 Valencia/València;Enero;3,13
46 Valencia/València;Febrero;3,48
46 Valencia/València;Marzo;3,66
46 Valencia/València;Abril;0,00
46 Valencia/València;Mayo;..
46 Valencia/València;Junio;4,87
46 Valencia/València;Julio;6,84
46 Valencia/València;Agosto;7,40
46 Valencia/València;Septiembre;5,22
46 Valencia/València;Octubre;4,67
46 Valencia/València;Noviembre;7,89
46 Valencia/València;Diciembre;3,98
