Provincias;Meses;Total
07 Balears, Illes;Enero;8,65
07 Balears, Illes;Febrero;6,87
07 Balears, Illes;Marzo;5,56
07 Balears, Illes;Abril;5,55
07 Balears, Illes;Mayo;5,73
07 Balears, Illes;Junio;6,13
07 Balears, Illes;Julio;6,54
07 Balears, Illes;Agosto;7,18
07 Balears, Illes;Septiembre;6,25
07 Balears, Illes;Octubre;7,37
07 Balears, Illes;Noviembre;6,88
07 Balears, Illes;Diciembre;7,01
08 Barcelona;Enero;8,11
08 Barcelona;Febrero;7,01
08 Barcelona;Marzo;6,37
08 Barcelona;Abril;6,22
08 Barcelona;Mayo;5,59
08 Barcelona;Junio;5,47
08 Barcelona;Julio;4,02
08 Barcelona;Agosto;4,73
08 Barcelona;Septiembre;5,40
08 Barcelona;Octubre;6,11
08 Barcelona;Noviembre;6,87
08 Barcelona;Diciembre;7,35
17 Girona;Enero;3,41
17 Girona;Febrero;3,17
17 Girona;Marzo;2,80
17 Girona;Abril;3,67
17 Girona;Mayo;4,73
17 Girona;Junio;4,83
17 Girona;Julio;7,09
17 Girona;Agosto;8,28
17 Girona;Septiembre;5,78
17 Girona;Octubre;4,15
17 Girona;Noviembre;2,62
17 Girona;Diciembre;2,90
28 Madrid;Enero;3,92
28 Madrid;Febrero;3,33
28 Madrid;Marzo;3,47
28 Madrid;Abril;3,45
28 Madrid;Mayo;3,43
28 Madrid;Junio;3,32
28 Madrid;Julio;3,54
28 Madrid;Agosto;3,58
28 Madrid;Septiembre;3,44
28 Madrid;Octubre;3,61
28 Madrid;Noviembre;3,49
28 Madrid;Diciembre;3,86
29 Málaga;Enero;5,44
29 Málaga;Febrero;5,65
29 Málaga;Marzo;5,24
29 Málaga;Abril;4,82
29 Málaga;Mayo;4,93
29 Málaga;Junio;5,09
29 Málaga;Julio;5,55
29 Málaga;Agosto;5,83
29 Málaga;Septiembre;5,14
29 Málaga;Octubre;5,51
29 Málaga;Noviembre;5,16
29 Málaga;Diciembre;4,33
41 Sevilla;Enero;2,54
41 Sevilla;Febrero;2,68
41 Sevilla;Marzo;2,85
41 Sevilla;Abril;2,47
41 Sevilla;Mayo;2,32
41 Sevilla;Junio;2,31
41 Sevilla;Julio;2,54
41 Sevilla;Agosto;2,36
41 Sevilla;Septiembre;2,36
41 Sevilla;Octubre;2,43
41 Sevilla;Noviembre;2,42
41 Sevilla;Diciembre;2,49
46 Valencia/València;Enero;4,03
46 Valencia/València;Febrero;3,79
46 Valencia/València;Marzo;3,66
46 Valencia/València;Abril;3,54
46 Valencia/València;Mayo;3,77
46 Valencia/València;Junio;3,85
46 Valencia/València;Julio;7,85
46 Valencia/València;Agosto;8,35
46 Valencia/València;Septiembre;5,37
46 Valencia/València;Octubre;4,00
46 Valencia/València;Noviembre;3,65
46 Valencia/València;Diciembre;3,56
