Provincias;Residencia;Meses;Total
07 Balears, Illes;Residentes en España;Enero;2,07
07 Balears, Illes;Residentes en España;Febrero;2,97
07 Balears, Illes;Residentes en España;Marzo;2,93
07 Balears, Illes;Residentes en España;Abril;3,15
07 Balears, Illes;Residentes en España;Mayo;3,05
07 Balears, Illes;Residentes en España;Junio;3,47
07 Balears, Illes;Residentes en España;Julio;3,90
07 Balears, Illes;Residentes en España;Agosto;4,45
07 Balears, Illes;Residentes en España;Septiembre;3,64
07 Balears, Illes;Residentes en España;Octubre;2,47
07 Balears, Illes;Residentes en España;Noviembre;2,01
07 Balears, Illes;Residentes en España;Diciembre;2,03
07 Balears, Illes;No residentes en España;Enero;3,91
07 Balears, Illes;No residentes en España;Febrero;4,48
07 Balears, Illes;No residentes en España;Marzo;5,05
07 Balears, Illes;No residentes en España;Abril;4,96
07 Balears, Illes;No residentes en España;Mayo;5,33
07 Balears, Illes;No residentes en España;Junio;5,84
07 Balears, Illes;No residentes en España;Julio;6,08
07 Balears, Illes;No residentes en España;Agosto;6,17
07 Balears, Illes;No residentes en España;Septiembre;5,98
07 Balears, Illes;No residentes en España;Octubre;6,18
07 Balears, Illes;No residentes en España;Noviembre;4,14
07 Balears, Illes;No residentes en España;Diciembre;3,93
08 Barcelona;Residentes en España;Enero;1,71
08 Barcelona;Residentes en España;Febrero;1,65
08 Barcelona;Residentes en España;Marzo;1,94
08 Barcelona;Residentes en España;Abril;2,08
08 Barcelona;Residentes en España;Mayo;1,88
08 Barcelona;Residentes en España;Junio;1,85
08 Barcelona;Residentes en España;Julio;2,07
08 Barcelona;Residentes en España;Agosto;2,41
08 Barcelona;Residentes en España;Septiembre;1,94
08 Barcelona;Residentes en España;Octubre;1,85
08 Barcelona;Residentes en España;Noviembre;1,77
08 Barcelona;Residentes en España;Diciembre;1,77
08 Barcelona;No residentes en España;Enero;2,62
08 Barcelona;No residentes en España;Febrero;2,59
08 Barcelona;No residentes en España;Marzo;2,60
08 Barcelona;No residentes en España;Abril;2,66
08 Barcelona;No residentes en España;Mayo;2,77
08 Barcelona;No residentes en España;Junio;3,00
08 Barcelona;No residentes en España;Julio;3,18
08 Barcelona;No residentes en España;Agosto;3,33
08 Barcelona;No residentes en España;Septiembre;3,10
08 Barcelona;No residentes en España;Octubre;2,70
08 Barcelona;No residentes en España;Noviembre;2,41
08 Barcelona;No residentes en España;Diciembre;2,47
17 Girona;Residentes en España;Enero;1,83
17 Girona;Residentes en España;Febrero;1,66
17 Girona;Residentes en España;Marzo;2,00
17 Girona;Residentes en España;Abril;2,61
17 Girona;Residentes en España;Mayo;2,20
17 Girona;Residentes en España;Junio;2,16
17 Girona;Residentes en España;Julio;2,61
17 Girona;Residentes en España;Agosto;2,99
17 Girona;Residentes en España;Septiembre;2,36
17 Girona;Residentes en España;Octubre;1,65
17 Girona;Residentes en España;Noviembre;1,82
17 Girona;Residentes en España;Diciembre;1,85
17 Girona;No residentes en España;Enero;1,86
17 Girona;No residentes en España;Febrero;2,34
17 Girona;No residentes en España;Marzo;2,31
17 Girona;No residentes en España;Abril;3,09
17 Girona;No residentes en España;Mayo;3,22
17 Girona;No residentes en España;Junio;3,95
17 Girona;No residentes en España;Julio;4,78
17 Girona;No residentes en España;Agosto;4,25
17 Girona;No residentes en España;Septiembre;4,02
17 Girona;No residentes en España;Octubre;3,55
17 Girona;No residentes en España;Noviembre;2,14
17 Girona;No residentes en España;Diciembre;1,96
28 Madrid;Residentes en España;Enero;1,75
28 Madrid;Residentes en España;Febrero;1,67
28 Madrid;Residentes en España;Marzo;1,69
28 Madrid;Residentes en España;Abril;1,74
28 Madrid;Residentes en España;Mayo;1,69
28 Madrid;Residentes en España;Junio;1,66
28 Madrid;Residentes en España;Julio;1,72
28 Madrid;Residentes en España;Agosto;1,77
28 Madrid;Residentes en España;Septiembre;1,78
28 Madrid;Residentes en España;Octubre;1,67
28 Madrid;Residentes en España;Noviembre;1,75
28 Madrid;Residentes en España;Diciembre;1,76
28 Madrid;No residentes en España;Enero;2,41
28 Madrid;No residentes en España;Febrero;2,24
28 Madrid;No residentes en España;Marzo;2,40
28 Madrid;No residentes en España;Abril;2,39
28 Madrid;No residentes en España;Mayo;2,29
28 Madrid;No residentes en España;Junio;2,30
28 Madrid;No residentes en España;Julio;2,32
28 Madrid;No residentes en España;Agosto;2,31
28 Madrid;No residentes en España;Septiembre;2,39
28 Madrid;No residentes en España;Octubre;2,32
28 Madrid;No residentes en España;Noviembre;2,32
28 Madrid;No residentes en España;Diciembre;2,45
29 Málaga;Residentes en España;Enero;2,31
29 Málaga;Residentes en España;Febrero;2,12
29 Málaga;Residentes en España;Marzo;2,60
29 Málaga;Residentes en España;Abril;2,65
29 Málaga;Residentes en España;Mayo;2,23
29 Málaga;Residentes en España;Junio;2,38
29 Málaga;Residentes en España;Julio;3,08
29 Málaga;Residentes en España;Agosto;3,46
29 Málaga;Residentes en España;Septiembre;2,73
29 Málaga;Residentes en España;Octubre;2,20
29 Málaga;Residentes en España;Noviembre;2,14
29 Málaga;Residentes en España;Diciembre;2,14
29 Málaga;No residentes en España;Enero;3,75
29 Málaga;No residentes en España;Febrero;3,85
29 Málaga;No residentes en España;Marzo;3,83
29 Málaga;No residentes en España;Abril;3,67
29 Málaga;No residentes en España;Mayo;3,88
29 Málaga;No residentes en España;Junio;4,18
29 Málaga;No residentes en España;Julio;4,45
29 Málaga;No residentes en España;Agosto;4,47
29 Málaga;No residentes en España;Septiembre;4,08
29 Málaga;No residentes en España;Octubre;4,27
29 Málaga;No residentes en España;Noviembre;3,89
29 Málaga;No residentes en España;Diciembre;3,51
41 Sevilla;Residentes en España;Enero;1,75
41 Sevilla;Residentes en España;Febrero;1,67
41 Sevilla;Residentes en España;Marzo;1,77
41 Sevilla;Residentes en España;Abril;1,91
41 Sevilla;Residentes en España;Mayo;1,80
41 Sevilla;Residentes en España;Junio;1,75
41 Sevilla;Residentes en España;Julio;1,69
41 Sevilla;Residentes en España;Agosto;1,75
41 Sevilla;Residentes en España;Septiembre;1,70
41 Sevilla;Residentes en España;Octubre;1,72
41 Sevilla;Residentes en España;Noviembre;1,80
41 Sevilla;Residentes en España;Diciembre;1,80
41 Sevilla;No residentes en España;Enero;2,32
41 Sevilla;No residentes en España;Febrero;2,21
41 Sevilla;No residentes en España;Marzo;2,27
41 Sevilla;No residentes en España;Abril;2,25
41 Sevilla;No residentes en España;Mayo;2,14
41 Sevilla;No residentes en España;Junio;2,15
41 Sevilla;No residentes en España;Julio;2,23
41 Sevilla;No residentes en España;Agosto;2,18
41 Sevilla;No residentes en España;Septiembre;2,10
41 Sevilla;No residentes en España;Octubre;2,06
41 Sevilla;No residentes en España;Noviembre;2,15
41 Sevilla;No residentes en España;Diciembre;2,09
46 Valencia/València;Residentes en España;Enero;1,79
46 Valencia/València;Residentes en España;Febrero;1,75
46 Valencia/València;Residentes en España;Marzo;2,10
46 Valencia/València;Residentes en España;Abril;2,24
46 Valencia/València;Residentes en España;Mayo;2,13
46 Valencia/València;Residentes en España;Junio;2,33
46 Valencia/València;Residentes en España;Julio;2,71
46 Valencia/València;Residentes en España;Agosto;2,93
46 Valencia/València;Residentes en España;Septiembre;2,48
46 Valencia/València;Residentes en España;Octubre;2,00
46 Valencia/València;Residentes en España;Noviembre;1,86
46 Valencia/València;Residentes en España;Diciembre;1,81
46 Valencia/València;No residentes en España;Enero;2,31
46 Valencia/València;No residentes en España;Febrero;2,28
46 Valencia/València;No residentes en España;Marzo;2,39
46 Valencia/València;No residentes en España;Abril;2,38
46 Valencia/València;No residentes en España;Mayo;2,30
46 Valencia/València;No residentes en España;Junio;2,35
46 Valencia/València;No residentes en España;Julio;2,54
46 Valencia/València;No residentes en España;Agosto;2,69
46 Valencia/València;No residentes en España;Septiembre;2,52
46 Valencia/València;No residentes en España;Octubre;2,46
46 Valencia/València;No residentes en España;Noviembre;2,28
46 Valencia/València;No residentes en España;Diciembre;2,23
