Provincias;País de residencia;Meses;Total
07 Balears, Illes;Residentes en España;Enero;27.144
07 Balears, Illes;Residentes en España;Febrero;64.600
07 Balears, Illes;Residentes en España;Marzo;89.468
07 Balears, Illes;Residentes en España;Abril;94.236
07 Balears, Illes;Residentes en España;Mayo;159.954
07 Balears, Illes;Residentes en España;Junio;172.865
07 Balears, Illes;Residentes en España;Julio;176.438
07 Balears, Illes;Residentes en España;Agosto;188.843
07 Balears, Illes;Residentes en España;Septiembre;151.240
07 Balears, Illes;Residentes en España;Octubre;142.964
07 Balears, Illes;Residentes en España;Noviembre;45.450
07 Balears, Illes;Residentes en España;Diciembre;30.396
07 Balears, Illes;Alemania;Enero;12.681
07 Balears, Illes;Alemania;Febrero;51.183
07 Balears, Illes;Alemania;Marzo;98.834
07 Balears, Illes;Alemania;Abril;192.755
07 Balears, Illes;Alemania;Mayo;420.558
07 Balears, Illes;Alemania;Junio;462.952
07 Balears, Illes;Alemania;Julio;453.346
07 Balears, Illes;Alemania;Agosto;433.084
07 Balears, Illes;Alemania;Septiembre;471.605
07 Balears, Illes;Alemania;Octubre;368.776
07 Balears, Illes;Alemania;Noviembre;28.712
07 Balears, Illes;Alemania;Diciembre;33.486
07 Balears, Illes;Austria;Enero;503
07 Balears, Illes;Austria;Febrero;1.490
07 Balears, Illes;Austria;Marzo;3.775
07 Balears, Illes;Austria;Abril;7.244
07 Balears, Illes;Austria;Mayo;14.536
07 Balears, Illes;Austria;Junio;22.707
07 Balears, Illes;Austria;Julio;29.449
07 Balears, Illes;Austria;Agosto;28.428
07 Balears, Illes;Austria;Septiembre;20.975
07 Balears, Illes;Austria;Octubre;15.324
07 Balears, Illes;Austria;Noviembre;1.592
07 Balears, Illes;Austria;Diciembre;1.963
07 Balears, Illes;Bélgica;Enero;691
07 Balears, Illes;Bélgica;Febrero;1.351
07 Balears, Illes;Bélgica;Marzo;1.535
07 Balears, Illes;Bélgica;Abril;7.394
07 Balears, Illes;Bélgica;Mayo;18.205
07 Balears, Illes;Bélgica;Junio;16.609
07 Balears, Illes;Bélgica;Julio;24.064
07 Balears, Illes;Bélgica;Agosto;20.149
07 Balears, Illes;Bélgica;Septiembre;19.128
07 Balears, Illes;Bélgica;Octubre;7.750
07 Balears, Illes;Bélgica;Noviembre;460
07 Balears, Illes;Bélgica;Diciembre;469
07 Balears, Illes;Dinamarca;Enero;411
07 Balears, Illes;Dinamarca;Febrero;865
07 Balears, Illes;Dinamarca;Marzo;4.084
07 Balears, Illes;Dinamarca;Abril;8.816
07 Balears, Illes;Dinamarca;Mayo;19.465
07 Balears, Illes;Dinamarca;Junio;19.803
07 Balears, Illes;Dinamarca;Julio;40.519
07 Balears, Illes;Dinamarca;Agosto;22.243
07 Balears, Illes;Dinamarca;Septiembre;17.675
07 Balears, Illes;Dinamarca;Octubre;18.622
07 Balears, Illes;Dinamarca;Noviembre;597
07 Balears, Illes;Dinamarca;Diciembre;629
07 Balears, Illes;Finlandia;Enero;525
07 Balears, Illes;Finlandia;Febrero;458
07 Balears, Illes;Finlandia;Marzo;1.301
07 Balears, Illes;Finlandia;Abril;4.608
07 Balears, Illes;Finlandia;Mayo;6.164
07 Balears, Illes;Finlandia;Junio;8.121
07 Balears, Illes;Finlandia;Julio;9.622
07 Balears, Illes;Finlandia;Agosto;6.359
07 Balears, Illes;Finlandia;Septiembre;6.114
07 Balears, Illes;Finlandia;Octubre;7.127
07 Balears, Illes;Finlandia;Noviembre;476
07 Balears, Illes;Finlandia;Diciembre;597
07 Balears, Illes;Francia;Enero;1.915
07 Balears, Illes;Francia;Febrero;2.287
07 Balears, Illes;Francia;Marzo;3.817
07 Balears, Illes;Francia;Abril;29.552
07 Balears, Illes;Francia;Mayo;70.043
