Provincias;País de residencia;Meses;Total
Balears, Illes;Residentes en España;Enero;21.058
Balears, Illes;Residentes en España;Febrero;48.484
Balears, Illes;Residentes en España;Marzo;64.934
Balears, Illes;Residentes en España;Abril;107.273
Balears, Illes;Residentes en España;Mayo;123.634
Balears, Illes;Residentes en España;Junio;162.349
Balears, Illes;Residentes en España;Julio;172.086
Balears, Illes;Residentes en España;Agosto;191.128
Balears, Illes;Residentes en España;Septiembre;123.596
Balears, Illes;Residentes en España;Octubre;112.180
Balears, Illes;Residentes en España;Noviembre;33.896
Balears, Illes;Residentes en España;Diciembre;22.473
Balears, Illes;Alemania;Enero;17.391
Balears, Illes;Alemania;Febrero;39.422
Balears, Illes;Alemania;Marzo;86.580
Balears, Illes;Alemania;Abril;192.894
Balears, Illes;Alemania;Mayo;389.845
Balears, Illes;Alemania;Junio;438.194
Balears, Illes;Alemania;Julio;445.653
Balears, Illes;Alemania;Agosto;475.629
Balears, Illes;Alemania;Septiembre;466.454
Balears, Illes;Alemania;Octubre;313.322
Balears, Illes;Alemania;Noviembre;27.341
Balears, Illes;Alemania;Diciembre;19.304
Balears, Illes;Austria;Enero;594
Balears, Illes;Austria;Febrero;1.314
Balears, Illes;Austria;Marzo;3.679
Balears, Illes;Austria;Abril;6.376
Balears, Illes;Austria;Mayo;12.197
Balears, Illes;Austria;Junio;27.512
Balears, Illes;Austria;Julio;19.528
Balears, Illes;Austria;Agosto;19.119
Balears, Illes;Austria;Septiembre;18.831
Balears, Illes;Austria;Octubre;9.168
Balears, Illes;Austria;Noviembre;1.277
Balears, Illes;Austria;Diciembre;1.137
Balears, Illes;Bélgica;Enero;595
Balears, Illes;Bélgica;Febrero;1.232
Balears, Illes;Bélgica;Marzo;1.996
Balears, Illes;Bélgica;Abril;8.120
Balears, Illes;Bélgica;Mayo;14.709
Balears, Illes;Bélgica;Junio;17.938
Balears, Illes;Bélgica;Julio;27.771
Balears, Illes;Bélgica;Agosto;23.548
Balears, Illes;Bélgica;Septiembre;18.144
Balears, Illes;Bélgica;Octubre;7.619
Balears, Illes;Bélgica;Noviembre;893
Balears, Illes;Bélgica;Diciembre;412
Balears, Illes;Dinamarca;Enero;61
Balears, Illes;Dinamarca;Febrero;374
Balears, Illes;Dinamarca;Marzo;1.878
Balears, Illes;Dinamarca;Abril;7.277
Balears, Illes;Dinamarca;Mayo;8.725
Balears, Illes;Dinamarca;Junio;12.701
Balears, Illes;Dinamarca;Julio;20.479
Balears, Illes;Dinamarca;Agosto;12.349
Balears, Illes;Dinamarca;Septiembre;10.842
Balears, Illes;Dinamarca;Octubre;11.259
Balears, Illes;Dinamarca;Noviembre;405
Balears, Illes;Dinamarca;Diciembre;263
Balears, Illes;Finlandia;Enero;107
Balears, Illes;Finlandia;Febrero;126
Balears, Illes;Finlandia;Marzo;525
Balears, Illes;Finlandia;Abril;2.966
Balears, Illes;Finlandia;Mayo;4.710
Balears, Illes;Finlandia;Junio;10.099
Balears, Illes;Finlandia;Julio;7.945
Balears, Illes;Finlandia;Agosto;3.459
Balears, Illes;Finlandia;Septiembre;3.115
Balears, Illes;Finlandia;Octubre;3.318
Balears, Illes;Finlandia;Noviembre;152
Balears, Illes;Finlandia;Diciembre;70
Balears, Illes;Francia;Enero;725
Balears, Illes;Francia;Febrero;963
Balears, Illes;Francia;Marzo;1.985
Balears, Illes;Francia;Abril;25.421
Balears, Illes;Francia;Mayo;51.276
Balears, Illes;Francia;Junio;41.628
Balears, Illes;Francia;Julio;54.079
Balears, Illes;Francia;Agosto;80.228
Balears, Illes;Francia;Septiembre;49.081
Balears, Illes;Francia;Octubre;34.248
Balears, Illes;Francia;Noviembre;1.545
Balears, Illes;Francia;Diciembre;1.383
Balears, Illes;Grecia;Enero;..
Balears, Illes;Grecia;Febrero;..
Balears, Illes;Grecia;Marzo;93
Balears, Illes;Grecia;Abril;166
Balears, Illes;Grecia;Mayo;503
Balears, Illes;Grecia;Junio;421
Balears, Illes;Grecia;Julio;994
Balears, Illes;Grecia;Agosto;922
Balears, Illes;Grecia;Septiembre;644
Balears, Illes;Grecia;Octubre;247
Balears, Illes;Grecia;Noviembre;86
Balears, Illes;Grecia;Diciembre;72
Balears, Illes;Irlanda;Enero;121
Balears, Illes;Irlanda;Febrero;113
Balears, Illes;Irlanda;Marzo;584
Balears, Illes;Irlanda;Abril;2.397
Balears, Illes;Irlanda;Mayo;8.985
Balears, Illes;Irlanda;Junio;13.364
Balears, Illes;Irlanda;Julio;11.705
Balears, Illes;Irlanda;Agosto;10.409
Balears, Illes;Irlanda;Septiembre;9.779
Balears, Illes;Irlanda;Octubre;3.360
Balears, Illes;Irlanda;Noviembre;210
Balears, Illes;Irlanda;Diciembre;117
Balears, Illes;Italia;Enero;1.168
Balears, Illes;Italia;Febrero;963
Balears, Illes;Italia;Marzo;1.943
Balears, Illes;Italia;Abril;7.293
Balears, Illes;Italia;Mayo;25.450
Balears, Illes;Italia;Junio;59.334
Balears, Illes;Italia;Julio;88.219
Balears, Illes;Italia;Agosto;109.145
Balears, Illes;Italia;Septiembre;42.653
Balears, Illes;Italia;Octubre;9.590
Balears, Illes;Italia;Noviembre;1.390
Balears, Illes;Italia;Diciembre;824
Balears, Illes;Luxemburgo;Enero;47
Balears, Illes;Luxemburgo;Febrero;370
Balears, Illes;Luxemburgo;Marzo;256
Balears, Illes;Luxemburgo;Abril;1.831
Balears, Illes;Luxemburgo;Mayo;2.425
Balears, Illes;Luxemburgo;Junio;3.188
Balears, Illes;Luxemburgo;Julio;4.778
Balears, Illes;Luxemburgo;Agosto;5.118
Balears, Illes;Luxemburgo;Septiembre;3.468
Balears, Illes;Luxemburgo;Octubre;1.272
Balears, Illes;Luxemburgo;Noviembre;222
Balears, Illes;Luxemburgo;Diciembre;232
Balears, Illes;Países Bajos;Enero;549
Balears, Illes;Países Bajos;Febrero;733
Balears, Illes;Países Bajos;Marzo;1.964
Balears, Illes;Países Bajos;Abril;11.961
Balears, Illes;Países Bajos;Mayo;30.925
Balears, Illes;Países Bajos;Junio;29.288
Balears, Illes;Países Bajos;Julio;51.779
Balears, Illes;Países Bajos;Agosto;42.142
Balears, Illes;Países Bajos;Septiembre;30.140
Balears, Illes;Países Bajos;Octubre;16.055
Balears, Illes;Países Bajos;Noviembre;706
Balears, Illes;Países Bajos;Diciembre;706
Balears, Illes;Polonia;Enero;171
Balears, Illes;Polonia;Febrero;204
Balears, Illes;Polonia;Marzo;294
Balears, Illes;Polonia;Abril;2.713
Balears, Illes;Polonia;Mayo;7.662
Balears, Illes;Polonia;Junio;9.832
Balears, Illes;Polonia;Julio;12.477
Balears, Illes;Polonia;Agosto;13.134
Balears, Illes;Polonia;Septiembre;11.926
Balears, Illes;Polonia;Octubre;5.298
Balears, Illes;Polonia;Noviembre;499
Balears, Illes;Polonia;Diciembre;197
Balears, Illes;Portugal;Enero;231
Balears, Illes;Portugal;Febrero;169
Balears, Illes;Portugal;Marzo;256
Balears, Illes;Portugal;Abril;1.627
Balears, Illes;Portugal;Mayo;6.171
Balears, Illes;Portugal;Junio;14.844
Balears, Illes;Portugal;Julio;15.297
Balears, Illes;Portugal;Agosto;17.632
Balears, Illes;Portugal;Septiembre;11.241
Balears, Illes;Portugal;Octubre;3.156
Balears, Illes;Portugal;Noviembre;217
Balears, Illes;Portugal;Diciembre;563
Balears, Illes;Reino Unido;Enero;2.242
Balears, Illes;Reino Unido;Febrero;3.668
Balears, Illes;Reino Unido;Marzo;19.373
Balears, Illes;Reino Unido;Abril;67.576
Balears, Illes;Reino Unido;Mayo;353.364
Balears, Illes;Reino Unido;Junio;379.759
Balears, Illes;Reino Unido;Julio;435.230
Balears, Illes;Reino Unido;Agosto;449.725
Balears, Illes;Reino Unido;Septiembre;365.189
Balears, Illes;Reino Unido;Octubre;221.745
Balears, Illes;Reino Unido;Noviembre;6.337
Balears, Illes;Reino Unido;Diciembre;4.171
Balears, Illes;República Checa;Enero;170
Balears, Illes;República Checa;Febrero;182
Balears, Illes;República Checa;Marzo;395
Balears, Illes;República Checa;Abril;847
Balears, Illes;República Checa;Mayo;1.650
Balears, Illes;República Checa;Junio;9.125
Balears, Illes;República Checa;Julio;13.542
Balears, Illes;República Checa;Agosto;10.577
Balears, Illes;República Checa;Septiembre;11.003
Balears, Illes;República Checa;Octubre;1.150
Balears, Illes;República Checa;Noviembre;83
Balears, Illes;República Checa;Diciembre;153
Balears, Illes;Suecia;Enero;489
Balears, Illes;Suecia;Febrero;662
Balears, Illes;Suecia;Marzo;2.318
Balears, Illes;Suecia;Abril;8.620
Balears, Illes;Suecia;Mayo;25.161
Balears, Illes;Suecia;Junio;26.080
Balears, Illes;Suecia;Julio;34.997
Balears, Illes;Suecia;Agosto;23.825
Balears, Illes;Suecia;Septiembre;29.471
Balears, Illes;Suecia;Octubre;15.680
Balears, Illes;Suecia;Noviembre;1.086
Balears, Illes;Suecia;Diciembre;710
Balears, Illes;Noruega;Enero;179
Balears, Illes;Noruega;Febrero;387
Balears, Illes;Noruega;Marzo;438
Balears, Illes;Noruega;Abril;6.797
