Provincias;Meses;Total
Balears, Illes;Enero;7,27
Balears, Illes;Febrero;6,55
Balears, Illes;Marzo;6,52
Balears, Illes;Abril;5,47
Balears, Illes;Mayo;5,53
Balears, Illes;Junio;6,01
Balears, Illes;Julio;6,61
Balears, Illes;Agosto;7,24
Balears, Illes;Septiembre;6,31
Balears, Illes;Octubre;6,93
Balears, Illes;Noviembre;7,97
Balears, Illes;Diciembre;6,45
Barcelona;Enero;8,13
Barcelona;Febrero;7,09
Barcelona;Marzo;6,02
Barcelona;Abril;5,31
Barcelona;Mayo;5,49
Barcelona;Junio;5,49
Barcelona;Julio;4,30
Barcelona;Agosto;4,75
Barcelona;Septiembre;5,15
Barcelona;Octubre;5,88
Barcelona;Noviembre;6,12
Barcelona;Diciembre;7,29
Girona;Enero;2,88
Girona;Febrero;3,20
Girona;Marzo;2,51
Girona;Abril;3,44
Girona;Mayo;4,56
Girona;Junio;5,12
Girona;Julio;6,95
Girona;Agosto;7,93
Girona;Septiembre;5,99
Girona;Octubre;3,86
Girona;Noviembre;2,67
Girona;Diciembre;3,12
Madrid;Enero;3,88
Madrid;Febrero;3,44
Madrid;Marzo;3,36
Madrid;Abril;3,33
Madrid;Mayo;3,29
Madrid;Junio;3,04
Madrid;Julio;3,61
Madrid;Agosto;3,40
Madrid;Septiembre;3,40
Madrid;Octubre;3,52
Madrid;Noviembre;3,52
Madrid;Diciembre;3,59
Málaga;Enero;5,36
Málaga;Febrero;5,47
Málaga;Marzo;5,31
Málaga;Abril;4,61
Málaga;Mayo;4,87
Málaga;Junio;5,02
Málaga;Julio;5,59
Málaga;Agosto;6,00
Málaga;Septiembre;5,07
Málaga;Octubre;5,23
Málaga;Noviembre;5,48
Málaga;Diciembre;4,53
Sevilla;Enero;2,30
Sevilla;Febrero;2,47
Sevilla;Marzo;2,62
Sevilla;Abril;2,53
Sevilla;Mayo;2,41
Sevilla;Junio;2,35
Sevilla;Julio;2,41
Sevilla;Agosto;2,45
Sevilla;Septiembre;2,25
Sevilla;Octubre;2,30
Sevilla;Noviembre;2,45
Sevilla;Diciembre;2,38
Valencia/Valéncia;Enero;4,31
Valencia/Valéncia;Febrero;4,10
Valencia/Valéncia;Marzo;3,96
Valencia/Valéncia;Abril;4,00
Valencia/Valéncia;Mayo;3,93
Valencia/Valéncia;Junio;5,32
Valencia/Valéncia;Julio;7,94
Valencia/Valéncia;Agosto;9,16
Valencia/Valéncia;Septiembre;5,63
Valencia/Valéncia;Octubre;4,37
Valencia/Valéncia;Noviembre;3,65
Valencia/Valéncia;Diciembre;3,68
