Provincias;País de residencia;Meses;Total
07 Balears, Illes;Residentes en España;Enero;26.331
07 Balears, Illes;Residentes en España;Febrero;57.578
07 Balears, Illes;Residentes en España;Marzo;26.387
07 Balears, Illes;Residentes en España;Abril;0
07 Balears, Illes;Residentes en España;Mayo;1.878
07 Balears, Illes;Residentes en España;Junio;17.945
07 Balears, Illes;Residentes en España;Julio;105.212
07 Balears, Illes;Residentes en España;Agosto;209.986
07 Balears, Illes;Residentes en España;Septiembre;103.005
07 Balears, Illes;Residentes en España;Octubre;38.554
07 Balears, Illes;Residentes en España;Noviembre;16.747
07 Balears, Illes;Residentes en España;Diciembre;12.958
07 Balears, Illes;Alemania;Enero;20.731
07 Balears, Illes;Alemania;Febrero;50.301
07 Balears, Illes;Alemania;Marzo;34.011
07 Balears, Illes;Alemania;Abril;0
07 Balears, Illes;Alemania;Mayo;..
07 Balears, Illes;Alemania;Junio;..
07 Balears, Illes;Alemania;Julio;102.959
07 Balears, Illes;Alemania;Agosto;64.120
07 Balears, Illes;Alemania;Septiembre;6.510
07 Balears, Illes;Alemania;Octubre;3.765
07 Balears, Illes;Alemania;Noviembre;1.220
07 Balears, Illes;Alemania;Diciembre;1.885
07 Balears, Illes;Austria;Enero;709
07 Balears, Illes;Austria;Febrero;1.911
07 Balears, Illes;Austria;Marzo;1.311
07 Balears, Illes;Austria;Abril;0
07 Balears, Illes;Austria;Mayo;..
07 Balears, Illes;Austria;Junio;..
07 Balears, Illes;Austria;Julio;1.895
07 Balears, Illes;Austria;Agosto;2.751
07 Balears, Illes;Austria;Septiembre;361
07 Balears, Illes;Austria;Octubre;292
07 Balears, Illes;Austria;Noviembre;139
07 Balears, Illes;Austria;Diciembre;162
07 Balears, Illes;Bélgica;Enero;773
07 Balears, Illes;Bélgica;Febrero;635
07 Balears, Illes;Bélgica;Marzo;376
07 Balears, Illes;Bélgica;Abril;0
07 Balears, Illes;Bélgica;Mayo;..
07 Balears, Illes;Bélgica;Junio;..
07 Balears, Illes;Bélgica;Julio;8.513
07 Balears, Illes;Bélgica;Agosto;6.501
07 Balears, Illes;Bélgica;Septiembre;368
07 Balears, Illes;Bélgica;Octubre;242
07 Balears, Illes;Bélgica;Noviembre;170
07 Balears, Illes;Bélgica;Diciembre;87
07 Balears, Illes;Dinamarca;Enero;216
07 Balears, Illes;Dinamarca;Febrero;542
07 Balears, Illes;Dinamarca;Marzo;325
07 Balears, Illes;Dinamarca;Abril;0
