Provincias;Meses;Total
Balears, Illes;Enero;10,20
Balears, Illes;Febrero;6,89
Balears, Illes;Marzo;5,06
Balears, Illes;Abril;5,95
Balears, Illes;Mayo;5,82
Balears, Illes;Junio;6,45
Balears, Illes;Julio;7,21
Balears, Illes;Agosto;7,12
Balears, Illes;Septiembre;6,92
Balears, Illes;Octubre;7,46
Balears, Illes;Noviembre;8,25
Balears, Illes;Diciembre;7,02
Barcelona;Enero;6,11
Barcelona;Febrero;6,40
Barcelona;Marzo;5,54
Barcelona;Abril;5,16
Barcelona;Mayo;5,14
Barcelona;Junio;5,15
Barcelona;Julio;4,13
Barcelona;Agosto;4,74
Barcelona;Septiembre;4,92
Barcelona;Octubre;5,39
Barcelona;Noviembre;6,66
Barcelona;Diciembre;6,33
Girona;Enero;3,47
Girona;Febrero;3,43
Girona;Marzo;3,19
Girona;Abril;3,70
Girona;Mayo;4,48
Girona;Junio;5,85
Girona;Julio;7,04
Girona;Agosto;9,50
Girona;Septiembre;7,75
Girona;Octubre;4,14
Girona;Noviembre;2,54
Girona;Diciembre;2,57
Madrid;Enero;4,11
Madrid;Febrero;3,89
Madrid;Marzo;3,60
Madrid;Abril;3,73
Madrid;Mayo;3,54
Madrid;Junio;3,39
Madrid;Julio;3,72
Madrid;Agosto;3,73
Madrid;Septiembre;3,48
Madrid;Octubre;3,52
Madrid;Noviembre;3,72
Madrid;Diciembre;3,61
Málaga;Enero;5,57
Málaga;Febrero;5,91
Málaga;Marzo;5,80
Málaga;Abril;5,28
Málaga;Mayo;5,26
Málaga;Junio;5,71
Málaga;Julio;5,98
Málaga;Agosto;6,53
Málaga;Septiembre;5,64
Málaga;Octubre;5,78
Málaga;Noviembre;5,85
Málaga;Diciembre;4,73
Sevilla;Enero;2,75
Sevilla;Febrero;2,49
Sevilla;Marzo;2,80
Sevilla;Abril;2,52
Sevilla;Mayo;2,46
Sevilla;Junio;2,37
Sevilla;Julio;2,45
Sevilla;Agosto;2,70
Sevilla;Septiembre;2,55
Sevilla;Octubre;2,59
Sevilla;Noviembre;2,41
Sevilla;Diciembre;2,57
Valencia/Valéncia;Enero;4,18
Valencia/Valéncia;Febrero;4,42
Valencia/Valéncia;Marzo;3,91
Valencia/Valéncia;Abril;3,46
Valencia/Valéncia;Mayo;3,85
Valencia/Valéncia;Junio;6,50
Valencia/Valéncia;Julio;8,68
Valencia/Valéncia;Agosto;9,90
Valencia/Valéncia;Septiembre;5,67
Valencia/Valéncia;Octubre;4,48
Valencia/Valéncia;Noviembre;3,97
Valencia/Valéncia;Diciembre;3,76
