Provincias;Residencia;Meses;Total
29 Málaga;Residentes en España;Agosto;3,47
29 Málaga;Residentes en España;Septiembre;2,89
29 Málaga;Residentes en España;Octubre;2,44
29 Málaga;Residentes en España;Noviembre;2,06
29 Málaga;Residentes en España;Diciembre;2,03
29 Málaga;No residentes en España;Enero;2,64
29 Málaga;No residentes en España;Febrero;2,61
29 Málaga;No residentes en España;Marzo;2,60
29 Málaga;No residentes en España;Abril;2,77
29 Málaga;No residentes en España;Mayo;2,95
29 Málaga;No residentes en España;Junio;3,37
29 Málaga;No residentes en España;Julio;3,90
29 Málaga;No residentes en España;Agosto;4,40
29 Málaga;No residentes en España;Septiembre;4,36
29 Málaga;No residentes en España;Octubre;4,19
29 Málaga;No residentes en España;Noviembre;3,75
29 Málaga;No residentes en España;Diciembre;3,27
41 Sevilla;Residentes en España;Enero;1,65
41 Sevilla;Residentes en España;Febrero;1,54
41 Sevilla;Residentes en España;Marzo;1,51
41 Sevilla;Residentes en España;Abril;1,47
41 Sevilla;Residentes en España;Mayo;1,61
41 Sevilla;Residentes en España;Junio;1,77
41 Sevilla;Residentes en España;Julio;1,66
41 Sevilla;Residentes en España;Agosto;1,91
41 Sevilla;Residentes en España;Septiembre;1,84
41 Sevilla;Residentes en España;Octubre;1,91
41 Sevilla;Residentes en España;Noviembre;1,79
41 Sevilla;Residentes en España;Diciembre;1,95
41 Sevilla;No residentes en España;Enero;2,14
41 Sevilla;No residentes en España;Febrero;2,46
41 Sevilla;No residentes en España;Marzo;2,27
41 Sevilla;No residentes en España;Abril;2,02
41 Sevilla;No residentes en España;Mayo;2,11
41 Sevilla;No residentes en España;Junio;2,11
41 Sevilla;No residentes en España;Julio;2,14
41 Sevilla;No residentes en España;Agosto;2,27
41 Sevilla;No residentes en España;Septiembre;2,28
41 Sevilla;No residentes en España;Octubre;2,33
41 Sevilla;No residentes en España;Noviembre;2,35
41 Sevilla;No residentes en España;Diciembre;2,29
46 Valencia/València;Residentes en España;Enero;1,76
46 Valencia/València;Residentes en España;Febrero;1,66
46 Valencia/València;Residentes en España;Marzo;1,62
46 Valencia/València;Residentes en España;Abril;1,68
46 Valencia/València;Residentes en España;Mayo;1,73
46 Valencia/València;Residentes en España;Junio;2,14
46 Valencia/València;Residentes en España;Julio;2,43
46 Valencia/València;Residentes en España;Agosto;2,65
46 Valencia/València;Residentes en España;Septiembre;2,35
46 Valencia/València;Residentes en España;Octubre;1,97
46 Valencia/València;Residentes en España;Noviembre;1,90
46 Valencia/València;Residentes en España;Diciembre;1,84
46 Valencia/València;No residentes en España;Enero;2,30
46 Valencia/València;No residentes en España;Febrero;2,24
46 Valencia/València;No residentes en España;Marzo;2,12
46 Valencia/València;No residentes en España;Abril;2,27
46 Valencia/València;No residentes en España;Mayo;2,21
46 Valencia/València;No residentes en España;Junio;2,45
46 Valencia/València;No residentes en España;Julio;2,52
46 Valencia/València;No residentes en España;Agosto;2,79
46 Valencia/València;No residentes en España;Septiembre;2,65
46 Valencia/València;No residentes en España;Octubre;2,66
46 Valencia/València;No residentes en España;Noviembre;2,57
46 Valencia/València;No residentes en España;Diciembre;2,42
