Provincias;Residencia;Meses;Total
Balears, Illes;Residentes en España;Enero;2,38
Balears, Illes;Residentes en España;Febrero;3,06
Balears, Illes;Residentes en España;Marzo;4,21
Balears, Illes;Residentes en España;Abril;3,82
Balears, Illes;Residentes en España;Mayo;3,46
Balears, Illes;Residentes en España;Junio;3,94
Balears, Illes;Residentes en España;Julio;4,24
Balears, Illes;Residentes en España;Agosto;4,53
Balears, Illes;Residentes en España;Septiembre;4,08
Balears, Illes;Residentes en España;Octubre;3,06
Balears, Illes;Residentes en España;Noviembre;3,35
Balears, Illes;Residentes en España;Diciembre;2,74
Balears, Illes;No residentes en España;Enero;5,21
Balears, Illes;No residentes en España;Febrero;4,72
Balears, Illes;No residentes en España;Marzo;5,23
Balears, Illes;No residentes en España;Abril;5,48
Balears, Illes;No residentes en España;Mayo;5,82
Balears, Illes;No residentes en España;Junio;6,30
Balears, Illes;No residentes en España;Julio;6,20
Balears, Illes;No residentes en España;Agosto;6,48
Balears, Illes;No residentes en España;Septiembre;6,15
Balears, Illes;No residentes en España;Octubre;6,59
Balears, Illes;No residentes en España;Noviembre;4,18
Balears, Illes;No residentes en España;Diciembre;4,00
Barcelona;Residentes en España;Enero;1,81
Barcelona;Residentes en España;Febrero;1,78
Barcelona;Residentes en España;Marzo;2,03
Barcelona;Residentes en España;Abril;2,17
Barcelona;Residentes en España;Mayo;2,02
Barcelona;Residentes en España;Junio;2,02
Barcelona;Residentes en España;Julio;2,12
Barcelona;Residentes en España;Agosto;2,60
Barcelona;Residentes en España;Septiembre;1,97
Barcelona;Residentes en España;Octubre;1,98
Barcelona;Residentes en España;Noviembre;1,75
Barcelona;Residentes en España;Diciembre;1,72
Barcelona;No residentes en España;Enero;2,59
Barcelona;No residentes en España;Febrero;2,62
Barcelona;No residentes en España;Marzo;2,66
Barcelona;No residentes en España;Abril;2,74
Barcelona;No residentes en España;Mayo;2,84
Barcelona;No residentes en España;Junio;3,10
Barcelona;No residentes en España;Julio;3,26
Barcelona;No residentes en España;Agosto;3,47
Barcelona;No residentes en España;Septiembre;3,12
Barcelona;No residentes en España;Octubre;2,84
Barcelona;No residentes en España;Noviembre;2,50
Barcelona;No residentes en España;Diciembre;2,48
Girona;Residentes en España;Enero;1,82
Girona;Residentes en España;Febrero;1,70
Girona;Residentes en España;Marzo;1,94
Girona;Residentes en España;Abril;2,55
Girona;Residentes en España;Mayo;2,30
Girona;Residentes en España;Junio;2,09
Girona;Residentes en España;Julio;2,80
Girona;Residentes en España;Agosto;3,25
Girona;Residentes en España;Septiembre;2,45
Girona;Residentes en España;Octubre;2,06
Girona;Residentes en España;Noviembre;1,87
Girona;Residentes en España;Diciembre;1,86
Girona;No residentes en España;Enero;1,82
Girona;No residentes en España;Febrero;2,31
Girona;No residentes en España;Marzo;2,38
Girona;No residentes en España;Abril;3,08
Girona;No residentes en España;Mayo;3,33
Girona;No residentes en España;Junio;4,31
Girona;No residentes en España;Julio;4,73
Girona;No residentes en España;Agosto;4,82
Girona;No residentes en España;Septiembre;4,23
Girona;No residentes en España;Octubre;3,63
Girona;No residentes en España;Noviembre;2,56
Girona;No residentes en España;Diciembre;1,92
Madrid;Residentes en España;Enero;1,76
Madrid;Residentes en España;Febrero;1,68
Madrid;Residentes en España;Marzo;1,67
Madrid;Residentes en España;Abril;1,76
Madrid;Residentes en España;Mayo;1,66
Madrid;Residentes en España;Junio;1,67
Madrid;Residentes en España;Julio;1,66
Madrid;Residentes en España;Agosto;1,76
Madrid;Residentes en España;Septiembre;1,68
Madrid;Residentes en España;Octubre;1,73
Madrid;Residentes en España;Noviembre;1,72
Madrid;Residentes en España;Diciembre;1,77
Madrid;No residentes en España;Enero;2,31
Madrid;No residentes en España;Febrero;2,21
Madrid;No residentes en España;Marzo;2,22
Madrid;No residentes en España;Abril;2,31
Madrid;No residentes en España;Mayo;2,27
Madrid;No residentes en España;Junio;2,36
Madrid;No residentes en España;Julio;2,31
Madrid;No residentes en España;Agosto;2,35
Madrid;No residentes en España;Septiembre;2,27
Madrid;No residentes en España;Octubre;2,23
Madrid;No residentes en España;Noviembre;2,34
Madrid;No residentes en España;Diciembre;2,42
Málaga;Residentes en España;Enero;2,20
Málaga;Residentes en España;Febrero;2,26
Málaga;Residentes en España;Marzo;2,65
Málaga;Residentes en España;Abril;2,70
Málaga;Residentes en España;Mayo;2,27
Málaga;Residentes en España;Junio;2,31
Málaga;Residentes en España;Julio;3,04
Málaga;Residentes en España;Agosto;3,38
Málaga;Residentes en España;Septiembre;2,61
Málaga;Residentes en España;Octubre;2,32
Málaga;Residentes en España;Noviembre;2,18
Málaga;Residentes en España;Diciembre;2,29
Málaga;No residentes en España;Enero;4,06
Málaga;No residentes en España;Febrero;4,05
Málaga;No residentes en España;Marzo;4,08
Málaga;No residentes en España;Abril;3,88
Málaga;No residentes en España;Mayo;4,03
Málaga;No residentes en España;Junio;4,48
Málaga;No residentes en España;Julio;4,81
Málaga;No residentes en España;Agosto;4,80
Málaga;No residentes en España;Septiembre;4,33
Málaga;No residentes en España;Octubre;4,39
Málaga;No residentes en España;Noviembre;4,16
Málaga;No residentes en España;Diciembre;3,49
Sevilla;Residentes en España;Enero;1,69
Sevilla;Residentes en España;Febrero;1,69
Sevilla;Residentes en España;Marzo;1,76
Sevilla;Residentes en España;Abril;1,98
Sevilla;Residentes en España;Mayo;1,88
Sevilla;Residentes en España;Junio;1,60
Sevilla;Residentes en España;Julio;1,86
Sevilla;Residentes en España;Agosto;1,81
Sevilla;Residentes en España;Septiembre;1,72
Sevilla;Residentes en España;Octubre;1,84
Sevilla;Residentes en España;Noviembre;1,77
Sevilla;Residentes en España;Diciembre;1,94
Sevilla;No residentes en España;Enero;1,94
Sevilla;No residentes en España;Febrero;1,98
Sevilla;No residentes en España;Marzo;2,02
Sevilla;No residentes en España;Abril;2,07
Sevilla;No residentes en España;Mayo;1,99
Sevilla;No residentes en España;Junio;1,91
Sevilla;No residentes en España;Julio;1,96
Sevilla;No residentes en España;Agosto;2,04
Sevilla;No residentes en España;Septiembre;2,07
Sevilla;No residentes en España;Octubre;2,03
Sevilla;No residentes en España;Noviembre;2,12
Sevilla;No residentes en España;Diciembre;2,07
Valencia/València;Residentes en España;Enero;1,75
Valencia/València;Residentes en España;Febrero;1,73
Valencia/València;Residentes en España;Marzo;2,09
Valencia/València;Residentes en España;Abril;2,28
Valencia/València;Residentes en España;Mayo;2,05
Valencia/València;Residentes en España;Junio;2,37
Valencia/València;Residentes en España;Julio;2,68
Valencia/València;Residentes en España;Agosto;2,84
Valencia/València;Residentes en España;Septiembre;2,53
Valencia/València;Residentes en España;Octubre;2,02
Valencia/València;Residentes en España;Noviembre;1,87
Valencia/València;Residentes en España;Diciembre;1,92
Valencia/València;No residentes en España;Enero;2,22
Valencia/València;No residentes en España;Febrero;2,31
Valencia/València;No residentes en España;Marzo;2,38
Valencia/València;No residentes en España;Abril;2,50
Valencia/València;No residentes en España;Mayo;2,34
Valencia/València;No residentes en España;Junio;2,38
Valencia/València;No residentes en España;Julio;2,62
Valencia/València;No residentes en España;Agosto;2,63
Valencia/València;No residentes en España;Septiembre;2,59
Valencia/València;No residentes en España;Octubre;2,35
Valencia/València;No residentes en España;Noviembre;2,43
Valencia/València;No residentes en España;Diciembre;2,18
