Provincias;País de residencia;Meses;Total
Balears, Illes;Residentes en España;Enero;24.905
Balears, Illes;Residentes en España;Febrero;44.401
Balears, Illes;Residentes en España;Marzo;81.822
Balears, Illes;Residentes en España;Abril;98.946
Balears, Illes;Residentes en España;Mayo;113.396
Balears, Illes;Residentes en España;Junio;163.743
Balears, Illes;Residentes en España;Julio;173.446
Balears, Illes;Residentes en España;Agosto;173.893
Balears, Illes;Residentes en España;Septiembre;132.777
Balears, Illes;Residentes en España;Octubre;128.255
Balears, Illes;Residentes en España;Noviembre;38.552
Balears, Illes;Residentes en España;Diciembre;26.521
Balears, Illes;Alemania;Enero;16.046
Balears, Illes;Alemania;Febrero;51.014
Balears, Illes;Alemania;Marzo;121.177
Balears, Illes;Alemania;Abril;195.564
Balears, Illes;Alemania;Mayo;462.720
Balears, Illes;Alemania;Junio;495.407
Balears, Illes;Alemania;Julio;468.582
Balears, Illes;Alemania;Agosto;512.273
Balears, Illes;Alemania;Septiembre;508.362
Balears, Illes;Alemania;Octubre;380.854
Balears, Illes;Alemania;Noviembre;31.216
Balears, Illes;Alemania;Diciembre;24.204
Balears, Illes;Austria;Enero;748
Balears, Illes;Austria;Febrero;1.939
Balears, Illes;Austria;Marzo;4.890
Balears, Illes;Austria;Abril;6.987
Balears, Illes;Austria;Mayo;14.066
Balears, Illes;Austria;Junio;20.957
Balears, Illes;Austria;Julio;24.283
Balears, Illes;Austria;Agosto;22.032
Balears, Illes;Austria;Septiembre;18.568
Balears, Illes;Austria;Octubre;11.468
Balears, Illes;Austria;Noviembre;1.159
Balears, Illes;Austria;Diciembre;1.346
Balears, Illes;Bélgica;Enero;382
Balears, Illes;Bélgica;Febrero;1.289
Balears, Illes;Bélgica;Marzo;2.899
Balears, Illes;Bélgica;Abril;7.052
Balears, Illes;Bélgica;Mayo;17.365
Balears, Illes;Bélgica;Junio;14.025
Balears, Illes;Bélgica;Julio;26.624
Balears, Illes;Bélgica;Agosto;19.851
Balears, Illes;Bélgica;Septiembre;18.862
Balears, Illes;Bélgica;Octubre;9.008
Balears, Illes;Bélgica;Noviembre;755
Balears, Illes;Bélgica;Diciembre;358
Balears, Illes;Dinamarca;Enero;210
Balears, Illes;Dinamarca;Febrero;764
Balears, Illes;Dinamarca;Marzo;3.244
Balears, Illes;Dinamarca;Abril;7.077
Balears, Illes;Dinamarca;Mayo;12.074
Balears, Illes;Dinamarca;Junio;16.149
Balears, Illes;Dinamarca;Julio;32.418
Balears, Illes;Dinamarca;Agosto;20.297
Balears, Illes;Dinamarca;Septiembre;15.015
Balears, Illes;Dinamarca;Octubre;12.148
Balears, Illes;Dinamarca;Noviembre;503
Balears, Illes;Dinamarca;Diciembre;510
Balears, Illes;Finlandia;Enero;61
Balears, Illes;Finlandia;Febrero;84
Balears, Illes;Finlandia;Marzo;340
Balears, Illes;Finlandia;Abril;2.391
Balears, Illes;Finlandia;Mayo;2.741
Balears, Illes;Finlandia;Junio;3.732
Balears, Illes;Finlandia;Julio;4.013
Balears, Illes;Finlandia;Agosto;3.941
Balears, Illes;Finlandia;Septiembre;3.095
Balears, Illes;Finlandia;Octubre;2.836
Balears, Illes;Finlandia;Noviembre;642
Balears, Illes;Finlandia;Diciembre;466
Balears, Illes;Francia;Enero;1.150
Balears, Illes;Francia;Febrero;1.651
Balears, Illes;Francia;Marzo;3.276
Balears, Illes;Francia;Abril;29.840
Balears, Illes;Francia;Mayo;52.450
