Provincias;País de residencia;Meses;Total
Balears, Illes;Residentes en España;Enero;23.268
Balears, Illes;Residentes en España;Febrero;54.662
Balears, Illes;Residentes en España;Marzo;81.237
Balears, Illes;Residentes en España;Abril;107.073
Balears, Illes;Residentes en España;Mayo;143.630
Balears, Illes;Residentes en España;Junio;178.385
Balears, Illes;Residentes en España;Julio;190.036
Balears, Illes;Residentes en España;Agosto;201.011
Balears, Illes;Residentes en España;Septiembre;151.182
Balears, Illes;Residentes en España;Octubre;134.237
Balears, Illes;Residentes en España;Noviembre;46.724
Balears, Illes;Residentes en España;Diciembre;33.277
Balears, Illes;Alemania;Enero;18.695
Balears, Illes;Alemania;Febrero;48.009
Balears, Illes;Alemania;Marzo;95.169
Balears, Illes;Alemania;Abril;221.918
Balears, Illes;Alemania;Mayo;449.468
Balears, Illes;Alemania;Junio;499.418
Balears, Illes;Alemania;Julio;505.990
Balears, Illes;Alemania;Agosto;477.750
Balears, Illes;Alemania;Septiembre;497.493
Balears, Illes;Alemania;Octubre;399.006
Balears, Illes;Alemania;Noviembre;29.960
Balears, Illes;Alemania;Diciembre;16.739
Balears, Illes;Austria;Enero;625
Balears, Illes;Austria;Febrero;1.856
Balears, Illes;Austria;Marzo;3.149
Balears, Illes;Austria;Abril;8.057
Balears, Illes;Austria;Mayo;17.683
Balears, Illes;Austria;Junio;17.405
Balears, Illes;Austria;Julio;26.648
Balears, Illes;Austria;Agosto;20.941
Balears, Illes;Austria;Septiembre;20.386
Balears, Illes;Austria;Octubre;11.938
Balears, Illes;Austria;Noviembre;1.743
Balears, Illes;Austria;Diciembre;628
Balears, Illes;Bélgica;Enero;594
Balears, Illes;Bélgica;Febrero;651
Balears, Illes;Bélgica;Marzo;1.571
Balears, Illes;Bélgica;Abril;7.024
Balears, Illes;Bélgica;Mayo;16.357
Balears, Illes;Bélgica;Junio;14.036
Balears, Illes;Bélgica;Julio;28.182
Balears, Illes;Bélgica;Agosto;22.663
Balears, Illes;Bélgica;Septiembre;18.983
Balears, Illes;Bélgica;Octubre;8.782
Balears, Illes;Bélgica;Noviembre;1.589
Balears, Illes;Bélgica;Diciembre;358
Balears, Illes;Dinamarca;Enero;370
Balears, Illes;Dinamarca;Febrero;1.310
