Provincias;Residencia;Meses;Total
07 Balears, Illes;Residentes en España;Enero;2,38
07 Balears, Illes;Residentes en España;Febrero;3,01
07 Balears, Illes;Residentes en España;Marzo;3,71
07 Balears, Illes;Residentes en España;Abril;3,96
07 Balears, Illes;Residentes en España;Mayo;3,40
07 Balears, Illes;Residentes en España;Junio;3,59
07 Balears, Illes;Residentes en España;Julio;4,25
07 Balears, Illes;Residentes en España;Agosto;4,58
07 Balears, Illes;Residentes en España;Septiembre;3,71
07 Balears, Illes;Residentes en España;Octubre;2,97
07 Balears, Illes;Residentes en España;Noviembre;2,84
07 Balears, Illes;Residentes en España;Diciembre;2,12
07 Balears, Illes;No residentes en España;Enero;4,17
07 Balears, Illes;No residentes en España;Febrero;4,74
07 Balears, Illes;No residentes en España;Marzo;5,32
07 Balears, Illes;No residentes en España;Abril;5,35
07 Balears, Illes;No residentes en España;Mayo;5,59
07 Balears, Illes;No residentes en España;Junio;5,92
07 Balears, Illes;No residentes en España;Julio;6,31
07 Balears, Illes;No residentes en España;Agosto;6,57
07 Balears, Illes;No residentes en España;Septiembre;6,09
07 Balears, Illes;No residentes en España;Octubre;6,41
07 Balears, Illes;No residentes en España;Noviembre;4,38
07 Balears, Illes;No residentes en España;Diciembre;3,64
08 Barcelona;Residentes en España;Enero;1,74
08 Barcelona;Residentes en España;Febrero;1,65
08 Barcelona;Residentes en España;Marzo;1,87
08 Barcelona;Residentes en España;Abril;2,04
08 Barcelona;Residentes en España;Mayo;1,98
08 Barcelona;Residentes en España;Junio;1,84
08 Barcelona;Residentes en España;Julio;2,07
08 Barcelona;Residentes en España;Agosto;2,39
08 Barcelona;Residentes en España;Septiembre;1,83
08 Barcelona;Residentes en España;Octubre;1,84
08 Barcelona;Residentes en España;Noviembre;1,72
08 Barcelona;Residentes en España;Diciembre;1,78
08 Barcelona;No residentes en España;Enero;2,58
08 Barcelona;No residentes en España;Febrero;2,59
08 Barcelona;No residentes en España;Marzo;2,58
08 Barcelona;No residentes en España;Abril;2,64
08 Barcelona;No residentes en España;Mayo;2,86
08 Barcelona;No residentes en España;Junio;2,95
08 Barcelona;No residentes en España;Julio;3,19
08 Barcelona;No residentes en España;Agosto;3,35
08 Barcelona;No residentes en España;Septiembre;3,12
08 Barcelona;No residentes en España;Octubre;2,78
08 Barcelona;No residentes en España;Noviembre;2,51
08 Barcelona;No residentes en España;Diciembre;2,56
17 Girona;Residentes en España;Enero;1,77
17 Girona;Residentes en España;Febrero;1,81
17 Girona;Residentes en España;Marzo;2,08
17 Girona;Residentes en España;Abril;2,39
17 Girona;Residentes en España;Mayo;2,33
17 Girona;Residentes en España;Junio;1,92
17 Girona;Residentes en España;Julio;2,48
17 Girona;Residentes en España;Agosto;3,07
17 Girona;Residentes en España;Septiembre;2,26
17 Girona;Residentes en España;Octubre;1,92
17 Girona;Residentes en España;Noviembre;1,89
17 Girona;Residentes en España;Diciembre;1,86
17 Girona;No residentes en España;Enero;1,82
17 Girona;No residentes en España;Febrero;2,30
17 Girona;No residentes en España;Marzo;2,73
17 Girona;No residentes en España;Abril;3,08
17 Girona;No residentes en España;Mayo;3,27
17 Girona;No residentes en España;Junio;3,80
17 Girona;No residentes en España;Julio;4,73
17 Girona;No residentes en España;Agosto;4,58
17 Girona;No residentes en España;Septiembre;4,04
17 Girona;No residentes en España;Octubre;3,55
17 Girona;No residentes en España;Noviembre;2,53
17 Girona;No residentes en España;Diciembre;1,95
28 Madrid;Residentes en España;Enero;1,74
28 Madrid;Residentes en España;Febrero;1,68
28 Madrid;Residentes en España;Marzo;1,69
28 Madrid;Residentes en España;Abril;1,68
28 Madrid;Residentes en España;Mayo;1,67
28 Madrid;Residentes en España;Junio;1,68
28 Madrid;Residentes en España;Julio;1,67
28 Madrid;Residentes en España;Agosto;1,78
28 Madrid;Residentes en España;Septiembre;1,69
28 Madrid;Residentes en España;Octubre;1,69
28 Madrid;Residentes en España;Noviembre;1,72
28 Madrid;Residentes en España;Diciembre;1,79
28 Madrid;No residentes en España;Enero;2,43
28 Madrid;No residentes en España;Febrero;2,23
28 Madrid;No residentes en España;Marzo;2,25
28 Madrid;No residentes en España;Abril;2,31
28 Madrid;No residentes en España;Mayo;2,32
28 Madrid;No residentes en España;Junio;2,22
28 Madrid;No residentes en España;Julio;2,19
28 Madrid;No residentes en España;Agosto;2,25
28 Madrid;No residentes en España;Septiembre;2,24
28 Madrid;No residentes en España;Octubre;2,24
28 Madrid;No residentes en España;Noviembre;2,30
28 Madrid;No residentes en España;Diciembre;2,36
29 Málaga;Residentes en España;Enero;2,25
29 Málaga;Residentes en España;Febrero;2,11
29 Málaga;Residentes en España;Marzo;2,54
29 Málaga;Residentes en España;Abril;2,57
29 Málaga;Residentes en España;Mayo;2,26
29 Málaga;Residentes en España;Junio;2,36
29 Málaga;Residentes en España;Julio;3,17
29 Málaga;Residentes en España;Agosto;3,53
29 Málaga;Residentes en España;Septiembre;2,66
29 Málaga;Residentes en España;Octubre;2,39
