Provincias;País de residencia;Meses;Total
07 Balears, Illes;Residentes en España;Enero;26.306
07 Balears, Illes;Residentes en España;Febrero;51.587
07 Balears, Illes;Residentes en España;Marzo;73.394
07 Balears, Illes;Residentes en España;Abril;112.304
07 Balears, Illes;Residentes en España;Mayo;168.744
07 Balears, Illes;Residentes en España;Junio;187.072
07 Balears, Illes;Residentes en España;Julio;198.977
07 Balears, Illes;Residentes en España;Agosto;218.030
07 Balears, Illes;Residentes en España;Septiembre;167.143
07 Balears, Illes;Residentes en España;Octubre;119.164
07 Balears, Illes;Residentes en España;Noviembre;45.381
07 Balears, Illes;Residentes en España;Diciembre;28.477
07 Balears, Illes;Alemania;Enero;14.958
07 Balears, Illes;Alemania;Febrero;49.023
07 Balears, Illes;Alemania;Marzo;102.904
07 Balears, Illes;Alemania;Abril;217.122
07 Balears, Illes;Alemania;Mayo;378.774
07 Balears, Illes;Alemania;Junio;433.684
07 Balears, Illes;Alemania;Julio;415.227
07 Balears, Illes;Alemania;Agosto;417.281
07 Balears, Illes;Alemania;Septiembre;438.979
07 Balears, Illes;Alemania;Octubre;335.492
07 Balears, Illes;Alemania;Noviembre;36.169
07 Balears, Illes;Alemania;Diciembre;31.172
07 Balears, Illes;Austria;Enero;804
07 Balears, Illes;Austria;Febrero;1.870
07 Balears, Illes;Austria;Marzo;4.722
07 Balears, Illes;Austria;Abril;11.654
07 Balears, Illes;Austria;Mayo;16.879
07 Balears, Illes;Austria;Junio;22.157
07 Balears, Illes;Austria;Julio;23.838
07 Balears, Illes;Austria;Agosto;24.648
07 Balears, Illes;Austria;Septiembre;19.365
07 Balears, Illes;Austria;Octubre;11.554
07 Balears, Illes;Austria;Noviembre;1.590
07 Balears, Illes;Austria;Diciembre;1.625
07 Balears, Illes;Bélgica;Enero;318
07 Balears, Illes;Bélgica;Febrero;698
07 Balears, Illes;Bélgica;Marzo;1.722
07 Balears, Illes;Bélgica;Abril;8.936
07 Balears, Illes;Bélgica;Mayo;18.129
07 Balears, Illes;Bélgica;Junio;18.195
07 Balears, Illes;Bélgica;Julio;22.692
07 Balears, Illes;Bélgica;Agosto;18.231
07 Balears, Illes;Bélgica;Septiembre;17.675
07 Balears, Illes;Bélgica;Octubre;8.728
07 Balears, Illes;Bélgica;Noviembre;627
07 Balears, Illes;Bélgica;Diciembre;459
07 Balears, Illes;Dinamarca;Enero;277
07 Balears, Illes;Dinamarca;Febrero;817
07 Balears, Illes;Dinamarca;Marzo;1.388
07 Balears, Illes;Dinamarca;Abril;8.932
07 Balears, Illes;Dinamarca;Mayo;19.934
07 Balears, Illes;Dinamarca;Junio;18.935
07 Balears, Illes;Dinamarca;Julio;35.677
07 Balears, Illes;Dinamarca;Agosto;20.199
07 Balears, Illes;Dinamarca;Septiembre;17.408
07 Balears, Illes;Dinamarca;Octubre;13.024
07 Balears, Illes;Dinamarca;Noviembre;271
07 Balears, Illes;Dinamarca;Diciembre;326
07 Balears, Illes;Finlandia;Enero;216
07 Balears, Illes;Finlandia;Febrero;381
