Provincias;Residencia;Meses;Total
01 Araba/Álava;Residentes en España;Septiembre;1,97
01 Araba/Álava;Residentes en España;Octubre;1,95
01 Araba/Álava;Residentes en España;Noviembre;1,96
01 Araba/Álava;Residentes en España;Diciembre;2,01
01 Araba/Álava;No residentes en España;Total;1,78
01 Araba/Álava;No residentes en España;Enero;1,90
01 Araba/Álava;No residentes en España;Febrero;2,54
01 Araba/Álava;No residentes en España;Marzo;1,93
01 Araba/Álava;No residentes en España;Abril;2,10
01 Araba/Álava;No residentes en España;Mayo;1,75
01 Araba/Álava;No residentes en España;Junio;1,89
01 Araba/Álava;No residentes en España;Julio;1,60
01 Araba/Álava;No residentes en España;Agosto;1,45
01 Araba/Álava;No residentes en España;Septiembre;1,84
01 Araba/Álava;No residentes en España;Octubre;1,79
01 Araba/Álava;No residentes en España;Noviembre;2,09
01 Araba/Álava;No residentes en España;Diciembre;1,98
33 Asturias;Total;Total;2,20
33 Asturias;Total;Enero;2,09
33 Asturias;Total;Febrero;2,13
33 Asturias;Total;Marzo;2,04
33 Asturias;Total;Abril;2,01
33 Asturias;Total;Mayo;1,85
33 Asturias;Total;Junio;1,96
33 Asturias;Total;Julio;2,31
33 Asturias;Total;Agosto;2,58
33 Asturias;Total;Septiembre;2,15
33 Asturias;Total;Octubre;2,02
33 Asturias;Total;Noviembre;1,94
33 Asturias;Total;Diciembre;1,99
33 Asturias;Residentes en España;Total;2,21
33 Asturias;Residentes en España;Enero;2,07
33 Asturias;Residentes en España;Febrero;2,10
33 Asturias;Residentes en España;Marzo;1,98
33 Asturias;Residentes en España;Abril;1,91
33 Asturias;Residentes en España;Mayo;1,80
33 Asturias;Residentes en España;Junio;1,95
33 Asturias;Residentes en España;Julio;2,34
33 Asturias;Residentes en España;Agosto;2,62
33 Asturias;Residentes en España;Septiembre;2,18
33 Asturias;Residentes en España;Octubre;2,04
33 Asturias;Residentes en España;Noviembre;1,87
33 Asturias;Residentes en España;Diciembre;1,96
33 Asturias;No residentes en España;Total;2,11
33 Asturias;No residentes en España;Enero;2,31
33 Asturias;No residentes en España;Febrero;2,67
33 Asturias;No residentes en España;Marzo;2,79
33 Asturias;No residentes en España;Abril;3,61
33 Asturias;No residentes en España;Mayo;2,59
33 Asturias;No residentes en España;Junio;2,10
33 Asturias;No residentes en España;Julio;2,04
33 Asturias;No residentes en España;Agosto;2,08
33 Asturias;No residentes en España;Septiembre;1,95
33 Asturias;No residentes en España;Octubre;1,92
33 Asturias;No residentes en España;Noviembre;2,48
33 Asturias;No residentes en España;Diciembre;2,31
05 Ávila;Total;Total;1,67
05 Ávila;Total;Enero;1,67
05 Ávila;Total;Febrero;1,76
05 Ávila;Total;Marzo;1,73
05 Ávila;Total;Abril;1,62
05 Ávila;Total;Mayo;1,61
05 Ávila;Total;Junio;1,67
05 Ávila;Total;Julio;1,84
05 Ávila;Total;Agosto;1,71
05 Ávila;Total;Septiembre;1,59
05 Ávila;Total;Octubre;1,59
05 Ávila;Total;Noviembre;1,63
05 Ávila;Total;Diciembre;1,69
05 Ávila;Residentes en España;Total;1,64
05 Ávila;Residentes en España;Enero;1,67
05 Ávila;Residentes en España;Febrero;1,75
05 Ávila;Residentes en España;Marzo;1,71
05 Ávila;Residentes en España;Abril;1,56
05 Ávila;Residentes en España;Mayo;1,57
05 Ávila;Residentes en España;Junio;1,61
05 Ávila;Residentes en España;Julio;1,78
05 Ávila;Residentes en España;Agosto;1,70
05 Ávila;Residentes en España;Septiembre;1,58
05 Ávila;Residentes en España;Octubre;1,57
05 Ávila;Residentes en España;Noviembre;1,57
05 Ávila;Residentes en España;Diciembre;1,64
05 Ávila;No residentes en España;Total;2,12
05 Ávila;No residentes en España;Enero;1,68
05 Ávila;No residentes en España;Febrero;2,03
05 Ávila;No residentes en España;Marzo;2,33
05 Ávila;No residentes en España;Abril;3,41
05 Ávila;No residentes en España;Mayo;2,22
05 Ávila;No residentes en España;Junio;2,60
05 Ávila;No residentes en España;Julio;2,90
05 Ávila;No residentes en España;Agosto;1,91
05 Ávila;No residentes en España;Septiembre;1,75
05 Ávila;No residentes en España;Octubre;1,85
05 Ávila;No residentes en España;Noviembre;2,20
05 Ávila;No residentes en España;Diciembre;2,21
06 Badajoz;Total;Total;1,67
06 Badajoz;Total;Enero;1,68
06 Badajoz;Total;Febrero;1,77
06 Badajoz;Total;Marzo;1,72
06 Badajoz;Total;Abril;1,66
06 Badajoz;Total;Mayo;1,54
06 Badajoz;Total;Junio;1,54
06 Badajoz;Total;Julio;1,56
06 Badajoz;Total;Agosto;1,66
06 Badajoz;Total;Septiembre;1,77
06 Badajoz;Total;Octubre;1,80
06 Badajoz;Total;Noviembre;1,67
06 Badajoz;Total;Diciembre;1,76
06 Badajoz;Residentes en España;Total;1,69
06 Badajoz;Residentes en España;Enero;1,66
06 Badajoz;Residentes en España;Febrero;1,75
06 Badajoz;Residentes en España;Marzo;1,71
06 Badajoz;Residentes en España;Abril;1,65
06 Badajoz;Residentes en España;Mayo;1,53
06 Badajoz;Residentes en España;Junio;1,53
06 Badajoz;Residentes en España;Julio;1,57
06 Badajoz;Residentes en España;Agosto;1,66
06 Badajoz;Residentes en España;Septiembre;1,81
06 Badajoz;Residentes en España;Octubre;1,86
06 Badajoz;Residentes en España;Noviembre;1,68
06 Badajoz;Residentes en España;Diciembre;1,78
06 Badajoz;No residentes en España;Total;1,56
06 Badajoz;No residentes en España;Enero;1,87
06 Badajoz;No residentes en España;Febrero;2,15
06 Badajoz;No residentes en España;Marzo;1,83
06 Badajoz;No residentes en España;Abril;1,75
06 Badajoz;No residentes en España;Mayo;1,60
06 Badajoz;No residentes en España;Junio;1,55
06 Badajoz;No residentes en España;Julio;1,49
06 Badajoz;No residentes en España;Agosto;1,65
06 Badajoz;No residentes en España;Septiembre;1,47
06 Badajoz;No residentes en España;Octubre;1,45
06 Badajoz;No residentes en España;Noviembre;1,54
06 Badajoz;No residentes en España;Diciembre;1,56
07 Balears, Illes;Total;Total;5,08
07 Balears, Illes;Total;Enero;2,43
07 Balears, Illes;Total;Febrero;2,17
07 Balears, Illes;Total;Marzo;2,97
07 Balears, Illes;Total;Abril;3,72
07 Balears, Illes;Total;Mayo;4,13
07 Balears, Illes;Total;Junio;4,33
07 Balears, Illes;Total;Julio;5,39
07 Balears, Illes;Total;Agosto;5,51
07 Balears, Illes;Total;Septiembre;5,30
07 Balears, Illes;Total;Octubre;5,20
07 Balears, Illes;Total;Noviembre;3,61
07 Balears, Illes;Total;Diciembre;2,90
07 Balears, Illes;Residentes en España;Total;3,35
07 Balears, Illes;Residentes en España;Enero;1,95
07 Balears, Illes;Residentes en España;Febrero;1,94
07 Balears, Illes;Residentes en España;Marzo;2,17
07 Balears, Illes;Residentes en España;Abril;2,13
07 Balears, Illes;Residentes en España;Mayo;2,57
07 Balears, Illes;Residentes en España;Junio;2,95
07 Balears, Illes;Residentes en España;Julio;3,79
07 Balears, Illes;Residentes en España;Agosto;4,25
07 Balears, Illes;Residentes en España;Septiembre;3,54
07 Balears, Illes;Residentes en España;Octubre;2,52
07 Balears, Illes;Residentes en España;Noviembre;2,06
07 Balears, Illes;Residentes en España;Diciembre;2,24
07 Balears, Illes;No residentes en España;Total;5,60
07 Balears, Illes;No residentes en España;Enero;3,71
07 Balears, Illes;No residentes en España;Febrero;2,80
07 Balears, Illes;No residentes en España;Marzo;3,74
07 Balears, Illes;No residentes en España;Abril;4,62
07 Balears, Illes;No residentes en España;Mayo;4,70
07 Balears, Illes;No residentes en España;Junio;4,90
07 Balears, Illes;No residentes en España;Julio;5,81
07 Balears, Illes;No residentes en España;Agosto;5,91
07 Balears, Illes;No residentes en España;Septiembre;5,69
07 Balears, Illes;No residentes en España;Octubre;5,80
07 Balears, Illes;No residentes en España;Noviembre;4,56
07 Balears, Illes;No residentes en España;Diciembre;3,49
08 Barcelona;Total;Total;2,51
08 Barcelona;Total;Enero;2,12
08 Barcelona;Total;Febrero;1,94
08 Barcelona;Total;Marzo;1,98
08 Barcelona;Total;Abril;2,21
08 Barcelona;Total;Mayo;2,14
08 Barcelona;Total;Junio;2,25
08 Barcelona;Total;Julio;2,66
08 Barcelona;Total;Agosto;3,05
08 Barcelona;Total;Septiembre;2,64
